abbreviation	name	equation	reversible	compartment	lowbnd	uppbnd	obj_coef	rule	subsystem
MLTP1	Maltodextrin phosphorylase (maltopentaose)	[c] : maltpt + pi <==> g1p + maltttr	Reversible	c	-1000	1000	0		Alternate Carbon Metabolism
MLTP2	Maltodextrin phosphorylase (maltohexaose)	[c] : malthx + pi <==> g1p + maltpt	Reversible	c	-1000	1000	0		Alternate Carbon Metabolism
MLTP3	Maltodextrin phosphorylase (maltoheptaose)	[c] : malthp + pi <==> g1p + malthx	Reversible	c	-1000	1000	0		Alternate Carbon Metabolism
MME	methylmalonyl-CoA epimerase	[c] : mmcoa-R <==> mmcoa-S	Reversible	c	-1000	1000	0		Alternate Carbon Metabolism
MMM	methylmalonyl-CoA mutase	[c] : mmcoa-R --> succoa	Irreversible	c	0	1000	0		Alternate Carbon Metabolism
MMM2	Methylmalonyl-CoA mutase	[c] : succoa --> mmcoa-R	Irreversible	c	0	1000	0		Alternate Carbon Metabolism
PGLYCP	phosphoglycolate phosphatase	[c] : 2pglyc + h2o --> glyclt + pi	Irreversible	c	0	1000	0		Alternate Carbon Metabolism
PGMT	phosphoglucomutase	[c] : g1p <==> g6p	Reversible	c	-1000	1000	0		Alternate Carbon Metabolism
PMANM	phosphomannomutase	[c] : man1p <==> man6p	Reversible	c	-1000	1000	0		Alternate Carbon Metabolism
PPCSCT	Propanoyl-CoA: succinate CoA-transferase	[c] : ppcoa + succ --> ppa + succoa	Irreversible	c	0	1000	0		Alternate Carbon Metabolism
PTA2	Phosphate acetyltransferase	[c] : pi + ppcoa --> coa + ppap	Irreversible	c	0	1000	0		Alternate Carbon Metabolism
TRE6PP	trehalose-phosphatase	[c] : h2o + tre6p --> pi + tre	Irreversible	c	0	1000	0		Alternate Carbon Metabolism
TRE6PS	alpha,alpha-trehalose-phosphate synthase (UDP-forming)	[c] : g6p + udpg --> h + tre6p + udp	Irreversible	c	0	1000	0		Alternate Carbon Metabolism
ACGK	acetylglutamate kinase	[c] : acglu + atp --> acg5p + adp	Irreversible	c	0	1000	0		Amino Acid Metabolism
ACOTA	acetylornithine transaminase	[c] : acorn + akg <==> acg5sa + glu-L	Reversible	c	-1000	1000	0		Amino Acid Metabolism
ADCL	4-aminobenzoate synthase	[c] : 4adcho --> 4abz + h + pyr	Irreversible	c	0	1000	0		Amino Acid Metabolism
ADCS	4-amino-4-deoxychorismate synthase	[c] : chor + gln-L --> 4adcho + glu-L	Irreversible	c	0	1000	0		Amino Acid Metabolism
AGPR	N-acetyl-g-glutamyl-phosphate reductase	[c] : acg5sa + nadp + pi <==> acg5p + h + nadph	Reversible	c	-1000	1000	0		Amino Acid Metabolism
AHC	adenosylhomocysteinase	[c] : ahcys + h2o <==> adn + hcys-L	Reversible	c	-1000	1000	0		Amino Acid Metabolism
ANPRT	anthranilate phosphoribosyltransferase	[c] : anth + prpp --> ppi + pran	Irreversible	c	0	1000	0		Amino Acid Metabolism
ANS1	anthranilate synthase	[c] : chor + gln-L --> anth + glu-L + h + pyr	Irreversible	c	0	1000	0		Amino Acid Metabolism
ARGTRS	Arginyl-tRNA synthetase	[c] : arg-L + atp + trnaarg --> amp + argtrna + ppi	Irreversible	c	0	1000	0		Amino Acid Metabolism
ASPK	aspartate kinase	[c] : asp-L + atp <==> 4pasp + adp	Reversible	c	-1000	1000	0		Amino Acid Metabolism
ASPTA1	aspartate transaminase	[c] : akg + asp-L <==> glu-L + oaa	Reversible	c	-1000	1000	0		Amino Acid Metabolism
ATPPRT	ATP phosphoribosyltransferase	[c] : atp + prpp --> ppi + prbatp	Irreversible	c	0	1000	0		Amino Acid Metabolism
CHORM	chorismate mutase	[c] : chor --> pphn	Irreversible	c	0	1000	0		Amino Acid Metabolism
CRET	creatininase	[c] : crtn + h2o --> creat	Irreversible	c	0	1000	0		Amino Acid Metabolism
DHAD1	dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)	[c] : 23dhmb --> 3mob + h2o	Irreversible	c	0	1000	0		Amino Acid Metabolism
DHAD2	Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate)	[c] : 23dhmp --> 3mop + h2o	Irreversible	c	0	1000	0		Amino Acid Metabolism
G5SD	glutamate-5-semialdehyde dehydrogenase	[c] : glu5p + h + nadph --> glu5sa + nadp + pi	Irreversible	c	0	1000	0		Amino Acid Metabolism
GLNTRS	Glutaminyl-tRNA synthetase	[c] : atp + gln-L + trnagln --> amp + glntrna + ppi	Irreversible	c	0	1000	0		Amino Acid Metabolism
GLU5K	glutamate 5-kinase	[c] : atp + glu-L --> adp + glu5p	Irreversible	c	0	1000	0		Amino Acid Metabolism
GLUR	glutamate racemase	[c] : glu-D <==> glu-L	Reversible	c	-1000	1000	0		Amino Acid Metabolism
GLUTRR	glutamyl-tRNA reductase	[c] : glutrna + h + nadph --> glu1sa + nadp + trnaglu	Irreversible	c	0	1000	0		Amino Acid Metabolism
HISTD	histidinol dehydrogenase	[c] : h2o + histd + (2) nad --> (3) h + his-L + (2) nadh	Irreversible	c	0	1000	0		Amino Acid Metabolism
HISTP	histidinol-phosphatase	[c] : h2o + hisp --> histd + pi	Irreversible	c	0	1000	0		Amino Acid Metabolism
HSAT	Acetyl-CoA:L-homoserine O-acetyltransferase	[c] : accoa + hom-L <==> achms + coa	Reversible	c	-1000	1000	0		Amino Acid Metabolism
HSDy	homoserine dehydrogenase (NADPH)	[c] : hom-L + nadp <==> aspsa + h + nadph	Reversible	c	-1000	1000	0		Amino Acid Metabolism
HSTPT	histidinol-phosphate transaminase	[c] : glu-L + imacp --> akg + h + hisp	Irreversible	c	0	1000	0		Amino Acid Metabolism
IG3PS	Imidazole-glycerol-3-phosphate synthase	[c] : gln-L + prlp --> aicar + eig3p + glu-L + (2) h	Irreversible	c	0	1000	0		Amino Acid Metabolism
IGPDH	imidazoleglycerol-phosphate dehydratase	[c] : eig3p + h --> h2o + imacp	Irreversible	c	0	1000	0		Amino Acid Metabolism
IGPS	indole-3-glycerol-phosphate synthase	[c] : 2cpr5p + h --> 3ig3p + co2 + h2o	Irreversible	c	0	1000	0		Amino Acid Metabolism
IPMD	3-isopropylmalate dehydrogenase	[c] : 3c2hmp + nad --> 3c4mop + h + nadh	Irreversible	c	0	1000	0		Amino Acid Metabolism
IPPS	2-isopropylmalate synthase	[c] : 3mob + accoa + h2o --> 3c3hmp + coa + h	Irreversible	c	0	1000	0		Amino Acid Metabolism
KARA1	ketol-acid reductoisomerase (2,3-dihydroxy-3-methylbutanoate)	[c] : 23dhmb + nadp <==> alac-S + h + nadph	Reversible	c	-1000	1000	0		Amino Acid Metabolism
KARA2	ketol-acid reductoisomerase (2-Acetolactate)	[c] : 2ahbut + h + nadph <==> 23dhmp + nadp	Reversible	c	-1000	1000	0		Amino Acid Metabolism
METACH	O-Acetyl-L-homoserine acetate-lyase (adding methanethiol)	[c] : achms + h2s <==> ac + hcys-L	Reversible	c	-1000	1000	0		Amino Acid Metabolism
METSR-S1	L-methionine-S-oxide reductase (trdrd)	[c] : metox + trdrd --> h2o + met-L + trdox	Irreversible	c	0	1000	0		Amino Acid Metabolism
METSR-S2	L-methionine S-oxide reductase (H2O2)	[c] : h2o2 + met-L --> h2o + metox	Irreversible	c	0	1000	0		Amino Acid Metabolism
NTRIRx	nitrite reductase (NADH)	[c] : (4) h + (3) nadh + no2 --> h2o + (3) nad + nh4oh	Irreversible	c	0	1000	0		Amino Acid Metabolism
NTRIRy	nitrite reductase (NADPH)	[c] : (4) h + (3) nadph + no2 --> h2o + (3) nadp + nh4oh	Irreversible	c	0	1000	0		Amino Acid Metabolism
OCBT	ornithine carbamoyltransferase	[c] : cbp + orn-L <==> citr-L + h + pi	Reversible	c	-1000	1000	0		Amino Acid Metabolism
OMCDC	2-Oxo-4-methyl-3-carboxypentanoate decarboxylation	[c] : 3c4mop + h --> 4mop + co2	Irreversible	c	0	1000	0		Amino Acid Metabolism
ORNTAC	ornithine transacetylase	[c] : acorn + glu-L <==> acglu + orn-L	Reversible	c	-1000	1000	0		Amino Acid Metabolism
P5CRy	pyrroline-5-carboxylate reductase	[c] : 1pyr5c + (2) h + nadph --> nadp + pro-L	Irreversible	c	0	1000	0		Amino Acid Metabolism
PAPSR	phosphoadenylyl-sulfate reductase (thioredoxin)	[c] : paps + trdrd --> (2) h + pap + so3 + trdox	Irreversible	c	0	1000	0		Amino Acid Metabolism
PPND	prephenate dehydrogenase	[c] : nad + pphn --> 34hpp + co2 + nadh	Irreversible	c	0	1000	0		Amino Acid Metabolism
PPNDH	prephenate dehydratase	[c] : h + pphn --> co2 + h2o + phpyr	Irreversible	c	0	1000	0		Amino Acid Metabolism
PRAI	phosphoribosylanthranilate isomerase	[c] : pran <==> 2cpr5p	Reversible	c	-1000	1000	0		Amino Acid Metabolism
PRAMPC	phosphoribosyl-AMP cyclohydrolase	[c] : h + h2o + prbamp --> prfp	Irreversible	c	0	1000	0		Amino Acid Metabolism
PRATPP	phosphoribosyl-ATP pyrophosphatase	[c] : h2o + prbatp --> h + ppi + prbamp	Irreversible	c	0	1000	0		Amino Acid Metabolism
PRMICI	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase	[c] : prfp <==> prlp	Reversible	c	-1000	1000	0		Amino Acid Metabolism
SACCD2	saccharopine dehydrogenase (NAD, L-lysine forming)	[c] : Lsacchrp + h2o + nad <==> akg + h + lys-L + nadh	Reversible	c	-1000	1000	0		Amino Acid Metabolism
SDPTA	succinyldiaminopimelate transaminase	[c] : akg + sl26da <==> glu-L + sl2a6o	Reversible	c	-1000	1000	0		Amino Acid Metabolism
SERAT	serine O-acetyltransferase	[c] : accoa + ser-L <==> acser + coa	Reversible	c	-1000	1000	0		Amino Acid Metabolism
SHSL1	O-succinylhomoserine lyase (L-cysteine)	[c] : cys-L + suchms --> cysth-L + h + succ	Irreversible	c	0	1000	0		Amino Acid Metabolism
THRLAD	L-allo-threonine aldolase	[c] : thr-LA --> acald + gly	Irreversible	c	0	1000	0		Amino Acid Metabolism
THRS	threonine synthase	[c] : h2o + phom --> pi + thr-L	Irreversible	c	0	1000	0		Amino Acid Metabolism
TRPS1	tryptophan synthase (indoleglycerol phosphate)	[c] : 3ig3p + ser-L --> g3p + h2o + trp-L	Irreversible	c	0	1000	0		Amino Acid Metabolism
TRPTRS	Tryptophanyl-tRNA synthetase	[c] : atp + trnatrp + trp-L --> amp + ppi + trptrna	Irreversible	c	0	1000	0		Amino Acid Metabolism
TYRTRS	Tyrosyl-tRNA synthetase	[c] : atp + trnatyr + tyr-L --> amp + ppi + tyrtrna	Irreversible	c	0	1000	0		Amino Acid Metabolism
ALAD_L	L-alanine dehydrogenase	[c] : ala-L + h2o + nad --> h + nadh + nh4 + pyr	Irreversible	c	0	1000	0		Amino acids and related molecules
ARGN	arginase	[c] : arg-L + h2o --> orn-L + urea	Irreversible	c	0	1000	0		Amino acids and related molecules
CYSTGL	cystathionine g-lyase	[c] : cysth-L + h2o --> 2obut + cys-L + nh4	Irreversible	c	0	1000	0		Amino acids and related molecules
DAAOP	D-alanyl-aminopeptidase	[e] : alaala + h2o --> (2) ala-D	Irreversible	e	0	1000	0		Amino acids and related molecules
FMETDF	formylmethionine deformylase	[c] : fmet + h2o --> for + met-L	Irreversible	c	0	1000	0		Amino acids and related molecules
GGTAe2	gamma-glutamyltransferase	[e] : gthrd + h2o --> cgly + glu-L	Irreversible	e	0	1000	0		Amino acids and related molecules
LYSAM	lysine 2,3-aminomutase	[c] : lys-L <==> 36dahx	Reversible	c	-1000	1000	0		Amino acids and related molecules
MMSAD2	methylmalonate-semialdehyde dehydrogenase (propanol)	[c] : coa + nad + ppal --> h + nadh + ppcoa	Irreversible	c	0	1000	0		Amino acids and related molecules
MMSAD3	methylmalonate-semialdehyde dehydrogenase (malonic semialdehyde)	[c] : coa + msa + nad --> accoa + co2 + nadh	Irreversible	c	0	1000	0		Amino acids and related molecules
MMSDHir	methylmalonate-semialdehyde dehydrogenase (acylating)	[c] : coa + mmalsa-S + nad --> co2 + nadh + ppcoa	Irreversible	c	0	1000	0		Amino acids and related molecules
MTRI	5-methylthioribose-1-phosphate isomerase	[c] : 5mdr1p <==> 5mdru1p	Reversible	c	-1000	1000	0		Amino acids and related molecules
PGCDr	phosphoglycerate dehydrogenase	[c] : 3pg + nad <==> 3php + h + nadh	Reversible	c	-1000	1000	0		Amino acids and related molecules
UREA2	urease	[c] : (2) h + h2o + urea --> co2 + (2) nh4	Irreversible	c	0	1000	0		Amino acids and related molecules
ICL	Isocitrate lyase	[c] : icit --> glx + succ	Irreversible	c	0	1000	0		Anaplerotic reactions
MALS	malate synthase	[c] : accoa + glx + h2o --> coa + h + mal-L	Irreversible	c	0	1000	0		Anaplerotic reactions
ME2	malic enzyme (NADP)	[c] : mal-L + nadp --> co2 + nadph + pyr	Irreversible	c	0	1000	0		Anaplerotic reactions
PPA	inorganic diphosphatase	[c] : h2o + ppi --> h + (2) pi	Irreversible	c	0	1000	0		Anaplerotic reactions
PPC	phosphoenolpyruvate carboxylase	[c] : co2 + h2o + pep --> h + oaa + pi	Irreversible	c	0	1000	0		Anaplerotic reactions
ABTA	4-aminobutyrate transaminase	[c] : 4abut + akg --> glu-L + sucsal	Irreversible	c	0	1000	0		Arginine and Proline Metabolism
ACGS	N-acetylglutamate synthase	[c] : accoa + glu-L --> acglu + coa + h	Irreversible	c	0	1000	0		Arginine and Proline Metabolism
ADMDC	Adenosylmethionine decarboxylase	[c] : amet + h <==> ametam + co2	Reversible	c	-1000	1000	0		Arginine and Proline Metabolism
AGMT	agmatinase	[c] : agm + h2o --> ptrc + urea	Irreversible	c	0	1000	0		Arginine and Proline Metabolism
ARGDC	arginine decarboxylase	[c] : arg-L + h --> agm + co2	Irreversible	c	0	1000	0		Arginine and Proline Metabolism
ARGSL	argininosuccinate lyase	[c] : argsuc <==> arg-L + fum	Reversible	c	-1000	1000	0		Arginine and Proline Metabolism
ARGSS	argininosuccinate synthase	[c] : asp-L + atp + citr-L --> amp + argsuc + h + ppi	Irreversible	c	0	1000	0		Arginine and Proline Metabolism
CBPS	carbamoyl-phosphate synthase (glutamine-hydrolysing)	[c] : (2) atp + gln-L + h2o + hco3 --> (2) adp + cbp + glu-L + (2) h + pi	Irreversible	c	0	1000	0		Arginine and Proline Metabolism
DKMPPD2	2,3-diketo-5-methylthio-1-phosphopentane degradation reaction	[c] : dkmpp + (3) h2o --> 2kmb + for + (6) h + pi	Irreversible	c	0	1000	0		Arginine and Proline Metabolism
G5SADs	L-glutamate 5-semialdehyde dehydratase (spontaneous)	[c] : glu5sa <==> 1pyr5c + h + h2o	Reversible	c	-1000	1000	0		Arginine and Proline Metabolism
GGLUGABDH	gammaglutamyl-gamma-aminobutyraldehyde dehydrogenase	[c] : ggluaba + h2o + nadp --> ggluabt + (2) h + nadph	Irreversible	c	0	1000	0		Arginine and Proline Metabolism
GGLUGABH	gammaglutamyl-gamma-aminobutyrate hydrolase	[c] : ggluabt + h2o --> 4abut + glu-L	Irreversible	c	0	1000	0		Arginine and Proline Metabolism
GGLUPTO	gammaglutamyl putrescine oxidase	[c] : ggluptrc + h2o + o2 --> ggluaba + h2o2 + nh4	Irreversible	c	0	1000	0		Arginine and Proline Metabolism
GGLUPTS	gammaglutamyl putrescine synthetase	[c] : atp + glu-L + ptrc --> adp + ggluptrc + h + pi	Irreversible	c	0	1000	0		Arginine and Proline Metabolism
MDRPD	5-Methylthio-5-deoxy-D-ribulose 1-phosphate dehydratase	[c] : 5mdru1p --> dkmpp + h2o	Irreversible	c	0	1000	0		Arginine and Proline Metabolism
MTRK	5-methylthioribose kinase	[c] : 5mtr + atp --> 5mdr1p + adp + h	Irreversible	c	0	1000	0		Arginine and Proline Metabolism
P5CD	1-pyrroline-5-carboxylate dehydrogenase	[c] : 1pyr5c + (2) h2o + nad --> glu-L + h + nadh	Irreversible	c	0	1000	0		Arginine and Proline Metabolism
PRO1z	proline oxidase	[c] : fad + pro-L --> 1pyr5c + fadh2 + h	Irreversible	c	0	1000	0		Arginine and Proline Metabolism
SPMS	spermidine synthase	[c] : ametam + ptrc --> 5mta + h + spmd	Irreversible	c	0	1000	0		Arginine and Proline Metabolism
SSALy	succinate-semialdehyde dehydrogenase (NADP)	[c] : h2o + nadp + sucsal --> (2) h + nadph + succ	Irreversible	c	0	1000	0		Arginine and Proline Metabolism
UNK3	2-keto-4-methylthiobutyrate transamination	[c] : 2kmb + glu-L --> akg + met-L	Irreversible	c	0	1000	0		Arginine and Proline Metabolism
3HOPCD	3-hydroxypimeloyl-CoA dehydrogenase	[c] : 3hpimcoa + nad <==> 3opimcoa + h + nadh	Reversible	c	-1000	1000	0		Aromatic Compound degradation
4HBTE	4-hydroxybenzoyl-CoA thioesterase	[c] : 4hbcoa + h2o <==> 4hbz + coa + h	Reversible	c	-1000	1000	0		Aromatic Compound degradation
4HBZR	4-hydroxybenzoylCoA reducatse	[c] : 4hbcoa + fdxr-4:2 + (2) h --> benzcoa + fdxo-4:2 + h2o	Irreversible	c	0	1000	0		Aromatic Compound degradation
BCOALIG	benzoate CoA ligase	[c] : atp + bz + coa <==> amp + benzcoa + ppi	Reversible	c	-1000	1000	0		Aromatic Compound degradation
BCR	benzoylCoA reductase	[c] : (2) atp + benzcoa + (2) h2o + nadh <==> (2) adp + ch15deccoa + h + nad + (2) pi	Reversible	c	-1000	1000	0		Aromatic Compound degradation
BZSCD	benzylsuccinyl-CoA dehydrogenase	[c] : bzsuccoa + fad <==> fadh2 + phitcoa	Reversible	c	-1000	1000	0		Aromatic Compound degradation
BZSCT	benzylsuccinate CoA-transferase	[c] : bzsucc + succoa <==> bzsuccoa + succ	Reversible	c	-1000	1000	0		Aromatic Compound degradation
CHDCCH	Cyclohexa-1,5-dienecarbonyl-CoA hydro-lyase	[c] : ch15deccoa + h2o <==> 6hch1eccoa	Reversible	c	-1000	1000	0		Aromatic Compound degradation
GCOAD	glutaryl-CoA dehydrogenase	[c] : glutcoa + nadp --> b2coa + co2 + nadph	Irreversible	c	0	1000	0		Aromatic Compound degradation
HOCCD	6-hydroxycyclohex-1-ene-1-carbonyl CoA dehydrogenase	[c] : 6hch1eccoa + nad <==> 6occhcoa + h + nadh	Reversible	c	-1000	1000	0		Aromatic Compound degradation
OCHCCH	6-oxo-cyclohex-1-ene-carbonyl-CoA hydrolase	[c] : 6occhcoa + (2) h2o <==> 3hpimcoa + h	Reversible	c	-1000	1000	0		Aromatic Compound degradation
OGCOAAT	oxopimelylcoa:glutarylcoa acyltransferase	[c] : 3opimcoa + coa <==> accoa + glutcoa	Reversible	c	-1000	1000	0		Aromatic Compound degradation
PACCOAL	phenylacetate-CoA ligase	[c] : atp + coa + pheac --> amp + phaccoa + ppi	Irreversible	c	0	1000	0		Aromatic Compound degradation
ASNTRS	Asparaginyl-tRNA synthetase	[c] : asn-L + atp + trnaasn --> amp + asntrna + ppi	Irreversible	c	0	1000	0		Asparagine Metabolism
4CHOAHL	4-Carboxy-4-hydroxy-2-oxoadipate hydrolase	[c] : 4chccm + h2o <==> 4choa	Reversible	c	-1000	1000	0		Benzoate Degradation
4CHSDH	4-carboxy-2-hydroxymuconate-6-semialdehyde dehydrogenase	[c] : 4chms + h2o + nadp <==> 4chccm + (2) h + nadph	Reversible	c	-1000	1000	0		Benzoate Degradation
4HMOGA	4-hydroxy-4-methyl-2-oxoglutarate aldolase	[c] : 4choa <==> oaa + pyr	Reversible	c	-1000	1000	0		Benzoate Degradation
APYRH	3-Fumarylpyruvate acylhydrolase	[c] : 3fpyr + h2o --> fum + h + pyr	Irreversible	c	0	1000	0		Benzoate Degradation
CMCI	3-carboxy-cis,cis-muconate cycloisomerase	[c] : 2c25dho <==> 3cmuc + h	Reversible	c	-1000	1000	0		Benzoate Degradation
HBZ3MO	4-hydroxybenzoate 3-monooxygenase	[c] : 4hbz + h + nadph + o2 --> 34dhbz + h2o + nadp	Irreversible	c	0	1000	0		Benzoate Degradation
PC45DO	protocatechuate 4,5-oxidoreductase	[c] : 34dhbz + o2 <==> 4chms + h	Reversible	c	-1000	1000	0		Benzoate Degradation
CDPGD	CDP-glucose 4,6-dehydratase	[c] : cdpglc <==> cdpddg + h2o	Reversible	c	-1000	1000	0		Carbohydrate Metabolism
GLXCBL	glyoxalate carboligase	[c] : (2) glx + h --> 2h3opp + co2	Irreversible	c	0	1000	0		Carbohydrate Metabolism
GLYCK	glycerate kinase	[c] : atp + glyc-R --> 3pg + adp + h	Irreversible	c	0	1000	0		Carbohydrate Metabolism
PRKIN	Phosphoribulokinase	[c] : atp + ru5p-D --> adp + h + rb15bp	Irreversible	c	0	1000	0		Carbohydrate Metabolism
SBDH	L-sorbosone dehydrogenase	[c] : nadp + sbt6p --> h + nadph + srb1p	Irreversible	c	0	1000	0		Carbohydrate Metabolism
TRES	Trehalose synthase	[c] : malt <==> tre	Reversible	c	-1000	1000	0		Carbohydrate Metabolism
BG(CELLB)	beta-glucosidase (cellobiose)	[e] : cellb + h2o --> (2) glc-D	Irreversible	e	0	1000	0		Carbohydrates and related molecuels
ACKr	acetate kinase	[c] : ac + atp <==> actp + adp	Reversible	c	-1000	1000	0		Carbohydrates and related molecules
ACS2	acetyl-CoA synthase (propionate)	[c] : atp + coa + ppa --> amp + ppcoa + ppi	Irreversible	c	0	1000	0		Carbohydrates and related molecules
FRUK	fructokinase	[c] : atp + fru --> adp + f6p + h	Irreversible	c	0	1000	0		Carbohydrates and related molecules
GALCTD	galactarate dehydratase	[c] : galctr-D --> 5d4dglcr + h2o	Irreversible	c	0	1000	0		Carbohydrates and related molecules
GBEZY	1,4-alpha-glucan branching enzyme	[c] : 14glun --> glycogen	Irreversible	c	0	1000	0		Carbohydrates and related molecules
ME1x_D	D-malate dehydrogenase (NAD)	[c] : mal-D + nad --> co2 + nadh + pyr	Irreversible	c	0	1000	0		Carbohydrates and related molecules
MNNH	D-mannonate hydrolyase	[c] : mana --> 2ddglcn + h2o	Irreversible	c	0	1000	0		Carbohydrates and related molecules
OCOAT1r	3-oxoacid CoA-transferase (Succinyl-CoA: acetoacetate)	[c] : acac + succoa <==> aacoa + succ	Reversible	c	-1000	1000	0		Carbohydrates and related molecules
PBUTT	phosphate butyryltransferase	[c] : btcoa + pi <==> butpi + coa	Reversible	c	-1000	1000	0		Carbohydrates and related molecules
PPAK	Propionate kinase	[c] : adp + ppap <==> atp + ppa	Reversible	c	-1000	1000	0		Carbohydrates and related molecules
