TIGR01079	ribosomal protein L24	158	Protein synthesis	Ribosomal proteins: synthesis and modificatio
TIGR00388	glycine--tRNA ligase, alpha subunit	137	Protein synthesis	tRNA aminoacylation
PF00276	ribosomal protein L23	158	Protein synthesis	Ribosomal proteins: synthesis and modificatio
PF00297	ribosomal protein L3	158	Protein synthesis	Ribosomal proteins: synthesis and modificatio
PF00347	ribosomal protein L6	158	Protein synthesis	Ribosomal proteins: synthesis and modificatio
PF00366	ribosomal protein S17	158	Protein synthesis	Ribosomal proteins: synthesis and modificatio
PF00380	ribosomal protein S9	158	Protein synthesis	Ribosomal proteins: synthesis and modificatio
PF00410	ribosomal protein S8	158	Protein synthesis	Ribosomal proteins: synthesis and modificatio
PF00411	ribosomal protein S11	158	Protein synthesis	Ribosomal proteins: synthesis and modificatio
PF00416	ribosomal protein S13p/S18e	158	Protein synthesis	Ribosomal proteins: synthesis and modificatio
PF00466	ribosomal protein L10	158	Protein synthesis	Ribosomal proteins: synthesis and modificatio
PF00573	ribosomal protein L4/L1 family	158	Protein synthesis	Ribosomal proteins: synthesis and modificatio
PF00750	arginine--tRNA ligase	137	Protein synthesis	tRNA aminoacylation
TIGR03723	tRNA threonylcarbamoyl adenosine modification	168	Protein synthesis	tRNA and rRNA base modification
TIGR02432	tRNA(Ile)-lysidine synthetase	168	Protein synthesis	tRNA and rRNA base modification
TIGR03594	ribosome-associated GTPase EngA	136	Protein synthesis	Other
TIGR01632	ribosomal protein L11	158	Protein synthesis	Ribosomal proteins: synthesis and modificatio
TIGR00337	CTP synthase	126	Purines, pyrimidines, nucleosides, 	Pyrimidine ribonucleotide biosynthesis
TIGR03263	guanylate kinase	124	Purines, pyrimidines, nucleosides, 	Nucleotide and nucleoside interconversions
TIGR02386	DNA-directed RNA polymerase, beta' subunit	135	Transcription	DNA-dependent RNA polymerase
TIGR00082	ribosome-binding factor A	166	Transcription	RNA processing
TIGR02191	ribonuclease III	166	Transcription	RNA processing
TIGR00922	transcription termination/antitermination fac	165	Transcription	Transcription factors
TIGR02027	DNA-directed RNA polymerase, alpha subunit	135	Transcription	DNA-dependent RNA polymerase
TIGR02013	DNA-directed RNA polymerase, beta subunit	135	Transcription	DNA-dependent RNA polymerase
TIGR01953	transcription termination factor NusA	165	Transcription	Transcription factors
TIGR01393	elongation factor 4	157	Unknown function	General
TIGR00092	GTP-binding protein YchF	157	Unknown function	General
