TIGR00001	ribosomal protein L35
TIGR00118	acetolactate synthase, large subunit, biosynthetic type
TIGR00119	acetolactate synthase, small subunit
TIGR00120	glutamate N-acetyltransferase/amino-acid acetyltransferase
TIGR00121	biotin--[acetyl-CoA-carboxylase] ligase
TIGR00122	biotin operon repressor
TIGR00123	cobalamin biosynthesis protein CbiM
TIGR00124	[citrate (pro-3S)-lyase] ligase
TIGR00125	cytidyltransferase-like domain
TIGR00126	deoxyribose-phosphate aldolase
TIGR00127	isocitrate dehydrogenase, NADP-dependent
TIGR00128	malonyl CoA-acyl carrier protein transacylase
TIGR00129	formate dehydrogenase family accessory protein FdhD
TIGR00130	coenzyme F420-reducing hydrogenase, FrhD protein
TIGR00131	galactokinase
TIGR00132	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, A subunit
TIGR00133	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, B subunit
TIGR00134	glutamyl-tRNA(Gln) amidotransferase, subunit E
TIGR00135	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, C subunit
TIGR00136	tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA
TIGR00137	tRNA:m(5)U-54 methyltransferase
TIGR00138	16S rRNA (guanine(527)-N(7))-methyltransferase RsmG
TIGR00139	homoaconitase
TIGR00140	hydrogenase expression/formation protein
TIGR00142	hydrogenase maturation peptidase HycI
TIGR00143	carbamoyltransferase HypF
TIGR00144	beta-ribofuranosylaminobenzene 5'-phosphate synthase family
TIGR00145	FTR1 family protein
TIGR00147	lipid kinase, YegS/Rv2252/BmrU family
TIGR00148	decarboxylase, UbiD family
TIGR00149	secondary thiamine-phosphate synthase enzyme
TIGR00150	tRNA threonylcarbamoyl adenosine modification protein YjeE
TIGR00151	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
TIGR00152	dephospho-CoA kinase
TIGR00153	TIGR00153 family protein
TIGR00154	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase
TIGR00155	integral membrane protein, PqiA family
TIGR00156	TIGR00156 family protein
TIGR00157	ribosome small subunit-dependent GTPase A
TIGR00158	ribosomal protein L9
TIGR00159	TIGR00159 family protein
TIGR00160	methylglyoxal synthase
TIGR00161	TIGR00161 family protein
TIGR00162	TIGR00162 family protein
TIGR00163	phosphatidylserine decarboxylase
TIGR00164	phosphatidylserine decarboxylase homolog
TIGR00165	ribosomal protein S18
TIGR00166	ribosomal protein S6
TIGR00167	ketose-bisphosphate aldolase
TIGR00168	translation initiation factor IF-3
TIGR00169	3-isopropylmalate dehydrogenase
TIGR00170	3-isopropylmalate dehydratase, large subunit
TIGR00171	3-isopropylmalate dehydratase, small subunit
TIGR00172	septum formation protein Maf
TIGR00173	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase
TIGR00174	tRNA dimethylallyltransferase
TIGR00175	isocitrate dehydrogenase, NAD-dependent
TIGR00176	molybdopterin-guanine dinucleotide biosynthesis protein B
TIGR00177	molybdenum cofactor synthesis domain
TIGR00178	isocitrate dehydrogenase, NADP-dependent
TIGR00179	UDP-N-acetylenolpyruvoylglucosamine reductase
TIGR00180	ParB/RepB/Spo0J family partition protein
TIGR00181	oligoendopeptidase F
TIGR00182	fatty acid/phospholipid synthesis protein PlsX
TIGR00183	isocitrate dehydrogenase, NADP-dependent
TIGR00184	adenylosuccinate synthase
TIGR00185	tRNA (cytidine(34)-2'-O)-methyltransferase
TIGR00186	RNA methyltransferase, TrmH family, group 3
TIGR00187	riboflavin synthase, alpha subunit
TIGR00188	ribonuclease P protein component
TIGR00189	acyl-CoA thioesterase II
TIGR00190	phosphomethylpyrimidine synthase
TIGR00191	homoserine kinase
TIGR00192	urease, beta subunit
TIGR00193	urease, gamma subunit
TIGR00194	excinuclease ABC subunit C
TIGR00195	exodeoxyribonuclease III
TIGR00196	YjeF family C-terminal domain
TIGR00197	YjeF family N-terminal domain
TIGR00198	catalase/peroxidase HPI
TIGR00199	amidohydrolase, PncC family
TIGR00200	competence/damage-inducible protein CinA N-terminal domain
TIGR00201	comF family protein
TIGR00202	carbon storage regulator
TIGR00203	cytochrome d ubiquinol oxidase, subunit II
TIGR00204	1-deoxy-D-xylulose-5-phosphate synthase
TIGR00205	flagellar hook-basal body complex protein FliE
TIGR00206	flagellar M-ring protein FliF
TIGR00207	flagellar motor switch protein FliG
TIGR00208	flagellar protein FliS
TIGR00209	galactose-1-phosphate uridylyltransferase
TIGR00210	sodium/glutamate symporter
TIGR00211	glycine--tRNA ligase, beta subunit
TIGR00212	hydroxymethylbilane synthase
TIGR00213	D,D-heptose 1,7-bisphosphate phosphatase
TIGR00214	lipoyl(octanoyl) transferase
TIGR00215	lipid-A-disaccharide synthase
TIGR00216	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
TIGR00217	4-alpha-glucanotransferase
TIGR00218	mannose-6-phosphate isomerase, class I
TIGR00219	rod shape-determining protein MreC
TIGR00220	large conductance mechanosensitive channel protein
TIGR00221	N-acetylglucosamine-6-phosphate deacetylase
TIGR00222	3-methyl-2-oxobutanoate hydroxymethyltransferase
TIGR00223	aspartate 1-decarboxylase
TIGR00224	phosphoenolpyruvate carboxykinase (ATP)
TIGR00225	C-terminal processing peptidase
TIGR00227	riboflavin-specific deaminase C-terminal domain
TIGR00228	crossover junction endodeoxyribonuclease RuvC
TIGR00229	PAS domain S-box protein
TIGR00230	sugar fermentation stimulation protein
TIGR00231	small GTP-binding protein domain
TIGR00232	transketolase
TIGR00233	tryptophan--tRNA ligase
TIGR00234	tyrosine--tRNA ligase
TIGR00235	uridine kinase
TIGR00236	UDP-N-acetylglucosamine 2-epimerase
TIGR00237	exodeoxyribonuclease VII, large subunit
TIGR00238	KamA family protein
TIGR00239	oxoglutarate dehydrogenase (succinyl-transferring), E1 component
TIGR00240	aspartate carbamoyltransferase, regulatory subunit
TIGR00241	putative CoA-substrate-specific enzyme activase
TIGR00242	protein MraZ
TIGR00243	1-deoxy-D-xylulose 5-phosphate reductoisomerase
TIGR00244	transcriptional regulator NrdR
TIGR00245	TIGR00245 family protein
TIGR00246	rRNA large subunit m3Psi methyltransferase RlmH
TIGR00247	conserved hypothetical protein, YceG family
TIGR00249	phosphohistidine phosphatase SixA
TIGR00250	RNAse H domain protein, YqgF family
TIGR00251	TIGR00251 family protein
TIGR00252	TIGR00252 family protein
TIGR00253	putative RNA-binding protein, YhbY family
TIGR00254	diguanylate cyclase (GGDEF) domain
TIGR00255	TIGR00255 family protein
TIGR00256	D-tyrosyl-tRNA(Tyr) deacylase
TIGR00257	uncharacterized protein, YigZ family
TIGR00258	inosine/xanthosine triphosphatase
TIGR00259	membrane complex biogenesis protein, BtpA family
TIGR00260	threonine synthase
TIGR00261	TraB family protein
TIGR00262	tryptophan synthase, alpha subunit
TIGR00263	tryptophan synthase, beta subunit
TIGR00264	alpha-NAC homolog
TIGR00266	TIGR00266 family protein
TIGR00267	TIGR00267 family protein
TIGR00268	TIGR00268 family protein
TIGR00269	TIGR00269 family protein
TIGR00270	TIGR00270 family protein
TIGR00271	uncharacterized hydrophobic domain
TIGR00272	diphthamide biosynthesis protein 2
TIGR00273	iron-sulfur cluster-binding protein
TIGR00274	N-acetylmuramic acid 6-phosphate etherase
TIGR00275	flavoprotein, HI0933 family
TIGR00276	epoxyqueuosine reductase
TIGR00277	HDIG domain
TIGR00278	putative membrane protein insertion efficiency factor
TIGR00279	ribosomal protein L10.e
TIGR00280	ribosomal protein L37a
TIGR00281	segregation and condensation protein B
TIGR00282	metallophosphoesterase, MG_246/BB_0505 family
TIGR00283	peptidyl-tRNA hydrolase
TIGR00284	dihydropteroate synthase-related protein
TIGR00285	DNA-binding protein Alba
TIGR00286	arginine decarboxylase, pyruvoyl-dependent
TIGR00287	CRISPR-associated endonuclease Cas1
TIGR00288	TIGR00288 family protein
TIGR00289	TIGR00289 family protein
TIGR00290	MJ0570-related uncharacterized domain
TIGR00291	rRNA metabolism protein, SBDS family
TIGR00292	thiazole biosynthesis enzyme
TIGR00293	prefoldin, alpha subunit
TIGR00294	GTP cyclohydrolase
TIGR00295	TIGR00295 family protein
TIGR00296	uncharacterized protein, PH0010 family
TIGR00297	TIGR00297 family protein
TIGR00298	2-phosphosulfolactate phosphatase
TIGR00299	TIGR00299 family protein
TIGR00300	TIGR00300 family protein
TIGR00302	phosphoribosylformylglycinamidine synthase, purS protein
TIGR00303	TIGR00303 family protein
TIGR00304	TIGR00304 family protein
TIGR00305	putative toxin-antitoxin system toxin component, PIN family
TIGR00306	phosphoglycerate mutase (2,3-diphosphoglycerate-independent), archaeal form
TIGR00307	ribosomal protein S8.e
TIGR00308	N2,N2-dimethylguanosine tRNA methyltransferase
TIGR00309	V-type ATPase, D subunit
TIGR00310	ZPR1 zinc finger domain
TIGR00311	putative translation initiation factor aIF-2, beta subunit
TIGR00312	cobalamin biosynthesis protein CbiD
TIGR00313	cobyric acid synthase CobQ
TIGR00314	CO dehydrogenase/acetyl-CoA synthase complex, epsilon subunit
TIGR00315	CO dehydrogenase/acetyl-CoA synthase complex, epsilon subunit
TIGR00316	CO dehydrogenase/CO-methylating acetyl-CoA synthase complex, beta subunit
TIGR00317	cobalamin 5'-phosphate synthase
TIGR00318	putative adenylyl cyclase CyaB
TIGR00319	desulfoferrodoxin FeS4 iron-binding domain
TIGR00320	desulfoferrodoxin
TIGR00321	deoxyhypusine synthase
TIGR00322	diphthamide biosynthesis enzyme Dph1/Dph2 domain
TIGR00323	putative translation initiation factor eIF-6
TIGR00324	tRNA-intron endonuclease
TIGR00325	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase
TIGR00326	riboflavin biosynthesis protein RibD
TIGR00327	protein translocase SEC61 complex gamma subunit, archaeal and eukaryotic
TIGR00328	flagellar biosynthetic protein FlhB
TIGR00329	metallohydrolase, glycoprotease/Kae1 family
TIGR00330	fructose-1,6-bisphosphatase, class II
TIGR00331	heat-inducible transcription repressor HrcA
TIGR00332	desulfoferrodoxin ferrous iron-binding domain
TIGR00333	nrdI protein
TIGR00334	ribonuclease M5
TIGR00335	putative DNA primase, eukaryotic-type, small subunit
TIGR00336	orotate phosphoribosyltransferase
TIGR00337	CTP synthase
TIGR00338	phosphoserine phosphatase SerB
TIGR00339	sulfate adenylyltransferase
TIGR00340	zinc finger protein ZPR1 homolog
TIGR00341	TIGR00341 family protein
TIGR00342	tRNA sulfurtransferase ThiI
TIGR00343	pyridoxal 5'-phosphate synthase, synthase subunit Pdx1
TIGR00344	alanine--tRNA ligase
TIGR00345	transport-energizing ATPase, TRC40/GET3/ArsA family
TIGR00346	azaleucine resistance protein AzlC
TIGR00347	dethiobiotin synthase
TIGR00348	type I site-specific deoxyribonuclease, HsdR family
TIGR00350	cell envelope-related function transcriptional attenuator common domain
TIGR00351	respiratory nitrate reductase, gamma subunit
TIGR00353	cytochrome c-type biogenesis protein CcmF
TIGR00354	DNA polymerase II, large subunit DP2
TIGR00355	phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase
TIGR00357	methionine-R-sulfoxide reductase
TIGR00358	VacB and RNase II family 3'-5' exoribonucleases
TIGR00359	PTS system, cellobiose-specific IIC component
TIGR00360	ComEC/Rec2-related protein
TIGR00361	DNA internalization-related competence protein ComEC/Rec2
TIGR00362	chromosomal replication initiator protein DnaA
TIGR00363	lipoprotein, YaeC family
TIGR00364	queuosine biosynthesis protein QueC
TIGR00365	monothiol glutaredoxin, Grx4 family
TIGR00366	TIGR00366 family protein
TIGR00367	K+-dependent Na+/Ca+ exchanger homolog
TIGR00368	Mg chelatase-like protein
TIGR00369	uncharacterized domain 1
TIGR00370	sensor histidine kinase inhibitor, KipI family
TIGR00372	CRISPR-associated protein Cas4
TIGR00373	transcription factor E
TIGR00374	TIGR00374 family protein
TIGR00375	TIGR00375 family protein
TIGR00376	putative DNA helicase
TIGR00377	anti-anti-sigma factor
TIGR00378	calcium/proton exchanger
TIGR00379	cobyrinic acid a,c-diamide synthase
TIGR00380	cobalamin biosynthesis protein CobD
TIGR00381	CO dehydrogenase/acetyl-CoA synthase, delta subunit
TIGR00382	ATP-dependent Clp protease, ATP-binding subunit ClpX
TIGR00383	magnesium and cobalt transport protein CorA
TIGR00384	succinate dehydrogenase and fumarate reductase iron-sulfur protein
TIGR00385	periplasmic protein thiol:disulfide oxidoreductases, DsbE subfamily
TIGR00387	glycolate oxidase, subunit GlcD
TIGR00388	glycine--tRNA ligase, alpha subunit
TIGR00389	glycine--tRNA ligase
TIGR00390	ATP-dependent protease HslVU, ATPase subunit
TIGR00391	hydrogenase (NiFe) small subunit (hydA)
TIGR00392	isoleucine--tRNA ligase
TIGR00393	sugar isomerase, KpsF/GutQ family
TIGR00394	PTS system, lactose-specific IIC component
TIGR00395	leucine--tRNA ligase
TIGR00396	leucine--tRNA ligase
TIGR00397	MauM/NapG family ferredoxin-type protein
TIGR00398	methionine--tRNA ligase
TIGR00399	methionine--tRNA ligase, beta subunit
TIGR00400	magnesium transporter
TIGR00401	peptide-methionine (S)-S-oxide reductase
TIGR00402	ferredoxin-type protein NapF
TIGR00403	NADH-plastoquinone oxidoreductase, I subunit
TIGR00405	ribosomal protein L24
TIGR00406	ribosomal protein L11 methyltransferase
TIGR00407	glutamate-5-semialdehyde dehydrogenase
TIGR00408	proline--tRNA ligase
TIGR00409	proline--tRNA ligase
TIGR00410	PTS system, lactose/cellobiose family IIC component
TIGR00411	redox-active disulfide protein 1
TIGR00412	redox-active disulfide protein 2
TIGR00413	rare lipoprotein A
TIGR00414	serine--tRNA ligase
TIGR00415	serine--tRNA ligase
TIGR00416	DNA repair protein RadA
TIGR00417	spermidine synthase
TIGR00418	threonine--tRNA ligase
TIGR00419	triose-phosphate isomerase
TIGR00420	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase
TIGR00421	polyprenyl P-hydroxybenzoate and phenylacrylic acid decarboxylases
TIGR00422	valine--tRNA ligase
TIGR00423	radical SAM domain protein, CofH subfamily
TIGR00424	5'-adenylylsulfate reductase, thioredoxin-independent
TIGR00425	putative rRNA pseudouridine synthase
TIGR00426	competence protein ComEA helix-hairpin-helix repeat region
TIGR00427	membrane protein, MarC family
TIGR00430	tRNA-guanine transglycosylase
TIGR00431	tRNA pseudouridine(55) synthase
TIGR00432	tRNA-guanine(15) transglycosylase
TIGR00433	biotin synthase
TIGR00434	phosophoadenylyl-sulfate reductase
TIGR00435	cysteine--tRNA ligase
TIGR00436	GTP-binding protein Era
TIGR00437	ferrous iron transport protein B
TIGR00438	ribosomal RNA large subunit methyltransferase J
TIGR00439	putative protein insertion permease FtsX
TIGR00440	glutamine--tRNA ligase
TIGR00441	phosphoheptose isomerase
TIGR00442	histidine--tRNA ligase
TIGR00443	ATP phosphoribosyltransferase, regulatory subunit
TIGR00444	MazG family protein
TIGR00445	phospho-N-acetylmuramoyl-pentapeptide-transferase
TIGR00446	NOL1/NOP2/sun family putative RNA methylase
TIGR00447	aminoacyl-tRNA hydrolase
TIGR00448	DNA-directed RNA polymerase
TIGR00449	tRNA-guanine family transglycosylase
TIGR00450	tRNA modification GTPase TrmE
TIGR00451	uncharacterized domain 2
TIGR00452	tRNA (mo5U34)-methyltransferase
TIGR00453	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
TIGR00454	TIGR00454 family protein
TIGR00455	adenylyl-sulfate kinase
TIGR00456	arginine--tRNA ligase
TIGR00457	asparagine--tRNA ligase
TIGR00458	aspartate--tRNA(Asn) ligase
TIGR00459	aspartate--tRNA ligase
TIGR00460	methionyl-tRNA formyltransferase
TIGR00461	glycine dehydrogenase
TIGR00462	EF-P lysine aminoacylase GenX
TIGR00463	glutamate--tRNA ligase
TIGR00464	glutamate--tRNA ligase
TIGR00465	ketol-acid reductoisomerase
TIGR00466	3-deoxy-D-manno-octulosonate cytidylyltransferase
TIGR00467	lysine--tRNA ligase
TIGR00468	phenylalanine--tRNA ligase, alpha subunit
TIGR00469	phenylalanine--tRNA ligase
TIGR00470	O-phosphoserine--tRNA ligase
TIGR00471	phenylalanine--tRNA ligase, beta subunit
TIGR00472	phenylalanine--tRNA ligase, beta subunit
TIGR00473	CDP-diacylglycerol-serine O-phosphatidyltransferase
TIGR00474	L-seryl-tRNA(Sec) selenium transferase
TIGR00475	selenocysteine-specific translation elongation factor
TIGR00476	selenide, water dikinase
TIGR00477	tellurite resistance protein TehB
TIGR00478	TlyA family rRNA methyltransferase/putative hemolysin
TIGR00479	23S rRNA (uracil-5-)-methyltransferase RumA
TIGR00481	Raf kinase inhibitor-like protein, YbhB/YbcL family
TIGR00482	nicotinate (nicotinamide) nucleotide adenylyltransferase
TIGR00483	translation elongation factor EF-1, subunit alpha
TIGR00484	translation elongation factor G
TIGR00485	translation elongation factor Tu
TIGR00486	dinuclear metal center protein, YbgI/SA1388 family
TIGR00487	translation initiation factor IF-2
TIGR00488	putative HD superfamily hydrolase
TIGR00489	translation elongation factor aEF-1 beta
TIGR00490	translation elongation factor aEF-2
TIGR00491	translation initiation factor aIF-2
TIGR00492	alanine racemase
TIGR00493	ATP-dependent Clp endopeptidase, proteolytic subunit ClpP
TIGR00494	protein CrcB
TIGR00495	DNA-binding protein, 42 kDa
TIGR00496	ribosome recycling factor
TIGR00497	type I restriction-modification system, M subunit
TIGR00498	repressor LexA
TIGR00499	lysine--tRNA ligase
TIGR00500	methionine aminopeptidase, type I
TIGR00501	methionine aminopeptidase, type II
TIGR00502	glucosamine-6-phosphate deaminase
TIGR00503	peptide chain release factor 3
TIGR00504	pyroglutamyl-peptidase I
TIGR00505	GTP cyclohydrolase II
TIGR00506	3,4-dihydroxy-2-butanone-4-phosphate synthase
TIGR00507	shikimate dehydrogenase
TIGR00508	adenosylmethionine-8-amino-7-oxononanoate transaminase
TIGR00509	molybdopterin guanine dinucleotide-containing S/N-oxide reductases
TIGR00510	lipoyl synthase
TIGR00511	ribose-1,5-bisphosphate isomerase, e2b2 family
TIGR00512	S-methyl-5-thioribose-1-phosphate isomerase
TIGR00513	acetyl-CoA carboxylase, carboxyl transferase, alpha subunit
TIGR00514	acetyl-CoA carboxylase, biotin carboxylase subunit
TIGR00515	acetyl-CoA carboxylase, carboxyl transferase, beta subunit
TIGR00516	holo-[acyl-carrier-protein] synthase
TIGR00517	acyl carrier protein
TIGR00518	alanine dehydrogenase
TIGR00519	L-asparaginase, type I
TIGR00520	L-asparaginase, type II
TIGR00521	phosphopantothenoylcysteine decarboxylase / phosphopantothenate--cysteine ligase
TIGR00522	diphthine synthase
TIGR00523	translation initiation factor eIF-1A
TIGR00524	eIF-2B alpha/beta/delta-related uncharacterized proteins
TIGR00525	dihydroneopterin aldolase
TIGR00526	FolB domain
TIGR00527	glycine cleavage system H protein
TIGR00528	glycine cleavage system T protein
TIGR00529	integral membrane protein, TIGR00529 family
TIGR00530	1-acylglycerol-3-phosphate O-acyltransferases
TIGR00531	acetyl-CoA carboxylase, biotin carboxyl carrier protein
TIGR00532	hydroxymethylglutaryl-CoA reductase, degradative
TIGR00533	hydroxymethylglutaryl-CoA reductase (NADPH)
TIGR00534	glucose-6-phosphate dehydrogenase assembly protein OpcA
TIGR00535	S-adenosylmethionine decarboxylase proenzyme
TIGR00536	methyltransferase, HemK family
TIGR00537	putative methylase
TIGR00538	oxygen-independent coproporphyrinogen III oxidase
TIGR00539	putative oxygen-independent coproporphyrinogen III oxidase
TIGR00540	heme biosynthesis-associated TPR protein
TIGR00541	histidine decarboxylase, pyruvoyl type
TIGR00542	putative hexulose-6-phosphate isomerase
TIGR00543	isochorismate synthase
TIGR00544	prolipoprotein diacylglyceryl transferase
TIGR00545	lipoyltransferase and lipoate-protein ligase
TIGR00546	apolipoprotein N-acyltransferase
TIGR00547	outer membrane lipoprotein carrier protein LolA
TIGR00548	outer membrane lipoprotein LolB
TIGR00549	mevalonate kinase
TIGR00550	quinolinate synthetase complex, A subunit
TIGR00551	L-aspartate oxidase
TIGR00552	NAD+ synthetase
TIGR00553	aminodeoxychorismate synthase, component I
TIGR00554	pantothenate kinase
TIGR00555	pantothenate kinase
TIGR00556	phosphopantetheine--protein transferase domain
TIGR00557	4-hydroxythreonine-4-phosphate dehydrogenase PdxA
TIGR00558	pyridoxamine 5'-phosphate oxidase
TIGR00559	pyridoxine 5'-phosphate synthase
TIGR00560	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
TIGR00561	NAD(P)(+) transhydrogenase (AB-specific), alpha subunit
TIGR00562	protoporphyrinogen oxidase
TIGR00563	16S rRNA (cytosine(967)-C(5))-methyltransferase
TIGR00564	anthranilate synthase component I
TIGR00565	anthranilate synthase component I
TIGR00566	glutamine amidotransferase of anthranilate synthase or aminodeoxychorismate synthase
TIGR00567	DNA-3-methyladenine glycosylase
TIGR00568	alkylated DNA repair protein AlkB
TIGR00569	cyclin ccl1
TIGR00570	CDK-activating kinase assembly factor MAT1
TIGR00571	DNA adenine methylase
TIGR00573	exonuclease, DNA polymerase III, epsilon subunit family
TIGR00574	DNA ligase I, ATP-dependent (dnl1)
TIGR00575	DNA ligase, NAD-dependent
TIGR00576	dUTP diphosphatase
TIGR00577	DNA-formamidopyrimidine glycosylase
TIGR00578	ATP-dependent DNA helicase II, 70 kDa subunit (ku70)
TIGR00580	transcription-repair coupling factor
TIGR00581	molybdenum cofactor biosynthesis protein C
TIGR00583	DNA repair protein (mre11)
TIGR00584	mismatch-specific thymine-DNA glycosylate (mug)
TIGR00585	DNA mismatch repair protein MutL
TIGR00586	mutator mutT protein
TIGR00587	apurinic endonuclease (APN1)
TIGR00588	8-oxoguanine DNA-glycosylase (ogg)
TIGR00589	methylated-DNA--[protein]-cysteine S-methyltransferase
TIGR00590	proliferating cell nuclear antigen (pcna)
TIGR00591	deoxyribodipyrimidine photolyase
TIGR00592	DNA polymerase (pol2)
TIGR00593	DNA polymerase I
TIGR00594	DNA polymerase III, alpha subunit
TIGR00595	primosomal protein N'
TIGR00596	DNA repair protein (rad1)
TIGR00597	DNA repair protein rad10
TIGR00598	DNA repair protein
TIGR00599	DNA repair protein rad18
TIGR00600	DNA excision repair protein (rad2)
TIGR00601	UV excision repair protein Rad23
TIGR00602	checkpoint protein rad24
TIGR00603	DNA repair helicase rad25
TIGR00604	DNA repair helicase (rad3)
TIGR00605	DNA repair protein rad4
TIGR00606	rad50
TIGR00607	recombination protein rad52
TIGR00608	DNA repair protein RadC
TIGR00609	exodeoxyribonuclease V, beta subunit
TIGR00611	DNA replication and repair protein RecF
TIGR00612	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase
