name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Saccharococcus	29395	G	18	1	19	0.00000
Gemella	1378	G	298	16	314	0.00004
Listeria	1637	G	244	3	247	0.00003
Brochothrix	2755	G	28	0	28	0.00000
Exiguobacterium	33986	G	162	1	163	0.00002
Hydrogenibacillus	1609627	G	30	0	30	0.00000
Kroppenstedtia	1274351	G	59	0	59	0.00001
Polycladomyces	1348505	G	56	0	56	0.00001
Laceyella	292635	G	31	0	31	0.00000
Staphylospora	2689589	G	25	0	25	0.00000
Thermoactinomyces	2023	G	10	0	10	0.00000
Novibacillus	1677050	G	10	0	10	0.00000
Fictibacillus	1329200	G	81	0	81	0.00001
Pseudalkalibacillus	2893058	G	24	0	24	0.00000
Sporolactobacillus	2077	G	62	0	62	0.00001
Pullulanibacillus	475230	G	30	0	30	0.00000
Guptibacillus	3421338	G	60	0	60	0.00001
Streptococcus	1301	G	54398	1227	55625	0.00758
Lactococcus	1357	G	821	250	1071	0.00015
Pseudolactococcus	3436058	G	83	2	85	0.00001
Floricoccus	1930830	G	24	0	24	0.00000
Enterococcus	1350	G	5614	5531	11145	0.00152
Vagococcus	2737	G	166	4	170	0.00002
Tetragenococcus	51668	G	68	12	80	0.00001
Lactobacillus	1578	G	843	56	899	0.00012
Ligilactobacillus	2767887	G	427	14	441	0.00006
Limosilactobacillus	2742598	G	220	11	231	0.00003
Leuconostoc	1243	G	192	6	198	0.00003
Lacticaseibacillus	2759736	G	180	15	195	0.00003
Lactiplantibacillus	2767842	G	162	33	195	0.00003
Levilactobacillus	2767886	G	147	8	155	0.00002
Weissella	46255	G	146	2	148	0.00002
Companilactobacillus	2767879	G	125	2	127	0.00002
Pediococcus	1253	G	108	7	115	0.00002
Liquorilactobacillus	2767888	G	92	4	96	0.00001
Fructilactobacillus	2767881	G	57	1	58	0.00001
Lentilactobacillus	2767893	G	55	1	56	0.00001
Latilactobacillus	2767885	G	55	1	56	0.00001
Apilactobacillus	2767877	G	49	0	49	0.00001
Paucilactobacillus	2767890	G	42	1	43	0.00001
Schleiferilactobacillus	2767891	G	40	0	40	0.00001
Bombilactobacillus	2767878	G	37	0	37	0.00001
Loigolactobacillus	2767889	G	34	3	37	0.00001
Oenococcus	46254	G	27	0	27	0.00000
Xylocopilactobacillus	3118928	G	25	0	25	0.00000
Secundilactobacillus	2767892	G	17	1	18	0.00000
Agrilactobacillus	2767875	G	15	0	15	0.00000
Dellaglioa	2767880	G	12	0	12	0.00000
Amylolactobacillus	2767876	G	12	0	12	0.00000
Furfurilactobacillus	2767882	G	10	0	10	0.00000
Carnobacterium	2747	G	127	2	129	0.00002
Granulicatella	117563	G	127	6	133	0.00002
Jeotgalibaca	1470540	G	92	3	95	0.00001
Trichococcus	82802	G	81	2	83	0.00001
Alkalibacterium	99906	G	42	1	43	0.00001
Alloiococcus	1651	G	36	0	36	0.00000
Dolosigranulum	29393	G	23	0	23	0.00000
Aerococcus	1375	G	96	2	98	0.00001
Globicatella	13075	G	62	1	63	0.00001
Abiotrophia	46123	G	33	2	35	0.00000
Facklamia	66831	G	23	1	24	0.00000
Suicoccus	2689587	G	18	0	18	0.00000
Fundicoccus	2761542	G	15	0	15	0.00000
Ruoffia	2862144	G	13	0	13	0.00000
Ignavigranum	89092	G	11	0	11	0.00000
Acidaminococcus	904	G	45267	883	46150	0.00629
Phascolarctobacterium	33024	G	628	11	639	0.00009
Dialister	39948	G	6687	96	6783	0.00092
Megasphaera	906	G	1333	59	1392	0.00019
Veillonella	29465	G	1251	14	1265	0.00017
Selenomonas	970	G	1074	17	1091	0.00015
Megamonas	158846	G	283	7	290	0.00004
Pectinatus	864	G	154	6	160	0.00002
Selenobaculum	3074372	G	74	4	78	0.00001
Sporomusa	2375	G	598	6	604	0.00008
Methylomusa	2093783	G	95	0	95	0.00001
Pelosinus	365348	G	90	1	91	0.00001
Faecalibacillus	2678885	G	11836	649	12485	0.00170
Thomasclavelia	3025755	G	1400	20	1420	0.00019
Catenibacterium	135858	G	221	4	225	0.00003
Tannockella	2943184	G	33	0	33	0.00000
Holdemania	61170	G	3049	125	3174	0.00043
Longicatena	1918536	G	1229	126	1355	0.00018
Amedibacillus	2749846	G	254	22	276	0.00004
Allobaculum	174708	G	177	0	177	0.00002
Faecalibaculum	1729679	G	162	1	163	0.00002
Erysipelothrix	1647	G	155	1	156	0.00002
Solobacterium	123375	G	149	16	165	0.00002
Allocoprobacillus	3059504	G	133	3	136	0.00002
Amedibacterium	2749267	G	130	9	139	0.00002
Intestinibaculum	2679910	G	63	0	63	0.00001
Bulleidia	118747	G	40	1	41	0.00001
Massilimicrobiota	1924110	G	29	52	81	0.00001
Turicibacter	191303	G	168	7	175	0.00002
Anaerococcus	165779	G	148	7	155	0.00002
Murdochiella	1161127	G	143	12	155	0.00002
Parvimonas	543311	G	142	7	149	0.00002
Peptoniphilus	162289	G	134	6	140	0.00002
Finegoldia	150022	G	87	5	92	0.00001
Aedoeadaptatus	2981628	G	54	0	54	0.00001
Helcococcus	31983	G	50	1	51	0.00001
Miniphocaeibacter	2126548	G	35	0	35	0.00000
Tissierella	41273	G	107	0	107	0.00001
Gudongella	2692382	G	44	0	44	0.00001
Acidilutibacter	2992720	G	56	1	57	0.00001
Schnuerera	2794837	G	26	3	29	0.00000
Keratinibaculum	1354809	G	17	2	19	0.00000
Caloranaerobacter	171003	G	31	0	31	0.00000
Sporanaerobacter	165812	G	30	0	30	0.00000
Gottschalkia	1505664	G	19	0	19	0.00000
Sedimentibacter	190972	G	93	0	93	0.00001
Ezakiella	1582879	G	85	10	95	0.00001
Caldicellulosiruptor	44000	G	249	29	278	0.00004
Anaerocellum	32631	G	13	17	30	0.00000
Limnochorda	1676651	G	62	0	62	0.00001
Carboxydichorda	3366853	G	29	1	30	0.00000
Geochorda	3366854	G	20	1	21	0.00000
Ndongobacter	1930845	G	44	2	46	0.00001
Candidatus Contubernalis	338648	G	25	4	29	0.00000
Bifidobacterium	1678	G	86204	735	86939	0.01185
Gardnerella	2701	G	173	9	182	0.00002
Parascardovia	196082	G	26	0	26	0.00000
Scardovia	196081	G	23	0	23	0.00000
Streptomyces	1883	G	15682	732	16414	0.00224
Kitasatospora	2063	G	737	44	781	0.00011
Actinacidiphila	2995702	G	149	7	156	0.00002
Embleya	2699295	G	82	0	82	0.00001
Peterkaempfera	2995704	G	74	2	76	0.00001
Streptacidiphilus	228398	G	47	1	48	0.00001
Yinghuangia	2805681	G	43	0	43	0.00001
Streptantibioticus	2995706	G	15	0	15	0.00000
Carbonactinospora	2864378	G	22	0	22	0.00000
Microbacterium	33882	G	1432	91	1523	0.00021
Curtobacterium	2034	G	842	95	937	0.00013
Leifsonia	110932	G	248	15	263	0.00004
Agromyces	33877	G	197	15	212	0.00003
Leucobacter	55968	G	170	9	179	0.00002
Rathayibacter	33886	G	148	6	154	0.00002
Cryobacterium	69578	G	106	5	111	0.00002
Agrococcus	46352	G	99	8	107	0.00001
Clavibacter	1573	G	93	11	104	0.00001
Microcella	337004	G	79	4	83	0.00001
Herbiconiux	881616	G	60	2	62	0.00001
Mycetocola	76634	G	54	1	55	0.00001
Frigoribacterium	96492	G	44	3	47	0.00001
Aquiluna	529881	G	32	1	33	0.00000
Salinibacterium	235888	G	37	1	38	0.00001
Cnuibacter	1759331	G	37	2	39	0.00001
Frondihabitans	447237	G	30	1	31	0.00000
Plantibacter	190323	G	27	1	28	0.00000
Microterricola	518733	G	25	1	26	0.00000
Subtercola	120212	G	23	0	23	0.00000
Homoserinibacter	1649457	G	23	2	25	0.00000
Protaetiibacter	2680004	G	21	2	23	0.00000
Glaciihabitans	1649454	G	21	0	21	0.00000
Paramicrobacterium	3110364	G	20	0	20	0.00000
Gulosibacter	256818	G	19	1	20	0.00000
Agreia	110934	G	15	0	15	0.00000
Humibacter	427753	G	15	1	16	0.00000
Diaminobutyricimonas	1433997	G	14	0	14	0.00000
Naasia	1434022	G	14	0	14	0.00000
Gryllotalpicola	1195526	G	12	0	12	0.00000
Aurantimicrobium	1705353	G	12	0	12	0.00000
Pontimonas	1434032	G	10	0	10	0.00000
Rothia	32207	G	1150	22	1172	0.00016
Arthrobacter	1663	G	961	87	1048	0.00014
Pseudarthrobacter	1742993	G	399	32	431	0.00006
Kocuria	57493	G	192	16	208	0.00003
Glutamicibacter	1742989	G	163	9	172	0.00002
Paenarthrobacter	1742992	G	123	41	164	0.00002
Micrococcus	1269	G	83	8	91	0.00001
Sinomonas	596707	G	76	1	77	0.00001
Citricoccus	169133	G	60	3	63	0.00001
Nesterenkonia	57494	G	30	0	30	0.00000
Auritidibacter	1160973	G	22	0	22	0.00000
Psychromicrobium	2078575	G	15	0	15	0.00000
Zhihengliuella	370735	G	10	19	29	0.00000
Cellulomonas	1707	G	416	34	450	0.00006
Paraoerskovia	665568	G	32	2	34	0.00000
Actinotalea	458839	G	22	3	25	0.00000
Oerskovia	162491	G	21	2	23	0.00000
Pseudactinotalea	1926259	G	17	0	17	0.00000
Cellulosimicrobium	157920	G	119	11	130	0.00002
Isoptericola	254250	G	102	32	134	0.00002
Xylanimonas	186188	G	99	7	106	0.00001
Promicromonospora	43676	G	73	2	75	0.00001
Janibacter	53457	G	124	5	129	0.00002
Arsenicicoccus	267408	G	46	2	48	0.00001
Knoellia	136099	G	37	1	38	0.00001
Oryzobacter	1849973	G	33	2	35	0.00000
Terrabacter	53355	G	27	1	28	0.00000
Pedococcus	2805645	G	21	1	22	0.00000
Phycicoccus	367298	G	19	3	22	0.00000
Nostocoides	99479	G	11	0	11	0.00000
Intrasporangium	53357	G	10	0	10	0.00000
Brachybacterium	43668	G	242	12	254	0.00003
Helcobacillus	1161125	G	36	2	38	0.00001
Dermabacter	36739	G	30	1	31	0.00000
Brevibacterium	1696	G	282	17	299	0.00004
Saxibacter	3162691	G	15	0	15	0.00000
Ornithinimicrobium	125287	G	127	5	132	0.00002
Serinicoccus	265976	G	63	5	68	0.00001
Georgenia	154116	G	146	7	153	0.00002
Ruania	626119	G	103	1	104	0.00001
Occultella	2828348	G	17	0	17	0.00000
Dermacoccus	57495	G	23	2	25	0.00000
Yimella	908935	G	18	0	18	0.00000
Luteipulveratus	745364	G	13	0	13	0.00000
Austwickia	1184606	G	26	0	26	0.00000
Gephyromycinifex	2885697	G	19	0	19	0.00000
Dermatophilus	1862	G	16	0	16	0.00000
Sanguibacter	60919	G	56	3	59	0.00001
Demequina	577469	G	50	3	53	0.00001
Luteimicrobium	754249	G	23	2	25	0.00000
Pengzhenrongella	2888818	G	22	1	23	0.00000
Beutenbergia	84756	G	25	0	25	0.00000
Miniimonas	947525	G	18	5	23	0.00000
Kytococcus	57499	G	26	2	28	0.00000
Mycolicibacterium	1866885	G	2154	24	2178	0.00030
Mycobacterium	1763	G	1458	3703	5161	0.00070
Mycobacteroides	670516	G	404	1	405	0.00006
Mycolicibacter	1073531	G	74	0	74	0.00001
Mycolicibacillus	2126281	G	22	0	22	0.00000
Nocardia	1817	G	1341	9	1350	0.00018
Rhodococcus	1827	G	633	11	644	0.00009
Prescottella	2979332	G	87	6	93	0.00001
Rhodococcoides	3259750	G	47	16	63	0.00001
Williamsia	85043	G	13	0	13	0.00000
Corynebacterium	1716	G	1821	24	1845	0.00025
Gordonia	2053	G	408	2	410	0.00006
Dietzia	37914	G	94	0	94	0.00001
Tsukamurella	2060	G	64	0	64	0.00001
Tomitella	741759	G	30	0	30	0.00000
Hoyosella	697025	G	10	0	10	0.00000
Micromonospora	1873	G	1742	95	1837	0.00025
Dactylosporangium	35753	G	676	15	691	0.00009
Actinoplanes	1865	G	609	21	630	0.00009
Plantactinospora	673534	G	89	6	95	0.00001
Solwaraspora	265431	G	72	4	76	0.00001
Phytohabitans	907364	G	71	2	73	0.00001
Catellatospora	53365	G	47	2	49	0.00001
Polymorphospora	338583	G	43	3	46	0.00001
Actinocatenispora	390988	G	28	0	28	0.00000
Couchioplanes	56433	G	24	2	26	0.00000
Longispora	203522	G	15	0	15	0.00000
Salinispora	168694	G	11	0	11	0.00000
Krasilnikovia	349312	G	10	0	10	0.00000
Actinomyces	1654	G	1767	24	1791	0.00024
Schaalia	2529408	G	1040	21	1061	0.00014
Trueperella	1069494	G	200	4	204	0.00003
Gleimia	2692113	G	69	8	77	0.00001
Flaviflexus	1522056	G	51	0	51	0.00001
Arcanobacterium	28263	G	38	0	38	0.00001
Buchananella	2767323	G	24	0	24	0.00000
Pauljensenia	2740557	G	24	0	24	0.00000
Scrofimicrobium	2815785	G	22	0	22	0.00000
Winkia	2692118	G	14	7	21	0.00000
Mobiluncus	2050	G	13	0	13	0.00000
Actinotignum	1653174	G	10	0	10	0.00000
Actinobaculum	76833	G	10	0	10	0.00000
Amycolatopsis	1813	G	1206	26	1232	0.00017
Pseudonocardia	1847	G	330	6	336	0.00005
Saccharopolyspora	1835	G	271	7	278	0.00004
Kutzneria	43356	G	162	4	166	0.00002
Saccharothrix	2071	G	153	11	164	0.00002
Lentzea	165301	G	135	4	139	0.00002
Actinokineospora	39845	G	118	6	124	0.00002
Actinosynnema	40566	G	89	6	95	0.00001
Actinoalloteichus	65496	G	85	1	86	0.00001
Actinomycetospora	402649	G	83	1	84	0.00001
Umezawaea	583360	G	65	2	67	0.00001
Saccharomonospora	1851	G	55	2	57	0.00001
Crossiella	130795	G	42	1	43	0.00001
Allokutzneria	1137960	G	34	1	35	0.00000
Alloactinosynnema	674734	G	25	1	26	0.00000
Prauserella	142577	G	21	0	21	0.00000
Allosaccharopolyspora	2893576	G	14	0	14	0.00000
Kibdelosporangium	2029	G	13	0	13	0.00000
Nocardioides	1839	G	978	24	1002	0.00014
Aeromicrobium	2040	G	142	2	144	0.00002
Pimelobacter	2044	G	35	4	39	0.00001
Mumia	1546255	G	30	0	30	0.00000
Solicola	3024237	G	23	0	23	0.00000
Micropruina	116071	G	14	0	14	0.00000
Friedmanniella	53387	G	12	0	12	0.00000
Propionibacterium	1743	G	339	45	384	0.00005
Tessaracoccus	72763	G	134	3	137	0.00002
Propioniciclava	1085622	G	90	5	95	0.00001
Microlunatus	29404	G	84	0	84	0.00001
Cutibacterium	1912216	G	72	1	73	0.00001
Acidipropionibacterium	1912215	G	70	2	72	0.00001
Raineyella	1911549	G	54	2	56	0.00001
Propionimicrobium	203133	G	33	0	33	0.00000
Brooklawnia	369926	G	31	1	32	0.00000
Ammonicoccus	3417658	G	19	0	19	0.00000
Auraticoccus	1278221	G	18	0	18	0.00000
