Id	Description	Flux	Compartment	Equation
SUCD1	succinate dehydrogenase	652.7614	c	 fad[c] + succ[c] -->  fum[c] + fadh2[c]
AACPS3	acyl-[acyl-carrier-protein] synthetase  (n-C16:0)	1.84113	c	 atp[c] + ACP[c] + hdca[c] -->  amp[c] + ppi[c] + palmACP[c]
AGMHE	ADP-D-glycero-D-manno-heptose epimerase	0.377481	c	 adphep-D,D[c] -->  adphep-L,D[c]
ALAALA	D-alanine-D-alanine ligase (reversible)	0.3622376	c	 atp[c] + (2) ala-D[c] -->  h[c] + adp[c] + pi[c] + alaala[c]
DAGK_EC	Diacylglycerol kinase	0.251654	c	 atp[c] + (0.02) 12dgr_EC[c] -->  h[c] + adp[c] + (0.02) pa_EC[c]
EDTXS1	Endotoxin Synthesis (lauroyl transferase)	0.125827	c	 ddcaACP[c] + kdo2lipid4[c] -->  ACP[c] + kdo2lipid4L[c]
EDTXS2	Endotoxin Synthesis (myristoyl transferase)	0.125827	c	 kdo2lipid4L[c] + myrsACP[c] -->  ACP[c] + lipa[c]
G1PACT	glucosamine-1-phosphate N-acetyltransferase	0.9761292	c	 accoa[c] + gam1p[c] -->  h[c] + coa[c] + acgam1p[c]
GF6PTA	glutamine-fructose-6-phosphate transaminase	0.9761292	c	 gln-L[c] + f6p[c] -->  glu-L[c] + gam6p[c]
GMHEPAT	D-glycero-D-manno-hepose 1-phosphate adenyltransferase	0.377481	c	 atp[c] + h[c] + gmh1p[c] -->  ppi[c] + adphep-D,D[c]
GMHEPK	D-glycero-D-manno-heptose 7-phosphate kinase	0.377481	c	 atp[c] + gmh7p[c] -->  h[c] + adp[c] + gmh17bp[c]
GMHEPPA	D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase	0.377481	c	 h2o[c] + gmh17bp[c] -->  pi[c] + gmh1p[c]
KDOPP	3-deoxy-manno-octulosonate-8-phosphatase	0.629135	c	 h2o[c] + kdo8p[c] -->  pi[c] + kdo[c]
LPADSS	Lipid A disaccaride synthase	0.125827	c	 lipidX[c] + u23ga[c] -->  h[c] + udp[c] + lipidAds[c]
LPSSYN_EC	Lipopolysaccharide synthesis (Ecoli)	0.125827	c	(2) udpg[c] + (3) adphep-L,D[c] + lipa[c] + (2) cdpea[c] + (3) ckdo[c] --> (10) h[c] + (3) adp[c] + (2) udp[c] + (2) cdp[c] + (3) cmp[c] + lps_EC[c]
MOAT	3-deoxy-D-manno-octulosonic acid transferase	0.125827	c	 ckdo[c] + lipidA[c] -->  h[c] + cmp[c] + kdolipid4[c]
MOAT2	3-deoxy-D-manno-octulosonic acid transferase	0.125827	c	 ckdo[c] + kdolipid4[c] -->  h[c] + kdo2lipid4[c] + cmp[c]
PAPPT3	phospho-N-acetylmuramoyl-pentapeptide-transferase (meso-2,6-diaminopimelate)	0.3622376	c	 udcpp[c] + ugmda[c] -->  uagmda[c] + ump[c]
PEPT_EC	ethanolamine phosphotransferase	0.251654	c	 h[c] + cmp[c] + (0.02) pe_EC[c] --> (0.02) 12dgr_EC[c] + cdpea[c]
PGAMT	phosphoglucosamine mutase	-0.9761292	c	 gam1p[c] <--  gam6p[c]
PPTGS	Peptidoglycan subunit synthesis	0.3622376	c	 uaagmda[c] -->  h[c] + peptido_EC[c] + udcpdp[c]
S7PI	sedoheptulose 7-phosphate isomerase	0.377481	c	 s7p[c] -->  gmh7p[c]
TDSK	Tetraacyldisaccharide 4'kinase	0.125827	c	 atp[c] + lipidAds[c] -->  h[c] + adp[c] + lipidA[c]
U23GAAT	UDP-3-O-(3-hydroxymyristoyl)glucosamine acyltransferase	0.251654	c	 3htdACP[c] + u3hga[c] -->  h[c] + ACP[c] + u23ga[c]
UAAGDS	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelate synthetase	0.3622376	c	 atp[c] + 26dap-M[c] + uamag[c] -->  h[c] + adp[c] + pi[c] + ugmd[c]
UAGAAT	UDP-N-acetylglucosamine acyltransferase	0.251654	c	 3htdACP[c] + uacgam[c] -->  ACP[c] + u3aga[c]
UAGDP	UDP-N-acetylglucosamine diphosphorylase	0.9761292	c	 h[c] + utp[c] + acgam1p[c] -->  ppi[c] + uacgam[c]
UAGPT3	UDP-N-acetylglucosamine-N-acetylmuramyl-(pentapeptide)pyrophosphoryl-undecaprenol N-acetylglucosamine transferase	0.3622376	c	 uagmda[c] + uacgam[c] -->  h[c] + udp[c] + uaagmda[c]
UAMAS	UDP-N-acetylmuramoyl-L-alanine synthetase	0.3622376	c	 ala-L[c] + atp[c] + uamr[c] -->  h[c] + adp[c] + pi[c] + uama[c]
UAPGR	UDP-N-acetylenolpyruvoylglucosamine reductase	0.3622376	c	 h[c] + nadph[c] + uaccg[c] -->  nadp[c] + uamr[c]
UDCPDP	undecaprenyl-diphosphatase	0.3622376	c	 h2o[c] + udcpdp[c] -->  h[c] + pi[c] + udcpp[c]
UGMDDS	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine synthetase	0.3622376	c	 atp[c] + alaala[c] + ugmd[c] -->  h[c] + adp[c] + pi[c] + ugmda[c]
UHGADA	UDP-3-0-acyl N-acetylglucosamine deacetylase	0.251654	c	 h2o[c] + u3aga[c] -->  ac[c] + u3hga[c]
USHD	UDP-sugar hydrolase	0.125827	c	 h2o[c] + u23ga[c] --> (2) h[c] + lipidX[c] + ump[c]
ENO	enolase	13.11311	c	 2pg[c] -->  h2o[c] + pep[c]
G3PD1	glycerol-3-phosphate dehydrogenase (NAD)	884.0543	c	 nad[c] + glyc3p[c] -->  h[c] + nadh[c] + dhap[c]
G3PD2	glycerol-3-phosphate dehydrogenase (NADP)	-886.3727	c	 nadp[c] + glyc3p[c] <--  h[c] + dhap[c] + nadph[c]
GLYD	glycerate dehydrogenase	-1000	c	 h[c] + nadh[c] + hpyr[c] <--  nad[c] + glyc-R[c]
GLYK	glycerol kinase	0.101105	c	 atp[c] + glyc[c] -->  h[c] + adp[c] + glyc3p[c]
PGI	glucose-6-phosphate isomerase	-2.507671	c	 g6p[c] <--  f6p[c]
PGM	phosphoglycerate mutase	13.11311	c	 3pg[c] -->  2pg[c]
SUCOAS	succinyl-CoA synthetase (ADP-forming)	-415.2333	c	 atp[c] + coa[c] + succ[c] <--  adp[c] + pi[c] + succoa[c]
ACONT	aconitase	668.9911	c	 cit[c] -->  icit[c]
AKGD	2-oxoglutarate dehydrogenase	420.4605	c	 akg[c] + coa[c] + nad[c] -->  nadh[c] + succoa[c] + co2[c]
CS	citrate synthase	668.9911	c	 h2o[c] + accoa[c] + oaa[c] -->  h[c] + coa[c] + cit[c]
FUM	fumarase	668.2589	c	 h2o[c] + fum[c] -->  mal-L[c]
ICDHy	isocitrate dehydrogenase (NADP)	436.7442	c	 nadp[c] + icit[c] -->  akg[c] + nadph[c] + co2[c]
MDH	malate dehydrogenase	711.0521	c	 nad[c] + mal-L[c] -->  h[c] + nadh[c] + oaa[c]
AMPMS	4-amino-2-methyl-5-phosphomethylpyrimidine synthetase	0.004711583	c	 h2o[c] + air[c] --> (4) h[c] + (2) for[c] + 4ampm[c]
APRAUR	5-amino-6-(5-phosphoribosylamino)uracil reductase	0.009561743	c	 h[c] + nadph[c] + 5apru[c] -->  nadp[c] + 5aprbu[c]
ASP1DC	aspartate 1-decarboxylase	0.004780871	c	 asp-L[c] + h[c] -->  co2[c] + ala-B[c]
ASPO5	L-aspartate oxidase	0.05404463	c	 asp-L[c] + fum[c] -->  h[c] + succ[c] + iasp[c]
CDPMEK	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase	0.03910614	c	 atp[c] + 4c2me[c] -->  h[c] + adp[c] + 2p4c2me[c]
CHRPL	chorismate pyruvate lyase	0.004711583	c	 chor[c] -->  pyr[c] + 4hbz[c]
CPPPGO	coproporphyrinogen oxidase	0.0004711583	c	(2) h[c] + o2[c] + cpppg3[c] --> (2) h2o[c] + (2) co2[c] + pppg9[c]
DHFS	dihydrofolate synthase	0.6928799	c	 glu-L[c] + atp[c] + dhpt[c] -->  h[c] + adp[c] + pi[c] + dhf[c]
DHPPDA2	diaminohydroxyphosphoribosylaminopyrimidine deaminase	0.009561743	c	 h2o[c] + h[c] + 25dhpp[c] -->  nh4[c] + 5apru[c]
DHPS3	dihydropteroate synthase	0.6928799	c	 4abz[c] + 2ahhmd[c] -->  ppi[c] + dhpt[c]
DMPPS	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase (dmpp)	0.005182742	c	 h[c] + nadh[c] + h2mb4p[c] -->  h2o[c] + nad[c] + dmpp[c]
DMQMT	3-Dimethylubiquinonol 3-methyltransferase	0.004711583	c	 amet[c] + 2omhmbl[c] -->  h[c] + ubq8h2[c] + ahcys[c]
DNMPPA	Dihydroneopterin monophosphate dephosphorylase	0.6928799	c	 h2o[c] + dhpmp[c] -->  pi[c] + dhnpt[c]
DNTPPA	Dihydroneopterin triphosphate pyrophosphatase	0.6928799	c	 h2o[c] + ahdt[c] -->  h[c] + ppi[c] + dhpmp[c]
DPR	2-dehydropantoate 2-reductase	0.004780871	c	 h[c] + nadph[c] + 2dhp[c] -->  nadp[c] + pant-R[c]
DXPRI	1-deoxy-D-xylulose-5-phosphate reductoisomerase	0.03910614	c	 h[c] + nadph[c] + dxyl5p[c] -->  nadp[c] + 2me4p[c]
DXPS	1-deoxy-D-xylulose 5-phosphate synthase	0.04428888	c	 pyr[c] + h[c] + g3p[c] -->  co2[c] + dxyl5p[c]
E4PD	Erythrose 4-phosphate dehydrogenase	0.0004711583	c	 h2o[c] + nad[c] + e4p[c] --> (2) h[c] + nadh[c] + 4per[c]
FCLT	Heme B synthesis reaction	0.0004711583	c	 fe2[c] + ppp9[c] -->  h[c] + pheme[c]
FMNAT	FMN adenylyltransferase	0.009561743	c	 atp[c] + h[c] + fmn[c] -->  ppi[c] + fad[c]
G1SATi	glutamate-1-semialdehyde aminotransferase	0.003769267	c	 glu1sa[c] -->  5aop[c]
GTHRD	glutathione-disulfide reductase	627.7933	c	 nadp[c] + (2) gthrd[c] -->  h[c] + nadph[c] + gthox[c]
GTPCI	GTP cyclohydrolase I	0.6928799	c	 h2o[c] + gtp[c] -->  h[c] + for[c] + ahdt[c]
HBZOPT	4-hydroxybenzoate octaprenyltransferase	0.004711583	c	 4hbz[c] + octdp[c] -->  ppi[c] + 3ophb[c]
HMBS	hydroxymethylbilane synthase	0.0004711583	c	 h2o[c] + (4) ppbng[c] --> (4) nh4[c] + hmbil[c]
IPDPS	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase (ipdp)	0.0339234	c	 h[c] + nadh[c] + h2mb4p[c] -->  h2o[c] + nad[c] + ipdp[c]
MECDPS	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	0.03910614	c	 2p4c2me[c] -->  cmp[c] + 2mecdp[c]
MEPCT	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	0.03910614	c	 h[c] + 2me4p[c] + ctp[c] -->  ppi[c] + 4c2me[c]
MOHMT	3-methyl-2-oxobutanoate hydroxymethyltransferase	0.004780871	c	 h2o[c] + 3mob[c] + mlthf[c] -->  thf[c] + 2dhp[c]
NADK	NAD kinase	0.02355792	c	 atp[c] + nad[c] -->  h[c] + adp[c] + nadp[c]
NADS1	NAD synthase (nh4)	0.05404463	c	 nh4[c] + atp[c] + dnad[c] -->  amp[c] + h[c] + ppi[c] + nad[c]
NNAT	nicotinate-nucleotide adenylyltransferase	0.05404463	c	 atp[c] + h[c] + nicrnt[c] -->  ppi[c] + dnad[c]
NNDPR	nicotinate-nucleotide diphosphorylase (carboxylating)	0.05404463	c	(2) h[c] + prpp[c] + quln[c] -->  ppi[c] + co2[c] + nicrnt[c]
OCTDPS	Octaprenyl pyrophosphate synthase	0.004711583	c	(5) ipdp[c] + frdp[c] --> (5) ppi[c] + octdp[c]
OHPBAT	O-Phospho-4-hydroxy-L-threonine:2-oxoglutarate aminotransferase	0.0004711583	c	 glu-L[c] + ohpb[c] -->  akg[c] + phthr[c]
OHPHM	R04988	0.004711583	c	 amet[c] + 2ohph[c] -->  h[c] + ahcys[c] + 2omph[c]
OMBZLM	2-Octaprenyl-6-methoxy-benzoquinol methylase	0.004711583	c	 amet[c] + 2ombzl[c] -->  h[c] + ahcys[c] + 2ommbl[c]
OMMBLHX	2-Octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase	0.004711583	c	(0.5) o2[c] + 2ommbl[c] -->  2omhmbl[c]
OMPHHX	2-octaprenyl-6-methoxyphenol hydroxylase	0.004711583	c	(0.5) o2[c] + 2omph[c] -->  2ombzl[c]
OPHBDC	3-octaprenyl-4-hydroxybenzoate carboxy-lyase	0.004711583	c	 h[c] + 3ophb[c] -->  co2[c] + 2oph[c]
OPHHX	2-Octaprenylphenol hydroxylase	0.004711583	c	(0.5) o2[c] + 2oph[c] -->  2ohph[c]
PANTS	pantothenate synthase	0.004780871	c	 atp[c] + ala-B[c] + pant-R[c] -->  amp[c] + h[c] + ppi[c] + pnto-R[c]
PDX5PO	pyridoxine 5'-phosphate oxidase	0.0004711583	c	 o2[c] + pdx5p[c] -->  h[c] + h2o2[c] + pydx5p[c]
PDX5PS	Pyridoxine 5'-phosphate synthase	0.0004711583	c	 nad[c] + dxyl5p[c] + phthr[c] --> (2) h2o[c] + h[c] + nadh[c] + pi[c] + co2[c] + pdx5p[c]
PERD	Erythronate 4-phosphate (4per) dehydrogenase	0.0004711583	c	 nad[c] + 4per[c] -->  h[c] + nadh[c] + ohpb[c]
PMDPHT	pyrimidine phosphatase	0.009561743	c	 h2o[c] + 5aprbu[c] -->  pi[c] + 4r5au[c]
PNTK	pantothenate kinase	0.004780871	c	 atp[c] + pnto-R[c] -->  h[c] + adp[c] + 4ppan[c]
PPCDC	phosphopantothenoylcysteine decarboxylase	0.004780871	c	 h[c] + 4ppcys[c] -->  co2[c] + pan4p[c]
PPNCL2	phosphopantothenate-cysteine ligase	0.004780871	c	 cys-L[c] + ctp[c] + 4ppan[c] -->  h[c] + ppi[c] + cmp[c] + 4ppcys[c]
PPPGO	protoporphyrinogen oxidase	0.0004711583	c	(1.5) o2[c] + pppg9[c] --> (3) h2o[c] + ppp9[c]
PSERT	phosphoserine transaminase	20.28115	c	 glu-L[c] + 3php[c] -->  akg[c] + pser-L[c]
PTPATi	pantetheine-phosphate adenylyltransferase	0.004780871	c	 atp[c] + h[c] + pan4p[c] -->  ppi[c] + dpcoa[c]
QULNS	quinolinate synthase	0.05404463	c	 dhap[c] + iasp[c] --> (2) h2o[c] + pi[c] + quln[c]
RBFK	riboflavin kinase	0.009561743	c	 atp[c] + ribflv[c] -->  h[c] + adp[c] + fmn[c]
THZPSN	thiazole phosphate synthesis	0.004711583	c	 atp[c] + cys-L[c] + tyr-L[c] + dxyl5p[c] -->  ala-L[c] + h2o[c] + amp[c] + h[c] + ppi[c] + co2[c] + 4mpetz[c] + 4hba[c]
TMPKr	thiamine-phosphate kinase	0.004711583	c	 atp[c] + thmmp[c] -->  adp[c] + thmpp[c]
TMPPP	thiamine-phosphate diphosphorylase	0.004711583	c	 h[c] + 4mpetz[c] + 2mahmp[c] -->  ppi[c] + thmmp[c]
UPPDC1	uroporphyrinogen decarboxylase (uroporphyrinogen III)	0.0004711583	c	(4) h[c] + uppg3[c] --> (4) co2[c] + cpppg3[c]
CYSS	cysteine synthase	1.278627	c	 h2s[c] + acser[c] -->  ac[c] + cys-L[c]
CYSTRS	Cysteinyl-tRNA synthetase	1.269134	c	 atp[c] + cys-L[c] + trnacys[c] -->  amp[c] + ppi[c] + cystrna[c]
SADT2	sulfate adenylyltransferase	3.464358	c	 h2o[c] + atp[c] + gtp[c] + so4[c] -->  ppi[c] + pi[c] + gdp[c] + aps[c]
SULR	sulfite reductase (NADPH2)	-3.464358	c	(3) h2o[c] + (3) nadp[c] + h2s[c] <-- (4) h[c] + (3) nadph[c] + so3[c]
CYOR2u8	cytochrome-c reductase (ubiquinol8: 2 protons translocated)	1000	c/e	 ubq8h2[c] + (2) ficytcc[c] -->  ubq8[c] + (2) focytcc[c] + (2) h[e]
HACD1	3-hydroxyacyl-CoA dehydrogenase (acetoacetyl-CoA)	1.84113	c	 h[c] + nadh[c] + aacoa[c] -->  nad[c] + 3hbycoa[c]
DHNPA	dihydroneopterin aldolase	0.6928799	c	 dhnpt[c] -->  2ahhmp[c] + gcald[c]
GCALDD	Glycolaldehyde dehydrogenase	0.6928799	c	 h2o[c] + nad[c] + gcald[c] --> (2) h[c] + nadh[c] + glyclt[c]
GLYCL	glycine cleavage system	3.102744	c	 nad[c] + gly[c] + thf[c] -->  nh4[c] + nadh[c] + co2[c] + mlthf[c]
MTHFR2	5,10-methylenetetrahydrofolate reductase (NADH)	2.199866	c	(2) h[c] + nadh[c] + mlthf[c] -->  nad[c] + 5mthf[c]
GLUSy	glutamate synthase (NADPH)	119.2022	c	 akg[c] + gln-L[c] + h[c] + nadph[c] --> (2) glu-L[c] + nadp[c]
GLUTRS	Glutamyl-tRNA synthetase	3.740665	c	 glu-L[c] + atp[c] + trnaglu[c] -->  amp[c] + ppi[c] + glutrna[c]
GLNS	glutamine synthetase	159.0415	c	 glu-L[c] + nh4[c] + atp[c] -->  gln-L[c] + h[c] + adp[c] + pi[c]
GHMT2	glycine hydroxymethyltransferase	13.61314	c	 ser-L[c] + thf[c] -->  h2o[c] + gly[c] + mlthf[c]
GLYTRS	Glycyl-tRNA synthetase	3.736895	c	 atp[c] + gly[c] + trnagly[c] -->  amp[c] + ppi[c] + glytrna[c]
PSP_L	phosphoserine phosphatase (L-serine)	20.28115	c	 h2o[c] + pser-L[c] -->  pi[c] + ser-L[c]
SERTRS	Seryl-tRNA synthetase	3.031821	c	 atp[c] + ser-L[c] + trnaser[c] -->  amp[c] + ppi[c] + sertrna[c]
FBA	fructose-bisphosphate aldolase	-15.4668	c	 fdp[c] <--  g3p[c] + dhap[c]
FBP	fructose-bisphosphatase	15.4668	c	 h2o[c] + fdp[c] -->  pi[c] + f6p[c]
GAPD	glyceraldehyde-3-phosphate dehydrogenase (NAD)	-41.21936	c	 nad[c] + pi[c] + g3p[c] <--  h[c] + nadh[c] + 13dpg[c]
