GroupID	PGNumber	Actual_SB.mns.LB.mns.Num	swFriendlyStrainName	ClusterMapping	Diet	MiSeqRun	SampleType	RV_end.mns.systolic_pressure_HFD_Mean_STRAIN	PercentageIncrease_STRAIN	PercentageIncrease_STRAIN	RV_Heart_Rate	RV_RAP	RV_End.mns.diastolic_pressure	RV_Maximum_Pressure	RV_End.mns.systolic_pressure	RV_mean_Pressure	RV_Maximum_dP.ovr.dt	RV_Min_dP.ovr.dt	RV_End.mns.diastolic_volume	RV_End.mns.Systolic_volume	RV_Stroke_Volume	RV_Cardiac_Output	RV_Resistance__PVR_Woods_	RV_Resistance__PVR_Dynes_	RV_Contractile_Index	RV_Ejection_Fraction	RV_Stroke_Work	RV_Peak_Power	RV_Peak_Power.ovr.EDV	RV_Ees	RV_Ea	RV_Ees.ovr.Ea	PA_Maximum_Pressure	PA_Min_Pressure	PA_mean_Pressure	PA_Pulse_Pressure	PA_Compliance	PA_RC_time	LV_Heart_Rate	LV_LAP	LV_End.mns.diastolic_pressure	LV_Maximum_Pressure	LV_End.mns.systolic_pressure	LV_mean_Pressure	LV_Maximum_dP.ovr.dt	LV_Min_dP.ovr.dt	LV_End.mns.diastolic_volume	LV_End.mns.Systolic_volume	LV_Stroke_Volume	LV_Cardiac_Output	LV_Resistance__SVR_Woods_	LV_Resistance__SVR_Dynes_	LV_Ejection_Fraction	LV_Contractile_Index	LV_Stroke_Work	LV_Peak_Power	LV_Peak_Power.ovr.EDV	LV_Ees	LV_Ea	LV_Ees.ovr.Ea	AO_Maximum_Pressure	AO_Min_Pressure	AO_mean_Pressure	AO_Pulse_Pressure	AO_Compliance	AO_RC_time	Duration	Weight	RV	LV.pls.S	Tibia	Fulton _RV.ovr.LV.pls.S_	RV.ovr.Tibia	LV.pls.S.ovr.Tibia	RV.ovr.weight	LV.pls.S.ovr.weight
0115.PG074.LB.MST	74	41	AKR_J	BALB_A	Regular	run_1	LargeBowel	1.381701202	38.2	High	401.0016	1.9943	1.7094	28.4188	15.4274	18.4987	1530	-1310	44.9547	24.1994	20.7553	8320	28900	2310000	53.8141	46.1694	359.3326	0.5109	0.0114	0.2239	11.106	0.0202	1	0	19.0222	1	20.7553	0.0748	369.613	1.7094	1.7094	57.1652	27.6068	36.9595	3547	-2410	23.5045	11.5106	11.994	4430	52500	4200000	51.0283	62.0482	0.3444	0.0147	0.4357	2.2957	3.8973	0.5891	NA	NA	37.7074	NA	NA	NA	20	37.97	36.5	112.5	16.5	0.32	2.21	6.82	0.96	2.96
0115.PG075.LB.MST	75	42	AKR_J	BALB_A	Regular	run_1	LargeBowel	1.381701202	38.2	High	491.8253	2.151	0.6695	25.4274	13.49	16.5792	1460	-1201	25.9617	5.3072	20.6546	10200	28400	2270000	57.2481	79.5578	338.9058	0.1991	0.0077	0.5354	0.7997	0.6696	1	0	17.0778	1	20.6546	0.061	495.8903	0.6695	0.6695	77.8348	41.0399	50.5443	5210	-4150	40.9668	18.7915	22.1752	11000	29200	2340000	54.1298	66.8767	0.6869	0.0168	0.62	2.902	7.0247	0.4131	NA	NA	51.1426	NA	NA	NA	20	44.26	40.5	119.2	18.5	0.34	2.19	6.44	0.92	2.69
0115.PG076.LB.MST	76	43	AKR_J	BALB_A	Regular	run_1	LargeBowel	1.381701202	38.2	High	355.9064	1.9943	1.51	22.3077	13.1197	13.8534	1202	-788	61.289	48.7915	12.4975	4450	46800	3750000	53.8828	20.3911	169.2163	0.2717	0.0044	0.3447	3.8947	0.0885	1	0	15.05	1	12.4975	0.0843	422.8849	1.51	1.51	62.8632	34.1453	40.5885	3800	-2860	6.0222	NA	6.1128	2590	104000	8310000	101.505	60.4275	0.1755	0.0292	0.953	NA	36.8344	NA	NA	NA	41.4111	NA	NA	NA	20	37.99	33.4	107	17	0.31	1.96	6.29	0.88	2.82
0115.PG077.LB.MST	77	44	AKR_J	BALB_A	Regular	run_1	LargeBowel	1.381701202	38.2	High	467.5388	2.094	1.3533	31.0114	16.5242	20.6825	1950	-1740	36.0524	10.6747	25.3776	11900	23700	1890000	63.0198	70.3911	491.1622	0.4945	0.0137	2.6822	1.151	2.3304	1	0	20.7074	1	25.3776	0.0642	489.1812	1.3533	1.3533	75.1425	33.5755	48.9937	5820	-3930	20.6747	1.2588	19.4159	9490	32900	2630000	93.9113	77.4884	0.5855	0.0283	1.032	5.0253	3.1649	1.5878	NA	NA	49.3926	NA	NA	NA	20	35.55	36.7	107.7	17	0.34	2.16	6.34	1.03	3.03
0115.PG078.LB.MST	78	45	AKR_J	BALB_A	Regular	run_1	LargeBowel	1.381701202	38.2	High	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	34.34	38	108.9	16.5	0.35	2.30	6.60	1.11	3.17
0115.PG079.LB.MST	79	46	AKR_J	BALB_A	Regular	run_1	LargeBowel	1.381701202	38.2	High	482.0612	2.5926	2.037	27.4074	15.114	17.6419	1620	-1502	28.3484	5.4884	22.86	11200	25200	2010000	59.0595	80.6394	373.2533	0.6706	0.0237	1.0671	3.7461	0.2849	1	0	18.3648	1	22.86	0.0611	511.3719	2.037	2.037	68.7749	31.396	44.8548	4840	-3550	22.6687	13.0413	9.6274	4920	65300	5220000	42.47	70.3502	0.3594	0.0159	0.4279	21.2566	4.0769	5.2138	NA	NA	45.2537	NA	NA	NA	20	39.61	38.7	114.2	18.5	0.34	2.09	6.17	0.98	2.88
0115.PG080.LB.MST	80	47	BALB_cJ	BALB_A	HighFat	run_1	LargeBowel	1.106593763	10.7	Low	396.4796	2.0896	1.1514	19.7157	10.8173	12.9921	949.6667	-673.3333	63.871	46.2298	17.6411	6990	32400	2590000	48.168	27.6199	215.4656	0.2925	0.0046	0.2053	NA	NA	1	0	13.3652	1	17.6411	0.0757	420.5654	1.1514	1.1514	70.0213	39.076	45.7405	3690	-3030	42.1976	15.9879	26.2097	11000	24500	1960000	62.1118	52.7173	0.7886	0.0187	0.635	0.877	5.4047	0.1623	NA	NA	46.0639	NA	NA	NA	20	47.56	40.9	119.2	17.5	0.34	2.34	6.81	0.86	2.51
0115.PG081.LB.MST	81	48	BALB_cJ	BALB_A	HighFat	run_1	LargeBowel	1.106593763	10.7	Low	467.5388	2.4307	1.0945	26.027	15.3092	16.7362	1390	-1100	38.6694	19.0927	19.5766	9150	29500	2360000	53.2268	50.6257	320.5284	0.3086	0.008	0.5272	0.8608	0.6125	1	0	17.4676	1	19.5766	0.0642	436.8983	1.0945	1.0945	44.5345	24.9751	29.0795	2250	-1529	16.4415	10.0202	6.4214	2810	99300	7950000	39.0558	50.605	0.2248	0.0137	0.2576	1.0284	4.5005	0.2285	NA	NA	29.4974	NA	NA	NA	20	44.67	41.2	111.6	16	0.37	2.58	6.98	0.92	2.50
0115.PG082.LB.MST	82	49	BALB_cJ	BALB_A	HighFat	run_1	LargeBowel	1.106593763	10.7	Low	580.5122	1.6063	0.8102	27.0789	17.0291	18.1762	1810	-1570	51.9254	27.1774	24.748	14500	24700	1980000	66.7433	47.6606	429.1559	0.2887	0.0056	0.3239	1.047	0.3093	1	0	18.1513	1	24.748	0.0511	551.0593	0.8102	0.8102	76.5601	42.9993	49.8912	4779	-4160	15.4435	6.2298	9.2137	5080	70200	5610000	59.6606	62.4216	0.2131	0.0138	0.6684	4.5808	6.6946	0.6843	NA	NA	50.314	NA	NA	NA	20	42.42	35.4	106.4	18	0.33	1.97	5.91	0.83	2.51
0115.PG083.LB.MST	83	50	BALB_cJ	BALB_A	HighFat	run_1	LargeBowel	1.106593763	10.7	Low	529.4486	2.8856	1.1372	27.3632	15.3802	18.1371	1662	-1550	61.8145	33.2056	28.6089	15100	19700	1580000	60.7385	46.2818	492.0411	0.4685	0.0076	0.3272	0.8912	0.3672	1	0	18.3361	1	28.6089	0.0567	560.8783	1.1372	1.1372	81.9332	43.3262	53.931	5902	-4910	23.4577	6.1895	17.2681	9680	37200	2980000	73.6141	72.0343	0.7175	0.0306	0.8654	0.7299	13.6271	0.0536	NA	NA	53.8066	NA	NA	NA	20	46.86	42.1	113.3	16.5	0.37	2.55	6.87	0.90	2.42
0115.PG084.LB.MST	84	51	BALB_cJ	BALB_A	HighFat	run_1	LargeBowel	1.106593763	10.7	Low	460.3641	2.1038	1.393	30.6468	18.1379	20.0475	1810	-1690	45.373	31.3508	14.0222	6460	42700	3420000	59.0709	30.9042	267.5062	0.2813	0.0062	1.5459	6.013	0.2571	1	0	20.4704	1	14.0222	0.0652	455.7021	1.393	1.393	74.6695	39.4456	48.6623	4750	-4140	NA	NA	NA	NA	NA	NA	100	63.5958	NA	NA	1.0925	3.4644	11.5134	0.3009	NA	NA	49.0852	NA	NA	NA	20	39.34	43.5	122.7	17	0.35	2.56	7.22	1.11	3.12
0115.PG085.LB.MST	85	52	BALB_cJ	BALB_A	HighFat	run_1	LargeBowel	1.106593763	10.7	Low	530.9735	3.312	1.3504	29.9787	15.1528	19.5635	2157	-2000	37.3387	13.2359	24.1028	12800	23100	1850000	71.9511	64.5518	450.3793	0.4687	0.0126	1.077	1.2352	0.8719	1	0	20.0361	1	24.1028	0.0565	537.323	1.3504	1.3504	103.0277	52.2957	66.9708	7220	-7320	56.1089	25.8165	30.2923	16300	21200	1700000	53.9885	70.0329	1.4447	0.0257	0.8129	1.7041	3.6022	0.4731	NA	NA	67.518	NA	NA	NA	20	32.1	37.6	114.3	17	0.33	2.21	6.72	1.17	3.56
0115.PG086.LB.MST	86	53	BALB_cJ	BALB_A	HighFat	run_1	LargeBowel	1.106593763	10.7	Low	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	41.8	38.5	121.2	16.5	0.32	2.33	7.35	0.92	2.90
0115.PG087.LB.MST	87	54	BALB_cJ	BALB_A	HighFat	run_1	LargeBowel	1.106593763	10.7	Low	442.2658	2.9282	1.2367	28.5856	16.489	18.7575	1540	-1430	54.244	32.9435	21.3004	9420	26600	2130000	53.7799	39.2678	381.1493	0.3793	0.007	0.3781	0.9301	0.4065	1	0	19.1307	1	21.3004	0.0678	437.9718	1.2367	1.2367	99.6162	58.8628	64.8528	5900	-5664	35.1815	20.4637	14.7177	6450	43700	3500000	41.8338	59.2005	0.6206	0.0176	0.6077	1.4665	3.0609	0.4791	NA	NA	65.3005	NA	NA	NA	20	30.96	36	121.5	16.5	0.30	2.18	7.36	1.16	3.92
0115.PG088.LB.MST	88	55	BALB_cJ	BALB_A	Regular	run_1	LargeBowel	1.106593763	10.7	Low	436.9139	1.8763	1.123	26.2402	15.1386	17.6559	1380	-1240	49.496	18.7601	30.7359	13400	19500	1560000	52.5275	62.0978	506.6255	0.497	0.01	1.5337	0.7691	1.9941	1	0	17.6061	1	30.7359	0.0687	404.4985	1.123	1.123	63.2409	37.5409	41.0745	3140	-2562	34.9395	21.7843	13.1552	5320	48700	3900000	37.6515	49.6303	0.3554	0.0102	0.3516	2.4326	3.9476	0.6162	NA	NA	41.6566	NA	NA	NA	20	33.57	31.1	105.3	16	0.30	1.94	6.58	0.93	3.14
0115.PG089.LB.MST	89	56	BALB_cJ	BALB_A	Regular	run_1	LargeBowel	1.106593763	10.7	Low	416.268	1.6489	1.8195	25.8991	18.2374	17.5088	1080	-755.3333	51.6331	30.131	21.502	8980	28300	2260000	41.5588	41.6439	334.6773	0.5634	0.0109	0.2284	1.135	0.2012	1	0	17.3844	1	21.502	0.0718	383.7988	1.8195	1.8195	74.6695	46.1265	49.2344	3660	-3230	35.9274	16.2702	19.6573	7540	32200	2580000	54.7138	49.074	0.4667	0.013	0.585	0.4572	3.5091	0.1303	NA	NA	49.0852	NA	NA	NA	20	33.48	34	107.8	17	0.32	2.00	6.34	1.02	3.22
0115.PG090.LB.MST	90	57	BALB_cJ	BALB_A	Regular	run_1	LargeBowel	1.106593763	10.7	Low	359.2814	2.7719	1.7626	24.6198	12.0824	16.329	1354	-1073	41.5625	13.2661	28.2964	10200	19800	1580000	54.9965	68.0815	418.5098	0.7182	0.0173	0.4237	0.9171	0.4619	1	0	16.5528	1	28.2964	0.0835	351.5732	1.7626	1.7626	96.2331	62.0043	62.5194	5710	-4666	77.4597	24.1331	53.3266	18800	12000	956000	68.8444	59.3385	2.1285	0.0275	0.9701	2.6725	2.098	1.2739	NA	NA	63.1015	NA	NA	NA	20	31.98	31.5	107.8	15.5	0.29	2.03	6.95	0.98	3.37
0115.PG091.LB.MST	91	58	BALB_cJ	BALB_A	Regular	run_1	LargeBowel	1.106593763	10.7	Low	417.6379	2.2317	1.2651	25.1315	14.8685	16.8705	1560	-1284	51.9052	22.7923	29.1129	12200	20000	1600000	62.0072	56.0886	454.7541	0.5304	0.0102	0.2468	1.2819	0.1925	1	0	16.8855	1	29.1129	0.0718	431.6547	1.2651	1.2651	81.3788	46.6382	53.2224	5253	-4651	29.5968	8.5685	21.0282	9080	30500	2440000	71.049	64.55	0.6758	0.0228	0.8391	2.0738	4.3946	0.4719	NA	NA	53.4462	NA	NA	NA	20	32.05	33.9	107.9	15	0.31	2.26	7.19	1.06	3.37
0115.PG092.LB.MST	92	59	BALB_cJ	BALB_A	Regular	run_1	LargeBowel	1.106593763	10.7	Low	375.9892	2.7861	1.7768	29.1684	18.3937	19.4349	1720	-1210	83.0444	30.4435	52.6008	19800	10900	872000	59.025	63.3406	932.7521	1.3459	0.0162	0.7676	1.0741	0.7146	1	0	19.5095	1	52.6008	0.0796	369.0253	1.7768	1.7768	65.9986	38.9339	42.8521	3590	-2890	22.4194	7.1976	15.2218	5640	41500	3320000	67.8957	54.3951	0.6107	0.0272	0.662	2.0536	5.1492	0.3988	NA	NA	43.4491	NA	NA	NA	20	31.22	38.6	85.1	17	0.45	2.27	5.01	1.24	2.73
0115.PG093.LB.MST	93	60	BALB_cJ	BALB_A	Regular	run_1	LargeBowel	1.106593763	10.7	Low	326.087	1.919	0.7107	15.1102	9.2395	10.0731	626.6667	-394.3333	48.8407	22.3185	26.5222	8650	21100	1690000	41.4732	54.3034	256.2274	0.2714	0.0056	0.2315	1.03	0.2248	1	0	10.3716	1	26.5222	0.092	329.0698	0.7107	0.7107	50.1208	28.8415	33.1285	2278	-1660	38.619	5.2419	33.377	11000	19400	1550000	86.4265	45.4502	0.9223	0.0239	0.6235	3.2793	0.7502	4.3715	NA	NA	33.1285	NA	NA	NA	20	33.67	27.3	109.9	16	0.25	1.71	6.87	0.81	3.26
0115.PG094.LB.MST	94	61	BALB_cJ	BALB_A	Regular	run_1	LargeBowel	1.106593763	10.7	Low	290.3241	NA	2.2601	19.8152	9.9218	13.0717	851	-614.3333	57.9234	27.6109	30.3125	8800	NA	NA	42.9468	52.3321	338.5833	0.9865	0.017	0.7892	0.8939	0.8828	1	0	13.4299	1	30.3125	0.1033	NA	2.2601	2.2601	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	29.75	27.8	108.2	16	0.26	1.74	6.76	0.93	3.64
0115.PG095.LB.MST	95	62	BALB_cByJ	BALB_A	HighFat	run_1	LargeBowel	1.073672299	7.4	Low	450.0056	NA	3.0277	23.9659	12.253	16.2771	1580	-1040	36.7843	2.7823	34.002	15300	NA	NA	65.8297	92.4363	445.43	1.4825	0.0403	1.15	0.563	2.0427	1	0	16.1278	1	34.002	0.0667	NA	3.0277	3.0277	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	39.24	41.1	111	17	0.37	2.42	6.53	1.05	2.83
0115.PG096.LB.MST	96	63	BALB_cByJ	BALB_A	HighFat	run_1	LargeBowel	1.073672299	7.4	Low	428.5714	1.7875	2.0469	29.4527	19.0618	19.7689	1500	-1080	77.9435	52.7117	25.2319	10800	24100	1930000	51.0196	32.372	445.2759	0.7437	0.0095	0.4267	1.0177	0.4193	1	0	19.6943	1	25.2319	0.07	408.1633	2.0469	2.0469	49.3461	26.8941	32.7991	2840	-2025	32.442	15.62	16.8221	6870	36800	2950000	51.8527	57.4868	0.433	0.0133	0.3649	0.8828	3.1235	0.2826	NA	NA	32.625	NA	NA	NA	20	42.24	34.3	126.2	17.5	0.27	1.96	7.21	0.81	2.99
0115.PG097.LB.MST	97	64	BALB_cByJ	BALB_A	HighFat	run_1	LargeBowel	1.073672299	7.4	Low	493.1581	4.0938	1.0661	26.9652	14.6269	18.1022	1642	-1430	35.5746	15.746	19.8286	9770	26200	2090000	60.8934	55.7382	337.3101	0.3044	0.0086	0.7363	2.5822	0.2851	1	0	18.0774	1	19.8286	0.0609	491.8253	1.0661	1.0661	124.3213	73.575	81.7817	8660	-7860	14.6976	5.4637	9.2339	4540	69900	5600000	62.8258	69.6395	0.5443	0.037	1.1138	2.3835	46.5087	0.0512	NA	NA	81.3588	NA	NA	NA	20	43.05	37.9	129.1	17	0.29	2.23	7.59	0.88	3.00
0115.PG098.LB.MST	98	65	BALB_cByJ	BALB_A	HighFat	run_1	LargeBowel	1.073672299	7.4	Low	490.514	2.317	1.0945	26.8372	14.2431	18.0688	1710	-1680	25.2621	5.2621	20	9810	29200	2340000	63.6553	79.17	337.9936	0.3152	0.0125	0.6795	1.2212	0.5565	1	0	17.9942	1	20	0.0612	483.8919	1.0945	1.0945	69.3817	29.1116	45.5735	4850	-3294	43.2661	7.3085	35.9577	17400	17900	1430000	83.1081	69.8792	1.1997	0.0277	0.8332	5.0283	2.5875	1.9433	NA	NA	45.6481	NA	NA	NA	20	38.03	37.6	147.4	16	0.26	2.35	9.21	0.99	3.88
0115.PG099.LB.MST	99	66	BALB_cByJ	BALB_A	HighFat	run_1	LargeBowel	1.073672299	7.4	Low	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	36.82	41	117.2	17	0.35	2.41	6.89	1.11	3.18
0115.PG100.LB.MST	100	67	BALB_cByJ	BALB_A	HighFat	run_2	LargeBowel	1.073672299	7.4	Low	518.7663	2.6013	1.6205	30.0924	17.0576	20.4832	1910	-1720	40.494	6.0685	34.4254	17900	16900	1350000	63.3493	85.0137	636.5115	0.8033	0.0198	4.4234	0.7509	5.8905	1	0	20.1101	1	34.4254	0.0578	509.2278	1.6205	1.6205	86.9936	47.2779	57.3197	6940	-4580	17.2883	2.3387	14.9496	7720	42700	3410000	86.4723	79.7377	0.56	0.0324	1.0724	5.3764	4.8049	1.1189	NA	NA	57.0958	NA	NA	NA	20	41.64	36.2	118.6	16.5	0.31	2.19	7.19	0.87	2.85
