Category	Med_Abund	Description
GO:0002144	0.0000	cytosolic_tRNA_wobble_base_thiouridylase_complex
GO:0002199	0.0000	zona_pellucida_receptor_complex
GO:0005577	0.0000	fibrinogen_complex
GO:0005663	0.0000	DNA_replication_factor_C_complex
GO:0005833	0.0000	hemoglobin_complex
GO:0005838	0.0000	proteasome_regulatory_particle
GO:0005850	0.0000	eukaryotic_translation_initiation_factor_2_complex
GO:0005851	0.0000	eukaryotic_translation_initiation_factor_2B_complex
GO:0005853	0.0000	eukaryotic_translation_elongation_factor_1_complex
GO:0005854	0.0000	nascent_polypeptide_associated_complex
GO:0005861	0.0000	troponin_complex
GO:0008091	0.0000	spectrin
GO:0008290	0.0000	F_actin_capping_protein_complex
GO:0008537	0.0000	proteasome_activator_complex
GO:0008540	0.0000	proteasome_regulatory_particle__base_subcomplex
GO:0008541	0.0000	proteasome_regulatory_particle__lid_subcomplex
GO:0009330	0.0000	DNA_topoisomerase_type_II__double_strand_cut__ATP_hydrolyzing__complex
GO:0009368	0.0000	endopeptidase_Clp_complex
GO:0010598	0.0000	NAD_P_H_dehydrogenase_complex__plastoquinone_
GO:0016272	0.0000	prefoldin_complex
GO:0016281	0.0000	eukaryotic_translation_initiation_factor_4F_complex
GO:0017101	0.0000	aminoacyl_tRNA_synthetase_multienzyme_complex
GO:0017102	0.0000	methionyl_glutamyl_tRNA_synthetase_complex
GO:0018444	0.0000	translation_release_factor_complex
GO:0019773	0.0000	proteasome_core_complex__alpha_subunit_complex
GO:0019774	0.0000	proteasome_core_complex__beta_subunit_complex
GO:0022623	0.0000	proteasome_activating_nucleotidase_complex
GO:0030015	0.0000	CCR4_NOT_core_complex
GO:0030314	0.0000	junctional_membrane_complex
GO:0030877	0.0000	beta_catenin_destruction_complex
GO:0030991	0.0000	intraciliary_transport_particle_A
GO:0030992	0.0000	intraciliary_transport_particle_B
GO:0031074	0.0000	nucleocytoplasmic_transport_complex
GO:0031082	0.0000	BLOC_complex
GO:0031105	0.0000	septin_complex
GO:0031209	0.0000	SCAR_complex
GO:0031250	0.0000	anaerobic_ribonucleoside_triphosphate_reductase_complex
GO:0031251	0.0000	PAN_complex
GO:0031262	0.0000	Ndc80_complex
GO:0031389	0.0000	Rad17_RFC_like_complex
GO:0031390	0.0000	Ctf18_RFC_like_complex
GO:0031422	0.0000	RecQ_family_helicase_topoisomerase_III_complex
GO:0031511	0.0000	Mis6_Sim4_complex
GO:0031518	0.0000	CBF3_complex
GO:0031521	0.0000	spitzenkorper
GO:0031522	0.0000	cell_envelope_Sec_protein_transport_complex
GO:0031680	0.0000	G_protein_beta_gamma_subunit_complex
GO:0031941	0.0000	filamentous_actin
GO:0033061	0.0000	DNA_recombinase_mediator_complex
GO:0033186	0.0000	CAF_1_complex
GO:0033551	0.0000	monopolin_complex
GO:0033596	0.0000	TSC1_TSC2_complex
GO:0034044	0.0000	exomer_complex
GO:0034270	0.0000	Cvt_complex
GO:0034464	0.0000	BBSome
GO:0034518	0.0000	RNA_cap_binding_complex
GO:0034973	0.0000	Sid2_Mob1_complex
GO:0035649	0.0000	Nrd1_complex
GO:0035658	0.0000	Mon1_Ccz1_complex
GO:0035859	0.0000	Seh1_associated_complex
GO:0036038	0.0000	MKS_complex
GO:0036286	0.0000	eisosome_filament
GO:0036452	0.0000	ESCRT_complex
GO:0043291	0.0000	RAVE_complex
GO:0043293	0.0000	apoptosome
GO:0044697	0.0000	HICS_complex
GO:0045293	0.0000	mRNA_editing_complex
GO:0045298	0.0000	tubulin_complex
GO:0046798	0.0000	viral_portal_complex
GO:0055087	0.0000	Ski_complex
GO:0061574	0.0000	ASAP_complex
GO:0061576	0.0000	acyl_CoA_ceramide_synthase_complex
GO:0061700	0.0000	GATOR2_complex
GO:0061702	0.0000	inflammasome_complex
GO:0061957	0.0000	NVT_complex
GO:0062092	0.0000	Yae1_Lto1_complex
GO:0070864	0.0000	sperm_individualization_complex
GO:0071203	0.0000	WASH_complex
GO:0071521	0.0000	Cdc42_GTPase_complex
GO:0071563	0.0000	Myo2p_Vac17p_Vac8p_transport_complex
GO:0072379	0.0000	ER_membrane_insertion_complex
GO:0089713	0.0000	Cbf1_Met4_Met28_complex
GO:0090443	0.0000	FAR_SIN_STRIPAK_complex
GO:0090665	0.0000	glycoprotein_complex
GO:0097078	0.0000	FAL1_SGD1_complex
GO:0097255	0.0000	R2TP_complex
GO:0097344	0.0000	Rix1_complex
GO:0097361	0.0000	CIA_complex
GO:0097373	0.0000	MCM_core_complex
GO:0097452	0.0000	GAIT_complex
GO:0098046	0.0000	type_V_protein_secretion_system_complex
GO:0098636	0.0000	protein_complex_involved_in_cell_adhesion
GO:0099023	0.0000	vesicle_tethering_complex
GO:0099078	0.0000	BORC_complex
GO:0101031	0.0000	chaperone_complex
GO:0106333	0.0000	subcortical_maternal_complex
GO:0110078	0.0000	TTT_complex
GO:0110131	0.0000	Aim21_Tda2_complex
GO:0110142	0.0000	ubiquinone_biosynthesis_complex
GO:0110157	0.0000	reelin_complex
GO:0120114	0.0000	Sm_like_protein_family_complex
GO:0120155	0.0000	MIH_complex
GO:0120171	0.0000	Cdc24p_Far1p_Gbetagamma_complex
GO:0120216	0.0000	matrilin_complex
GO:0140224	0.0000	SLAC_complex
GO:0150005	0.0000	enzyme_activator_complex
GO:1903269	0.0000	ornithine_carbamoyltransferase_inhibitor_complex
GO:1904090	0.0000	peptidase_inhibitor_complex
GO:1905742	0.0000	Ras_guanyl_nucleotide_exchange_factor_complex
GO:1990062	0.0000	RPAP3_R2TP_prefoldin_like_complex
GO:1990112	0.0000	RQC_complex
GO:1990130	0.0000	GATOR1_complex
GO:1990131	0.0000	Gtr1_Gtr2_GTPase_complex
GO:1990143	0.0000	CoA_synthesizing_protein_complex
GO:1990221	0.0000	L_cysteine_desulfurase_complex
GO:1990229	0.0000	iron_sulfur_cluster_assembly_complex
GO:1990252	0.0000	Syp1_complex
GO:1990298	0.0000	bub1_bub3_complex
GO:1990315	0.0000	Mcs4_RR_MAPKKK_complex
GO:1990356	0.0000	sumoylated_E2_ligase_complex
GO:1990393	0.0000	3M_complex
GO:1990423	0.0000	RZZ_complex
GO:1990526	0.0000	Ste12p_Dig1p_Dig2p_complex
GO:1990527	0.0000	Tec1p_Ste12p_Dig1p_complex
GO:1990528	0.0000	Rvs161p_Rvs167p_complex
GO:1990533	0.0000	Dom34_Hbs1_complex
GO:1990615	0.0000	Kelch_containing_formin_regulatory_complex
GO:1990745	0.0000	EARP_complex
GO:1990811	0.0000	MWP_complex
GO:1990861	0.0000	Ubp3_Bre5_deubiquitination_complex
GO:1990871	0.0000	Vma12_Vma22_assembly_complex
GO:1990964	0.0000	actin_cytoskeleton_regulatory_complex
