cpd00001	h2o
cpd00147	5mta
cpd00148	5_Phosphomononucleotide
cpd00149	cobalt2
cpd00150	cyan
cpd00151	thym
cpd00152	agm
cpd00153	bz
cpd00154	xyl_D
cpd00155	glycogen
cpd00156	val_L
cpd00157	dha
cpd00158	cellb
cpd00159	lac_L
cpd00160	Cholesterol
cpd00161	thr_L
cpd00162	etha
cpd00163	UDP_xylose
cpd00164	glcur
cpd00165	Hydroxylamine
cpd00166	adocbl
cpd00167	cera_D
cpd00168	23dhb
cpd00169	3pg
cpd00170	g15lac
cpd00171	ru5p_D
cpd00172	Phenazinemethosulfate
cpd00173	NTP
cpd00174	Isoflurophate
cpd00175	uacgala
cpd00176	2ddglcn
cpd00177	dadp
cpd00178	acetone
cpd00179	malt
cpd00180	oxa
cpd00181	Cobamide
cpd00182	adn
cpd00183	sarcs
cpd00184	thymd
cpd00185	arab_D
cpd00186	glu_D
cpd00187	mea
cpd00188	Arachidonate
cpd00189	Methyleneblue
cpd00190	glc_D_B
cpd00191	msa
cpd00192	coucoa
cpd00193	aps
cpd00194	Methylviologen
cpd00195	1_Alcohol
cpd00196	actp
cpd00197	34dhbz
cpd00198	xu5p_D
cpd00199	sucsal
cpd00200	4mop
cpd00201	10fthf
cpd00202	dmpp
cpd00203	13dpg
cpd00204	co
cpd00205	k
cpd00206	dcmp
cpd00207	gua
cpd00208	lcts
cpd00209	no3
cpd00210	taur
cpd00211	but
cpd00212	srb_L
cpd00213	lpam
cpd00214	hdca
cpd00215	pydx
cpd00216	chor
cpd00217	isomal
cpd00218	nac
cpd00219	pphn
cpd00220	ribflv
cpd00221	lac_D
cpd00222	glcn
cpd00223	glyc_R
cpd00224	arab_L
cpd00225	bzal
cpd00226	hxan
cpd00227	hom_L
cpd00228	dtt
cpd00229	gcald
cpd00231	dhbpt
cpd00232	acnam
cpd00233	thbpt
cpd00234	5_Dehydro_D_fructose
cpd00235	man6p
cpd00236	e4p
cpd00237	Androstenedione
cpd00238	s7p
cpd00239	h2s
cpd00240	EDTA
cpd00241	dgtp
cpd00242	hco3
cpd00243	Fibrin
cpd00244	ni2
cpd00245	Aniline
cpd00246	ins
cpd00247	orot
cpd00248	quin_kt
cpd00249	uri
cpd00250	Creatine
cpd00251	adprib
cpd00253	cll_204
cpd00254	mg2
cpd00255	Bradykinin
cpd00256	cdpchol
cpd00257	Canavanine
cpd00258	rbl_D
cpd00259	xylu_D
cpd00260	icit
cpd00261	xylu_L
cpd00262	oxalcoa
cpd00263	pydxn
cpd00264	spmd
cpd00265	Amylopectin
cpd00266	crn
cpd00267	Sphingoid
cpd00268	tsul
cpd00269	2oxoadp
cpd00270	caffcoa
cpd00271	Ferricyanide
cpd00272	gdpfuc
cpd00273	Glycoprotein
cpd00274	citr_L
cpd00275	kynr_L
cpd00276	gam
cpd00277	dgsn
cpd00278	indpyr
cpd00279	aacoa
cpd00280	galur
cpd00281	4abut
cpd00282	dhor_S
cpd00283	grdp
cpd00284	6pgc
cpd00285	ethamp
cpd00286	udcpp
cpd00287	2mop
cpd00288	gam6p
cpd00289	ggdp
cpd00290	fdp
cpd00291	L_Dopa
cpd00292	hmgcoa
cpd00293	acgam6p
cpd00294	damp
cpd00295	dgdp
cpd00296	dgmp
cpd00297	dtdp
cpd00298	dtmp
cpd00299	dump
cpd00300	urate
cpd00301	Sterol
cpd00302	Zeatin
cpd00303	Elastin
cpd00304	Retinal
cpd00305	thm
cpd00306	xylt
cpd00307	csn
cpd00308	maln
cpd00309	xan
cpd00310	Carnosine
cpd00311	gsn
cpd00312	hista
cpd00313	quc
cpd00314	mnl
cpd00315	GDP_glucose
cpd00316	Pyrimidine
cpd00317	Tobramycin
cpd00318	Tryptamine
cpd00319	L_Menthol
cpd00320	cll_345
cpd00321	ferulcoa
cpd00322	ile_L
cpd00323	Lpipecol
cpd00324	ch4s
cpd00325	Progesterone
cpd00326	Sinapoyl_CoA
cpd00327	stcoa
cpd00328	Stmyn
cpd00329	Cyclohexanone
cpd00330	dhf
cpd00331	acon_C
cpd00332	mev_R
cpd00333	cinnm
cpd00334	lald_L
cpd00335	Dehydroascorbate
cpd00336	ProstaglandinH2
cpd00337	56dura
cpd00338	5aop
cpd00339	5aptn
cpd00340	25dop
cpd00341	cbmps
cpd00342	acorn
cpd00343	cbasp
cpd00344	forglu
cpd00345	5mthf
cpd00346	aspsa
cpd00347	methf
cpd00348	gal1p
cpd00349	s17bp
cpd00350	frdp
cpd00351	saccrp_L
cpd00352	thp2c
cpd00353	D_threo_Isocitricacid
cpd00354	NDP
cpd00355	nmn
cpd00356	dctp
cpd00357	dttp
cpd00358	dutp
cpd00359	indole
cpd00360	purine
cpd00361	actn_R
cpd00362	Estrone
cpd00363	etoh
cpd00364	Chinone
cpd00365	Retinol
cpd00366	Ribitol
cpd00367	Cytidine
cpd00424	Cystathionine
cpd00368	D_Lyxose
cpd00369	Ecdysone
cpd00370	cbs_422
cpd00371	ppal
cpd00372	Pyrazole
cpd00373	Sinapate
cpd00374	tym
cpd00375	Arylamide
cpd00376	Bilirubin
cpd00378	frmd
cpd00379	glutar
cpd00380	itacon
cpd00382	raffin
cpd00383	skm
cpd00384	Sisomicin
cpd00385	Sulochrin
cpd00386	mal_D
cpd00387	adpglc
cpd00388	alltt
cpd00389	Biliverdin
cpd00390	CDP_glucose
cpd00391	D_Xylonate
cpd00392	Phycite
cpd00393	fol
cpd00394	Gentamicin
cpd00395	Lcyst
cpd00396	rmn
cpd00397	rbl_L
cpd00398	Naringenin
cpd00399	Oleoyl_CoA
cpd00400	acryl
cpd00401	Benzoyl_CoA
cpd00402	cdpglyc
cpd00403	mana
cpd00404	D_Ornithine
cpd00405	hxdcal
cpd00406	Hypotaurine
cpd00407	Limonene
cpd00408	pant_R
cpd00409	Androsterone
cpd00410	cytcc
cpd00411	D_Tryptophan
cpd00412	duri
cpd00413	glutcoa
cpd00414	Glycopeptide
cpd00415	hqn
cpd00416	itaccoa
cpd00417	abt_L
cpd00418	no
cpd00419	pydam
cpd00420	Testosterone
cpd00421	pppi
cpd00422	Cinnamoyl_CoA
cpd00423	cbl2
cpd00425	dma
cpd00426	hgentis
cpd00427	L_Arabinonate
cpd00428	mthgxl
cpd00429	Arterenol
cpd00430	pac
cpd00431	Sphingomyelin
cpd00432	tartr_M
cpd00433	(+)_Neomenthol
cpd00434	4abutn
cpd00435	bzalc
cpd00436	Cyclopentanone
cpd00437	tagur
cpd00438	dad_2
cpd00439	Mandelonitrile
cpd00440	Phosphoramidon
cpd00441	tma
cpd00442	(3S)_Citryl_CoA
cpd00443	4abz
cpd00444	cdpea
cpd00445	Cyclohexanamine
cpd00446	camp
cpd00447	betald
cpd00448	glyald
cpd00449	dhlam
cpd00450	dms
cpd00451	Glycocyamine
cpd00452	phaccoa
cpd00453	12ppd_S
cpd00454	Dinoprostone
cpd00455	2dglc
cpd00456	3_Hydroxybenzoate
cpd00457	cholp
cpd00458	confrl
cpd00459	N_Acylneuraminate
cpd00460	2saa
cpd00461	op4en
cpd00463	Cholestenone
cpd00464	pacald
cpd00465	urdglyc
cpd00466	o_Phenanthroline
cpd00467	3sala
cpd00468	Deoxyribonucleotide
cpd00469	N_Acetyllactosamine
cpd00470	N1aspmd
cpd00471	Quercetin3_sulfate
cpd00472	udpgalur
cpd00473	3dhguln
cpd00474	3_Oxo_delta4_steroid
cpd00475	r1p
cpd00477	acglu
cpd00478	pdx5p
cpd00479	Gentisate
cpd00480	2dhglcn
cpd00481	ibcoa
cpd00482	2pg
cpd00483	3hanthrn
cpd00484	4hbald
cpd00485	man1p
cpd00486	id3acald
cpd00487	Higherfattyacid
cpd00488	PGF2a
cpd00489	4hphac
cpd00490	5_Hydroxy_L_tryptophan
cpd00491	mnl1p
cpd00492	acmana
cpd00493	pyam5p
cpd00494	4_Hydroxymandelonitrile
cpd00495	4_Methylene_L_glutamate
cpd00496	Dara14lac
cpd00497	xmp
cpd00498	2ahbut
cpd00499	g16bp
cpd00501	g1p_B
cpd00502	5_Formiminotetrahydrofolate
cpd00503	f26bp
cpd00504	26dap_LL
cpd00506	glucys
cpd00507	g3pc
cpd00508	3mop
cpd00509	2dr1p
cpd00510	2dr5p
cpd00511	Androstanedione
cpd00512	Deoxynucleoside3_phosphate
cpd00513	Deoxynucleoside5_phosphate
cpd00514	Deoxynucleosidetriphosphate
cpd00515	5d4dglcr
cpd00516	26dap_M
cpd00517	1ag3p
cpd00518	2hmcnsad
cpd00519	mmcoa_S
cpd00520	2_Dehydro_3_deoxy_L_pentonate
cpd00521	dtdp4d6dg
cpd00522	dtdp4d6dm
cpd00523	tre6p
cpd00524	2ins
cpd00525	uamag
cpd00526	Cholate
cpd00527	ProstaglandinD2
cpd00528	n2
cpd00530	xtp
cpd00531	hg2
cpd00532	o2s
cpd00533	dcdp
cpd00534	I_
cpd00536	oleac
cpd00537	Panose
cpd00538	Pterin
cpd00540	glyb
cpd00541	lipt
cpd00542	R_CN
cpd00543	Orcinol
cpd00544	Tropine
cpd00545	Ubenimex
cpd00546	Cortisol
cpd00547	cll_451
cpd00548	D_Hexose
cpd00549	lys_D
cpd00550	ser_D
cpd00551	cll_453
cpd00552	F_
cpd00553	Macrocin
cpd00554	Nicotine
cpd00555	OT
cpd00556	Pyridine
cpd00557	sheme
cpd00558	sprm
cpd00559	sql
cpd00560	Tungsten
cpd00561	vanln
cpd00562	OCTANOL
cpd00563	Berberine
cpd00564	Bergaptol
cpd00565	Coniferin
cpd00566	Cortisone
cpd00567	D_Proline
cpd00568	D_Sorbose
cpd00569	Digitonin
cpd00570	Flavanone
cpd00571	Glucarate
cpd00572	cll_459
cpd00573	idon_L
cpd00574	Mevaldate
cpd00575	Pepstatin
cpd00576	Phloretin
cpd00577	TretinM
cpd00578	Scytalone
cpd00579	Serotonin
cpd00580	Tropinone
cpd00581	urcan
cpd00582	Vestitone
cpd00583	L_Adrenaline
cpd00584	CDP_ribitol
cpd00585	Creatinine
cpd00586	D_Arginine
cpd00587	cys_D
cpd00588	sbt_D
cpd00589	D_Tagatose
cpd00590	Dicumarol
cpd00591	Ethylamine
cpd00592	forcoa
cpd00593	Isoflavone
cpd00594	Gulonate
cpd00595	Nucleoside
cpd00596	oxur
cpd00597	pta
cpd00598	Propynoate
cpd00599	salc
cpd00601	D_Camphor
cpd00602	(_)_Camphor
cpd00604	T4hcinnm
cpd00605	Malonylurea
cpd00606	BiochaninA
cpd00607	Citramalate
cpd00608	altrn
cpd00609	glcr
cpd00610	D_Glutamine
cpd00611	D_Threonine
cpd00612	Dopaquinone
cpd00613	C16:0_OH
cpd00614	Iron_sulfur
cpd00615	Bekanamycin
cpd00616	CPD_659
cpd00617	Lactoyl_CoA
cpd00618	Naphthalene
cpd00619	Oxomalonate
cpd00620	ptth
cpd00621	Catenulin
cpd00622	Sepiapterin
cpd00623	sphgn
cpd00624	Streptidine
cpd00625	Xanthotoxol
cpd00626	dtdpglu
cpd00627	l_Menthone
cpd00628	(R)_Prunasin
cpd00629	2_Furoyl_CoA
cpd00630	3oxadp
cpd00631	4_Pyridoxate
cpd00632	6_Oxocineole
cpd00633	Ethylacetate
cpd00634	CHLOROGENATE
cpd00635	cbl1
cpd00636	Hexalin
cpd00637	met_D
cpd00638	dnad
cpd00639	Formononetin
cpd00640	Gibberellin1
cpd00641	histd
cpd00642	rml
cpd00643	Methanofuran
cpd00644	pnto_R
cpd00645	2_Oxostearate
cpd00646	PNP
cpd00647	Aminomalonate
cpd00648	AngiotensinI
cpd00649	CoenzymeF420
cpd00650	butd2coa
cpd00651	D_Arabinonate
cpd00652	galctr_D
cpd00653	galctn_D
cpd00654	dcyt
cpd00655	dpcoa
cpd00656	galman
cpd00657	Homocarnosine
cpd00658	ichor
cpd00659	n2o
cpd00660	C5:0_COA
cpd00661	Pregnan_21_al
cpd00662	Pregnan_21_ol
cpd00663	Acrylyl_CoA
cpd00664	Tos_Lys_CH2Cl
cpd00665	alpha_Maltose
cpd00666	tartr_L
cpd00667	11_cis_Retinol
cpd00668	alac_S
cpd00669	2_Oxohexanoate
cpd00670	Cinnamaldehyde
cpd00671	Citramalyl_CoA
cpd00672	fruur
cpd00673	56dthm
cpd00674	GentamicinC1a
cpd00675	LTA4
cpd00676	Ribonucleoside
cpd00677	3_Methyladenine
cpd00678	Benzylviologen
cpd00679	CephalosporinC
cpd00680	cm
cpd00681	chols
cpd00682	CoA_glutathione
cpd00683	dhpt
cpd00684	Dimethylmaleicacid
cpd00685	Ferricytochrome
cpd00686	Ferrocytochrome
cpd00687	IsonocardicinA
cpd00688	Thioglycol
cpd00689	ppbng
cpd00690	Sinapine
cpd00691	UDP_L_arabinose
cpd00693	lald_D
cpd00694	2_Aminoadenosine
cpd00695	2_Oxoglutaramate
cpd00696	35ccmp
cpd00697	35cgmp
cpd00698	35cimp
cpd00699	3dhq
cpd00700	amp2p
cpd00701	DTE
cpd00702	Estradiol
cpd00703	ind3ac
cpd00704	ind3eth
cpd00705	L2aadp
cpd00706	mercppyr
cpd00707	ProstaglandinB1
cpd00708	Sterigmatocystin
cpd00709	cll_199
cpd00710	beta_D_Glucoside
cpd00711	(_)_trans_Carveol
cpd00712	2dhp
cpd00713	35cdamp
cpd00714	3_Hydroxypropanal
cpd00715	4_Pyridoxolactone
cpd00716	Aromaticoxoacid
cpd00717	Aromadendrin
cpd00718	Dihydroxyfumarate
cpd00719	gdpmanur
cpd00720	L_Tryptophanamide
cpd00721	N_Acetylserotonin
cpd00722	acser
cpd00723	Renillaluciferin
cpd00724	alpha_D_Galactose
cpd00725	p_Mercuribenzoate
cpd00726	13dampp
cpd00727	2pglyc
cpd00728	4hdxbutn
cpd00729	5apentam
cpd00730	Aquacobalamin
cpd00731	alaala
cpd00732	D_Prephenyllactate
cpd00733	Ferricytochromeb1
cpd00734	Ferrocytochromeb1
cpd00735	Formylmethanofuran
cpd00736	Hexose1_phosphate
cpd00737	Gynesine
cpd00738	pser_L
cpd00739	ribflvRD
cpd00740	Trimethylsulfonium
cpd00741	UDP_2_deoxyglucose
cpd00742	allphn
cpd00743	L_Citramalyl_CoA
cpd00744	(R)_Pantolactone
cpd00745	Hydracrylicacid
cpd00746	3_Isopropylcatechol
cpd00747	L_Hydroxyproline
cpd00748	5_Phosphomonoester
cpd00749	5_HTP
cpd00750	D_Fucose
cpd00751	fuc_L
cpd00752	6hnac
cpd00753	Aromaticaminoacid
cpd00754	Dihydrostreptomycin
cpd00755	hmbil
cpd00756	dmgly
cpd00757	N6_Hydroxy_L_lysine
cpd00758	n8aspmd
cpd00759	fglut_S
cpd00760	2mbcoa
cpd00761	3_Oxo_delta5_steroid
cpd00762	4gubut
cpd00763	4mlacac
cpd00764	dann
cpd00765	L_Gulonolactone
cpd00766	Ascorbateradical
cpd00767	N_Acetyl_L_aspartate
cpd00768	N_Carbamoylsarcosine
cpd00769	N_Formyl_L_aspartate
cpd00770	Nforglu
cpd00771	N_Methyl_L_glutamate
cpd00772	L_Theanine
cpd00773	uamr
cpd00774	uppg3
cpd00775	(R)_4_Dehydropantoate
cpd00776	Ssq23epx
cpd00777	(S)_6_Hydroxynicotine
cpd00778	dhpyr
cpd00779	L_Diiodotyrosine
cpd00780	4fumacac
cpd00781	5dglcn
cpd00782	pmcoa
cpd00783	CMP_N_acylneuraminate
cpd00784	Dihydroresorcinol
cpd00785	D_Galactose6_sulfate
cpd00786	Ribitol5_phosphate
cpd00787	Desulfoglucotropeolin
cpd00788	N_Acetyl_beta_alanine
cpd00789	N_Sulfo_D_glucosamine
cpd00790	achms
cpd00791	pppg9
cpd00792	ReducedcoenzymeF420
cpd00793	thmmp
cpd00794	tre
cpd00795	(R)_2_Hydroxyglutarate
cpd00796	(R)_3_3_Dimethylmalate
cpd00797	bhb
cpd00798	16alpha_Hydroxysteroid
cpd00799	Deacetylvindoline
cpd00800	8aonn
cpd00801	Cellobiose_1_5_lactone
cpd00802	f1p
cpd00803	D_Ribose5_diphosphate
cpd00804	sbt6p
cpd00805	tag6p_D
cpd00806	fc1p
cpd00807	hisp
cpd00808	ru5p_L
cpd00809	phom
cpd00810	orot5p
cpd00811	tmao
cpd00812	5pmev
cpd00813	Pyrogallol
cpd00814	4_Methylene_L_glutamine
cpd00815	2_Oxo_5_aminovalerate
cpd00816	7_8_Dihydroxykynurenate
cpd00817	ara5p
cpd00818	dgal6p
cpd00819	L_Arabinono_1_4_lactone
cpd00820	L_Galactono_1_4_lactone
cpd00821	Nucleoside5_phosphate
cpd00822	suchms
cpd00823	dttOX
cpd00824	sph1p
cpd00825	Streptidine6_phosphate
cpd00826	(_)_trans_Isopiperitenol
cpd00827	18_Hydroxycorticosterone
cpd00828	2_Dehydropantolactone
cpd00829	2_trans_6_trans_Farnesol
cpd00830	4h2oglt
cpd00831	rml1p
cpd00832	acgal
cpd00833	N_Acetyl_D_glucosaminate
cpd00834	pan4p
cpd00835	Phospho_beta_D_glucoside
cpd00836	adhlam
cpd00837	ametam
cpd00838	Streptomycin6_phosphate
cpd00839	alpha_D_Glucosyl_protein
cpd00840	36dahx
cpd00841	5dpmev
cpd00842	3hbycoa
cpd00843	2h3opp
cpd00844	2_Hydroxycyclohexan_1_one
cpd00845	4_Trimethylammoniobutanal
cpd00846	5_Phosphomononucleotides
cpd00847	r15bp
cpd00848	NPmehis
cpd00849	Quercetin3_3_bissulfate
cpd00850	Quercetin3_4_bissulfate
cpd00851	4hpro_LT
cpd00852	beta_Glucogallin
cpd00853	23dpg
cpd00854	34dhpha
cpd00855	beta_Pyrazol_1_ylalanine
cpd00856	3cmuc
cpd00857	ProvitaminD3
cpd00858	glu5sa
cpd00859	psd5p
cpd00860	sdhlam
cpd00861	uacmam
cpd00862	alpha_D_Hexose1_phosphate
cpd00863	g6p_B
cpd00864	1_3_8_Naphthalenertriol
cpd00865	1_O_Sinapoyl_beta_D_glucose
cpd00866	17alpha_Hydroxyprogesterone
cpd00867	mi1p_D
cpd00868	34hpp
cpd00869	2kmb
cpd00870	gbbtn
cpd00871	rb15bp
cpd00872	N_N_DimethylanilineN_oxide
cpd00873	nicrnt
cpd00874	(3S_5S)_3_5_Diaminocaproate
cpd00875	kdo
cpd00876	3hmp
cpd00877	Lathosterol
cpd00878	Glucocerebroside
cpd00879	Palmitoylglyceronephosphate
cpd00880	1_Phospho_alpha_D_glucuronate
cpd00881	34dhcinm
cpd00882	Melilotate
cpd00883	N_Acylneuraminate9_phosphate
cpd00884	N(omega)_(ADP_D_ribosyl)_L_arginine
cpd00885	inoshp
cpd00886	D_3_Amino_isobutanoate
cpd00887	3_(3_4_Dihydroxyphenyl)lactate
cpd00888	N_Methylethanolaminephosphate
cpd00889	5_Hydroxylysine
cpd00890	uama
cpd00891	mmcoa_R
cpd00892	scyllo_Inosamine
cpd00893	2_(Acetamidomethylene)succinate
cpd00894	2dh3dgal
cpd00895	h4mpt
cpd00896	6p2dglcn
cpd00897	CDP_4_dehydro_6_deoxy_D_glucose
cpd00898	Inositol1_4_bisphosphate
cpd00899	Dihydrostreptomycin6_phosphate
cpd00900	gdpddman
cpd00901	Methyl2_diazoacetamidohexonate
cpd00902	g3pi
cpd00903	12_OPDA
cpd00904	DHA
cpd00905	gdpdp
cpd00906	hexdp
cpd00907	cbs_41
cpd00908	g3pe
cpd00909	1_Aminocyclopropane_1_carboxylate
cpd00910	1Dgali
cpd00911	6pgl
cpd00912	N_Acetyl_beta_D_glucosaminylamine
cpd00913	2_3_Cyclicnucleotide
cpd00914	Inositol1_3_4_trisphosphate
cpd00915	3_5_Diiodo_4_hydroxyphenylpyruvate
cpd00916	mi145tp_D
cpd00917	7_8_Dihydro_7_8_dihydroxykynurenate
cpd00918	acg5sa
cpd00919	hcit
cpd00920	4_(2_Aminophenyl)_2_4_dioxobutanoate
cpd00921	6ax6ax
cpd00922	1pipdn2c
cpd00923	3_Hydroxy_N6_N6_N6_trimethyl_L_lysine
cpd00924	ap4a
cpd00925	gp4g
cpd00926	Anserine
cpd00927	(_)_Glycinol
cpd00928	3_7_Di_O_methylquercetin
cpd00929	3_Deoxydihydrostreptomycin6_phosphate
cpd00930	imacp
cpd00931	5apru
cpd00932	3psme
cpd00933	3_Hydroxy_2_methylpyridine_5_carboxylate
cpd00934	mi1345p
cpd00935	2_6_Dioxo_6_phenylhexa_3_enoate
cpd00936	5_Formyl_H4MPT
cpd00937	trans_2_Carboxybenzalpyruvate
cpd00938	2c25dho
cpd00939	4ahmmp
cpd00940	Dihydrostreptomycin3alpha_6_bisphosphate
cpd00941	1_Acyl_2_oleoyl_sn_glycero_3_phosphocholine
cpd00942	1_Amino_1_deoxy_scyllo_inositol4_phosphate
cpd00943	inospp1
cpd00944	2_6_Dichlorophenol_4_(p_benzoquinoneimine)
cpd00945	2dh3dgal6p
cpd00946	unaga
cpd00947	LacCer
cpd00948	Isohexenyl_glutaconyl_CoA
cpd00949	3alpha_7alpha_Dihydroxy_12_oxo_5beta_cholanate
cpd00950	N_Amidino_scyllo_inosamine4_phosphate
cpd00951	D_5_O_Methyl_2_3_5/4_6_pentahydroxycyclohexanone
cpd00952	6_Hydroxypseudooxynicotine
cpd00953	1D_1_Guanidino_3_amino_1_3_dideoxy_scyllo_inositol
cpd00954	6hmhpt
cpd00955	3alpha_7alpha_12alpha_Trihydroxy_5beta_cholestan_26_al
cpd00956	2cpr5p
cpd00957	25drapp
cpd00958	4_Deoxy_beta_D_gluc_4_enuronosyl_(1_3)_N_acetyl_D_galactosamine
cpd00959	1_4_beta_D_Galactosyl_(alpha_1_3_L_fucosyl)_N_acetyl_D_glucosaminyl_R
cpd00960	PGI2
cpd00961	(S)_N_[3_(3_4_Methylenedioxyphenyl)_2_(mercaptomethyl)_1_oxoprolyl]glycine
cpd00962	(S)_N_[3_(3_4_Methylenedioxyphenyl)_2_(mercaptomethyl)_1_oxoprolyl]_(S)_alanine
cpd00963	(S)_N_[3_(3_4_Methylenedioxyphenyl)_2_(acetylthio)methyl_1_oxoprolyl]glycinebenzylester
cpd00964	(S)_N_[3_(3_4_Methylenedioxyphenyl)_2_(acetylthio)methyl_1_oxoprolyl]_(S)_alaninebenzylester
cpd00965	Hg
cpd00966	HBr
cpd00970	NMP
cpd00971	na1
cpd00972	xdp
cpd00973	E_64
cpd00975	RHg+
cpd00976	didp
cpd00977	ditp
cpd00978	dudp
cpd00979	dXDP
cpd00980	dXTP
cpd00981	AA861
cpd00982	fadh2
cpd00984	Mucin
cpd00985	nh4oh
cpd00986	pqqh2
cpd00987	X_Trp
cpd00988	3amp
cpd00989	3ump
cpd00990	FK506
cpd00991	Fustin
cpd00992	1_2_Ethanediol
cpd00993	Hexose
cpd00994	I2
cpd00995	Ketose
cpd00996	male
cpd00997	NH2Mec
cpd00998	CPD_148
cpd00999	Phytol
cpd01000	Prenol
cpd01002	AACOCF3
cpd01003	Alanine
cpd01004	Anisole
cpd01005	Arg_OEt
cpd01006	CPDIM_6114
cpd01007	Benzene
cpd01008	Benzoin
cpd01009	Boc_Asn
cpd01010	Borneol
cpd01011	btal
cpd01012	cd2
cpd01013	Casbene
cpd01014	Cocaine
cpd01015	cynt
cpd01016	Cycasin
cpd01017	cgly
cpd01018	cbs_252
cpd01019	Daphnin
cpd01020	ga
cpd01021	Glu_Glu
cpd01022	lac_R
cpd01023	Loganin
cpd01024	metha
cpd01025	Neamine
cpd01026	Ouabain
cpd01027	oxam
cpd01028	Questin
cpd01029	BaseQ
cpd01030	salcn
cpd01031	srb_L
cpd01032	Tacrine
cpd01033	p_tol
cpd01034	tol
cpd01035	Tropate
cpd01036	Tylosin
cpd01037	Tyr_OEt
cpd01038	Vitexin
cpd01039	Xaa_His
cpd01040	Xanthan
cpd01041	m_Cresol
cpd01042	p_Cresol
cpd01043	Acacetin
cpd01044	Propenal
cpd01045	Alizarin
cpd01046	Allysine
cpd01047	Apigenin
cpd01048	arsna
cpd01049	Atropine
cpd01051	CaseinK
cpd01052	Chalcone
cpd01053	Chlorate
cpd01054	Chlorite
cpd01055	all_D
cpd01056	D_Apiose
cpd01057	D_Iditol
cpd01058	Farnesol
cpd01059	frlt
cpd01060	Flavonol
cpd01061	Geranial
cpd01062	Geraniol
cpd01063	Guaiacol
cpd01064	Indanone
cpd01065	Kallidin
cpd01066	L_Iditol
cpd01067	lyx_L
cpd01068	L_Xylose
cpd01069	Loganate
cpd01070	Lupinate
cpd01071	Luteolin
cpd01072	Morphine
cpd01073	Naproxen
cpd01074	Nigerose
cpd01075	Pregnane
cpd01076	Ricinine
cpd01077	Scopolin
cpd01078	seln
cpd01079	Selenium
cpd01080	ocdca
cpd01081	Sulindac
cpd01082	Syringin
cpd01084	Urethane
cpd01085	Viomycin
cpd01086	Warfarin
cpd01087	o_Cresol
cpd01088	CPD_371
cpd01089	2_Furoate
cpd01090	Ethyne
cpd01091	Agaritine
cpd01092	alltn
