Sample	OldID	Description	Region	Day	Infection	FerretId
596I_14_V1V3	in_596_14d	Infected Ferret 596 day 14 V1V3 Sample	V1V3	14	I	596I
596I_01_V1V3	in_596_1d	Infected Ferret 596 day 1 V1V3 Sample	V1V3	1	I	596I
596I_03_V1V3	in_596_3d	Infected Ferret 596 day 3 V1V3 Sample	V1V3	3	I	596I
596I_05_V1V3	in_596_5d	Infected Ferret 596 day 5 V1V3 Sample	V1V3	5	I	596I
596I_07_V1V3	in_596_7d	Infected Ferret 596 day 7 V1V3 Sample	V1V3	7	I	596I
582U_00_V1V3	non_582_0d	Uninfected Ferret 582 day 0 V1V3 Sample	V1V3	0	U	582U
582U_14_V1V3	non_582_14d	Uninfected Ferret 582 day 14 V1V3 Sample	V1V3	14	U	582U
582U_01_V1V3	non_582_1d	Uninfected Ferret 582 day 1 V1V3 Sample	V1V3	1	U	582U
582U_03_V1V3	non_582_3d	Uninfected Ferret 582 day 3 V1V3 Sample	V1V3	3	U	582U
582U_05_V1V3	non_582_5d	Uninfected Ferret 582 day 5 V1V3 Sample	V1V3	5	U	582U
582U_07_V1V3	non_582_7d	Uninfected Ferret 582 day 7 V1V3 Sample	V1V3	7	U	582U
584U_00_V1V3	non_584_0d	Uninfected Ferret 584 day 0 V1V3 Sample	V1V3	0	U	584U
584U_14_V1V3	non_584_14d	Uninfected Ferret 584 day 14 V1V3 Sample	V1V3	14	U	584U
584U_01_V1V3	non_584_1d	Uninfected Ferret 584 day 1 V1V3 Sample	V1V3	1	U	584U
584U_03_V1V3	non_584_3d	Uninfected Ferret 584 day 3 V1V3 Sample	V1V3	3	U	584U
584U_05_V1V3	non_584_5d	Uninfected Ferret 584 day 5 V1V3 Sample	V1V3	5	U	584U
584U_07_V1V3	non_584_7d	Uninfected Ferret 584 day 7 V1V3 Sample	V1V3	7	U	584U
585U_00_V1V3	non_585_0d	Uninfected Ferret 585 day 0 V1V3 Sample	V1V3	0	U	585U
585U_14_V1V3	non_585_14d	Uninfected Ferret 585 day 14 V1V3 Sample	V1V3	14	U	585U
585U_01_V1V3	non_585_1d	Uninfected Ferret 585 day 1 V1V3 Sample	V1V3	1	U	585U
585U_03_V1V3	non_585_3d	Uninfected Ferret 585 day 3 V1V3 Sample	V1V3	3	U	585U
585U_05_V1V3	non_585_5d	Uninfected Ferret 585 day 5 V1V3 Sample	V1V3	5	U	585U
585U_07_V1V3	non_585_7d	Uninfected Ferret 585 day 7 V1V3 Sample	V1V3	7	U	585U
590U_00_V1V3	non_590_0d	Uninfected Ferret 590 day 0 V1V3 Sample	V1V3	0	U	590U
590U_14_V1V3	non_590_14d	Uninfected Ferret 590 day 14 V1V3 Sample	V1V3	14	U	590U
590U_01_V1V3	non_590_1d	Uninfected Ferret 590 day 1 V1V3 Sample	V1V3	1	U	590U
590U_03_V1V3	non_590_3d	Uninfected Ferret 590 day 3 V1V3 Sample	V1V3	3	U	590U
590U_05_V1V3	non_590_5d	Uninfected Ferret 590 day 5 V1V3 Sample	V1V3	5	U	590U
590U_07_V1V3	non_590_7d	Uninfected Ferret 590 day 7 V1V3 Sample	V1V3	7	U	590U
591U_00_V1V3	non_591_0d	Uninfected Ferret 591 day 0 V1V3 Sample	V1V3	0	U	591U
591U_14_V1V3	non_591_14d	Uninfected Ferret 591 day 14 V1V3 Sample	V1V3	14	U	591U
591U_01_V1V3	non_591_1d	Uninfected Ferret 591 day 1 V1V3 Sample	V1V3	1	U	591U
591U_03_V1V3	non_591_3d	Uninfected Ferret 591 day 3 V1V3 Sample	V1V3	3	U	591U
591U_05_V1V3	non_591_5d	Uninfected Ferret 591 day 5 V1V3 Sample	V1V3	5	U	591U
591U_07_V1V3	non_591_7d	Uninfected Ferret 591 day 7 V1V3 Sample	V1V3	7	U	591U
592U_00_V1V3	non_592_0d	Uninfected Ferret 592 day 0 V1V3 Sample	V1V3	0	U	592U
592U_14_V1V3	non_592_14d	Uninfected Ferret 592 day 14 V1V3 Sample	V1V3	14	U	592U
592U_01_V1V3	non_592_1d	Uninfected Ferret 592 day 1 V1V3 Sample	V1V3	1	U	592U
592U_03_V1V3	non_592_3d	Uninfected Ferret 592 day 3 V1V3 Sample	V1V3	3	U	592U
592U_05_V1V3	non_592_5d	Uninfected Ferret 592 day 5 V1V3 Sample	V1V3	5	U	592U
592U_07_V1V3	non_592_7d	Uninfected Ferret 592 day 7 V1V3 Sample	V1V3	7	U	592U
593U_00_V1V3	non_593_0d	Uninfected Ferret 593 day 0 V1V3 Sample	V1V3	0	U	593U
593U_14_V1V3	non_593_14d	Uninfected Ferret 593 day 14 V1V3 Sample	V1V3	14	U	593U
593U_01_V1V3	non_593_1d	Uninfected Ferret 593 day 1 V1V3 Sample	V1V3	1	U	593U
593U_03_V1V3	non_593_3d	Uninfected Ferret 593 day 3 V1V3 Sample	V1V3	3	U	593U
593U_05_V1V3	non_593_5d	Uninfected Ferret 593 day 5 V1V3 Sample	V1V3	5	U	593U
593U_07_V1V3	non_593_7d	Uninfected Ferret 593 day 7 V1V3 Sample	V1V3	7	U	593U
						
581I_14_V3V5	in_581_14d	Infected Ferret 581 day 14 V3V5 Sample	V3V5	14	I	581I
581I_01_V3V5	in_581_1d	Infected Ferret 581 day 1 V3V5 Sample	V3V5	1	I	581I
581I_03_V3V5	in_581_3d	Infected Ferret 581 day 3 V3V5 Sample	V3V5	3	I	581I
581I_07_V3V5	in_581_7d	Infected Ferret 581 day 7 V3V5 Sample	V3V5	7	I	581I
586I_14_V3V5	in_586_14d	Infected Ferret 586 day 14 V3V5 Sample	V3V5	14	I	586I
586I_01_V3V5	in_586_1d	Infected Ferret 586 day 1 V3V5 Sample	V3V5	1	I	586I
586I_03_V3V5	in_586_3d	Infected Ferret 586 day 3 V3V5 Sample	V3V5	3	I	586I
586I_05_V3V5	in_586_5d	Infected Ferret 586 day 5 V3V5 Sample	V3V5	5	I	586I
586I_07_V3V5	in_586_7d	Infected Ferret 586 day 7 V3V5 Sample	V3V5	7	I	586I
587I_03_V3V5	in_587_3d	Infected Ferret 587 day 3 V3V5 Sample	V3V5	3	I	587I
587I_05_V3V5	in_587_5d	Infected Ferret 587 day 5 V3V5 Sample	V3V5	5	I	587I
587I_07_V3V5	in_587_7d	Infected Ferret 587 day 7 V3V5 Sample	V3V5	7	I	587I
588I_14_V3V5	in_588_14d	Infected Ferret 588 day 14 V3V5 Sample	V3V5	14	I	588I
588I_01_V3V5	in_588_1d	Infected Ferret 588 day 1 V3V5 Sample	V3V5	1	I	588I
588I_03_V3V5	in_588_3d	Infected Ferret 588 day 3 V3V5 Sample	V3V5	3	I	588I
588I_05_V3V5	in_588_5d	Infected Ferret 588 day 5 V3V5 Sample	V3V5	5	I	588I
588I_07_V3V5	in_588_7d	Infected Ferret 588 day 7 V3V5 Sample	V3V5	7	I	588I
589I_01_V3V5	in_589_1d	Infected Ferret 589 day 1 V3V5 Sample	V3V5	1	I	589I
589I_03_V3V5	in_589_3d	Infected Ferret 589 day 3 V3V5 Sample	V3V5	3	I	589I
589I_05_V3V5	in_589_5d	Infected Ferret 589 day 5 V3V5 Sample	V3V5	5	I	589I
589I_07_V3V5	in_589_7d	Infected Ferret 589 day 7 V3V5 Sample	V3V5	7	I	589I
595I_00_V3V5	in_595_0d	Infected Ferret 595 day 0 V3V5 Sample	V3V5	0	I	595I
595I_14_V3V5	in_595_14d	Infected Ferret 595 day 14 V3V5 Sample	V3V5	14	I	595I
595I_01_V3V5	in_595_1d	Infected Ferret 595 day 1 V3V5 Sample	V3V5	1	I	595I
595I_03_V3V5	in_595_3d	Infected Ferret 595 day 3 V3V5 Sample	V3V5	3	I	595I
595I_05_V3V5	in_595_5d	Infected Ferret 595 day 5 V3V5 Sample	V3V5	5	I	595I
595I_07_V3V5	in_595_7d	Infected Ferret 595 day 7 V3V5 Sample	V3V5	7	I	595I
596I_14_V3V5	in_596_14d	Infected Ferret 596 day 14 V3V5 Sample	V3V5	14	I	596I
596I_01_V3V5	in_596_1d	Infected Ferret 596 day 1 V3V5 Sample	V3V5	1	I	596I
596I_03_V3V5	in_596_3d	Infected Ferret 596 day 3 V3V5 Sample	V3V5	3	I	596I
596I_05_V3V5	in_596_5d	Infected Ferret 596 day 5 V3V5 Sample	V3V5	5	I	596I
596I_07_V3V5	in_596_7d	Infected Ferret 596 day 7 V3V5 Sample	V3V5	7	I	596I
582U_03_V3V5	non_582_3d	Uninfected Ferret 582 day 3 V3V5 Sample	V3V5	3	U	582U
584U_14_V3V5	non_584_14d	Uninfected Ferret 584 day 14 V3V5 Sample	V3V5	14	U	584U
584U_03_V3V5	non_584_3d	Uninfected Ferret 584 day 3 V3V5 Sample	V3V5	3	U	584U
584U_05_V3V5	non_584_5d	Uninfected Ferret 584 day 5 V3V5 Sample	V3V5	5	U	584U
585U_14_V3V5	non_585_14d	Uninfected Ferret 585 day 14 V3V5 Sample	V3V5	14	U	585U
585U_03_V3V5	non_585_3d	Uninfected Ferret 585 day 3 V3V5 Sample	V3V5	3	U	585U
585U_07_V3V5	non_585_7d	Uninfected Ferret 585 day 7 V3V5 Sample	V3V5	7	U	585U
590U_00_V3V5	non_590_0d	Uninfected Ferret 590 day 0 V3V5 Sample	V3V5	0	U	590U
590U_01_V3V5	non_590_1d	Uninfected Ferret 590 day 1 V3V5 Sample	V3V5	1	U	590U
590U_03_V3V5	non_590_3d	Uninfected Ferret 590 day 3 V3V5 Sample	V3V5	3	U	590U
591U_03_V3V5	non_591_3d	Uninfected Ferret 591 day 3 V3V5 Sample	V3V5	3	U	591U
592U_01_V3V5	non_592_1d	Uninfected Ferret 592 day 1 V3V5 Sample	V3V5	1	U	592U
592U_03_V3V5	non_592_3d	Uninfected Ferret 592 day 3 V3V5 Sample	V3V5	3	U	592U
593U_03_V3V5	non_593_3d	Uninfected Ferret 593 day 3 V3V5 Sample	V3V5	3	U	593U
593U_05_V3V5	non_593_5d	Uninfected Ferret 593 day 5 V3V5 Sample	V3V5	5	U	593U
