PWY-6146	Super-Pathways;Biosynthesis	<i>Methanobacterium thermoautotrophicum</i> biosynthetic metabolism
PWY-6463	Peptidoglycan-Cross-Bridge-Biosynthesis	peptidoglycan cross-bridge biosynthesis IV (Weissella viridescens)
PWY-6471	Super-Pathways;Peptidoglycan-Biosynthesis;Antibiotic-Resistance	peptidoglycan biosynthesis IV (Enterococcus faecium)
PWY-6470	Super-Pathways;Peptidoglycan-Biosynthesis;Antibiotic-Resistance	peptidoglycan biosynthesis V (&beta;-lactam resistance)
PWY-5265	Super-Pathways;Peptidoglycan-Biosynthesis	peptidoglycan biosynthesis II (staphylococci)
PEPTIDOGLYCANSYN-PWY	Super-Pathways;Peptidoglycan-Biosynthesis	peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing)
PWY-6385	Super-Pathways;Peptidoglycan-Biosynthesis	peptidoglycan biosynthesis III (mycobacteria)
PWY-6387	Acetylmuramoyl-Pentapeptide-Biosynthesis	UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis III (<i>meso</i>-DAP-containing)
PWY-6386	Acetylmuramoyl-Pentapeptide-Biosynthesis	UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)
PWY-3261	Rhamnose-Biosynthesis;PLANT-CELL-STRUCTURE	UDP-L-rhamnose biosynthesis
PWY-1121	PLANT-CELL-STRUCTURE;Metabolic-Clusters	suberin monomers biosynthesis
PWY-7120	PLANT-CELL-STRUCTURE;Metabolic-Clusters	esterified suberin biosynthesis
PWY-6733	PLANT-CELL-STRUCTURE	sporopollenin precursor biosynthesis
PWY-5800	SECONDARY-CELL-WALL	xylan biosynthesis
PWY-1001	SECONDARY-CELL-WALL;PRIMARY-CELL-WALL;CARBO-BIOSYNTHESIS	cellulose biosynthesis
PWY-361	SECONDARY-CELL-WALL;LIGNIN-SYN	phenylpropanoid biosynthesis
PWY-1061	PRIMARY-CELL-WALL;CARBO-BIOSYNTHESIS	homogalacturonan biosynthesis
PWY-5980	Polysaccharides-Biosynthesis;PRIMARY-CELL-WALL	xylogalacturonan biosynthesis
PWY-282	Lipid-Biosynthesis;EPIDERMAL-STRUCTURE	cuticular wax biosynthesis
PWY-321	Lipid-Biosynthesis;EPIDERMAL-STRUCTURE	cutin biosynthesis
PWY-922	Lipid-Biosynthesis;ISOPRENOIDS;Cofactor-Biosynthesis	mevalonate pathway I
PWY-6174	Lipid-Biosynthesis;ISOPRENOIDS;Cofactor-Biosynthesis	mevalonate pathway II (archaea)
PWY-6648	SECONDARY-METABOLITE-BIOSYNTHESIS;Lipid-Biosynthesis	rhamnolipid biosynthesis
PWY-6795	SECONDARY-METABOLITE-BIOSYNTHESIS;Lipid-Biosynthesis	diacylglyceryl-<i>N,N,N</i>-trimethylhomoserine biosynthesis
LIPA-CORESYN-PWY	Lipid-Biosynthesis	Lipid A-core biosynthesis
PWY-6818	Lipid-Biosynthesis	ornithine lipid biosynthesis
PWY-4762	Super-Pathways;Lipid-Biosynthesis	superpathway of choline biosynthesis
PWY0-1264	Lipid-Biosynthesis	biotin-carboxyl carrier protein assembly
PWY-5148	Lipid-Biosynthesis	acyl-CoA hydrolysis
SOPHOROSYLOXYDOCOSANOATE-SYN-PWY	Lipid-Biosynthesis	sophorolipid biosynthesis
PWY-6129	Lipid-Biosynthesis	dolichol and dolichyl phosphate biosynthesis
PWY-6804	Lipid-Biosynthesis	diacylglycerol biosynthesis (PUFA enrichment in oilseed)
PWY-401	Lipid-Biosynthesis	glycolipid biosynthesis
PWYQT-4427	Lipid-Biosynthesis	sulfolipid biosynthesis
PWY-5885	Lipid-Biosynthesis	wax esters biosynthesis II
KDO-LIPASYN-PWY	Lipid-Biosynthesis	(KDO)<sub>2</sub>-lipid A biosynthesis I
PWY-6453	Lipid-Biosynthesis	stigma estolide biosynthesis
LPSSYN-PWY	Super-Pathways;Lipid-Biosynthesis	superpathway of lipopolysaccharide biosynthesis
PWY-6803	Lipid-Biosynthesis	phosphatidylcholine acyl editing
PWY-782	Lipid-Biosynthesis	glycolipid desaturation
PWY-5142	Lipid-Biosynthesis	acyl-ACP thioesterase pathway
PWY3DJ-11281	Lipid-Biosynthesis	sphingomyelin metabolism
PWY-5884	Lipid-Biosynthesis	wax esters biosynthesis I
TRIGLSYN-PWY	Lipid-Biosynthesis	triacylglycerol biosynthesis
PWY-5143	Lipid-Biosynthesis;Activation	fatty acid activation
PWY-5156	Super-Pathways;Fatty-acid-biosynthesis	superpathway of fatty acid biosynthesis II (plant)
PWY0-862	Fatty-acid-biosynthesis	<i>cis</i>-dodecenoyl biosynthesis
PWY-5970	Fatty-acid-biosynthesis	fatty acids biosynthesis (yeast)
PWY-6113	Super-Pathways;Fatty-acid-biosynthesis	superpathway of mycolate biosynthesis
PWY-6465	Fatty-acid-biosynthesis	&omega;-hydroxylation of caprate and laurate
FASYN-ELONG-PWY	Fatty-acid-biosynthesis	fatty acid elongation -- saturated
PWY-6799	Fatty-acid-biosynthesis	fatty acid biosynthesis (plant mitochondria)
PWY-5080	Fatty-acid-biosynthesis	very long chain fatty acid biosynthesis I
PWY-7094	Fatty-acid-biosynthesis	fatty acid salvage
PWY-5966	Fatty-acid-biosynthesis	fatty acid biosynthesis initiation II
PWYG-321	Fatty-acid-biosynthesis	mycolate biosynthesis
PWY-5997	Fatty-acid-biosynthesis	&alpha;-linolenate biosynthesis
PWY-6285	Super-Pathways;Fatty-acid-biosynthesis	superpathway of fatty acids biosynthesis (<i>E. coli</i>)
PWY-6710	Fatty-acid-biosynthesis	poly-hydroxy fatty acids biosynthesis
PWY-4381	Fatty-acid-biosynthesis	fatty acid biosynthesis initiation I
PWY-7036	Fatty-acid-biosynthesis	very long chain fatty acid biosynthesis II
PWY-5965	Fatty-acid-biosynthesis	fatty acid biosynthesis initiation III
PWY0-881	Super-Pathways;Fatty-acid-biosynthesis	superpathway of fatty acid biosynthesis I (E. coli)
PWY-5973	Fatty-acid-biosynthesis	<i>cis</i>-vaccenate biosynthesis
PWY-6284	Super-Pathways;Fatty-acid-biosynthesis	superpathway of unsaturated fatty acids biosynthesis (<i>E. coli</i>)
PWY-6468	Fatty-acid-biosynthesis	&omega;- hydroxylation of laurate
FASYN-INITIAL-PWY	Super-Pathways;Fatty-acid-biosynthesis	superpathway of fatty acid biosynthesis initiation (E. coli)
PWY-6917	Fatty-acid-biosynthesis	epoxy fatty acid biosynthesis
PWY-6282	Palmitoleate-Biosynthesis	palmitoleate biosynthesis I
PWY-5366	Palmitoleate-Biosynthesis	palmitoleate biosynthesis II
PWY-5998	Gamma-linolenate-Biosynthesis	&gamma;-linolenate biosynthesis I (plants)
PWY-6000	Gamma-linolenate-Biosynthesis	&gamma;-linolenate biosynthesis II (animals)
PWY-5994	Palmitate-Biosynthesis	palmitate biosynthesis I (animals and fungi)
PWY-5971	Palmitate-Biosynthesis	palmitate biosynthesis II (bacteria and plants)
PWY-5353	Unusual-fatty-acid-biosynthesis	arachidonate biosynthesis
PWY-5361	Unusual-fatty-acid-biosynthesis	&Delta;5-eicosenoate biosynthesis
PWY-5362	Unusual-fatty-acid-biosynthesis	&Delta;6-hexadecenoate biosynthesis
PWY-5367	Unusual-fatty-acid-biosynthesis	petroselinate biosynthesis
PWY-6013	Unusual-fatty-acid-biosynthesis	crepenynate biosynthesis
PWY-6014	Unusual-fatty-acid-biosynthesis	vernolate biosynthesis
PWY-6433	Unusual-fatty-acid-biosynthesis	hydroxylated fatty acid biosynthesis (plants)
PWY-6598	Unusual-fatty-acid-biosynthesis	sciadonate biosynthesis
PWY-6603	Unusual-fatty-acid-biosynthesis;Metabolic-Clusters	dicranin biosynthesis
PWY-6951	Unusual-fatty-acid-biosynthesis	docosahexanoate biosynthesis II
PWY-7053	Unusual-fatty-acid-biosynthesis	docosahexanoate biosynthesis I
PWY-7152	Unusual-fatty-acid-biosynthesis	pinolenic acid and coniferonic acid biosynthesis
PWY-5375	Conjugated-Fatty-Acid-Biosynthesis	&alpha;-eleostearic acid biosynthesis
PWY-5374	Conjugated-Fatty-Acid-Biosynthesis	punicic acid biosynthesis
PWY-5373	Conjugated-Fatty-Acid-Biosynthesis	calendate biosynthesis
PWY-5368	Conjugated-Fatty-Acid-Biosynthesis	dimorphecolate biosynthesis
PWY-4942	Cyclopropane-fatty-acid-biosyn	cyclopropane and cyclopropene fatty acid biosynthesis
PWY0-541	Cyclopropane-fatty-acid-biosyn	cyclopropane fatty acid (CFA) biosynthesis
PWY-7049	Eicosapentaenoate-Biosynthesis	eicosapentaenoate biosynthesis II (metazoa)
PWY-6958	Eicosapentaenoate-Biosynthesis	eicosapentaenoate biosynthesis I (algae and lower plants)
PWY-6940	Super-Pathways;Eicosapentaenoate-Biosynthesis	eicosapentaenoate biosynthesis III (fungi)
PWY-7050	Super-Pathways;Eicosapentaenoate-Biosynthesis	eicosapentaenoate biosynthesis IV (bacteria)
PWY-5147	Oleate-Biosynthesis	oleate biosynthesis I (plants)
PWY-6429	Oleate-Biosynthesis	ricinoleate biosynthesis
PWY-5996	Oleate-Biosynthesis	oleate biosynthesis II (animals and fungi)
PWY-5989	Stearate-Biosynthesis	stearate biosynthesis II (bacteria and plants)
PWY-5972	Stearate-Biosynthesis	stearate biosynthesis I (animals)
PWY3O-355	Stearate-Biosynthesis	stearate biosynthesis III (fungi)
PWY-5995	Linoleate-Biosynthesis	linoleate biosynthesis I (plants)
PWY-6001	Linoleate-Biosynthesis	linoleate biosynthesis II (animals)
PWY-7277	Super-Pathways;Sphingolipid-Biosynthesis	sphingolipid biosynthesis (mammals)
PWY-5129	Sphingolipid-Biosynthesis	sphingolipid biosynthesis (plants)
SPHINGOLIPID-SYN-PWY	Sphingolipid-Biosynthesis	sphingolipid biosynthesis (yeast)
PWY3DJ-12	Sphingolipid-Biosynthesis	ceramide <i>de novo</i> biosynthesis
PWY-3542	Choline-Biosynthesis	choline biosynthesis II
PWY-3385	Choline-Biosynthesis	choline biosynthesis I
PWY-3561	Choline-Biosynthesis	choline biosynthesis III
PHOSLIPSYN-PWY	Super-Pathways;Phospholipid-Biosynthesis	phospholipid biosynthesis I
PHOSLIPSYN2-PWY	Super-Pathways;Phospholipid-Biosynthesis	phospholipid biosynthesis II
PWY-6141	Super-Pathways;Phospholipid-Biosynthesis	archaetidylserine and archaetidylethanolamine biosynthesis
PWY-6349	Phospholipid-Biosynthesis	CDP-archaeol biosynthesis
PWY-6350	Super-Pathways;Phospholipid-Biosynthesis	archaetidylinositol biosynthesis
PWY-6352	Phospholipid-Biosynthesis	3-phosphoinositide biosynthesis
PWY-6367	Phospholipid-Biosynthesis;Cyclitols-Biosynthesis	D-<i>myo</i>-inositol-5-phosphate metabolism
PWY-6371	Super-Pathways;Phospholipid-Biosynthesis;Cyclitols-Biosynthesis	superpathway of inositol phosphate compounds
PWY-7039	Phospholipid-Biosynthesis	phosphatidate metabolism, as a signaling molecule
PWY-762	Phospholipid-Biosynthesis	phospholipid desaturation
PWY-5981	CDP-diacylglycerol-Biosynthesis	CDP-diacylglycerol biosynthesis III
PWY-5667	CDP-diacylglycerol-Biosynthesis	CDP-diacylglycerol biosynthesis I
PWY0-1319	CDP-diacylglycerol-Biosynthesis	CDP-diacylglycerol biosynthesis II
PWY-5668	Cardiolipin-Biosynthesis	cardiolipin biosynthesis I
PWY-5269	Cardiolipin-Biosynthesis	cardiolipin biosynthesis II
PWY0-1545	Cardiolipin-Biosynthesis	cardiolipin biosynthesis III
PWY3O-450	PhosphatidylcholineBiosynthesis	phosphatidylcholine biosynthesis I
PWY4FS-4	PhosphatidylcholineBiosynthesis	phosphatidylcholine biosynthesis IV
PWY-6826	PhosphatidylcholineBiosynthesis	phosphatidylcholine biosynthesis VI
PWY4FS-3	PhosphatidylcholineBiosynthesis	phosphatidylcholine biosynthesis III
PWY-6825	PhosphatidylcholineBiosynthesis	phosphatidylcholine biosynthesis V
PWY4FS-2	PhosphatidylcholineBiosynthesis	phosphatidylcholine biosynthesis II
PWY-5669	PhosphatidylethanolamineBiosynthesis	phosphatidylethanolamine biosynthesis I
PWY4FS-6	PhosphatidylethanolamineBiosynthesis	phosphatidylethanolamine biosynthesis II
PWY-6273	PhosphatidylethanolamineBiosynthesis	phosphatidylethanolamine biosynthesis III
PWY4FS-8	Super-Pathways;PhosphatidylglycerolBiosynthesis	phosphatidylglycerol biosynthesis II (non-plastidic)
PWY4FS-7	Super-Pathways;PhosphatidylglycerolBiosynthesis	phosphatidylglycerol biosynthesis I (plastidic)
PWY-6580	PhosphatidylglycerolBiosynthesis	L-1-phosphatidyl-inositol biosynthesis (Mycobacteria)
PWY-2541	TRITERPENOID-SYN;Super-Pathways;Sterol-Biosynthesis	plant sterol biosynthesis
PWY-6032	Sterol-Biosynthesis	cardenolide biosynthesis
PWY-6036	Sterol-Biosynthesis	cardenolide glucosides biosynthesis
PWY-6061	Sterol-Biosynthesis	bile acid biosynthesis, neutral pathway
PWY-6074	Sterol-Biosynthesis	zymosterol biosynthesis
PWY-6132	Sterol-Biosynthesis	lanosterol biosynthesis
PWY-6424	Sterol-Biosynthesis	sitosterol biosynthesis
PWY-7155	Sterol-Biosynthesis	7-dehydroporiferasterol biosynthesis
PWY66-3	Super-Pathways;Sterol-Biosynthesis	cholesterol biosynthesis II (via 24,25-dihydrolanosterol)
PWY66-341	Super-Pathways;Sterol-Biosynthesis	cholesterol biosynthesis I
PWY66-4	Super-Pathways;Sterol-Biosynthesis	cholesterol biosynthesis III (via desmosterol)
PWY66-5	Super-Pathways;Sterol-Biosynthesis	superpathway of cholesterol biosynthesis
ERGOSTEROL-SYN-PWY	Super-Pathways;Ergosterol-Biosynthesis	superpathway of ergosterol biosynthesis I
PWY-7156	Super-Pathways;Ergosterol-Biosynthesis	superpathway of ergosterol biosynthesis II
PWY-7154	Ergosterol-Biosynthesis	ergosterol biosynthesis II
PWY-6075	Ergosterol-Biosynthesis	ergosterol biosynthesis I
PWY-5109	Other-biosynthesis	2-methylbutyrate biosynthesis
PWY-7255	Other-biosynthesis	ergothioneine biosynthesis
PWY-6270	Super-Pathways;Other-biosynthesis	isoprene biosynthesis
PWY-6657	Other-biosynthesis	polyhydroxydecanoate biosynthesis
PWY-6840	Other-biosynthesis	homoglutathione biosynthesis
PWY-6933	Other-biosynthesis;Detoxification	seleno-amino acid detoxification and volatilization III
PWY-7052	Other-biosynthesis	cyanophycin metabolism
PWY-5670	TRITERPENOID-SYN;Other-biosynthesis	epoxysqualene biosynthesis
PWY1-3	Other-biosynthesis	polyhydroxybutyrate biosynthesis
PWY-6498	Other-biosynthesis	eumelanin biosynthesis
PWY-6745	Other-biosynthesis	phytochelatins biosynthesis
PWY-6931	Other-biosynthesis	seleno-amino acid detoxification and volatilization I
PWY-6936	Other-biosynthesis	seleno-amino acid biosynthesis
PWY-5389	Other-biosynthesis	methylthiopropionate biosynthesis
PWY0-1534	Other-biosynthesis	hydrogen sulfide biosynthesis
PWY-6481	Other-biosynthesis	L-dopachrome biosynthesis
PWY-6730	Other-biosynthesis	methylhalides biosynthesis (plants)
PWY-6841	Other-biosynthesis	homophytochelatin biosynthesis
PWY-6935	Other-biosynthesis	seleno-amino acid detoxification and volatilization II
PWY-6664	Organic-solutes-Biosynthesis	di-myo-inositol phosphate biosynthesis
PWY-7054	Organic-solutes-Biosynthesis	<i>N</i>-acetylglutaminylglutamine amide biosynthesis
PWY-5662	Glucosylglycerate-Biosynthesis	glucosylglycerate biosynthesis I
PWY-6685	Glucosylglycerate-Biosynthesis	glucosylglycerate biosynthesis II
PWY-6054	Dimethylsulfoniopropionate-Biosynthesis	dimethylsulfoniopropionate biosynthesis I (Wollastonia)
PWY-6053	Dimethylsulfoniopropionate-Biosynthesis	dimethylsulfoniopropionate biosynthesis III (algae)
PWY-6055	Dimethylsulfoniopropionate-Biosynthesis	dimethylsulfoniopropionate biosynthesis II (Spartina)
PWY-5656	Mannosylglycerate-Biosynthesis	mannosylglycerate biosynthesis I
PWY-5658	Mannosylglycerate-Biosynthesis	mannosylglycerate biosynthesis II
PWY-6687	Mannosylglucosylglycerate-Biosynthesis	mannosylglucosylglycerate biosynthesis II
PWY-6686	Mannosylglucosylglycerate-Biosynthesis	mannosylglucosylglycerate biosynthesis I
PWY-5985	Trehalose-biosynthesis	trehalose biosynthesis VII
TRESYN-PWY	Trehalose-biosynthesis	trehalose biosynthesis I
PWY-5983	Trehalose-biosynthesis	trehalose biosynthesis VI
TREHALOSESYN-PWY	Trehalose-biosynthesis	trehalose biosynthesis III
PWY-2661	Trehalose-biosynthesis	trehalose biosynthesis V
PWY-881	Trehalose-biosynthesis	trehalose biosynthesis II
PWY-2622	Trehalose-biosynthesis	trehalose biosynthesis IV
PWY-6154	Autoinducer-Biosynthesis	autoinducer AI-2 biosynthesis II (<i>Vibrio</i>)
PWY-6153	Autoinducer-Biosynthesis	autoinducer AI-2 biosynthesis I
PWY-6157	Autoinducer-Biosynthesis	autoinducer AI-1 biosynthesis
PWY0-661	PRPP-Biosynthesis	PRPP biosynthesis II
PWY0-662	PRPP-Biosynthesis	PRPP biosynthesis I
PWY-6375	Siderophores-Biosynthesis	desferrioxamine E biosynthesis
PWY-6379	Siderophores-Biosynthesis	alcaligin biosynthesis
PWY-6408	Siderophores-Biosynthesis	pyochelin biosynthesis
AEROBACTINSYN-PWY	Siderophores-Biosynthesis	aerobactin biosynthesis
PWY-761	Siderophores-Biosynthesis	rhizobactin 1021 biosynthesis
PWY-5912	Siderophores-Biosynthesis	2'-deoxymugineic acid phytosiderophore biosynthesis
PWY-6374	Super-Pathways;Siderophores-Biosynthesis	vibriobactin biosynthesis
PWY-6378	Siderophores-Biosynthesis	putrebactin biosynthesis
PWY-6407	Siderophores-Biosynthesis	yersiniabactin biosynthesis
PWY-6574	Siderophores-Biosynthesis	achromobactin biosynthesis
PWY-5903	Super-Pathways;Siderophores-Biosynthesis	bacillibactin biosynthesis
PWY-6289	Siderophores-Biosynthesis	petrobactin biosynthesis
PWY-6376	Siderophores-Biosynthesis	desferrioxamine B biosynthesis
PWY-6381	Siderophores-Biosynthesis	bisucaberin biosynthesis
PWY-6409	Siderophores-Biosynthesis	pyoverdine I biosynthesis
ENTBACSYN-PWY	Super-Pathways;Siderophores-Biosynthesis	enterobactin biosynthesis
PWY-5925	Siderophores-Biosynthesis	hydroxylated mugineic acid phytosiderophore biosynthesis
PWY-6320	AROMATIC-COMPOUNDS-BIOSYN	phaselate biosynthesis
PWY-981	Salicylate-Biosynthesis;AROMATIC-COMPOUNDS-BIOSYN	salicylate biosynthesis II
PWY-6457	CINNAMATE-SYN;AROMATIC-COMPOUNDS-BIOSYN	<i>trans</i>-cinnamoyl-CoA biosynthesis
PWY-6621	Super-Pathways;Salicylate-Biosynthesis;AROMATIC-COMPOUNDS-BIOSYN	salicylate glucosides biosynthesis I
PWY-6707	AROMATIC-COMPOUNDS-BIOSYN	gallate biosynthesis
PWY-5765	SECONDARY-METABOLITE-BIOSYNTHESIS;AROMATIC-COMPOUNDS-BIOSYN	1,3,5-trimethoxybenzene biosynthesis
PWY-6930	Metabolic-Clusters;AROMATIC-COMPOUNDS-BIOSYN	phenolic malonylglucosides biosynthesis
PWY-5901	AROMATIC-COMPOUNDS-BIOSYN	2,3-dihydroxybenzoate biosynthesis
PWY-7076	SECONDARY-METABOLITE-BIOSYNTHESIS;AROMATIC-COMPOUNDS-BIOSYN	3,5-dimethoxytoluene biosynthesis
PWY-6406	Salicylate-Biosynthesis;AROMATIC-COMPOUNDS-BIOSYN	salicylate biosynthesis I
PWY-6539	AROMATIC-COMPOUNDS-BIOSYN	petivericin biosynthesis
PWY-6624	Salicylate-Biosynthesis;AROMATIC-COMPOUNDS-BIOSYN	salicylate glucosides biosynthesis III
PWY-5751	PHENYLPROPANOID-SYN;AROMATIC-COMPOUNDS-BIOSYN	phenylethanol biosynthesis
PWY-6762	Salicylate-Biosynthesis;AROMATIC-COMPOUNDS-BIOSYN	salicylate glucosides biosynthesis IV
PWY-5886	AROMATIC-COMPOUNDS-BIOSYN	4-hydroxyphenylpyruvate biosynthesis
PWY-7075	SECONDARY-METABOLITE-BIOSYNTHESIS;Interconversion;AROMATIC-COMPOUNDS-BIOSYN	phenylethyl acetate biosynthesis
PWY-6323	AROMATIC-COMPOUNDS-BIOSYN	benzoylanthranilate biosynthesis
PWY-6458	AROMATIC-COMPOUNDS-BIOSYN	benzoyl-CoA biosynthesis
PWY-6623	Salicylate-Biosynthesis;AROMATIC-COMPOUNDS-BIOSYN	salicylate glucosides biosynthesis II
PWY-6752	AROMATIC-COMPOUNDS-BIOSYN	<i>o</i>-diquinones biosynthesis
PWY-5787	AROMATIC-COMPOUNDS-BIOSYN	oligomeric urushiol biosynthesis
PWY-7074	SECONDARY-METABOLITE-BIOSYNTHESIS;AROMATIC-COMPOUNDS-BIOSYN	phenylethanol glycoconjugate biosynthesis
PWY-5754	4-Hydroxybenzoate-Biosynthesis	4-hydroxybenzoate biosynthesis I (eukaryotes)
PWY-6435	4-Hydroxybenzoate-Biosynthesis	4-hydroxybenzoate biosynthesis V
PWY-6431	4-Hydroxybenzoate-Biosynthesis	4-hydroxybenzoate biosynthesis IV
PWY-5755	4-Hydroxybenzoate-Biosynthesis	4-hydroxybenzoate biosynthesis II (bacteria and fungi)
PWY3O-1109	Super-Pathways;4-Hydroxybenzoate-Biosynthesis	superpathway of 4-hydroxybenzoate biosynthesis (yeast)
PWY-6164	3-Dehydroquinate-Biosynthesis	3-dehydroquinate biosynthesis I
PWY-6160	3-Dehydroquinate-Biosynthesis	3-dehydroquinate biosynthesis II (archaea)
ARO-PWY	Super-Pathways;Chorismate-Biosynthesis	chorismate biosynthesis I
PWY-6165	Super-Pathways;Chorismate-Biosynthesis	chorismate biosynthesis II (archaea)
PWY-6163	Chorismate-Biosynthesis	chorismate biosynthesis from 3-dehydroquinate
PWY-6330	SECONDARY-METABOLITE-BIOSYNTHESIS;Carbohydrates-Biosynthesis	acetaldehyde biosynthesis II
PWY-5782	Carbohydrates-Biosynthesis	2-keto-L-gulonate biosynthesis
PWY-5750	Carbohydrates-Biosynthesis	itaconate biosynthesis
PWY-6333	Carbohydrates-Biosynthesis	acetaldehyde biosynthesis I
PWY-7027	Olefins-Biosynthesis	hentriaconta-3,6,9,12,15,19,22,25,28-nonaene biosynthesis
PWY-7035	Alkenes-Biosynthesis	(<i>Z</i>)-9-tricosene biosynthesis
PWY-7029	Alkenes-Biosynthesis	terminal olefins biosynthesis II
PWY-7026	Alkenes-Biosynthesis	terminal olefins biosynthesis I
CALVIN-PWY	Photosynthesis;CARBO-BIOSYNTHESIS;Autotrophic-CO2-Fixation	Calvin-Benson-Bassham cycle
PWY-822	CARBO-BIOSYNTHESIS	fructan biosynthesis
GLYCOCAT-PWY	Glycogen-Degradation;CARBO-BIOSYNTHESIS	glycogen degradation I
PWY-6724	Starch-Degradation;CARBO-BIOSYNTHESIS	starch degradation II
PWY-862	POLYSACCHARIDES-DEG;CARBO-BIOSYNTHESIS	fructan degradation
PWY-842	Starch-Degradation;CARBO-BIOSYNTHESIS	starch degradation I
PWY-7238	Sucrose-Biosynthesis	sucrose biosynthesis II
SUCSYN-PWY	Sucrose-Biosynthesis	sucrose biosynthesis I
PWY-4841	SUGAR-NUCLEOTIDES;CYCLITOLS-DEG	UDP-&alpha;-D-glucuronate biosynthesis (from <i>myo</i>-inositol)
PWY-1269	SUGAR-NUCLEOTIDES;CMP-KDO-Biosynthesis	CMP-KDO biosynthesis I
PWY-3821	SUGAR-NUCLEOTIDES;GALACTOSE-DEGRADATION	galactose degradation III
PWY-4	SUGAR-NUCLEOTIDES	UDP-D-galacturonate biosynthesis II (from D-galacturonate)
PWY-4821	SUGAR-NUCLEOTIDES	UDP-D-xylose and UDP-D-glucuronate biosynthesis
PWY-4861	SUGAR-NUCLEOTIDES	UDP-D-galacturonate biosynthesis I (from UDP-D-glucuronate)
PWY-5111	SUGAR-NUCLEOTIDES;CMP-KDO-Biosynthesis	CMP-KDO biosynthesis II (from D-arabinose 5-phosphate)
PWY-5114	Super-Pathways;SUGAR-NUCLEOTIDES;Interconversion	UDP-sugars interconversion
