UDPNACETYLGLUCOSAMACYLTRANS-ENZRXN	UDP-N-acetylglucosamine acyltransferase
ENZRXN-21293	(13R)-isotuberculosinol synthase
ENZRXN-20822	tetraketide pyrone synthase
ENZRXN0-6519	deoxyribonucleoside 5'-monophosphate phosphatase
ENZRXN-18188	aggrecanase
ENZRXN-15012	&alpha;-xylosyltransferase
ENZRXN-18215	sulfopropanediol 3-dehydrogenase
ENZRXN-14913	nicotianamine synthase
3-HYDROXYDECANOYL-ACP-DEHYDR-ENZRXN	3-hydroxyacyl-[acp] dehydratase
DIAMTRANSAM-ENZRXN	diamine transaminase
ENZRXN3O-4106	2-methylbutanol dehydrogenase
ENZRXN-12643	leucodelphinidin:NADP+ 4-oxidoreductase
ENZRXN-4248	6-phospho-3-hexuloisomerase
ENZRXN-7021	(-)-isopiperitenol dehydrogenase
GLUTAMINB-ENZRXN	glutaminase B
ENZRXN-17294	decaprenyl-phosphoryl-2-keto-&beta;-D-<i>erythro</i>-pentofuranose reductase
ENZRXN-2003	uracil-DNA glycosylase
ENZRXN-20058	7-methylxanthine demethylase
ENZRXN-12092	paraxanthine:S-adenosyl-L-methionine 3-N-methyltransferase
ENZRXN-14721	2-<i>epi</i>-5-<i>epi</i>-valiolone synthase
ENZRXNT9-2104	aconitase
ENZRXN-11894	2-ketoarginine ureohydrolase
DIMESULFREDUCT-ENZRXN	dimethyl sulfoxide reductase
ENZRXN-13602	&alpha;-cubebene synthase
ENZRXN-142	acetaldehyde dehydrogenase
ENZRXN-21164	quercetin 3'-<i>O</i>-methyltransferase
ENZRXN-3389	fluorene monooxygenase
ENZRXN-17700	succinate semialdehyde dehydrogenase
ENZRXN-3302	ATP synthase
ENZRXN-13348	&alpha;-chamigrene synthase
ENZRXNQT-12504	7-methylthioheptyldesulfoglucosinolate sulfotransferase
ENZRXN0-2341	palmitoyl transferase for Lipid A
ENZRXN-13143	D-galactosylononitol synthase
ENZRXN-1211	4-coumarate coenzyme A ligase
ENZRXN-14556	(E)-heptaprenyl-diphosphate:isopentenyl-diphosphate octaprenyltranstransferase
ENZRXN-15751	3,4-dichlorocatechol 1,2-dioxygenase
ENZRXN-13453	crocetin monoglucosyl ester glucosyltransferase
ENZRXN-16550	futalosine synthase
ENZRXN-18494	L-saccharopine oxidase
ENZRXN0-277	FMN reductase
ENZRXN-9648	dihydropyrimidase
ENZRXN-13423	glutathione synthetase
ENZRXN-20757	rhamnose 4'-<i>O</i>-methyltransferase
ENZRXN66-6840	pregnenolone 17-&alpha;-hydroxylase
ENZRXN-15606	(25<i>R</i>)-5&beta;-cholestane-3&alpha;,7&alpha;,26-triol dehydrogenase
ENZRXN0-7499	phytase
ENZRXN-13359	quinolinate phosphoribosyltransferase (decarboxylating)
ENZRXN-19804	8-oxo-dGTP diphosphatase
ENZRXN1G-1160	trehalose-cis-methoxy-mycolate:trehalose-cis-methoxy-mycolate 6-mycolyltransferase
ENZRXN66-4021	4,4-dimethylzymosterol,NAD(P)H:oxygen oxidoreductase (hydroxylating)
ENZRXN-20408	(2S)-2-hydroxy-2-[4,5,7,10-tetrahydroxy-3-(3-oxobutanoyl)anthracen-2-yl]acetate cyclase
ENZRXN-17281	decaprenyl-<i>N</i>-acetyl-&alpha;-D-glucosaminyl-pyrophosphate:dTDP-&alpha;-L-rhamnose rhamnosyltransferase
ENZRXN-15580	NADPH-cytochrome P450 reductase
ENZRXN8J2-2165	pulcherriminic acid synthase
ENZRXN-19654	pregnenolone dehydrogenase
ENZRXN-17193	acrylyl-CoA hydratase
PEPCARBOX-ENZRXN	phosphoenolpyruvate carboxylase
ENZRXN-15963	<i>N</i>-acetylneuraminate 9-phosphate synthase
ENZRXN-18504	1,2-dihydroxyethylphosphonate kinase
ENZRXN-17017	AMP 5'-nucleotidase
ADENYLYLSULFKIN-ENZRXN	adenylylsulfate kinase
ENZRXN-13808	(S)-N-methylcoclaurine,NADPH:oxygen oxidoreductase (C-O phenol-coupling)
ENZRXN-21154	3',4',5'-trimethylmyricetin 7-<i>O</i>-methyltransferase
ENZRXN-14144	ribulose bisphosphate carboxylase
ENZRXN-19630	chitotriose N'-deacetylase
ENZRXN-11710	benzophenone synthase
ENZRXN-18112	manganese-oxidizing peroxidase
ENZRXN-19012	<i>trans</i>-2-pentenal reductase
ENZRXN-21070	magnesium-protoporphyrin-IX 13-monomethyl ester,NADPH:oxygen monooxygenase
ENZRXN-17912	galactokinase
ENZRXN-5243	L-ascorbate peroxidase
ENZRXN-11961	gibberellin A1,2-oxoglutarate:oxygen oxidoreductase
ENZRXN3O-680	dUDP kinase
ENZRXN-8963	GTP cyclohydrolase
ENZRXN-13055	&beta;-ring carotenoid 4-ketolase
ENZRXN-8945	dihydroneopterin aldolase
ENZRXN-11607	arginase
ENZRXN-2964	inorganic pyrophosphatase
ENZRXN-20895	linalyl 6-<i>O</i>-&beta;-<i>D</i>-xylopyranosyl-&beta;-<i>D</i>-glucopyranoside glucosidase (Yabukita)
ENZRXN-8507	phospholipase D
ENZRXN-2246	1-18:2-2-trans-16:1-phosphatidylglycerol desaturase
ENZRXN1G-1173	cis,cis-delta19,31-3-oxo-C50:2-[acp] reductase
ENZRXN66-2248	GDP kinase
ENZRXN-13210	thiosulfate-forming enzyme
ENZRXN0-7384	glutathione peroxidase
ENZRXN-10081	D-arabinose isomerase
ENZRXN-15497	3,7-dimethylquercetagetin 3'-<i>O</i>-methyltransferase
ENZRXN-14543	phenylacetaldehyde synthase
ENZRXN-7586	sinapine esterase
ENZRXN-13029	&beta;-ring carotenoid 3-hydroxylase
ENZRXN-12521	prenyltransferase
ENZRXN-14462	carbapenam synthetase
MALDEXPHOSPHORYL-ENZRXN	maltodextrin phosphorylase
ENZRXN0-6183	thiazole synthase
ENZRXN-15977	NADH-cytochrome <i>b<sub>5</sub></i> reductase
ENZRXN-13493	levopimaratadiene synthase
ENZRXN0-7648	cytidine 2'3'-cyclic phosphodiesterase
ENZRXN-19537	3-hydroxybutyryl-coA dehydratase
ENZRXN-14259	taxane 13&alpha;-hydroxylase
ENZRXN-12165	13<SUP>1</SUP>-oxo-magnesium-protoporphyrin IX 13-monomethyl ester,NADPH:oxygen oxidoreductase (hydroxylating)
ENZRXN-20749	L-leucine 4-hydroxylase
ENZRXN0-7350	methionine-oxo-acid transaminase
ENZRXN-16892	tryptophan decarboxylase
ENZRXN-17832	hydrogenase
ENZRXN-16800	oleamide hydrolase
ENZRXN-15246	(R)3-hydroxydecenoyl-[acp]-[acyl-carrier protein]hydro-lyase (<i>trans</i>-&Delta;<sup>2</sup>-decenoyl-[acyl-carrier-protein]-forming)
ENZRXN-21607	&beta;-amyrin synthase
ENZRXN-18124	neurosporene desaturase
ENZRXN-16620	tetraiodothyroacetate phenol UDP-glucuronosyltransferase
ENZRXN-15645	3-chloro-3,5-cyclohexadiene-l,2-diol-1-carboxylate:NAD+ oxidoreductase (decarboxylating)
QOR-ENZRXN	quinone oxidoreductase
ENZRXN-18550	caryophyllene synthase
ENZRXN8J2-1872	lipoate-protein ligase
ENZRXN-18879	legionaminate synthase
KETOACYLCOATHIOL-ENZRXN	3-ketoacyl-CoA thiolase
ENZRXN-21709	NAD(+) kinase
XYLISOM-ENZRXN	xylose isomerase
ENZRXN-20473	hydroquinone 1,2-dioxygenase
ENZRXN-20667	decaprenylphospho-&beta;-D-ribofuranose 2-oxidase
ENZRXN-17510	benzoyl-CoA:phenylethanol benzoyltransferase
ENZRXN-3008	2-hydroxyhepta-2,4-dienedioate hydratase
ENZRXN-19697	selenocystathione synthase
ENZRXN-17973	3-epi-6-deoxocathasterone C-23 hydroxylase
ENZRXN-5442	isoflavone-7-O-glucoside-6''-O-malonyltransferase
ENZRXN-6927	terpinolene synthase
ENZRXN0-5182	3'-nucleotidase
ENZRXN-14135	13<SUP>1</SUP>-hydroxy-magnesium-protoporphyrin IX monomethyl ester cyclase
ENZRXN-17808	CYP83A1 8-methylthiooctanaldoxime monooxygenase
ENZRXN-12944	sulfide-quinone oxidoreductase
ENZRXN-13876	&beta;-phosphoglucomutase
ENZRXN-14053	&alpha;-ketoglutaric semialdehyde dehydrogenase
ENZRXN-19303	tRNA-dihydrouridine<sup>16</sup> synthase
ENZRXN-15510	9,10-epoxystearate hydrolase
ENZRXN-11854	ornithine aminotransferase
ENZRXN-16459	indole-3-acetyl-tyrosine synthetase
ENZRXN-2481	glyoxylate aminotransferase
ENZRXN-15160	8-(3-amino-5-hydroxyphenyl)-8-hydroxy-3,7-dimethyloctane-2,4,6-trione -[PKS-acp] synthase
ENZRXN1G-1648	arabinogalactan:trehalose-trans-methoxy-mono-mycolate mycolyltransferase
ENZRXN0-6575	glycerol-2-phosphatase
ENZRXN66-2220	phenylethanolamine <i>N</i>-methyltransferase
ENZRXN4FS-7	phosphatidyl-N-dimethylethanolamine N-methyltransferase
ENZRXN-21682	bis-&gamma;-glutamylcystine reductase
ENZRXN-20349	sarcosine oxidase
ENZRXN66-19597	phytenal dehydrogenase
ENZRXN-17429	sterol 24-C methyltransferase
ENZRXN-21398	salicylate glucosyltransferase
ENZRXN-19550	biotin--[acetyl-CoA carboxylase] synthetase
ENZRXN-13100	tropinone reductase (TR-I)
ENZRXN0-6272	glutathione S-transferase
GLYOXII-ENZRXN	glyoxalase II
ENZRXN-10425	L-cysteine-S-conjugate thiol-lyase (deaminating; pyruvate-forming)
ENZRXN-16026	<i>N</i>-octanoyl-L-homoserine lactone synthase
ENZRXN-12512	flavanone 4'-O-methyltransferase
ENZRXN0-4701	quinol monooxygenase
ENZRXN-5142	ammonia monooxygenase
ENZRXN-19214	violaxanthin de-epoxidase
ENZRXN-11362	aloesone synthase
ENZRXN-12739	capsorubin synthase
ENZRXN-17730	GA9 carboxyl methyltransferase
ENZRXN-21621	&beta;-amyrin synthase
ENZRXN-12237	<i>ent</i>-kaur-16-en-19-al oxidase
ENZRXN0-7430	4-hydroxythreonine kinase
ENZRXN-15334	vitexin &beta;-glucosyltransferase
ENZRXN-18169	guanine phosphoribosyltransferase
ENZRXN-16883	7-chloro-L-tryptophan oxidase
ENZRXN-13741	fructose-1,6-bisphosphate aldolase
ENZRXN-15126	kanosamine 6-kinase
ENZRXN-21290	2'-deoxyuridine phosphorylase
ENZRXN0-3062	3-hydroxy acid dehydrogenase
ENZRXN-18612	2,3-dihydroxycinnamate dioxygenase
ENZRXN-1243	photosystem I
ENZRXN-14818	heme oxygenase
ENZRXN-12955	glutathione-dependent sulfur dioxygenase
NAG1P-URIDYLTRANS-ENZRXN	N-acetylglucosamine-1-phosphate uridyltransferase
ENZRXN-17584	D-Alanine--D-Serine ligase
ENZRXN-325	pyrogallol transhydroxylase
ENZRXN-19953	trehalose-6-phosphate phosphatase
ENZRXN-1264	3-methylaspartase
ENZRXN-18869	polyphenol oxidase
ENZRXN-17404	mycothiol-arsenate ligase
ENZRXN-15037	6-carboxyhexanoate--CoA ligase
ENZRXN-5903	dimethylallyl-diphosphate:ADP dimethylallyltransferase
ENZRXN-18786	cyclodextrin glucanotransferase
ENZRXNQT-5200	Ins(1,4,5)P<sub>3</sub> 5-phosphatase
ENZRXN0-6590	23S rRNA m<sup>3</sup>&Psi;1915 methyltransferase
ENZRXN-17874	geranylfarnesyl diphosphate synthase
ENZRXN3O-242	indole-3-ethanol dehydrogenase
ENZRXN-19379	santalene synthase
ENZRXN-14710	decaprenyl diphosphate synthase
ENZRXN-13402	L-histidinol-phosphate:2-oxoglutarate aminotransferase
ENZRXN-17320	L-arginine:<i>N</i><sup>1</sup>-amidinostreptamine amidinotransferase
ENZRXN-6910	2-carene synthase
ENZRXN1G-3777	cis-delta21-39-hydroxy-40-methyl-C59:1-[acp] synthase
ENZRXN-19189	tRNA (guanine<sup>10</sup>-N<sup>2</sup>)-dimethyltransferase
DIACYLGLYKIN-ENZRXN	diacylglycerol kinase
ENZRXN-6431	dihydrozeatin-9-<i>N</i>-glucoside UDP glycosyltransferase
ENZRXNQT-12501	4-methylthiobutyldesulfoglucosinolate sulfotransferase
ENZRXN-9944	2-oxosuccinamate deamidase
GSADENYLATION-ENZRXN	glutamine synthetase adenylyltransferase
ENZRXN-21753	alcohol dehydrogenase
ENZRXN-21467	baicalein 7-<i>O</i>-glucosyltransferase
ENZRXN-21183	pheophorbide demethoxycarbonylase
ENZRXN-16088	6,7-dimethyl-8-ribityllumazine synthase
ENZRXN-15560	lignin peroxidase
ENZRXN-16450	indole-3-acetyl-isoleucine synthetase
ENZRXN-21260	Mn(II) oxidase
ENZRXN-1209	cinnamate 4-hydroxylase
ENZRXN-9645	pantoate:&beta;-alanine ligase
ENZRXN3O-11419	ribonucleoside-diphosphate reductase
ENZRXN66-5303	nucleoside-triphosphatase
ENZRXN-14576	(<i>S</i>)-2-hydroxypropylphosphonic acid epoxidase
ENZRXN-17741	L-galactonate dehydratase
ENZRXN-18234	cysteate synthase
ENZRXN0-5901	anhydro-<i>N</i>-acetylmuramic acid kinase
ENZRXN-12807	amorpha-4,11-diene synthase
ENZRXN-19600	pantalen-13-al oxygenase
ENZRXN-20339	benzoyl-CoA hydrolase
ENZRXN-13345	(+)-&beta;-chamigrene synthase
ENZRXN-12617	&beta;-carotene dioxygenase
ENZRXN66-4002	4,4-dimethyl-14&alpha;-hydroxymethyl-5&alpha;-cholesta-8,24-dien-3&beta;-o,NADPH:oxygen oxidoreductasel
ENZRXN-20779	2'-5' oligoadenylate synthetase
ENZRXN-20080	4-hydroxyacetophenone monooxygenase
ENZRXN-16359	4-hydroxybenzoate hydroxylase
ENZRXN-17104	phosphatidylinositol-3-phosphate 3-phosphatase
ENZRXN0-3401	glutamate-pyruvate aminotransferase
ENZRXN-15203	27-<i>O</i>-demethyl-rifamycin SV methyltransferase
ENZRXN-14884	10-hydroxygeraniol oxidoreductase
ENZRXN-11548	glucuronokinase
ENZRXN-18491	dCMP kinase
ENZRXN-17012	phosphatidylinositol 3-kinase
ENZRXN-5081	chalcone reductase
ENZRXN-14663	isochorismate synthase
ENZRXN8J2-878	&alpha;-L-arabinofuranosidase
ENZRXN-35	dehydroquinate dehydratase
ENZRXN-18405	(+)-germacrene D synthase
ENZRXN-19093	xylan 1,4-&beta;-xylosidase
ENZRXN-15056	molybdopterin-synthase adenylyltransferase
ENZRXN-17467	benzoyl-CoA-dihydrodiol lyase
ENZRXN1G-1155	trehalose-trans-methoxy-mono-mycolate:trehalose-trans-methoxy-mono-mycolate 6-mycolyltransferase
ENZRXNQT-9318	L-galactose dehydrogenase
ENZRXN-1901	4-hydroxybenzoyl-CoA reductase
ENZRXN-13005	sulfide:quinone oxidoreductase
ENZRXN-9022	cysteine dioxygenase
ENZRXN-13732	triosephosphate isomerase
ENZRXN-13472	catalase
ENZRXNQT-12409	long-chain-fatty-acid-CoA ligase
ENZRXN-15959	cis-homoaconitate hydratase
ENZRXN-20258	heptanal decarbonylase
ENZRXN-20890	octopine dehydrogenase
ENZRXN-20982	geraniol dehydrogenase
ENZRXN-17333	yersiniabactin synthase
ENZRXN-19258	neo-&lambda;-carrahexaose hydrolase
ENZRXN0-1641	tRNA-guanine transglycosylase
ENZRXN66-244	&omega;,<i>E,E</i>-farnesyl diphosphate synthase
ENZRXN-15624	2-chloro-cis,cis-muconate cycloisomerase
ENZRXN0-7314	mRNA interferase
ENZRXN-19940	eugenol synthase
ENZRXN-953	dimethylallyltransferase
ENZRXN-18108	1-phosphatidyl-1D-myo-inositol 3-phosphate
ENZRXN-7583	glutamine synthetase
ENZRXN-45	canaline carbamoyltransferase
ENZRXN-7947	ethanolamine kinase
ENZRXN-12542	coumaroyl-CoA:pelargonidin-3,5-diglucoside 5-O-glucoside-6-O-hydroxycinnamoyltransferase
ENZRXN-21197	5-amino-6-(5-phosphoribosylamino)uracil reductase
ENZRXN-19674	1,4-&beta-D-xylan-xylanohydrolase
ENZRXN-21345	2'-deoxyadenosine kinase
ENZRXN66-6203	<i>all-trans</i>-retinal dehydrogenase
IGPSYN-ENZRXN	indole-3-glycerol phosphate synthase
ENZRXN3O-2283	&beta;-ketoacyl-ACP synthase
ENZRXN-2961	deoxyribose-phosphate aldolase
ENZRXN66-381	CMP kinase
ENZRXN-14255	glucosyl-3-phosphoglycerate synthase
ENZRXN-16911	5-carboxy-2-hydroxymuconate-6-semialdehyde decarboxylase
ENZRXN-11751	proline dehydrogenase
ENZRXN-13639	alanine dehydrogenase
ENZRXN-14350	3-hydroxybutyryl-CoA dehydrogenase
ENZRXN-14590	serine-glyoxylate aminotransferase
ENZRXN-12690	4-coumaroyl-CoA:pelargonidin-3-<i>O</i>-&beta;-D-glucoside-6''-O-acyltransferase
ENZRXN-17168	3-diphosphoinositol pentakisphosphate 5-kinase
ENZRXN-17789	D-glucarate dehydratase
ENZRXN-15493	quercetin 3-<i>O</i>-methyltransferase
ENZRXN-16618	triiodothyroacetate phenol UDP-glucuronosyltransferase
DEOXYRIBOSE-P-ALD-ENZRXN	deoxyribose-phosphate aldolase
ENZRXN-16987	StaC monooxygenase
ENZRXN-18900	D-xylose dehydrogenase
ENZRXN-13076	sulfite:acceptor oxidoreductase
ENZRXN-15794	mannosylfructose-phosphate phosphatase
ENZRXN-16706	selenophosphate synthetase
ENZRXN-20793	&beta;-carotene 15,15&prime;-monooxygenase
ENZRXN-14764	deacetylcolchicine N-acetyltransferase
ENZRXN-19532	aminomethylpyrimidine amidohydrolase
ENZRXN-19165	lycopene dioxygenase
ENZRXN-20470	daphnetin 3-<i>O</i>-glucosyltransferase
ENZRXN-21665	cyanidin 3-<i>O</i>-glucoside 5-<i>O</i>-glucosyltransferase (acyl-glucose dependent)
ENZRXN-6947	&beta;-phellandrene synthase
ENZRXN-12079	3-hydroxy-isobutyryl-CoA hydro-lyase
ENZRXN0-7409	adenosine nucleosidase
ENZRXN-18985	feruloyl esterase
ENZRXN-21604	&beta;-amyrin synthase
ENZRXN-19860	glutaminase
ENZRXN-13871	hydroxyquinol 1,2-dioxygenase
ENZRXN-20574	lupeol 28-oxidase
ENZRXNCEQ-3310	dihydrolipoamide dehydrogenase
ENZRXNQT-12644	(E)-&beta;-ocimene synthase
ENZRXN-21045	vinorine 21-hydroxylase
ENZRXN-14160	lactase
METHYLENETHFDEHYDROG-NADP-ENZRXN	methylenetetrahydrofolate dehydrogenase
ENZRXN0-4401	isoaspartyl dipeptidase
ENZRXN-13337	(+)-thujopsene synthase
ENZRXN-20862	D-xylose reductase
VALS-ENZRXN	valyl-tRNA synthetase
ENZRXN4FS-47	<i>(E,E)</i>-&alpha;-farnesene synthase
ASPAMINOTRANS-ENZRXN	aspartate transaminase
ENZRXN-13963	L-serine ammonia-lyase
ENZRXN-16476	indole-3-acetyl-glutamate synthetase
ENZRXN-9141	UDP-D-glucose/UDP-D-galactose 4-epimerase
ENZRXN-17851	phosphoglucomutase
ENZRXN-983	succinyl-CoA:benzylsuccinate CoA-transferase
ENZRXN-8327	lysine <i>N</i><sup>6</sup>-acetyltransferase
ENZRXN-15102	NADH:FMN oxidoreductase
ENZRXN-18482	NDP-2,6-dideoxy-L-<i>erythro</i>-4-hexulose 4-ketoreductase
ENZRXN-12941	abscisic acid glucosyltransferase
ENZRXN-742	homoserine <i>O</i>-acetyltransferase
ENZRXN-10421	phosphoserine phosphatase
ENZRXN-20368	metaretonochrome:<i>all-trans</i>-retinal-[retinal-binding protein] retinal transferase
ENZRXN-21728	2-benzyl-3-hydroxybutanedioate dehydrogenase
ENZRXN-12001	imidazole propionase
ENZRXN66-1583	phosphoglycerate mutase
ENZRXN66-2540	phosphatidylserine decarboxylase
ENZRXN66-4291	fatty aldehyde dehydrogenase
ENZRXN-14440	deethylatrazine hydrolase
ENZRXN-17384	quinate dehydrogenase
ENZRXN0-6572	peptidoglycan D,D-transpeptidase
ENZRXN-12234	L-isoleucine:2-oxoglutarate aminotransferase
ENZRXN1G-1128	cis,cis-delta13,25-C44:2-[acyl-carrier protein]:malonyl-[acyl-carrier protein] C-acyltransferase (decarboxylating)
ENZRXN-14231	L-lysine 6-dehydrogenase
ENZRXN-13768	L-lactate dehydrogenase
ENZRXN0-5541	phosphodiesterase, c-di-GMP-specific
ENZRXN-13248	thiosulfate reductase
ENZRXN-10997	acetyl-CoA carboxylase
ENZRXN-12556	GPP:olivetolate geranyltransferase
ENZRXN-17060	inositol-1,3,4,5-tetrakisphosphate 3-phosphatase
GLYOCARBOLIG-ENZRXN	glyoxylate carboligase
ENZRXN-16777	glutamyl-tRNA(Gln) amidotransferase
ENZRXN-1861	phenylalanine transaminase
ENZRXN-21240	8-oxo-guanine diphosphate phosphatase
ENZRXN-19976	phosphoacetylglucosamine mutase
ENZRXN-15949	UDP-<i>N</i>-acetylglucosamine 2-epimerase
ENZRXN-15182	decanoyl-CoA hydrolase
ENZRXN-16584	cobinamide adenosyltransferase
ENZRXN-17727	5-pentadecatrienylresorcinol synthase
ENZRXN0-7703	adenosine 3' nucleotidase
ENZRXN-5884	6-oxocineole oxygenase
ENZRXN-12344	very-long-chain 3-ketoacyl-CoA synthase
ENZRXN-16923	syringate <i>O</i>-demethylase
ENZRXN-19050	cellulose 1,4-&beta;-cellobiosidase
ENZRXN-20643	isovaleryl-CoA synthase
ENZRXN3O-4113	2-methylbutanol dehydrogenase
ENZRXN-17446	3-ureido-isobutyrate amidohydrolase
ENZRXN-12600	(3R)-3-hydroxyacyl-CoA hydro-lyase
ENZRXN-181	butanol dehydrogenase
ENZRXN-20441	dirigent protein
ENZRXN0-302	asparaginase
ENZRXN1G-3539	[acp] S-malonyltransferase
SUCCDIAMINOPIMDESUCC-ENZRXN	<i>N</i>-succinyl-L-diaminopimelate desuccinylase
ENZRXN-18694	&beta;-sitosterol glucosyltransferase
DISULISOM-ENZRXN	protein disulfide isomerase
ENZRXN-18913	phytoene synthase
ENZRXN-19236	vacuolar H+-ATPase
ENZRXN-20936	<i>sn</i>-2-glycerol-3-phosphate C22:0-DCA-CoA acyl transferase
ENZRXN-14028	UDP-<i>N</i>-acetylglucosamine pyrophosphorylase
ENZRXN-14642	5-demethoxyubiquinol hydroxylase
ENZRXN-2913	D-tagatose-1,6-diphosphate aldolase
ENZRXN-15034	dTDP-L-dihydrostreptose:streatidine-6-phosphate dihydrostreptosyltransferase
ENZRXN-13847	gallate-1-&beta;-glucosyltransferase
ENZRXN-16085	2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase
ENZRXN-12120	geranylgeranyl-chlorophyll <i>a</i> reductase
ENZRXN-21317	nucleoside triphosphate phosphatase
ENZRXN-18017	heparan sulfate <i>N</i>-deacetylase
ENZRXN-6243	tRNA dimethylallyltransferase
ENZRXN-6970	(+)-isomenthone:NADP+ oxidoreductase
ENZRXN-7842	24-methylenesterol <i>C</i>-methyltransferase
ENZRXN66-18918	arylamine acetylase
ENZRXNQT-10543	UTP:glucose-1-phosphate uridylyltransferase
ENZRXN-17316	arabinogalactan:decaprenyl-phosphoryl-&beta;-D-arabinofuranose &beta;(1-->2) arabinofuranosyltransferase
ENZRXN-18231	L-cysteate aminotransferase
ENZRXN-15479	5&alpha;-progesterone reductase
ENZRXN490-3620	proton-translocating NADH-quinone oxidoreductase
ENZRXN-18509	acetylacetone:oxygen oxidoreductase
ENZRXN-12660	APS reductase
ENZRXN-265	lactate CoA-transferase
ENZRXN1G-807	palmitoyl-[acp] reductase
ENZRXN-14172	acetyl:succinate CoA-transferase
ENZRXN-14299	solanidine glucosyltransferase
ENZRXN-21180	kaempferol 3-<i>O</i>-methyltransferase
ENZRXN-1125	2-aminobenzoate-CoA ligase
ENZRXN-20077	cyanate hydratase
ENZRXN-945	acetyl-CoA acetyltransferase
ENZRXN-5274	monodehydroascorbate reductase
ENZRXN-19517	isopropanol dehydrogenase
ENZRXN-14741	P-geraniol synthase
ENZRXN-10301	Indole-3-glycerol phosphate lyase
ENZRXN-14573	L-<i>allo</i>-threonine aldolase
ENZRXN0-6343	cadaverine:H<sup>+</sup> symporter
ENZRXN-3465	mercury(II) reductase
ENZRXN-16173	3-chloro-4-hydroxyphnylacetate reductive dehalogenase
ENZRXN-1649	cystathionine &beta;-lyase
ENZRXN-16657	3-oxo-<i>cis</i>-&Delta;<sup>7</sup>-tetradecenoyl-[acp] reductase
ENZRXN-12407	4-hydroxyphenylacetaldehyde oxime monooxygenase
ENZRXN1G-1249	trans-delta2-cis-delta17-C36:2-[acp]:NADH+ oxidoreductase
ENZRXN66-336	cytidine deaminase
ENZRXNQT-12525	7-methylthioheptylglucosinolate S-oxygenase
ENZRXN-21595	isoarborinol synthase
