"Additional file 1 - List of reactions, genes and metabolites included in the R. ferrireducens in silico model"						
						
List of intracellular reactions						
						
Abbreviation	Name	Equation	Confidence	Subsystem	Gene	Protein
DD6PGA	2-dehydro-3-deoxy-6-phosphogalactonate aldolase	[c] : 2dh3dgal6p --> g3p + pyr	3	Alternate Carbon Metabolism	"Rfer_0951, Rfer_0950"	"DgoA2, DgoA1"
FCLPA	L-fuculose 1-phosphate aldolase	[c] : fc1p <==> dhap + lald-L	3	Alternate Carbon Metabolism	Rfer_3750	FucA
GALCTND	galactonate dehydratase	[c] : galctn-D --> 2dh3dgal + h2o	3	Alternate Carbon Metabolism	"Rfer_0951, Rfer_0950"	"DgoA1, DgoA2"
GALU	UTP-glucose-1-phosphate uridylyltransferase	[c] : g1p + h + utp <==> ppi + udpg	2	Alternate Carbon Metabolism	Rfer_0712	GtaB
GLCRAL	5-dehydro-4-deoxyglucarate aldolase	[c] : 5d4dglcr --> 2h3opp + pyr	2	Alternate Carbon Metabolism	Rfer_1241	GarL
GLYCTO2	Glycolate oxidase	[c] : glyclt + ubq8 --> glx + ubq8h2	3	Alternate Carbon Metabolism	Rfer_0606+Rfer_0481	GlcDF
GLYCTO3	Glycolate oxidase	[c] : glyclt + mqn8 --> glx + mql8	3	Alternate Carbon Metabolism	Rfer_0606+Rfer_0481	GlcDF
GLYCTO4	Glycolate oxidase	[c] : 2dmmq8 + glyclt --> 2dmmql8 + glx	3	Alternate Carbon Metabolism	Rfer_0606+Rfer_0481	GlcDF
GNK	gluconokinase	[c] : atp + glcn-D --> 6pgc + adp + h	2	Alternate Carbon Metabolism	Rfer_0956	IdnK
HOXVA	4-hydroxy-2-oxovalerate aldolase	[c] : 4h2oxv --> acald + pyr	3	Alternate Carbon Metabolism	Rfer_0454	MhpE
HPYRRx	hydroxypyruvate reductase	[c] : h + hpyr + nadh --> glyc-R + nad	3	Alternate Carbon Metabolism	Rfer_3829	YcdW
HPYRRy	hydroxypyruvate reductase	[c] : h + hpyr + nadph --> glyc-R + nadp	3	Alternate Carbon Metabolism	Rfer_3829	YcdW
HXAD	Hexosaminidase	[c] : chitob + h2o --> (2) acgam	3	Alternate Carbon Metabolism	Rfer_1754	NagZ
LACZ	lactase	[c] : h2o + lcts --> gal + glc-D	3	Alternate Carbon Metabolism	Rfer_1113	BglX
LCAD	lactaldehyde dehydrogenase	[c] : h2o + lald-L + nad <==> (2) h + lac-L + nadh	3	Alternate Carbon Metabolism	"Rfer_0121, Rfer_2866"	"AldB, AdhC"
MICITH	2-methylisocitrate hydratase	[c] : 2mcacn + h2o --> micit	3	Alternate Carbon Metabolism	"Rfer_1806, Rfer_2366"	"AcnA, AcnB"
MLTP1	Maltodextrin phosphorylase (maltopentaose)	[c] : maltpt + pi <==> g1p + maltttr	2	Alternate Carbon Metabolism	Rfer_3895	MalP
MLTP2	Maltodextrin phosphorylase (maltohexaose)	[c] : malthx + pi <==> g1p + maltpt	2	Alternate Carbon Metabolism	Rfer_3895	MalP
MLTP3	Maltodextrin phosphorylase (maltoheptaose)	[c] : malthp + pi <==> g1p + malthx	2	Alternate Carbon Metabolism	Rfer_3895	MalP
MME	methylmalonyl-CoA epimerase	[c] : mmcoa-R <==> mmcoa-S	1	Alternate Carbon Metabolism		
MMM	methylmalonyl-CoA mutase	[c] : mmcoa-R --> succoa	3	Alternate Carbon Metabolism	Rfer_3612	MutAB
MMM2	Methylmalonyl-CoA mutase	[c] : succoa --> mmcoa-R	3	Alternate Carbon Metabolism	Rfer_2805	Sbm
PGLYCP	phosphoglycolate phosphatase	[c] : 2pglyc + h2o --> glyclt + pi	2	Alternate Carbon Metabolism	"Rfer_2829, Rfer_3611"	"Gph, Gph2"
PGMT	phosphoglucomutase	[c] : g1p <==> g6p	3	Alternate Carbon Metabolism	Rfer_1145	Pgmec
PMANM	phosphomannomutase	[c] : man1p <==> man6p	3	Alternate Carbon Metabolism	Rfer_2999	CpsG
PPCSCT	Propanoyl-CoA: succinate CoA-transferase	[c] : ppcoa + succ --> ppa + succoa	3	Alternate Carbon Metabolism	Rfer_1216	YgfH
PTA2	Phosphate acetyltransferase	[c] : pi + ppcoa --> coa + ppap	3	Alternate Carbon Metabolism	Rfer_0262	Pta
TRE6PP	trehalose-phosphatase	[c] : h2o + tre6p --> pi + tre	2	Alternate Carbon Metabolism	Rfer_2155	OtsB
TRE6PS	"alpha,alpha-trehalose-phosphate synthase (UDP-forming)"	[c] : g6p + udpg --> h + tre6p + udp	3	Alternate Carbon Metabolism	Rfer_2163	OtsA
ACGK	acetylglutamate kinase	[c] : acglu + atp --> acg5p + adp	3	Amino Acid Metabolism	Rfer_3524	ArgB
ACOTA	acetylornithine transaminase	[c] : acorn + akg <==> acg5sa + glu-L	3	Amino Acid Metabolism	Rfer_2121	ArgD
ADCL	4-aminobenzoate synthase	[c] : 4adcho --> 4abz + h + pyr	3	Amino Acid Metabolism	Rfer_3314	PabABC
ADCS	4-amino-4-deoxychorismate synthase	[c] : chor + gln-L --> 4adcho + glu-L	3	Amino Acid Metabolism	Rfer_3314	PabABC
AGPR	N-acetyl-g-glutamyl-phosphate reductase	[c] : acg5sa + nadp + pi <==> acg5p + h + nadph	2	Amino Acid Metabolism	Rfer_3946	ArgC
AHC	adenosylhomocysteinase	[c] : ahcys + h2o <==> adn + hcys-L	3	Amino Acid Metabolism	Rfer_0652	AhcY
ANPRT	anthranilate phosphoribosyltransferase	[c] : anth + prpp --> ppi + pran	3	Amino Acid Metabolism	Rfer_3602	TrpD
ANS1	anthranilate synthase	[c] : chor + gln-L --> anth + glu-L + h + pyr	3	Amino Acid Metabolism	"Rfer_3607, Rfer_3605"	TrpE+TrpG
ARGTRS	Arginyl-tRNA synthetase	[c] : arg-L + atp + trnaarg --> amp + argtrna + ppi	3	Amino Acid Metabolism	Rfer_0773	ArgS
ASPK	aspartate kinase	[c] : asp-L + atp <==> 4pasp + adp	3	Amino Acid Metabolism	Rfer_1353	AspK
ASPTA1	aspartate transaminase	[c] : akg + asp-L <==> glu-L + oaa	3	Amino Acid Metabolism	Rfer_0881	AspB2
ATPPRT	ATP phosphoribosyltransferase	[c] : atp + prpp --> ppi + prbatp	3	Amino Acid Metabolism	Rfer_2945	HisG2
CHORM	chorismate mutase	[c] : chor --> pphn	3	Amino Acid Metabolism	Rfer_1569	PheA
CRET	creatininase	[c] : crtn + h2o --> creat	2	Amino Acid Metabolism	Rfer_3746	CreT
DHAD1	"dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)"	[c] : 23dhmb --> 3mob + h2o	3	Amino Acid Metabolism	"Rfer_0456, Rfer_1921"	"IlvD, IlvD1"
DHAD2	"Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate)"	[c] : 23dhmp --> 3mop + h2o	3	Amino Acid Metabolism	"Rfer_0456, Rfer_1921"	"IlvD1, IlvD"
G5SD	glutamate-5-semialdehyde dehydrogenase	[c] : glu5p + h + nadph --> glu5sa + nadp + pi	3	Amino Acid Metabolism	Rfer_0761	ProA
GLNTRS	Glutaminyl-tRNA synthetase	[c] : atp + gln-L + trnagln --> amp + glntrna + ppi	3	Amino Acid Metabolism	Rfer_1823	GlnS
GLU5K	glutamate 5-kinase	[c] : atp + glu-L --> adp + glu5p	3	Amino Acid Metabolism	Rfer_1271	ProB
GLUR	glutamate racemase	[c] : glu-D <==> glu-L	3	Amino Acid Metabolism	Rfer_2597	MurI
GLUTRR	glutamyl-tRNA reductase	[c] : glutrna + h + nadph --> glu1sa + nadp + trnaglu	3	Amino Acid Metabolism	Rfer_1281	HemA
HISTD	histidinol dehydrogenase	[c] : h2o + histd + (2) nad --> (3) h + his-L + (2) nadh	3	Amino Acid Metabolism	Rfer_2946	HisD
HISTP	histidinol-phosphatase	[c] : h2o + hisp --> histd + pi	2	Amino Acid Metabolism	Rfer_3694	HisJ
HSAT	Acetyl-CoA:L-homoserine O-acetyltransferase	[c] : accoa + hom-L <==> achms + coa	3	Amino Acid Metabolism	Rfer_0406	MetA1
HSDy	homoserine dehydrogenase (NADPH)	[c] : hom-L + nadp <==> aspsa + h + nadph	3	Amino Acid Metabolism	Rfer_1912	Hom
HSTPT	histidinol-phosphate transaminase	[c] : glu-L + imacp --> akg + h + hisp	3	Amino Acid Metabolism	"Rfer_2947, Rfer_1409"	"HisC, HisC1"
IG3PS	Imidazole-glycerol-3-phosphate synthase	[c] : gln-L + prlp --> aicar + eig3p + glu-L + (2) h	3	Amino Acid Metabolism	Rfer_2949+Rfer_2951	HisF
IGPDH	imidazoleglycerol-phosphate dehydratase	[c] : eig3p + h --> h2o + imacp	3	Amino Acid Metabolism	Rfer_2948	HisB
IGPS	indole-3-glycerol-phosphate synthase	[c] : 2cpr5p + h --> 3ig3p + co2 + h2o	3	Amino Acid Metabolism	Rfer_3601	TrpC
IPMD	3-isopropylmalate dehydrogenase	[c] : 3c2hmp + nad --> 3c4mop + h + nadh	3	Amino Acid Metabolism	Rfer_1793	LeuB
IPPS	2-isopropylmalate synthase	[c] : 3mob + accoa + h2o --> 3c3hmp + coa + h	3	Amino Acid Metabolism	Rfer_2345	LeuA
KARA1	"ketol-acid reductoisomerase (2,3-dihydroxy-3-methylbutanoate)"	[c] : 23dhmb + nadp <==> alac-S + h + nadph	3	Amino Acid Metabolism	Rfer_3324	IlvC
KARA2	ketol-acid reductoisomerase (2-Acetolactate)	[c] : 2ahbut + h + nadph <==> 23dhmp + nadp	3	Amino Acid Metabolism	Rfer_3324	IlvC
METACH	O-Acetyl-L-homoserine acetate-lyase (adding methanethiol)	[c] : achms + h2s <==> ac + hcys-L	3	Amino Acid Metabolism	"Rfer_3160, Rfer_1327"	"MetAC1, MetAC"
METSR-S1	L-methionine-S-oxide reductase (trdrd)	[c] : metox + trdrd --> h2o + met-L + trdox	2	Amino Acid Metabolism	Rfer_2598	MsrA
METSR-S2	L-methionine S-oxide reductase (H2O2)	[c] : h2o2 + met-L --> h2o + metox	2	Amino Acid Metabolism	Rfer_2598	MsrA
NTRIRx	nitrite reductase (NADH)	[c] : (4) h + (3) nadh + no2 --> h2o + (3) nad + nh4oh	3	Amino Acid Metabolism	"Rfer_2558, Rfer_2557"	NirD+NirB
NTRIRy	nitrite reductase (NADPH)	[c] : (4) h + (3) nadph + no2 --> h2o + (3) nadp + nh4oh	3	Amino Acid Metabolism	"Rfer_2558, Rfer_2557"	NirD+NirB
OCBT	ornithine carbamoyltransferase	[c] : cbp + orn-L <==> citr-L + h + pi	3	Amino Acid Metabolism	Rfer_2120	ArgF
OMCDC	2-Oxo-4-methyl-3-carboxypentanoate decarboxylation	[c] : 3c4mop + h --> 4mop + co2	3	Amino Acid Metabolism	Rfer_1793	LeuB
ORNTAC	ornithine transacetylase	[c] : acorn + glu-L <==> acglu + orn-L	3	Amino Acid Metabolism	Rfer_2910	ArgJ
P5CRy	pyrroline-5-carboxylate reductase	[c] : 1pyr5c + (2) h + nadph --> nadp + pro-L	3	Amino Acid Metabolism	Rfer_3679	ProG
PAPSR	phosphoadenylyl-sulfate reductase (thioredoxin)	[c] : paps + trdrd --> (2) h + pap + so3 + trdox	2	Amino Acid Metabolism	Rfer_2458	CysH
PPND	prephenate dehydrogenase	[c] : nad + pphn --> 34hpp + co2 + nadh	3	Amino Acid Metabolism	Rfer_1568	TyrA
PPNDH	prephenate dehydratase	[c] : h + pphn --> co2 + h2o + phpyr	3	Amino Acid Metabolism	Rfer_1569	PheA
PRAI	phosphoribosylanthranilate isomerase	[c] : pran <==> 2cpr5p	2	Amino Acid Metabolism	Rfer_1789	TrpF
PRAMPC	phosphoribosyl-AMP cyclohydrolase	[c] : h + h2o + prbamp --> prfp	2	Amino Acid Metabolism	Rfer_2952	HisI
PRATPP	phosphoribosyl-ATP pyrophosphatase	[c] : h2o + prbatp --> h + ppi + prbamp	2	Amino Acid Metabolism	Rfer_2953	HisE
PRMICI	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase	[c] : prfp <==> prlp	3	Amino Acid Metabolism	Rfer_2950	HisA
SACCD2	"saccharopine dehydrogenase (NAD, L-lysine forming)"	[c] : Lsacchrp + h2o + nad <==> akg + h + lys-L + nadh	3	Amino Acid Metabolism	Rfer_4206	Lys1
SDPTA	succinyldiaminopimelate transaminase	[c] : akg + sl26da <==> glu-L + sl2a6o	3	Amino Acid Metabolism	Rfer_2121	ArgD
SERAT	serine O-acetyltransferase	[c] : accoa + ser-L <==> acser + coa	3	Amino Acid Metabolism	Rfer_2890	CysE
SHSL1	O-succinylhomoserine lyase (L-cysteine)	[c] : cys-L + suchms --> cysth-L + h + succ	3	Amino Acid Metabolism	Rfer_2682	MetB
THRLAD	L-allo-threonine aldolase	[c] : thr-LA --> acald + gly	3	Amino Acid Metabolism	Rfer_3604	LtaA
THRS	threonine synthase	[c] : h2o + phom --> pi + thr-L	3	Amino Acid Metabolism	Rfer_1913	ThrC
TRPS1	tryptophan synthase (indoleglycerol phosphate)	[c] : 3ig3p + ser-L --> g3p + h2o + trp-L	3	Amino Acid Metabolism	"Rfer_1787+Rfer_1788, Rfer_1328+Rfer_1787"	"TrpAB1, TrpAB"
TRPTRS	Tryptophanyl-tRNA synthetase	[c] : atp + trnatrp + trp-L --> amp + ppi + trptrna	2	Amino Acid Metabolism	Rfer_3240	TrpS
TYRTRS	Tyrosyl-tRNA synthetase	[c] : atp + trnatyr + tyr-L --> amp + ppi + tyrtrna	3	Amino Acid Metabolism	Rfer_0728	TyrS
ALAD_L	L-alanine dehydrogenase	[c] : ala-L + h2o + nad --> h + nadh + nh4 + pyr	3	Amino acids and related molecules	Rfer_4054	Ald
ARGN	arginase	[c] : arg-L + h2o --> orn-L + urea	3	Amino acids and related molecules	Rfer_3884	RocF
CYSTGL	cystathionine g-lyase	[c] : cysth-L + h2o --> 2obut + cys-L + nh4	3	Amino acids and related molecules	Rfer_3649	YrhB
DAAOP	D-alanyl-aminopeptidase	[e] : alaala + h2o --> (2) ala-D	3	Amino acids and related molecules	Rfer_3107	DppA
FMETDF	formylmethionine deformylase	[c] : fmet + h2o --> for + met-L	2	Amino acids and related molecules	"Rfer_3860, Rfer_2202"	"Def1, Def"
GGTAe2	gamma-glutamyltransferase	[e] : gthrd + h2o --> cgly + glu-L	3	Amino acids and related molecules	Rfer_3386	Ggt
LYSAM	"lysine 2,3-aminomutase"	[c] : lys-L <==> 36dahx	3	Amino acids and related molecules	Rfer_3891	KamA
MMSAD2	methylmalonate-semialdehyde dehydrogenase (propanol)	[c] : coa + nad + ppal --> h + nadh + ppcoa	3	Amino acids and related molecules	Rfer_0372	MmsA
MMSAD3	methylmalonate-semialdehyde dehydrogenase (malonic semialdehyde)	[c] : coa + msa + nad --> accoa + co2 + nadh	3	Amino acids and related molecules	Rfer_0372	MmsA
MMSDHir	methylmalonate-semialdehyde dehydrogenase (acylating)	[c] : coa + mmalsa-S + nad --> co2 + nadh + ppcoa	3	Amino acids and related molecules	Rfer_0372	MmsA
MTRI	5-methylthioribose-1-phosphate isomerase	[c] : 5mdr1p <==> 5mdru1p	3	Amino acids and related molecules	Rfer_3749	YkrS
PGCDr	phosphoglycerate dehydrogenase	[c] : 3pg + nad <==> 3php + h + nadh	2	Amino acids and related molecules	"Rfer_1248, Rfer_1867"	SerA
UREA2	urease	[c] : (2) h + h2o + urea --> co2 + (2) nh4	2	Amino acids and related molecules	Rfer_3399+Rfer_3400+Rfer_3402	UreABC
ICL	Isocitrate lyase	[c] : icit --> glx + succ	3	Anaplerotic reactions	Rfer_1335	AceA
MALS	malate synthase	[c] : accoa + glx + h2o --> coa + h + mal-L	3	Anaplerotic reactions	Rfer_3581	GlcB
ME2	malic enzyme (NADP)	[c] : mal-L + nadp --> co2 + nadph + pyr	3	Anaplerotic reactions	"Rfer_1424, Rfer_0093"	Mae
PPA	inorganic diphosphatase	[c] : h2o + ppi --> h + (2) pi	3	Anaplerotic reactions	Rfer_1473	Ppa
PPC	phosphoenolpyruvate carboxylase	[c] : co2 + h2o + pep --> h + oaa + pi	3	Anaplerotic reactions	Rfer_1714	Ppc
ABTA	4-aminobutyrate transaminase	[c] : 4abut + akg --> glu-L + sucsal	3	Arginine and Proline Metabolism	Rfer_0592	GabT
ACGS	N-acetylglutamate synthase	[c] : accoa + glu-L --> acglu + coa + h	3	Arginine and Proline Metabolism	Rfer_2105	ArgA
ADMDC	Adenosylmethionine decarboxylase	[c] : amet + h <==> ametam + co2	1	Arginine and Proline Metabolism		
AGMT	agmatinase	[c] : agm + h2o --> ptrc + urea	3	Arginine and Proline Metabolism	"Rfer_0597, Rfer_0346"	"SpeB2, SpeB"
ARGDC	arginine decarboxylase	[c] : arg-L + h --> agm + co2	3	Arginine and Proline Metabolism	Rfer_2126	AdiA
ARGSL	argininosuccinate lyase	[c] : argsuc <==> arg-L + fum	3	Arginine and Proline Metabolism	Rfer_1710	ArgH
ARGSS	argininosuccinate synthase	[c] : asp-L + atp + citr-L --> amp + argsuc + h + ppi	3	Arginine and Proline Metabolism	Rfer_2689	ArgG
CBPS	carbamoyl-phosphate synthase (glutamine-hydrolysing)	[c] : (2) atp + gln-L + h2o + hco3 --> (2) adp + cbp + glu-L + (2) h + pi	3	Arginine and Proline Metabolism	Rfer_2004+Rfer_2006	Car
DKMPPD2	"2,3-diketo-5-methylthio-1-phosphopentane degradation reaction"	[c] : dkmpp + (3) h2o --> 2kmb + for + (6) h + pi	1	Arginine and Proline Metabolism		
G5SADs	L-glutamate 5-semialdehyde dehydratase (spontaneous)	[c] : glu5sa <==> 1pyr5c + h + h2o	1	Arginine and Proline Metabolism		
GGLUGABDH	gammaglutamyl-gamma-aminobutyraldehyde dehydrogenase	[c] : ggluaba + h2o + nadp --> ggluabt + (2) h + nadph	3	Arginine and Proline Metabolism	"Rfer_0986, Rfer_3585, Rfer_0356"	"PuuC2, PuuC3, PuuC"
GGLUGABH	gammaglutamyl-gamma-aminobutyrate hydrolase	[c] : ggluabt + h2o --> 4abut + glu-L	3	Arginine and Proline Metabolism	Rfer_0349	PuuD
GGLUPTO	gammaglutamyl putrescine oxidase	[c] : ggluptrc + h2o + o2 --> ggluaba + h2o2 + nh4	3	Arginine and Proline Metabolism	Rfer_0347	PuuB
GGLUPTS	gammaglutamyl putrescine synthetase	[c] : atp + glu-L + ptrc --> adp + ggluptrc + h + pi	3	Arginine and Proline Metabolism	Rfer_0350	PuuA
MDRPD	5-Methylthio-5-deoxy-D-ribulose 1-phosphate dehydratase	[c] : 5mdru1p --> dkmpp + h2o	1	Arginine and Proline Metabolism	Rfer_0980	YkrY
MTRK	5-methylthioribose kinase	[c] : 5mtr + atp --> 5mdr1p + adp + h	1	Arginine and Proline Metabolism		
P5CD	1-pyrroline-5-carboxylate dehydrogenase	[c] : 1pyr5c + (2) h2o + nad --> glu-L + h + nadh	3	Arginine and Proline Metabolism	Rfer_2811	PutAec
PRO1z	proline oxidase	[c] : fad + pro-L --> 1pyr5c + fadh2 + h	3	Arginine and Proline Metabolism	Rfer_2811	PutAec
SPMS	spermidine synthase	[c] : ametam + ptrc --> 5mta + h + spmd	1	Arginine and Proline Metabolism		
SSALy	succinate-semialdehyde dehydrogenase (NADP)	[c] : h2o + nadp + sucsal --> (2) h + nadph + succ	3	Arginine and Proline Metabolism	"Rfer_0880, Rfer_0598"	"GabD, GabD2"
UNK3	2-keto-4-methylthiobutyrate transamination	[c] : 2kmb + glu-L --> akg + met-L	1	Arginine and Proline Metabolism		
3HOPCD	3-hydroxypimeloyl-CoA dehydrogenase	[c] : 3hpimcoa + nad <==> 3opimcoa + h + nadh	3	Aromatic Compound degradation	Rfer_2272	Acd
4HBTE	4-hydroxybenzoyl-CoA thioesterase	[c] : 4hbcoa + h2o <==> 4hbz + coa + h	2	Aromatic Compound degradation	Rfer_0270	Hbzt
4HBZR	4-hydroxybenzoylCoA reducatse	[c] : 4hbcoa + fdxr-4:2 + (2) h --> benzcoa + fdxo-4:2 + h2o	1	Aromatic Compound degradation		
BCOALIG	benzoate CoA ligase	[c] : atp + bz + coa <==> amp + benzcoa + ppi	2	Aromatic Compound degradation	"Rfer_3454, Rfer_0216"	"BclA, BclA1"
BCR	benzoylCoA reductase	[c] : (2) atp + benzcoa + (2) h2o + nadh <==> (2) adp + ch15deccoa + h + nad + (2) pi	2	Aromatic Compound degradation	Rfer_2850	BamB
BZSCD	benzylsuccinyl-CoA dehydrogenase	[c] : bzsuccoa + fad <==> fadh2 + phitcoa	3	Aromatic Compound degradation	Rfer_3689	BbsG
BZSCT	benzylsuccinate CoA-transferase	[c] : bzsucc + succoa <==> bzsuccoa + succ	2	Aromatic Compound degradation	Rfer_4167+Rfer_4069	BbsEF
CHDCCH	"Cyclohexa-1,5-dienecarbonyl-CoA hydro-lyase"	[c] : ch15deccoa + h2o <==> 6hch1eccoa	2	Aromatic Compound degradation	Rfer_4068	Dch
GCOAD	glutaryl-CoA dehydrogenase	[c] : glutcoa + nadp --> b2coa + co2 + nadph	2	Aromatic Compound degradation	Rfer_4070	AcdA5
HOCCD	6-hydroxycyclohex-1-ene-1-carbonyl CoA dehydrogenase	[c] : 6hch1eccoa + nad <==> 6occhcoa + h + nadh	2	Aromatic Compound degradation	Rfer_2783	Had
OCHCCH	6-oxo-cyclohex-1-ene-carbonyl-CoA hydrolase	[c] : 6occhcoa + (2) h2o <==> 3hpimcoa + h	2	Aromatic Compound degradation	Rfer_2591	Oah
OGCOAAT	oxopimelylcoa:glutarylcoa acyltransferase	[c] : 3opimcoa + coa <==> accoa + glutcoa	1	Aromatic Compound degradation		
PACCOAL	phenylacetate-CoA ligase	[c] : atp + coa + pheac --> amp + phaccoa + ppi	3	Aromatic Compound degradation	Rfer_0676	PaaK2
ASNTRS	Asparaginyl-tRNA synthetase	[c] : asn-L + atp + trnaasn --> amp + asntrna + ppi	1	Asparagine Metabolism		
4CHOAHL	4-Carboxy-4-hydroxy-2-oxoadipate hydrolase	[c] : 4chccm + h2o <==> 4choa	1	Benzoate Degradation		
4CHSDH	4-carboxy-2-hydroxymuconate-6-semialdehyde dehydrogenase	[c] : 4chms + h2o + nadp <==> 4chccm + (2) h + nadph	3	Benzoate Degradation	Rfer_0329	LigC
4HMOGA	4-hydroxy-4-methyl-2-oxoglutarate aldolase	[c] : 4choa <==> oaa + pyr	3	Benzoate Degradation	Rfer_0337	LigK
APYRH	3-Fumarylpyruvate acylhydrolase	[c] : 3fpyr + h2o --> fum + h + pyr	3	Benzoate Degradation	Rfer_2567	P_3.7.1.5
CMCI	"3-carboxy-cis,cis-muconate cycloisomerase"	[c] : 2c25dho <==> 3cmuc + h	3	Benzoate Degradation	Rfer_0014	PcaB
HBZ3MO	4-hydroxybenzoate 3-monooxygenase	[c] : 4hbz + h + nadph + o2 --> 34dhbz + h2o + nadp	3	Benzoate Degradation	Rfer_0339	PobA
PC45DO	"protocatechuate 4,5-oxidoreductase"	[c] : 34dhbz + o2 <==> 4chms + h	3	Benzoate Degradation	"Rfer_0330, Rfer_0331"	LigB+LigA
CDPGD	"CDP-glucose 4,6-dehydratase"	[c] : cdpglc <==> cdpddg + h2o	3	Carbohydrate Metabolism	Rfer_1251	DdhB
GLXCBL	glyoxalate carboligase	[c] : (2) glx + h --> 2h3opp + co2	2	Carbohydrate Metabolism		
GLYCK	glycerate kinase	[c] : atp + glyc-R --> 3pg + adp + h	2	Carbohydrate Metabolism		
PRKIN	Phosphoribulokinase	[c] : atp + ru5p-D --> adp + h + rb15bp	3	Carbohydrate Metabolism	Rfer_1392	Prk
SBDH	L-sorbosone dehydrogenase	[c] : nadp + sbt6p --> h + nadph + srb1p	2	Carbohydrate Metabolism	Rfer_2727	Sodh
TRES	Trehalose synthase	[c] : malt <==> tre	3	Carbohydrate Metabolism	Rfer_2160	TreS
BG(CELLB)	beta-glucosidase (cellobiose)	[e] : cellb + h2o --> (2) glc-D	2	Carbohydrates and related molecuels	Rfer_1113	BglX
ACKr	acetate kinase	[c] : ac + atp <==> actp + adp	3	Carbohydrates and related molecules	Rfer_2975	AckA 
ACS2	acetyl-CoA synthase (propionate)	[c] : atp + coa + ppa --> amp + ppcoa + ppi	3	Carbohydrates and related molecules	Rfer_0388	AcsA
FRUK	fructokinase	[c] : atp + fru --> adp + f6p + h	3	Carbohydrates and related molecules	"Rfer_0963, Rfer_1904"	"MtlZ, YdjE"
GALCTD	galactarate dehydratase	[c] : galctr-D --> 5d4dglcr + h2o	3	Carbohydrates and related molecules	Rfer_1027	YcbH
