Compound Group	Compound Name	Compound ID	EC
			3.2.1.26
			3.2.1.48
			5.4.99.11
	Trehalose	C01083	2.3.1.122
			2.4.1.64
			2.4.1.231
			2.4.1.245
			2.7.1.69
			3.1.3.12
			3.2.1.28
			5.4.99.16
Phosphodiesters	Di-myo-inositol phosphate	C04006 	2.4.1.250
			2.7.1.64
			2.7.7.74
			2.7.8.34
			2.7.8.39
			3.1.3.25
			3.1.3.66
			5.5.1.4
	Di-mannosyl-di-myo-inositol phosphate	NA	NA
	Glyceryl-myo-inosityl phosphate	NA	NA
	"sn-Glycero-3-phospho-1-inositol, added"	C01225	3.1.3.43
			3.1.4.44
	"Glycerophosphodiester, added (diglycerol phosphate-like)"	C03120	3.1.4.46
Glyceric Acid Derivatives	"Cyclic-2,3-bisphosphoglycerate"	C23BPG	6.5.-.-
	"2,3-Bisphospho-D-glycerate, added (Cyclic-2,3-bisphosphoglycerate-like)"	C01159	2.7.2.-
			3.1.3.13
			3.1.3.80
			4.6.1.-
			5.4.2.4
	Mannosylglycerate	C11544	2.4.1.269
			3.1.3.70
	Mannosylglyceramide	NA	NA
	Glucosylglycerate	C19792 	2.4.1.268
			3.1.3.85
	"Glucosyl-(1,6)-glucosylglycerate"	NA	NA
	"Mannosyl-(1,2)-glucosylglycerate"	NA	NA
Polyols	Sorbitol	C00794	1.1.1.14
			1.1.1.15
			1.1.1.21
			1.1.1.289
			1.1.99.21
			1.1.99.28
			2.7.1.1
			2.7.1.69
			3.1.3.50
			3.2.1.22
	Mannitol	C00392	1.1.1.11
			1.1.1.67
			1.1.1.138
			1.1.1.255
			1.1.2.2
			1.1.3.40
			2.7.1.69
			3.1.3.22
	Glucosylglycerol	C11546 	3.1.3.69
