sample_id	total	cellular_biosynthetic_process	androgen_biosynthetic_process	estrogen_biosynthetic_process	polyphosphate_biosynthetic_process	isoprenoid_biosynthetic_process	phospholipid_biosynthetic_process	vitamin_biosynthetic_process	toxin_biosynthetic_process	cytokinin_biosynthetic_process	auxin_biosynthetic_process	mucilage_biosynthetic_process	organic_acid_biosynthetic_process	antibiotic_biosynthetic_process	peptidyl_diphthamide_biosynthetic_process_from_peptidyl_histidine	heterocycle_biosynthetic_process	aromatic_compound_biosynthetic_process	organic_phosphonate_biosynthetic_process	cellular_carbohydrate_biosynthetic_process	cellular_macromolecule_biosynthetic_process	neurotransmitter_biosynthetic_process	ketone_biosynthetic_process	alkane_biosynthetic_process	alkene_biosynthetic_process	cellular_alcohol_biosynthetic_process	cellular_nitrogen_compound_biosynthetic_process	sulfur_compound_biosynthetic_process	glycerolipid_biosynthetic_process	aldehyde_biosynthetic_process	neutral_lipid_biosynthetic_process	membrane_lipid_biosynthetic_process	glycerol_ether_biosynthetic_process	ketone_body_biosynthetic_process	Remaining
0159_BC12_41010_20171203_ST	26329100	20856.8452380952	0	0	8106.91666666665	17670.8773809524	27916.5583333333	12154.2478373016	3274.19444444444	1719.66666666667	0	0	30551.8147504685	772.608333333335	2.33333333333333	56553.5022974047	44611.526239865	97.7777777777777	7041.21187920874	79516.6992028419	0	2847.80208333333	184.416666666666	0	0	59823.1157021366	14844.8139351852	2790.70833333333	1284.72222222222	0.0138888888888889	3353.74907407407	0	1.46666666666667	25933122.4110458
0159_AV42_66107_20190327_ST	25918625	38997.25	0	0	3537.91666666667	23941.3773148148	28543.0879960318	10931.9697806437	1510.77777777778	2381.33333333333	0	0	23892.6718481316	472.761111111111	0	47574.7863202712	40180.3008650243	56.3333333333333	8744.98656121399	70330.5050319665	0	7302.5	2.98611111111111	0	0.111111111111111	53232.5543096892	13659.6802744709	3538.72056878307	1485.97222222222	0.0555555555555556	5606.22052469136	0	0	25532700.141382
0159_AP39_21295_20180811_ST_E21	23598601	20679.6523809524	0	0	7265.1	16894.362962963	24947.0986772487	11179.4672233245	2736.36111111111	2605	0	0	24297.8408315421	605.120833333332	37.1666666666667	47808.5658842615	38701.4812877007	240.166666666667	6125.34942129629	72700.2738866843	0	2510.65451388889	173.5625	32.6666666666667	0.138888888888889	51898.2550128991	13841.5971064815	2395.62848324515	1216.7962962963	0.00617283950617283	2609.37870370371	0.666666666666667	0.666666666666666	23247097.974488
0159_AB10_100710_20181001_ST	23465581	24316.1666666667	0	0	6764.91666666665	16177.2763888889	25534.6444940476	11804.3231536596	2589	1890	0	0	28054.4799231151	1483.5	129.833333333333	49449.5181651112	38893.4911247673	53.888888888889	7462.7701260288	76526.0257991622	0	4244.71180555555	401.069444444445	2.16666666666667	0.0555555555555556	52184.8666026112	16093.9870701058	2872.51256613757	1332.08796296296	0	2720.50046296296	0	3.2	23094596.0071327
0159_AZ03_32019_20180325_ST	23266629	15916.7833333333	0	0.666666666666667	5795.08333333335	16935.6422949736	23844.2410714286	9439.66844135802	2651.75	1983.33333333333	0	0	25118.2643584656	1014.90486111111	92.6666666666667	51368.2860339527	40310.2233147801	154.444444444444	5648.29128437149	79783.3380987454	0	2041.39583333333	249.520833333334	0	1.30555555555556	55956.3771431097	16331.3826388889	2547.8117063492	1287.7537037037	0.0509259259259259	2762.98287037037	0.222222222222222	0.366666666666666	22905392.2423636
0159_AP39_21065_20180201_ST	23251625	22087.25	0	0	6837.25	15773.3835648148	22153.9375	12369.4302799823	2681.33333333333	2817.83333333333	0	0	22725.6831835593	451.990277777778	1	45814.7449949729	36276.216185449	532.277777777777	6560.07506780771	58076.1594666907	0	2983.63541666667	46.2083333333333	0	0	48106.9890455982	12691.6690972222	2296.22222222222	1143.35648148148	0	2693.5561728395	0	0.133333333333333	22926504.6649318
0159_AK37_71050_20190313_ST	22908156	15911.75	0	0	7123.41666666665	15543.5421296296	21968.8232638889	9772.42549603174	2990.49305555556	2199.33333333333	0	0	26557.1950275573	965.269444444445	0	48053.7260207245	38278.5752019047	153.777777777778	6087.78405700523	73060.8398072992	0	2471.70486111111	110.277777777778	0	0.222222222222222	52626.5734278313	13062.1890046296	2376.47916666667	1211.03240740741	0	2421.12438271605	0	1.86666666666667	22565207.5788012
0159_AZ03_32013_20200922_ST	22364500	15417.5	0	0.222222222222222	4586.08333333333	17415.5216931217	23077.7847222222	9227.97486111112	2562.77777777778	2231	0	0	20891.6472077546	435.918055555555	186.833333333333	44684.8763362046	37355.3715265338	311.777777777778	5816.30981925739	76351.5792122615	0	2501.52638888889	416.215277777778	2.16666666666667	0.166666666666667	51209.8981163574	13871.634837963	2303.26666666667	1222.72222222222	0.824074074074072	3040.93302469136	0	0.5	22029376.9681796
0159_AP39_21076_20180429_ST	21809905	16325.4166666667	0	0.0833333333333333	6756.25	14521.4914021164	19479.7961805556	11306.2600462963	1970.08333333333	2212.66666666667	0	0	23225.2490897817	654.773611111113	0.333333333333333	44079.6170330565	35470.8104148907	809.722222222223	5378.44266975308	56796.8228505291	0	2178.26736111111	41.7152777777778	0	0	45710.5330780301	11788.5337962963	2063.16765873016	1273.61111111111	0.0277777777777778	2103.78395061728	0	0.266666666666666	21505757.2744682
0159_AP39_21119_20181218_ST	21571050	25725.9166666667	0	0	7395.08333333335	15202.2055555555	20580.6687996032	11801.9515939153	2056	2768.83333333333	0	0	21452.5824855324	288.979166666667	1.33333333333333	42915.3159041313	34226.8162248985	515.666666666667	5689.60574845679	54696.8785548942	0	2959.78819444445	33.7083333333333	0	0.25	44463.3261157715	12416.8685185185	1905.26488095238	1409.61111111111	0.0462962962962963	2733.6725308642	0	0	21259809.6266517
0159_AQ29_10022_20170920_ST	20764220	15694.0833333333	0	0.333333333333333	6022.25	17808.6892526455	23526.1329117063	10191.1203306878	1995.16666666667	2361.66666666667	0	0	24767.967072586	502.320833333333	7.83333333333333	45658.6601386416	37516.6215929614	210.388888888889	5134.14425154321	71521.4080632715	0	2047.72569444444	40.1458333333333	0	0	49052.0560665601	11633.3675925926	2399.93402777778	1265.79861111111	0.0555555555555556	2500.0413580247	0	0.8	20432361.288591
0159_AB10_26156_20180815_ST	19951859	24655.3333333333	0	0	5948.74166666665	14284.3159722222	18312.257473545	11232.0184193122	1774.61111111111	2348	0	0	18555.545994957	428.766666666667	0.5	39339.6622617238	30792.7248025087	96.8333333333333	6004.51498199588	51506.6934138007	0	3000.45920138889	33.2569444444444	30	0.0277777777777778	41200.914551737	11271.8580412257	1720.55764991182	960.208333333333	0.00925925925925928	3135.95601851852	0	0	19665225.2327912
0159_AZ03_32015_20201210_ST	19254643	13675.9166666667	0	0	6194.33333333335	13677.3048611111	18924.1660218254	8227.76754409171	2721.11111111111	1398.33333333333	0	0	22230.322666584	945.241666666665	18.3333333333333	41705.2460458086	33472.1173573533	179.944444444444	4706.31412387767	63346.3556968494	0	1915.31597222222	72.7916666666667	0	1.38888888888889	45701.698571963	13148.9111496914	1883.2046957672	1145.07407407407	0.745370370370372	1947.49104938271	0.0416666666666667	2.7	18957400.8286879
0159_AP39_21090_20180504_ST	19033213	26583.1666666667	0	0	6008.83333333335	13790.5613425926	18386.5114583333	11532.7890365961	1981.94444444444	2650	0	0	19385.5197865686	278.843055555556	0	38201.453551592	30857.8489792816	531.333333333333	4736.08422418631	46176.2721430575	0	2545.69270833333	30.3402777777778	0	0	39467.8441200744	11132.409837963	1967.49074074074	978.819444444444	0.0277777777777778	2782.57577160494	0	0.8	18753205.8379657
0159_AP39_21330_20190102_ST_E21	18485852	17374.5833333333	0	0	5934.75	12752.0590277778	18255.6611607143	9317.06240520283	1913.75	1683.33333333333	0.166666666666667	0	20455.0383183146	495.275	0	38385.1081321649	30147.6247591491	629.61111111111	4911.40313786008	52618.3612654321	0	2065.83680555556	46.4583333333333	0	0	39598.7216473766	9783.39699625221	1886.7996031746	1111.20833333333	0.0833333333333333	1829.77824074074	0	1.2	18214654.7290558
0159_AP39_21314_20180719_ST_E21	18445058	18860.5166666667	0	0	5283.16666666665	12006.1076388889	16670.3823412698	9661.92771384479	1782.58333333333	1996	1.66666666666667	0	17713.3278885582	659.825992063494	0.833333333333333	35145.8785876529	28022.1415624471	709.5	5399.18985339506	45110.0333167989	0	2428.43055555556	65.6111111111111	22.5	0	37130.7339464492	10193.4118915344	1733.6917989418	993.726851851852	0	2416.21388888889	0	0.4	18191050.1983941
0159_AK37_71031_20180929_ST	18386521	18946.9166666667	0	0	6419	12243.9720238095	19521.4604662698	9423.92453483245	2313.80555555556	1932.33333333333	0	0	19663.4617558146	856.823611111113	0.333333333333333	37893.3694406254	29970.1836513838	833	5038.88694701646	50567.6544146825	0	2027.24305555556	112.895833333333	8	0	39941.8514809693	11033.4378968254	1936.91071428571	1057.56018518518	0	2163.90509259259	0	0.466666666666666	18112613.6033402
0159_AK37_71048_20190125_ST	18023348	15089.9166666667	0	0	5927.83333333335	12001.2992724868	18313.2935515873	9195.09316909171	2112.77777777778	1540.66666666667	0	0	20001.2127980324	475.9875	0	36788.4078414107	29257.4262753833	76.2222222222223	5080.47547582305	53497.8984402558	0	2751.69791666667	16.7847222222222	139	0.0555555555555556	38599.2068758022	10991.1600870811	2013.21362433862	1101.9	0	1768.01141975309	0	0	17756608.4588078
0159_AV42_66163_20190718_ST	17994071	24143.4166666667	0	0	6967.33333333335	12573.5150462963	18111.5991815476	10005.3553064374	1918.44444444444	2589.66666666667	0	0	19338.517473545	302.818055555556	0	37478.1191011109	29799.5218094442	73.3333333333333	4523.69819958848	49873.3228946208	0	2126.36458333333	22.0208333333334	0	0.0555555555555556	39127.4165862299	11294.8150462963	1554.2058531746	1173.11111111111	0	2461.19074074074	0.222222222222222	0	17718612.9359554
0159_AK37_71023_20180813_ST	17833556	15325.3333333333	0	0	5466.08333333335	12286.1236111111	18256.6377480159	9624.88400573192	1815.63888888889	1786.33333333333	0	0	19832.6921873622	850.140277777778	0	36919.0738964518	30067.6218913813	594.666666666667	4773.18142068836	51906.2275112233	0	2272.796875	22.7013888888889	28.5	0	39096.0515201591	9576.24269731041	1899.1044973545	1018.61805555556	0	1879.07546296296	0	0.2	17568258.0713975
0159_AP39_21289_20190125_ST_E21	17725209	20686.0833333333	0	0	5461.66666666665	15303.8914351852	17537.0014880952	8337.34358796296	1680.61111111111	1930.5	1.33333333333333	0	19302.5416606041	327.695833333333	0	34871.6442579732	28761.6077985376	52.5555555555557	4635.42435699589	49655.9351851852	0	2195.99305555556	22.8541666666667	0.5	0	37756.9089454733	9331.93948412699	1860.49272486773	1032.94444444444	0	2312.26265432099	0	0.266666666666666	17462149.002254
0159_AK37_71052_20190226_ST	17361335	21422.5	0	0	5943.5	13016.8680555556	17615.4142361111	9891.18464065256	1427.02777777778	2487	0	0	16400.9024479167	980.702777777779	3.5	33903.6441001617	27366.5288234862	871.11111111111	4912.60439814815	42935.848941799	0	2426.90277777778	67.6041666666667	0	0	35716.5085942093	9712.39244929453	1609.10648148148	712.657407407407	0	2899.81342592592	0	0	17109011.6773867
0159_AP39_21282_20180907_ST_E21	17180440	24301.0833333333	0	0	5844.58333333335	12558.4675925926	14474.8786706349	8026.77297508818	1450.55555555556	2426	0	0	17746.1686330192	1059.56805555556	0	32722.2696733845	26253.5378005891	324.333333333333	4635.98310185186	45710.9943121693	0	2754.80902777778	39.6527777777778	0.166666666666667	0	34910.1396932258	9274.35775462963	1387.58637566137	787.62037037037	0.0185185185185185	2347.88796296296	0	0	16931402.564482
0159_AZ03_32016_20180619_ST	17159390	18478.4166666667	0	0	5392.16666666665	11818.1444444444	16404.1333333333	9495.38383597883	1950.72222222222	2109	0	0	16057.9410048776	142.334722222222	0	33487.714281152	26636.4149579598	69.1666666666667	4843.72124485597	42826.2553791887	0	2310.85243055556	22.3541666666667	0	0	35303.219540742	9719.49513888889	1694.39351851852	877.222222222222	0.0185185185185185	2459.33518518518	0	0.2	16917291.3938525
0159_AK37_71024_20181010_ST	17003481	16342.8333333333	0	0	4920.08333333333	12159.8946428571	16762.5459325397	8900.81642195767	1914	1845.66666666667	0	0	16860.5599450231	510.628472222222	17.5	34525.9435622306	27950.9143792867	430.055555555557	4647.89333847737	47875.8593860229	0	2450.0625	100.270833333333	18.5	0.0555555555555556	37328.3356455639	9555.56916666667	1835.5667989418	1005.9212962963	0	2137.37345679012	0	0	16753384.1497773
0159_AZ03_32057_20190910_ST	16713937	13494.8333333333	0	0	4669.66666666667	12022.3009259259	18898.6770833333	8134.67135802469	1683.83333333333	1784.66666666667	0	0	17211.6437838955	697.930555555554	8.16666666666667	33260.5186940892	27187.167567546	393.333333333333	4927.11011153199	46423.4763317701	0.0333333333333333	1733.93229166666	47.2986111111111	0	2.66666666666667	36287.7732539738	8794.20821759259	1827.62962962963	903.759259259259	0	2095.38765432098	0	0	16471446.3146708
0159_AP39_21294_20181026_ST_E21	16210343	16128.6666666667	0	0	5421.5	10996.7904100529	15185.1762400794	8613.92871472663	1719.86111111111	1947	6.5	0	16385.7408246528	755.873611111113	0.833333333333333	32239.5468332966	25708.4593299897	492.777777777777	4605.00583847737	43572.4546406525	0	1992.63020833333	39.7430555555555	0.166666666666667	0	34461.9888471855	9285.9814318783	1518.72156084656	879.814814814815	0.0555555555555556	1892.09706790123	0	0.6	15976491.0854593
0159_AP39_21111_20190126_ST	15642062	19578.75	0	0	6277.33333333335	12392.9993386243	17021.7104166667	8165.62119708995	1697.5	2608.33333333333	0	0	15435.9319659392	212.163888888889	0	31014.8066010312	24778.3825203434	224.666666666667	4003.49395576132	40632.8811287478	0	1969.03819444444	26.7916666666666	0	0.111111111111111	32971.4036512958	9314.03171296296	1659.37962962963	816.041666666667	0	2129.49197530864	0.111111111111111	0	15409131.0249344
0159_AP39_21220_20180215_ST_E21	15613916	17236.0833333333	0	0	5185.75	11165.5678902116	15189.6074074074	8267.23112213404	1628.33333333333	2032.5	0	0	16827.1138731812	554.198611111111	0	31916.6342973986	25849.0956999559	808.38888888889	4160.5266718107	43402.5298059964	0	1989.48784722222	22.2708333333333	0.222222222222222	0.0277777777777778	33951.746132716	8920.84613425926	1572.55941358025	942.962962962963	0.037037037037037	1964.50231481481	0	0	15380327.7763893
0159_AP39_21311_20180613_ST_E21	15304949	16050.5	0	0	4924.5	10272.7897156085	13776.4111607143	7516.3763117284	1672.11111111111	1866	0	0	15880.4310916832	537.536111111113	0.333333333333333	30285.6810188414	24097.2558975892	166.333333333333	3942.36201131687	39856.4438271605	0	1537.49131944444	30.4930555555555	0	0	32319.2815644763	8573.16668320106	1357.01812169312	767.05787037037	0.185185185185185	1826.87793209876	0	0.2	15087692.1633444
0159_AQ11_10150_20181221_ST	15261943	14589.3333333333	0	0	3480.08333333333	14275.8171296296	17056.8743551587	5467.46276785715	1307.41666666667	1832.33333333333	0	0	16075.2152938988	490.290277777778	27.6666666666667	29507.6668473152	25761.9152241524	38.3333333333333	3767.9798657875	49908.1706238977	0	1949.32291666667	99.5902777777777	0	0	33490.0394167596	7803.43266203703	1557.13849206349	829.625	0.287037037037037	2232.83441358025	0	0.0666666666666666	15030394.1040653
0159_AZ03_32038_20181018_ST	15153857	20234.6666666667	0	0	4052.83333333333	11402.3530092593	14447.9663194444	8282.0286133157	1314.83333333333	2564.33333333333	0	0	13213.6053583829	636.902777777776	0	28595.6141559806	23245.6106176208	242.777777777778	3938.86630658436	35238.3778659612	0	2140.10763888889	52.5277777777778	0	0	31097.0938236393	8454.003125	1450.18518518518	815.481481481481	0	2658.34799382716	0	0.4	14939778.0835054
0159_AP39_21368_20180504_ST_E21	14980858	16221.9166666667	0	0	4822.25	10220.3317129629	13345.8215277778	7061.77823853615	1329.44444444444	1550.33333333333	0	0	15386.7879158399	541.252777777779	0	29254.2851022683	23578.8816950813	580.722222222223	4689.16665380659	37200.4082892417	0	1869.18402777778	32.2569444444445	0	0.0555555555555556	31412.9327676122	8178.88923611111	1285.64537037037	705.824074074074	0.0138888888888889	1829.44197530864	0	0.0666666666666666	14769760.3089132
0159_AK37_71066_20190709_ST	14686117	17726.4166666667	0	1.33333333333333	4779.66666666667	10962.858234127	14972.9368055556	7549.52733355379	1599.80555555556	1917	7.33333333333333	0	16588.4653050595	554.876388888889	49.8333333333333	31253.0248065323	25251.493035699	120.5	4029.62497778713	46500.7211179253	0	1682.00868055555	199.673611111111	0.333333333333333	0.111111111111111	33696.4741266682	9613.44317129629	1461.02777777778	728.24537037037	0.0277777777777778	1908.86851851852	0	0	14452961.3696275
0159_AP39_21371_20180409_ST_E21	14644729	15058.5	0	0.333333333333333	4080.86666666666	10269.107473545	13768.1506944444	7078.92375	1800.27777777778	1692.16666666667	0	0	14311.7141973931	575.763888888887	6.16666666666667	28264.7609107778	23222.1016228589	630.88888888889	4323.26990740741	39746.4996252205	0	1910.97048611111	64.7638888888888	0.166666666666667	0.138888888888889	30781.6790093227	8322.20289351852	1451.34722222222	705.291666666667	0.00925925925925928	1816.21975308642	0	0.133333333333333	14434846.5848615
0159_AV42_66160_20190805_ST	14514933	16396.5	0	0	4141.66666666667	10803.4231150794	13212.8788194444	6863.80172839506	1288.61111111111	1485	0	0	15709.2622875331	664.545833333333	81.6666666666667	28669.315640922	23322.9903984176	966.666666666667	4263.50883838384	42148.9520262145	0	1646.62152777778	326.097222222222	0	0.0555555555555556	30723.0722709124	9281.21334325396	1313.08796296296	741.694444444445	0.0277777777777778	2087.36990740741	0	0.6	14298794.3701889
0159_AP39_21231_20180727_ST_E21	14453496	12782.4166666667	0	0	4301.75	10631.9132936508	14574.8545634921	6953.64514550264	1627.27777777778	1519.33333333333	11.5	0	14232.99723917	219.875	18.6666666666667	28735.8632873989	23325.1127064906	230.166666666667	3816.320401602	41157.0272211199	0	1478.64583333333	113.902777777778	0.333333333333333	0	31027.1805592243	8635.37483465609	1447.15793650794	700.462962962963	0	1820.22067901234	0.555555555555555	0	14244133.4455581
0159_AQ11_10126_20181116_ST	14364886	14630	0	0	4536.91666666667	9367.44675925926	12716.5747023809	7241.94128968254	1566.94444444444	1428.33333333333	0	0	14325.9805431548	268.933333333333	4.16666666666667	27900.3134117186	22332.4314419214	47.8333333333333	3968.07099316578	37042.4340773809	0	1601.5	42.9166666666667	0	0	30565.8822080149	7934.95401234568	1363.06812169312	791.333333333333	0.0185185185185185	1560.46697530864	0	0	14163647.5391677
0159_AZ03_32033_20180922_ST	14268874	17537.5666666667	0	0	3591.75	9585.14074074076	12782.5733134921	6906.78158399471	1541.83333333333	1263.83333333333	0	0	13560.730561067	503.340277777778	21	26692.3036685222	21790.8407716968	102.833333333333	4472.10520833333	37323.5849481922	0	2919.49826388889	111.090277777778	11.3333333333333	0	28692.7834767232	8588.17962962963	1568.33664021164	736.222222222222	0.166666666666667	1976.32685185185	0	0.133333333333333	14066593.7115639
0159_AB10_26288_20181210_ST	14040796	16219.0833333333	0	0.666666666666667	3694.75	10088.3782407407	13572.1244047619	7113.39690917107	1496.02777777778	1716	1.16666666666667	0	14283.8432795966	1056.54166666667	18.5	27785.3919493129	22231.3926404505	158.666666666667	4129.01561213992	38709.9661265432	0	2490.35243055555	83.0486111111111	0.333333333333333	0.138888888888889	29794.8290376065	8734.58210978836	1524.74735449735	776.330687830688	0	2181.97777777778	0	1	13832933.7478281
0159_AK37_71057_20190430_ST	13927355	14444.8333333333	0	0	3396.66666666667	9372.91369047619	14335.9277281746	7082.47898589065	1489.44444444444	1017.66666666667	0.166666666666667	0	14159.927372134	581.056944444444	0	27208.6031703287	21497.6182499878	36.3333333333333	3837.87452651515	38319.9411601131	0	2764.609375	25.9097222222222	15.8333333333333	0	29385.1277016539	8165.00150132275	1518.84391534391	727.944444444444	0	2281.97638888888	0.111111111111111	0.2	13725687.9895675
0159_AP39_21215_20180801_ST_E21	13925779	12467.35	0	0	4175.33333333333	9649.8093915344	13401.2451884921	7911.88147486773	1411.08333333333	1220.66666666667	0	0	15519.2992136519	293.5875	0	28925.2873088733	23558.355164032	210.444444444444	4063.45740740741	38879.0630235891	0	2004.11805555556	30.4652777777778	35.8333333333333	0.0555555555555556	30378.4107893627	8022.82163690477	1468.28571428571	862.592592592593	0.0555555555555556	1431.65231481481	0	0	13719857.845724
0159_AY44_33022_20170915_ST	13898439	14940.75	0	0	4835.08333333333	10007.5333333333	12874.2034722222	8247.85114197531	1241.83333333333	1579.66666666667	0	0	15100.1090455522	1008.99722222222	0	29672.3132234592	24077.5260986797	212.611111111111	3687.38220164609	38109.9707892416	0	1995.31458333333	14.6527777777778	0	0	30558.7728960783	7621.20527777778	1448.8287037037	844.296296296296	0	1514.70339506173	0	0	13688845.3950972
0159_AV42_66184_20190930_ST	13896244	12960.5833333333	0	0	4376.75	9298.1043320106	13726.0337797619	7460.21853835979	1513.66666666667	1841.66666666667	0	0	14338.496953125	361.006944444444	0	29179.4361236037	23149.6315105085	340.055555555557	3710.21231995884	37360.8960593033	0	1650.50347222222	19.5	0	0	30536.4018941064	7402.81354166667	1547.25231481482	919.277777777778	0	1537.13148148148	0	0	13693014.3607346
0159_AP39_21086_20180503_ST	13882181	16347.5	0	0.0833333333333333	3738.75	9032.12499999999	12141.8034722222	7170.28432319224	1232.36111111111	1722.33333333333	0	0	13653.9781836971	562.383333333332	0	25772.5623830345	20918.3234147805	756.666666666667	3710.2844843107	31357.4253003748	0	1847.88194444445	37.7013888888889	0	0	27110.1586098863	7479.69027777778	1255.06944444445	671.458333333333	0	1564.29722222222	0	0	13694097.8784396
