sample_id	total	oxidoreductase_activity	sphingosine_hydroxylase_activity	monooxygenase_activity	electron_transfer_activity	oxygen_evolving_activity	steroid_dehydrogenase_activity	oxidoreductase_activity__acting_on_CH_OH_group_of_donors	oxidoreductase_activity__acting_on_the_CH_CH_group_of_donors	oxidoreductase_activity__acting_on_the_CH_NH2_group_of_donors	oxidoreductase_activity__acting_on_the_CH_NH_group_of_donors	oxidoreductase_activity__acting_on_NAD_P_H	oxidoreductase_activity__acting_on_other_nitrogenous_compounds_as_donors	oxidoreductase_activity__acting_on_a_sulfur_group_of_donors	oxidoreductase_activity__acting_on_a_heme_group_of_donors	oxidoreductase_activity__acting_on_diphenols_and_related_substances_as_donors	oxidoreductase_activity__acting_on_peroxide_as_acceptor	oxidoreductase_activity__acting_on_hydrogen_as_donor	oxidoreductase_activity__acting_on_single_donors_with_incorporation_of_molecular_oxygen	oxidoreductase_activity__acting_on_paired_donors__with_incorporation_or_reduction_of_molecular_oxygen	oxidoreductase_activity__acting_on_superoxide_radicals_as_acceptor	oxidoreductase_activity__acting_on_metal_ions	oxidoreductase_activity__acting_on_CH_or_CH2_groups	oxidoreductase_activity__acting_on_iron_sulfur_proteins_as_donors	oxidoreductase_activity__acting_on_reduced_flavodoxin_as_donor	oxidoreductase_activity__acting_on_the_aldehyde_or_oxo_group_of_donors	pyrogallol_hydroxytransferase_activity	X2_octaprenylphenol_hydroxylase_activity	arsenate_reductase_activity	oxidoreductase_activity__acting_on_phosphorus_or_arsenic_in_donors	sulfur_reductase_activity	selenate_reductase_activity	X2_desacetyl_2_hydroxyethyl_bacteriochlorophyllide_a_dehydrogenase_activity	glycyl_radical_enzyme_activating_activity	crotonyl_CoA_reductase_activity	NADPH_sulfur_oxidoreductase_activity	tRNA__2_methylthio_N_6__cis_hydroxy_isopentenyl_adenosine__hydroxylase_activity	geranylgeranyl_reductase_activity	violaxanthin_de_epoxidase_activity	oxidoreductase_activity__acting_on_X_H_and_Y_H_to_form_an_X_Y_bond	dioxygenase_activity	X3_8_divinyl_protochlorophyllide_a_8_vinyl_reductase_activity	uracil_oxygenase_activity	epoxyqueuosine_reductase_activity	fatty_acid_alpha_hydroxylase_activity	transmembrane_monodehydroascorbate_reductase_activity	Remaining
0159_AK37_71051_20190224_ST	44419239	591171.523809524	0	40359.5749999999	125086.08425926	0	3664.54166666667	425101.846975247	136262.137637363	130429.616666667	71041.0095238095	96431.4822751323	21316.1043650794	86990.0166666667	872.236507936509	289.6	29486.125	9970.63333333334	11128.75	14010.9880952381	3116.625	2747.46666666667	103291.421428571	10259.5472222222	0	145746.28015873	2.25	0	1719.16666666666	1737.16666666666	0	51.6666666666667	0	9397	0	0	524	0.333333333333333	0	4221	20207.1186507936	0	19.3333333333333	3604.25	0	0	42318982.1024244
0159_BC12_41010_20171203_ST	38285200	567875.675	0	21589.0607142857	93409.3746031746	0	5177.16666666667	351374.738888889	113454.774242424	98761.0261904761	70994.2047619047	48212.0888888889	6887.96904761905	65199.5826388889	221.202380952381	6.95	25696.4666666667	16029.15	12814.5333333333	2045.13571428571	2302.625	2198.83333333333	70808.45	8255.35	0	124152.142857143	38.5	0	1019	1019	0	17.8333333333333	0	6522.83333333333	0	0	0	0	0	7496.5	18406.525	0	0.333333333333333	2728.08333333333	0	0	36540484.8907377
0159_AV42_66107_20190327_ST	34893409	544543.95	0	39325.8	141916.051190476	0	3367.175	459116.441666667	172016.952813853	125723.216666667	84648.7595238095	142221.623809524	94008.4571428572	106017.408928571	2455.45714285714	475.016666666666	34669.8130952381	17295.25	7088.91666666666	29716.6797619048	3425.41666666667	12099.4166666667	101403.857142857	7116.71666666667	0.5	218447.578571429	0	0	2088.83333333333	2088.83333333333	0	1125.83333333333	0	10534.9166666667	2	0	0	0	0	1015.5	30850.6797619048	0.5	83.6666666666667	891.333333333333	0	0	32497626.4477814
0159_AP39_21065_20180201_ST	34822918	409186.605952381	0	17923.0416666666	84086.2717460318	0	4851.625	318603.672222222	104307.104761905	111726.563095238	66204.3095238095	60076.3388888889	10573.4547619048	59149.1527777778	132.394761904762	3.56666666666666	21319.5333333333	8651.25	10503.375	5461.58333333333	1953.66666666667	2108.4	65857.15	3562.76666666666	0	102012.510714286	44.5	0	1026.41666666666	1025.41666666666	0	4.66666666666667	0	5680.18333333333	0	0	0	0	0	3275.5	12889.0333333333	0	0	2336.36666666667	0	0	33328381.579127
0159_AP39_21295_20180811_ST_E21	34369045	498636.114285714	0	20475.3244047619	78092.6742063492	0	6668.66666666667	323593.15952381	100556.630194805	100595.083333333	63271.4904761904	49950.326984127	13837.4666666667	57708.928968254	386.557936507936	126.466666666667	17458.6845238095	13011.1666666667	8758.04166666668	7416.96249999999	1779.66666666667	1512.05	67643.469047619	8034.56666666666	0	121383.683333333	11.25	0	1022.83333333333	1038.66666666667	8.25	52	0	5828.01666666667	0	0	135.545454545455	63.6666666666667	0	5379	15418.0297619048	0	8	2986.28333333333	0	0	32776196.2767316
0159_AZ03_32019_20180325_ST	33704867	579428.058730159	0	14139.6857142857	84307.2301587301	0	6236.3	283024.200396825	95915.5537878788	99900.0428571429	66822.5142857143	37187.1603174604	6298.52619047619	55418.9208333333	340.429365079366	10.8833333333333	19606.8761904762	18258.35	7080.725	1738.0994047619	2048.97222222222	1475.06666666667	70936.1928571429	7887.13333333333	0	124524.047619048	45	0	897.75	897.75	0	18.25	0	5159.83333333333	0	0	0.136363636363636	77.0666666666667	0	5460	12556.0053571429	0	0.666666666666667	3139.91666666667	0	0	32094029.6556818
0159_AK37_71050_20190313_ST	33238352	467810.361507936	0	17437.6369047619	83492.9380952381	0	13522.5	305022.638034188	108966.353846154	96035.169047619	63344.4166666667	43475.6738095238	10089.469047619	55182.7715277778	362.816666666667	2.66666666666667	22249.9861111111	12525.7333333333	10833.9958333333	1716.27023809524	2095.08333333333	2948.61666666667	55669.9928571428	7642.35952380952	0	107552.663095238	85	0	944.666666666665	944.999999999998	0	10.5	0	5878.31666666667	0	0	0.545454545454545	0	0	10428.0833333333	15114.6720238096	0	0	2737.31666666667	0	0	31714227.7863754
0159_AZ03_32013_20200922_ST	32993539	487465.691666666	0	11462.6696428571	88204.4206349206	0	4588.25	262184.476037851	98159.5858058608	88945.0714285715	54005.2666666667	53466.2349206349	5400.58333333334	64521.0512896826	134.707142857143	9.46666666666667	17514.05	13131.2166666667	5332.175	1384.66964285714	2048.79166666667	2076.85	58373.269047619	4894.98333333334	0	113783.103571429	25.25	0	648.041666666665	648.041666666665	0.5	2.66666666666667	0	3667.18333333333	1.5	0	2.54545454545454	116.266666666667	0	7110.75	11005.275	0	0	2933.33333333333	0	0	31530291.062047
0159_AB10_100710_20181001_ST	32532675	534484.563095238	0	25028.4785714286	94292.9902116402	0	7334.3	404891.766666667	127615.873809524	93701.65	70972.6833333333	70961.0886243386	49618.8916666666	67500.3743055556	1728.23253968254	436.916666666666	20019.3182539683	22326.6119047619	9380.45833333333	17452.2642857143	2412.125	5816.56666666667	72667.4238095238	11093.7011904762	0	159021.115873016	60.25	0	1615.41666666666	1615.58333333333	0	920	0	6323.68333333333	10	0	13	117.666666666667	0	6137.5	23747.0535714286	1.5	49.3333333333333	2623.91666666667	0	0	30620682.7016204
0159_AP39_21076_20180429_ST	31933635	411755.921825397	0	14046.9708333333	74682.042063492	0.5	4675.33333333333	285125.572222222	93411.2357142857	99884.580952381	58514.7166666667	40184.4277777778	10315.3761904762	51381.6409722222	118.526190476191	0.733333333333334	18223.6333333333	8884.43333333334	9405.12499999998	1148.3875	1453.41666666667	2415.5	57904.1333333333	6864.85	0	83862.3666666667	21.75	0	1228	1227	0	0.666666666666667	0	5946.45	0	0	0	0	0	1000.25	13059.8416666666	0	0	2467.25	0	0	30574424.367758
0159_AP39_21119_20181218_ST	31279866	377327.066666667	0	16485.7833333334	77676.9126984127	0	4448.875	308394.013888889	105665.435714286	104014.133333333	63933.4214285714	62965.9555555556	9532.24285714286	63458.4805555556	128.309523809524	2	18904.1583333333	8294.41666666667	9569.00000000002	2613.40833333333	2228.95833333333	3445.51666666667	52859.7166666667	6008.21666666666	0	90213.405952381	5.75	0	1072.5	1072.5	6	2.33333333333333	0	5277.68333333333	0	0	0	0.25	0	1705.5	15691.3083333333	0	0	2283.5	0	0	29864579.2468254
0159_AQ29_10022_20170920_ST	29966568	439360.118253968	0	13514.3845238095	77178.6186507936	0	3710.33333333333	254697.648412698	83917.0413419913	82081.6273809524	51635.4761904762	34895.2638888889	7666.38809523809	36455.6569444445	142.354761904762	10.4	12992.4722222222	10475.3785714286	6492.99166666665	1107.90952380952	1488.45833333334	65.0833333333333	54512.7190476191	7979.7	0	84837.05	33.25	0	1270.41666666666	1272.08333333333	0	13.6666666666667	0	5483.35	20.5	0	0.090909090909091	2.66666666666667	0	3077.83333333334	9003.71666666667	0	0	3446.95	0	0	28677726.4012807
0159_AB10_26156_20180815_ST	29238094	401009.913492064	0.333333333333333	20899.6583333333	80040.5928571429	0	3377.41666666667	288115.738888889	97250.6404761905	102574.585714286	61195.7666666667	63195.4634920635	16717.6416666667	68955.5194444445	511.96746031746	195.55	23953.3726190476	9344.35	10036.125	5750.37083333334	2042.75	4230.76666666667	48922.7142857143	3704.40833333334	0	91098.0571428571	0	0	1110.66666666666	1110.16666666666	11.75	29	0	4685.88333333333	0	0	148.5	0	0	3503.75	17677.4041666667	0	8	1626.83333333333	0	0	27805058.3424603
0159_AZ03_32015_20201210_ST	28328007	461307.856349206	0	15209.0916666667	78772.5849206349	0	6294.09166666667	250125.261904762	97819.4420995671	77221.5	50893.0666666667	37998.3166666667	5971.88333333333	47293.88125	261.25	14.2333333333333	16788.9638888889	13520.6333333333	8536.41666666665	1278.3	1996.70833333333	1812.76666666667	56311.0666666667	4861.31666666666	0	106564.922619048	63.25	0	658	657.666666666667	0	3.33333333333333	0	4559.48333333333	0	0	0.0454545454545454	0	0	4732.5	11978.5083333333	0	0	2123.98333333333	0	0	26962376.6748467
0159_AP39_21090_20180504_ST	28053925	331434.119047619	0	15148.4916666667	70112.3563492063	0	6261.08333333333	273833.85	93078.8659090909	99659.5	60339.319047619	64130.5928571429	9656.24047619048	62019.4430555556	96.0349206349207	3.30000000000001	16938.625	5380.56666666667	8704.625	3388.73333333333	1678.33333333333	3936.78333333333	46400.1761904762	3881.85	0	84114.4023809525	3.25	0	995.583333333335	995.583333333335	0.5	3	0	4491.66666666667	0	0	0.0454545454545454	0	0	1695.75	11603.5166666667	0	0	2050.58333333333	0	0	26771888.229311
0159_AP39_21314_20180719_ST_E21	27214217	348195.009523809	0	17904.2005952381	66530.8365079365	0	4071.875	260683.274420024	85099.4532051282	85672.3857142857	51860.5357142857	53806.1730158731	11653.6404761905	52418.7166666667	244.203968253968	99.45	20008.3535714286	6516.73333333334	8786.83333333335	5204.87202380952	1488.33333333333	3119.71666666667	40495.2904761905	5025.33333333334	0	85007.6523809524	5.25	0	850.666666666665	850.666666666665	0	3.58333333333333	0	3902.35	0	0	107.545454545455	1	0	2710.66666666667	13695.4761904762	0	7.33333333333333	1948.5	0	0	25976241.0884282
0159_AP39_21330_20190102_ST_E21	27151093	371839.904761905	0	16111.175	63846.6706349206	0.533333333333333	4652.58333333333	253729.077777778	81523.2258658009	77843.8833333334	53103.5404761904	35175.4	8783.34047619047	42339.8388888889	299.856349206349	27.9666666666667	15138.8714285714	11592.7166666667	8569.87499999998	3151.22023809524	1754.83333333333	1228.46666666667	51397.6976190477	5678.78333333334	0	79433.3821428571	0	0	1055.83333333334	1054.08333333334	6.25	74.8333333333333	0	5289.88333333333	0	0	1	0.5	0	8055.75	11836.5869047619	0	3.33333333333333	2276.5	0	0	25934215.6031024
0159_AK37_71031_20180929_ST	26677816	333783.616269841	0	14063.3666666667	60173.5531746032	0.333333333333333	4307.33333333333	245684.482539682	80728.9135281385	82982.2666666667	54589.45	45327.2174603174	8376.51071428572	46523.3833333333	201.3	28.9833333333333	16931.1380952381	9314.5	8012.49999999998	3503.10238095238	1332.25	2058.46666666666	44807.4857142857	3826.15833333334	0	85795.7345238096	13.5	0	609.25	609.25	0	3.66666666666667	0	4309.4	0	0	31.5909090909091	0	0	5534	12688.85	0	2.33333333333333	1808.91666666667	0	0	25499853.1963564
0159_AV42_66163_20190718_ST	25997855	353893.75952381	0	16822.7	58085.5428571428	0	3777.54166666667	259607.716666667	84600.45	80637.869047619	56652.8666666667	43790.226984127	7902.53571428572	51292.525	158.601587301587	4.28333333333333	17051.3416666667	8074.73333333334	7619.72916666668	4091.70952380952	1286.08333333333	1720.86666666667	48054.4523809524	7971.5	0	84088.0726190476	0	0	402.916666666667	402.916666666667	107	0.833333333333333	0	4521.55	0	0	0.136363636363636	0	0	5778	14857.9220238096	0	0.666666666666667	2035.91666666667	0	0	24772562.0338745
0159_AK37_71023_20180813_ST	25813498	344980.932539683	0	16009.1333333333	63046.4571428571	0	2756.71666666667	242735.55	77087.1083333333	75427.8833333334	53576.6	34935.3047619048	11973.1357142857	43072.5444444444	275.542857142857	47.55	17770.4928571429	9864.03333333333	9685.66666666665	3814.1	1823.16666666667	2627.08333333333	40300.7880952381	5777.76666666667	0	76876.0595238095	5.75	0	1648.58333333334	1645.08333333334	0	3.83333333333333	0	4082.33333333333	0	0	116	0	0	1258.5	13035.4833333333	0.5	6	2160	0	0	24655072.3170635
0159_AP39_21289_20190125_ST_E21	25806206	324061.602380952	0	15291.0208333333	64636.6492063492	0	3471.91666666667	217203.977020202	76641.1202380952	82561.5357142857	50405.5261904762	46228.9722222223	8650.72857142858	42636.9291666667	124.057936507937	4.98333333333333	18637.5678571429	4491.61666666667	6768.54166666667	1908.30416666667	1299	1564.06666666667	43812.5833333333	3803.79285714286	0	71433.8130952381	8	0	738.75	738.75	10.25	1.16666666666667	0	4201.88333333333	0	0	4	0	0	1614.25	10334.5845238095	0	0.333333333333333	2157	0	0	24700758.7263528
0159_AK37_71048_20190125_ST	25529990	380175.578968254	0	28522	57008.2861111111	0	5305.83333333333	285129.897222222	82184.1583333333	74503.5333333333	50499.0857142857	44894.9757936508	21100.1226190476	43970.3298611111	715.996031746031	306.183333333333	17127.5444444444	7731.65	12071	14353.15	1458.16666666667	3244.3	50840.9333333333	13163.975	0	119559.267857143	20	0	1013.91666666667	1013.91666666667	0	34	0	4835.46666666667	0	0	618.5	0	0	2098.5	23347.3333333334	0.5	30.3333333333333	2193.66666666667	0	0	24180917.8987103
0159_AK37_71052_20190226_ST	25502511	351051.533333333	0	16129.6416666667	71396.0694444444	0	2731.41666666667	236767.903968254	76182.6083333333	84331.2333333334	49733.5833333333	46981.6515873016	8096.41666666667	56144.1916666667	249.22380952381	6.35	18192.1	8814.1	6831.54166666667	3084.20476190476	1478.16666666667	2156.2	41957.6666666667	1468.83333333333	0	76038.7202380952	3.75	0	506.166666666668	501.333333333335	0	61.8333333333333	0	3157.66666666667	0	0	0.090909090909091	1.33333333333333	0	11494	14450.0047619048	0	0	1439	0	0	24311072.4638528
0159_AZ03_32016_20180619_ST	25155806	301695.027777778	0	16682.025	65339.9325396825	0	3889.04166666667	231788.503968254	80904.5568181818	84183.95	53692.2095238095	50862.5777777778	8624.37619047619	51758.4305555556	141.492857142857	4.93333333333333	17041.3166666667	5704.1	7357.08333333332	3673.0630952381	1448.54166666667	2616.33333333334	38704.8166666666	2419.08333333333	0	72372.2535714285	30	0	1009.08333333333	1009.25	0	3.5	0	3326.98333333333	0	0	0.090909090909091	0	0	1814.25	10795.5714285714	0	0	1595.75	0	0	24035317.8713203
0159_AK37_71024_20181010_ST	24832720	331054.666666667	0	16666.9261904762	62002.3130952381	0	3498.5	229044.987166306	78457.5584686147	75985.4333333333	50780.7714285714	43340.6023809524	10121.1166666667	47886.3527777778	274.661904761905	62.7833333333334	15579.2380952381	7464.31666666667	8138.49999999998	5529.71904761905	1597.66666666666	2243.63333333333	42584.2333333333	7120.01666666666	0	78359.8797619047	22.25	0	1288	1287.66666666666	1.5	30.5	0	3844.28333333333	0	0	91.6363636363635	9	0	1250	12829.1095238095	0	8	1915.33333333333	0	0	23692348.8437951
0159_AP39_21282_20180907_ST_E21	24826056	344792.437301587	0	18687.6345238096	60742.3088624338	0	6434.08333333333	258027.592857143	89753.9690476191	81016.9690476191	50252.369047619	51156.1775132275	14853.6297619048	54773.6666666667	428.639682539682	62.15	18057.9928571428	9963.60000000001	6023.33333333333	6282.32738095238	1476	3758.15000000001	48644.5690476191	4638.075	0	89323.8194444445	19.75	0	790.666666666668	756.833333333335	0.5	102.166666666667	0	3782.7	0	0	5	0	0	3211	14668.8690476191	0	8.33333333333333	1173	0	0	23582387.6862434
0159_AZ03_32057_20190910_ST	24532951	319241.891666667	0	11798.7833333333	57956.2531746032	0	2250.625	210180.293253968	65479.1376984127	66686.2833333333	43307.1666666667	35650.0388888889	6769.19047619047	38107.5222222222	125.240476190476	11.9833333333333	15100.925	7504.45	7185.97916666665	1145.51666666667	1270	1673.83333333333	41012.0666666666	3818.81666666667	0	63689.6630952381	5.5	0	687.916666666665	687.916666666665	0	0.666666666666667	0	4574.23333333333	0	0	0	6.33333333333333	0	2353.75	9578.79583333333	0	0	2000.91666666667	0	0	23513089.3107143
0159_AP39_21294_20181026_ST_E21	23821878	296131.552380952	0	13749.6	56662.5630952381	0.25	3517.65	229267.724603175	76684.2345238095	73665.9714285714	45992.3785714286	40822.9242063492	8731.73095238095	46114.8208333333	148.443650793651	38.2833333333333	15539.7214285714	6768.78333333334	7117.33333333332	2934.42261904762	1284.80555555555	2100.35	42654.8619047619	4898.89285714286	0	69449.7773809524	9	0	628.666666666665	628.666666666665	0	18.6666666666667	0	3788	1	0	11.0454545454546	0.666666666666667	0	1584.25	10309.005952381	0	1.66666666666667	1697.08333333333	0	0	22758923.2059343
0159_AP39_21220_20180215_ST_E21	22977537	273196.373809524	0	12310.3428571429	54458.6357142857	0	3311.875	217203.628968254	71812.0190476191	79332.2	47411.5023809524	40912.25	6861.89166666667	42506.525	95.4071428571429	5.18333333333334	13885.4333333333	5571.15	7745.70833333335	2836.73571428571	1399.66666666667	2108.23333333334	41246.6333333333	3575.96785714286	0	68088.0797619048	38	0	756.5	755.5	0	5	0	3933.78333333333	1	0	2	0	0	1185.75	9940.66785714286	0	0	1890.91666666667	0	0	21963152.4388889
0159_AP39_21368_20180504_ST_E21	22709004	291536.435714286	0.666666666666667	10899.7333333333	54318.9976190476	0	3523.20833333333	219726.043290043	67076.3226190476	71113.0357142857	43925.2595238095	37529.9166666667	8596.31428571429	43143.3993055555	107.571428571429	2.68333333333333	16256.7833333333	10864.2166666667	8020.33333333335	1766.48333333333	1077.29166666667	1894.25	39306.6	2791.02619047619	0	73052.4440476191	4	0	341.75	341.75	0	1.83333333333333	0	3562.76666666667	0	0	0	0	0	3979	10497.4595238095	0.5	0	1480.33333333333	0	0	21682265.5907377
0159_AP39_21111_20190126_ST	22636937	284337.15952381	0	13193.0916666667	62065.8666666667	0	2720.79166666667	200185.840692641	69975.3777777778	72978.6190476191	42469.8857142857	43304.6	6748.4880952381	41203.1895833333	103.261904761905	0.733333333333334	14591.725	5036.95	5877.5	3009.625	1292.41666666667	754.666666666667	38387	3914.38333333333	0	60643.3880952381	5.25	0	874.75	874.75	3.75	3.91666666666667	0	3949.53333333333	0	0	0	0	0	893.5	8250.43333333334	0	0	1827.16666666667	0	0	21647459.3895653
0159_AP39_21311_20180613_ST_E21	22512648	282496.776190476	0	12840.2833333333	51269.2142857143	0	3690.75833333334	201295.695382395	66513.1762626263	70215.3857142857	43181.0857142857	37092.4833333333	6842.35476190475	39375.0944444444	93.4119047619048	11.7166666666667	13533.0964285714	6314.98333333333	6539.08333333333	2321.875	1065.83333333333	1821.13333333333	38566.7666666667	4176.81666666667	0	62775.9357142857	2	0	552.5	552.5	0	2.66666666666667	0	3703.38333333333	0	0	0	0	0	3373.75	10540.7583333333	0	0	1776	0	0	21540111.4815296
