Target	CorrelatedName	Correlation	orig_name	Source	Formula	ChemName	[edits] DBChemName
	nmndf_nrcp_POS_00328.2331360	0.88779	POS_00328.2331360	serum	C15 H29 N5 O3		[3] C15H27N5O2: Imidazole-4-carboxylic acid, 5-(3-methyl-3-octyltriazeno)-, ethyl ester
	nmndf_orig_POS_00163.0964260	0.88699	POS_00163.0964260	serum	C7 H14 O4		[0] C7H14O4: Trimethoxymethyl allyl ether;1,3,6,9 Tetraoxacycloundecane;1-Mono-n-butyrin
	nmndf_nrcp_POS_00269.1594660	0.88502	POS_00269.1594660	serum	C11 H24 O7		[1] C11H24O6: 2,5,8,11,14-Pentaoxahexadecan-16-ol
	nmndf_nrcp_POS_00413.2382860	0.88224	POS_00413.2382860	serum	C18 H36 O10		[0] C18H36O10: 1,3,6,9,12,15,17,20,23,26-Decaoxacyclooctacosane
	nmndf_orig_POS_00372.2594160	0.88079	POS_00372.2594160	serum	C17 H33 N5 O4		[4] C19H31N5O4: [2H3]Dihydrozeatin nucleotide, permethylated;Dihydrozeatin nucleotide, permethylated
	nmndf_orig_POS_00369.2121160	0.88064	POS_00369.2121160	serum	C17 H28 N4 O5		[2] C18H28N4O4: 2,4-dinitrophenylhydrazone dodecanal
	nmndf_nrcp_POS_00282.1911660	0.87923	POS_00282.1911660	serum	C12 H27 N O6		[2] C12H26O6: 2,5,8,11,14,17-Hexaoxaoctadecane;Pentaethylene glycol, monoethyl ether;Tris(2-hydroxypropyl)glycerol;L-Sorbitol permethyl
	nmndf_nrcp_POS_00251.1489260	0.87849	POS_00251.1489260	serum	C11 H22 O6		[0] C11H22O6: 1,3,6,9,12,15-Hexaoxacycloheptadecane
	nmndf_nrcp_POS_00283.1750860	0.87571	POS_00283.1750860	serum	C12 H26 O7		[0] C12H26O7: Hexaethylene glycol
	nmndf_orig_POS_00269.1383060	0.87247	POS_00269.1383060	serum	C14 H20 O5		[0] C14H20O5: 1,3-Cyclohexanedione, 5,5-dimethyl-2-(4'-carbomethoxybutyro)-;Bis(1,4,7,10,13-benzopentaoxacyclopentadecin, 2,3,5,6,8,9,11,12-octahydro-);Furan-3-carboxylic acid, 4-methyl-2-(2-methoxycarbonylethyl)-5-propyl, methyl ester
	nmndf_orig_POS_00287.1466060	0.87095	POS_00287.1466060	serum	C10 H18 N6 O4		[2] C10H20N6O4: gly-gly-arg
	nmndf_nrcp_POS_00237.1332660	0.86538	POS_00237.1332660	serum	C10 H20 O6		[0] C10H20O6: 1,3,6,9,11,14-Hexaoxacyclohexadecane
	nmndf_nrcp_POS_00253.1645260	0.86345	POS_00253.1645260	serum	C6 H21 N8 O P		[7] C6H18N6P2: 2,3,5,6,7,8-Hexaaza-1,4-diphosphabicyclo[2.2.2]octane, 2,3,5,6,7,8-hexamethyl-
	nmndf_nrcp_POS_00131.0702360.1	0.8604	POS_00131.0702360.1	NA	NA	NA	
	nmndf_orig_POS_00133.0858760	0.85938	POS_00133.0858760	serum	C6 H12 O3	2-hydroxycaproicacid	[0] C6H12O3: 1,3-Dioxolane-4-methanol, 2,2-dimethyl-;1-Methoxy-2-propyl acetate;2-Ethoxyethyl acetate;6-Hydroxycaproic acid;3-Allyloxy-1,2 propanediol;Paraldehyde;D-Acetone glycerol;cis-2,4,6-Trimethyl-1,3,5-trioxane;Dimethoxymethyl allyl ether;Methyl 3-methyl 2-hydroxybutanoate;1,3,3-Trimethoxy-2-propene;3,3-Dimethoxy-2-butanone;L-Acetone glycerol;DL-Acetone glycerol;methyl 3-methoxybutanoate;Butanoic acid, 2-hydroxy-2-methyl-, methyl ester;2-Ethyl-2-hydroxybutyric acid;Ethyl 2-hydroxybitanoate;Butanoic acid, 3-hydroxy-, ethyl ester;Propanoic acid ethoxymethyl ester;2-Butanone, 4,4-dimethoxy-;2,3-Butanediol monoacetate;Butanoic acid, 3-hydroxy-3-methyl-, methyl ester;propyl lactate;1,2,3-Cyclohexanetriol;Dimethyl(E)-1-propenyl orthoformate;1-Propene, 1-(dimethoxymethoxy)-, (E)-;Furan, tetrahydro-2,5-dimethoxy-;Butyl glycolate;Propanoic acid, 2-hydroxy-2-methyl-, ethyl ester;Acetic acid, ethoxy-, ethyl ester;Ethanol, 2-[2-(ethenyloxy)ethoxy]-;Butanoic acid, 4-hydroxy, ethyl ester;Propyl 3-hydroxybutanoate;2-(Tetrahydro-furan-2-yloxy)-ethanol
	nmndf_orig_POS_00339.2168160	0.85806	POS_00339.2168160	serum	C19 H30 O5		[0] C19H30O5: Gallic acid, n-dodecyl ester;Piperonyl butoxide;3&#945;,11&#946;,17&#945;,21-tetrahydroxy-5&#945;-pregnane-20-one;3&#945;,11&#946;,17&#945;,21-tetrahydroxy-5&#946;-pregnane-20-one;3&#945;,17&#945;,20&#945;,21-tetrahydroxy-5&#946;-Pregnane-11-one;3&#945;,17&#945;,20&#946;,21-tetrahydroxy-5&#946;-Pregnane-11-one
	nmndf_orig_POS_00151.0964260	0.85579	POS_00151.0964260	serum	C6 H14 O4		[0] C6H14O4: Triethylene glycol;1,1,1,2-Tetramethoxyethane
	nmndf_orig_POS_00325.1858660	0.85552	POS_00325.1858660	serum	C14 H28 O8		[0] C14H28O8: 1,3,6,9,12,14,17,20-Octaoxacyclodocosane
	nmndf_orig_POS_00131.0702260	0.85428	POS_00131.0702260	serum	C6 H10 O3	(R)-Pantolactone	[0] C6H10O3: 2-Butanone, 4-(acetyloxy)-;Propanoic acid, anhydride;Methacrylic acid, 2-hydroxyethyl ester;hexanedial, 2-hydroxy-;Butanoic acid, 3-oxo-, ethyl ester;Carbonic acid, ethyl 2-propenyl ester;Acetone D-glyceraldehyde;Butanoic acid, 2-oxo-, ethyl ester;CH3C(OCH3)=CHCOOCH3;Acetone L-glyceraldehyde;2-Hydroxypropyl acrylate;7,8,9-Trioxabicyclo[4.2.1]nonane;Pentanoic acid, 3-oxo-, methyl ester;4-Acetylbutyric acid;Furan, 2,5-dihydro-2,5-dimethoxy-;5,5-Dimethyl-1,3-dioxan-2-one;2-Butanon-3-ol, acetate;Tetrahydropyran-4-carboxylic acid;2-Propenoic acid, 3-hydroxy-2-methyl-, ethyl ester;Pantolactone;Pentanoic acid, 4-oxo-, methyl ester;1-Methoxy-2,4-pentanedione;Butyl glyoxylate;Levulinic acid, 3-methyl;dl-Mevalonic acid lactone;4-Methyl-2,6,7-trioxabicyclo[2.2.2]octane;2(3H)-Furanone, dihydro-3-hydroxy-4,4-dimethyl-, (.+/-.)-;Butanoic acid, 3,3-dimethyl-2-oxo-;2-Butenoic acid, 2-hydroxy-, ethyl ester;2-Hydroxyethyl methacrylate;Propyl pyruvate
	nmndf_nrcp_POS_00573.2856260	0.85139	POS_00573.2856260	serum			
	nmndf_nrcp_POS_00358.2437760	0.84727	POS_00358.2437760	serum	C16 H31 N5 O4		[3] C19H31N5O4: [2H3]Dihydrozeatin nucleotide, permethylated;Dihydrozeatin nucleotide, permethylated
	nmndf_log_POS_00285.9880060	0.84634	POS_00285.9880060	serum	C5 H8 N3 O7 P S		[3] C5H9N3O7: 1,1,1-Trinitro-2-ethoxypropane
	nmndf_nrcp_POS_00372.2594360	0.84261	POS_00372.2594360	serum	C17 H33 N5 O4		[4] C19H31N5O4: [2H3]Dihydrozeatin nucleotide, permethylated;Dihydrozeatin nucleotide, permethylated
	nmndf_nrcp_POS_00250.2012760	0.83718	POS_00250.2012760	serum	C12 H27 N O4		[0] C12H27NO4: 2-{2-[2-(2-Diethylamino-ethoxy)-eth oxy]-ethoxy}-ethanol
	nmndf_nrcp_POS_00245.1359060	0.83643	POS_00245.1359060	serum	C16 H20 S		[1] C16H20: Naphthalene, 1,2,3,4,6,7-hexamethyl;2,6-Diisopropylnaphthalene;2,3'5,6'-Tetrahydro[2.2]paracyclophane;Naphthalene, 2-hexyl-;Naphthalene, 1-hexyl-;Cyclohept[fg]acenaphthylene, 1,2,2a,3,4,4a,5,6,7,8-decahydro-;Tricyclo[4.2.0.0<sup>2,5</sup>]octane,1,2,5,6-tetramethyl-3,4,7,8-tetrakis(methylene)-(1&#945;,2&#946;,5&#946;,6&#945;)-;Tricyclo[3.3.0.0<sup>2,6</sup>]octane,1,2,5,6-tetramethyl-3,4,7,8-tetrakis(methylene)-;1-(2,2,4,4-tetramethylbutyl)naphthalene;Azulene,2,4,5,6,7,8-hexamethyl-;1-Phenyladamantane;1,4-Cyclohexadiene, 3-(4,4-dimethyl-2,5-cyclohexadien-1-ylidene)-6,6-dimethyl-;Dispiro{cyclopropane-6,1'-pentacyclo[6.3.1.0(2,7).0(3,5).0(9,11)]-dodecane-12,1&quot;-cyclopropane};1,2,3-trimethyl-4-propylnaphthalene;2-phenyl-adamantane
	nmndf_nrcp_POS_00333.1885560	0.83518	POS_00333.1885560	serum	C12 H24 N6 O5		[4] C12H22N4O5: tetra-L-alanine
	nmndf_orig_POS_00233.0995660	0.82985	POS_00233.0995660	serum	C6 H12 N6 O4		[0] C6H12N6O4: Urea, 1,1'-ethylenebis[3-methyl-3-nitroso-
	nmndf_orig_POS_00370.2438660	0.81872	POS_00370.2438660	serum	C11 H32 N9 O3 P		[10] C12H36N9P3: Cyclo-tris(bis(dimethylamino))phosphonitrile
	nmndf_nrcp_POS_00460.3119660	0.81708	POS_00460.3119660	serum	C21 H41 N5 O6		[5] C21H42N2O6Si: Orn, N-isoBOC TBDMS
	nmndf_orig_POS_00195.1226860.1	0.81494	POS_00195.1226860.1	NA	NA	NA	
	nmndf_log_POS_00089.0596760	0.81219	POS_00089.0596760	serum	C4 H8 O2	(R)-Acetoin	[0] C4H8O2: 1,3-Dioxolane, 4-methyl-;Beta-hydroxybutyraldehyde;Butanoic acid;2-Butene-1,4-diol;Formic acid, propyl ester;1,4-Dioxane;Ethyl acetate;Propanal, 3-methoxy-;Tetrahydrofuran, 3-hydroxy-;3-butene-1,2-diol;1,3-Dioxolane, 2-methyl-;1,3-Dioxane;1-Hydroxy-2-butanone;2-Butanone, 3-hydroxy-;2-Butanone, 3-hydroxy-, (.+/-.)-;2-Butanone, 3-hydroxy-, (R)-;Propanoic acid, methyl ester;1,2-Dioxane;2-Propanone, 1-methoxy-;4-Hydroxy-2-butanone;2-Butene-1,4-diol, (Z)-;Formic acid, 1-methylethyl ester;cis 1,2-Dimethoxyethylene;Ethene, 1,2-dimethoxy-, (E)-;Ethylene glycol monovinyl ether;Propanoic acid, 2-methyl-;(E)-2-butene-1,4-diol;Ethene, 1,1-dimethoxy-;Oxirane, (methoxymethyl)-
	nmndf_orig_POS_00376.2179860	0.81062	POS_00376.2179860	serum	C15 H29 N5 O6		[2] C15H27N5O6: penta-L-alanine
	nmndf_nrcp_POS_00285.1544060	0.81025	POS_00285.1544060	serum	C8 H16 N10 O2		[5] C8H16N6O: 1,3,5-triazine-2,4,6-triamine, N-hydroxy-N,N',N',N'',N''-pentamethyl-
	nmndf_nrcp_POS_00087.0440260	0.80989	POS_00087.0440260	serum	C4 H6 O2	1_4-Lactone	[0] C4H6O2-: 2,3-Butanedione anion
	nmndf_nrcp_POS_00137.0376160	0.80902	POS_00137.0376160	serum	C3 H8 N2 O2 S		[1] C3H8N2OS: Urea, (2-mercaptoethyl)-;Alpha-mercaptopropionhydrazide
	nmndf_nrcp_POS_00326.2174860	0.80892	POS_00326.2174860	serum	C9 H28 N9 O2 P		[11] C10H26N4P2: 1,3-Diphosphacyclobutadiene, 1,1,3,3-tetra(dimethylamino)-
	nmndf_orig_POS_00247.1174660	0.80745	POS_00247.1174660	serum	C11 H18 O6		[0] C11H18O6: 1,3-Propanediol, 2-hydroxymethyl-2-methyl-, triacetate;Triethyl 1,1,1-ethanetricarboxylate;1,1,2-Ethanetricarboxylic acid, triethyl ester;2,3-Di-O-Acetyl-1,4-Anhydro-5-O-methyl-L-fucitol;2,5-Di-O-Acetyl-1,4-Anhydro-3-O-methyl-L-fucitol;3,5-Di-O-Acetyl-1,4-Anhydro-2-O-methyl-L-fucitol;2,3-Di-O-acetyl-1,5-Anhydro-4-O-methyl-L-rhamnitol;2,4-Di-O-acetyl-1,5-Anhydro-3-O-methyl-L-rhamnitol;3,4-Di-O-acetyl-1,5-Anhydro-2-O-methyl-L-rhamnitol;2,3-di-O-acetyl-1,4-anhydro-4-O-methyl-D-fucitol;2,4-di-O-acetyl-1,5-anhydro-3-O-methyl-D-fucitol;3,4-di-O-acetyl-1,5-anhydro-2-O-methyl-D-fucitol
	nmndf_nrcp_POS_00273.1332360	0.80641	POS_00273.1332360	serum	C14 H24 O S2		[2] C14H24O: Cyclohexanone, 2-(2-ethylhexylidene)-,;8(E),10(Z)-Tetradeca-8,10-dienal;1-Hydroxy-1-ethynylcyclododecane;Caryophyllene alcohol
	nmndf_log_POS_00263.1488660	0.80539	POS_00263.1488660	serum	C9 H14 N10		[1] C10H14N10: S-triazine], 2,2'-cyclobut-1,2-ylene-bis[4,6-diamino-
nmndf_orig_POS_00253.9096560:		NA	NA_NA	NA	NA	NA	
	nmndf_orig_POS_00253.9096560	1	POS_00253.9096560	serum	C3 H2 N3 O3 P3 S		[5] C3H3N3O3: 1,3,5-Triazine-2,4,6(1H,3H,5H)-trione;s-Triazine-2,4,6-triol
nmndf_orig_NEG_00203.0205340:		NA	NA_NA	NA	NA	NA	
	nmndf_orig_NEG_00203.0205340	1	NEG_00203.0205340	serum	C3 H5 Cl N8 O		[4] C4H6N8: 1,2-Bis-(5-tetrazolyl)-ethane
	nmndf_log_NEG_00313.1132340	0.83521	NEG_00313.1132340	serum	C8 H14 N10 O4		[5] C7H14N6O4: Urea], 1,1'-trimethylenebis[3-methyl-3-nitroso-
nmndf_nrcp_POS_00355.1600760:		NA	NA_NA	NA	NA	NA	
	nmndf_nrcp_POS_00355.1600760	1	POS_00355.1600760	serum	C14 H26 O10		[2] C14H26O8: 3,6,9,12-Tetraoxatetradecane-1,14-diol, diacetate
	nmndf_nrcp_POS_00372.1866660	0.99264	POS_00372.1866660	serum	C14 H29 N O10		[4] C14H30O8: Heptaethylene glycol
	nmndf_nrcp_POS_00377.1420660	0.98215	POS_00377.1420660	serum	C20 H24 O5 S		[1] C20H24O5: GA11, Me
	nmndf_nrcp_POS_00399.1863260	0.96655	POS_00399.1863260	serum	C16 H30 O11		[2] C16H30O9: Hexaethylele glycol, diacetate
	nmndf_nrcp_POS_00311.1338160	0.96277	POS_00311.1338160	serum	C12 H22 O9		[2] C12H22O11: Cellobiose;&#946;-Cellobiose;Cellobiose;melibiose;gentiobiose;Sucrose;&#946;-D-Glucopyranose, 4-o-&#946;-D-galactopyranosyl-;D-Glucose, 4-o-&#946;-D-galactopyranosyl-;D-Glucose, 4-o-&#945;-D-glucopyranosyl-;&#945;-D-Glucopyranoside, &#945;-D-glucopyranosyl
	nmndf_nrcp_POS_00416.2128260	0.95323	POS_00416.2128260	serum	C11 H30 N9 O6 P		[8] C15H30N6O6: Hexa(methoxymethyl)melamine
	nmndf_nrcp_POS_00328.1604360	0.94703	POS_00328.1604360	serum	C7 H22 N9 O4 P		[6] C7H22N3O4P: 1,4-Butanediamine, n-(3-aminopropyl)-, phosphate (1 to 1)
	nmndf_nrcp_POS_00443.2124660	0.89786	POS_00443.2124660	serum	C19 H30 N4 O8		[3] C18H29N4O8P: 5'-Inosinic acid, dibutyl ester
	nmndf_nrcp_POS_00421.1682260	0.88615	POS_00421.1682260	serum	C13 H28 N2 O13		[8] C10H28CeN2NaO16: Acetic acid, (ethylenedinitrilo)-tetra-, cerium sodium salt, hydrate
	nmndf_nrcp_NEG_00309.1194240	0.87782	NEG_00309.1194240	serum	C12 H22 O9		[2] C12H22O11: Cellobiose;&#946;-Cellobiose;Cellobiose;melibiose;gentiobiose;Sucrose;&#946;-D-Glucopyranose, 4-o-&#946;-D-galactopyranosyl-;D-Glucose, 4-o-&#946;-D-galactopyranosyl-;D-Glucose, 4-o-&#945;-D-glucopyranosyl-;&#945;-D-Glucopyranoside, &#945;-D-glucopyranosyl
	nmndf_nrcp_POS_00460.2390960	0.86458	POS_00460.2390960	serum	C18 H37 N O12		[4] C18H36O10: 1,3,6,9,12,15,17,20,23,26-Decaoxacyclooctacosane
	nmndf_nrcp_NEG_00353.1455840	0.84369	NEG_00353.1455840	serum	C14 H26 O10		[2] C14H26O8: 3,6,9,12-Tetraoxatetradecane-1,14-diol, diacetate
	nmndf_nrcp_NEG_00441.1980740	0.83919	NEG_00441.1980740	serum	C18 H34 O12		[2] C18H34O10: Heptaethylene glycol, diacetate
	nmndf_nrcp_NEG_00397.1718240	0.83013	NEG_00397.1718240	serum	C16 H30 O11		[2] C16H30O9: Hexaethylele glycol, diacetate
	nmndf_nrcp_POS_00608.3125660	0.81127	POS_00608.3125660	serum	C22 H52 N5 O8 P3		[12] C21H50O9: Polyglycol p 15/200
	nmndf_nrcp_POS_00487.2387560	0.80898	POS_00487.2387560	serum	C15 H35 N8 O8 P		[7] C18H35N7O6: gly-lys-lys-gly-gly;gly-lys-gly-lys-gly;lys-gly-gly-gly-lys
nmndf_nrcp_POS_00201.1597860:		NA	NA_NA	NA	NA	NA	
	nmndf_nrcp_POS_00201.1597860	1	POS_00201.1597860	serum	C10 H20 N2 O2		[0] C10H20N2O2: N,N'-Hexamethylenebisacetamide;N,N,N',N'-tetramethyl-1,6-hexanediamide;butanamide, N,N'-1,2-ethanediylbis-
nmndf_orig_NEG_00234.9760040:		NA	NA_NA	NA	NA	NA	
	nmndf_orig_NEG_00234.9760040	1	NEG_00234.9760040	serum	C3 H8 O10 S		[4] C5H9O10-: (HCO2H)4..HCO2 anion
nmndf_nrcp_POS_00272.0764760:		NA	NA_NA	NA	NA	NA	
	nmndf_nrcp_POS_00272.0764760	1	POS_00272.0764760	serum	C11 H13 N O7		[2] C12H13NO6: 4H-3,1-benzoxazine-2,4(1h)-dione, 6,7,8-trimethoxy-n-methyl-
	nmndf_log_NEG_00168.0303040	0.9067	NEG_00168.0303040	serum	C7 H7 N O4	2-Furoylglycine;Pyromucuricacid	[0] C7H7NO4: Phenol, 4-methoxy-2-nitro-;4-Nitroguaiacol;4-Hydroxy-3-nitrobenzyl alcohol;3,4,5-Trihydroxybenzamide
	nmndf_nrcp_NEG_00270.0620840	0.8503	NEG_00270.0620840	serum	C12 H9 N5 O3		[2] C12H9N3O3: 4-Hydroxy-4'-nitroazobenzene
	nmndf_nrcp_NEG_00188.0024340	0.8406	NEG_00188.0024340	serum	C6 H7 N O4 S		[0] C6H7NO4S: Alpha-hydroxy-3-pyridinemethanesulfonic acid;Alpha-hydroxy-4-pyridinemethanesulfonic acid;Benzenesulfonic acid, 5-amino-2-hydroxy-
nmndf_nrcp_POS_00397.1601860:		NA	NA_NA	NA	NA	NA	
	nmndf_nrcp_POS_00397.1601860	1	POS_00397.1601860	serum	C14 H21 Cl N10 O2		[5] C14H21ClN7-: (MeCN)7..Cl anion
	nmndf_nrcp_POS_00375.1782160	0.97895	POS_00375.1782160	serum	C15 H31 Cl O8		[2] C15H32O8: Heptaethylene glycol monomethyl ether
	nmndf_log_POS_00471.1969160	0.91707	POS_00471.1969160	serum	C18 H36 Cl N4 O4 P S		[5] C19H36N2O4S: 2-Hydroxy-3-(n-hexylamino) propyl-trimethylammonium p-tosylate
	nmndf_log_POS_00449.2149460	0.90502	POS_00449.2149460	serum	C19 H33 Cl N4 O6		[4] C19H33N3O5S: Beta-diethylaminoethyl-p-aminobenzoate cyclohexylsulfamate
	nmndf_nrcp_POS_00397.1601960	0.86856	POS_00397.1601960	serum	C21 H31 Cl O P2		[3] C21H31O2P: Benzoic acid,4-(dicyclohexylphosphino)-ethyl ester
	nmndf_nrcp_POS_00375.1781760	0.86534	POS_00375.1781760	serum	C19 H33 Cl O P2		[4] C19H34O: Tricyclohexylmethanol
	nmndf_nrcp_POS_00357.2121560	0.86158	POS_00357.2121560	serum	C15 H32 O9		[1] C15H32O8: Heptaethylene glycol monomethyl ether
	nmndf_nrcp_POS_00379.1942460	0.83583	POS_00379.1942460	serum	C14 H30 N6 O2 S2		[5] C17H30N6O2: Imidazole-4-carboxylic acid, 5-(3-cyclohexyl-3-methyl-1-triazeno)-, 2-(diethylamino)ethyl ester
	nmndf_nrcp_POS_00473.1932960	0.8223	POS_00473.1932960	serum	C26 H20 N10		[2] C24H20N10: N,n'-bis-(4-(6-methyl)1,3,3a,7-tetrazaindenyl)-4,4'-biphenyldiamine
nmndf_orig_POS_00245.1383360:		NA	NA_NA	NA	NA	NA	
	nmndf_orig_POS_00245.1383360	1	POS_00245.1383360	serum	C12 H20 O5		[1] C12H20O4: 6,6,12,12-Tetramethyl-1,4,8,11-tetroxadispiro-[4.1.4.1]dodecane;1,2-Cyclohexanedicarboxylic acid, diethyl ester;Trans-1,4-cyclohexanedimethanol, diacetate;2-Butenedioic acid (e), dibutyl ester;2-Butenedioic acid (Z)-, dibutyl ester;1,4-Cyclohexanediacetic acid, dimethyl ester;1,4,10,13-tetraoxadispiro[4.3.4.3]hexadecane;Trans-1,3-cyclobutanediol, 2,2,4,4-tetramethyl-, diacetate;cis-Cyclohexane-1,3-dicarboxylic acid diethyl ester;trans-Cyclohexane-1,3-dicarboxylic acid diethyl ester;Diisobutylfomarate;2-Decenedioic acid, dimethyl ester;3-Methyl-dec-2-enedioic acid dimethyl ester, Z
nmndf_orig_POS_00171.0628060:		NA	NA_NA	NA	NA	NA	
	nmndf_orig_POS_00171.0628060	1	POS_00171.0628060	serum	C4 H6 N6 O2		[0] C4H6N6O2: Pyrimidine, 4-amino-6-hydrazino-5-nitro-
	nmndf_orig_POS_00149.0807960	0.85448	POS_00149.0807960	serum	C6 H12 O4	(R)-2_3-Dihydroxy-3-methylpentanoate	[0] C6H12O4: Diethylene glycol monoacetate;Propionic acid dimer;1-Mono propionin;Methyl 3,3-dimethoxypropionate
nmndf_nrcp_NEG_00087.0451940:		NA	NA_NA	NA	NA	NA	
	nmndf_nrcp_NEG_00087.0451940	1	NEG_00087.0451940	serum	C4 H8 O2	(R)-Acetoin	[0] C4H8O2: 1,3-Dioxolane, 4-methyl-;Beta-hydroxybutyraldehyde;Butanoic acid;2-Butene-1,4-diol;Formic acid, propyl ester;1,4-Dioxane;Ethyl acetate;Propanal, 3-methoxy-;Tetrahydrofuran, 3-hydroxy-;3-butene-1,2-diol;1,3-Dioxolane, 2-methyl-;1,3-Dioxane;1-Hydroxy-2-butanone;2-Butanone, 3-hydroxy-;2-Butanone, 3-hydroxy-, (.+/-.)-;2-Butanone, 3-hydroxy-, (R)-;Propanoic acid, methyl ester;1,2-Dioxane;2-Propanone, 1-methoxy-;4-Hydroxy-2-butanone;2-Butene-1,4-diol, (Z)-;Formic acid, 1-methylethyl ester;cis 1,2-Dimethoxyethylene;Ethene, 1,2-dimethoxy-, (E)-;Ethylene glycol monovinyl ether;Propanoic acid, 2-methyl-;(E)-2-butene-1,4-diol;Ethene, 1,1-dimethoxy-;Oxirane, (methoxymethyl)-
	nmndf_nrcp_NEG_00277.0695140	0.93382	NEG_00277.0695140	serum	C10 H18 N2 O3 S2		[2] C10H18N2O3: val-pro;pro-val
	nmndf_nrcp_NEG_00213.0404640	0.9313	NEG_00213.0404640	serum	C9 H10 O6	2-Hydroxy-6-oxonona-2_4-diene-1_9-dioate	[1] C9H10O5: 3-Hydroxy-4,5-dimethoxybenzoic acid;2-Hydroxy-4,6-dimethoxybenzoic acid;3-Hydroxy-4-methoxymandelic acid;Syringic acid;2-(Diacetoxymethyl)furan;Gallic acid, ethyl ester
	nmndf_nrcp_NEG_00355.0127940	0.92869	NEG_00355.0127940	serum	C9 H11 N8 O2 P3		[5] C9H11N7O2S: Urea, 1-methyl-1-nitroso-3-[2-(purin-8-ylthio)ethyl]-;Urea, 1-methyl-1-nitroso-3-[2-(9h-purine-6-ylthio)ethyl]-
	nmndf_log_NEG_00255.0876340	0.91082	NEG_00255.0876340	serum	C12 H16 O6	[Similar to: (5-Amino[1,2,3]triazolo[1,5-a]quinazolin-3-yl)(morpholino)methanone; ?Mass: 42.0229 Da]	[0] C12H16O6: Cyclohexanecarboxylic acid, 1,3-dihydroxy-4,5-(isopropylidenedioxy)-, gamma-lactone, 1-acetate;2-hydroxyl-tetramethoxy-acetophenone
	nmndf_log_NEG_00227.0926040	0.90492	NEG_00227.0926040	serum	C11 H16 O5		[0] C11H16O5: o-Allyl oo-tert-butylperfumarate
