Target	CorrelatedName	Correlation	orig_name	Source	Formula	ChemName
	nmndf_nrcp_POS_00131.0702360.1	0.8604	POS_00131.0702360.1	NA	NA	NA
	nmndf_orig_POS_00133.0858760	0.85938	POS_00133.0858760	serum	C6 H12 O3	2-hydroxycaproicacid
	nmndf_orig_POS_00339.2168160	0.85806	POS_00339.2168160	serum	C19 H30 O5	
	nmndf_orig_POS_00151.0964260	0.85579	POS_00151.0964260	serum	C6 H14 O4	
	nmndf_orig_POS_00325.1858660	0.85552	POS_00325.1858660	serum	C14 H28 O8	
	nmndf_orig_POS_00131.0702260	0.85428	POS_00131.0702260	serum	C6 H10 O3	(R)-Pantolactone
	nmndf_nrcp_POS_00573.2856260	0.85139	POS_00573.2856260	serum		
	nmndf_nrcp_POS_00358.2437760	0.84727	POS_00358.2437760	serum	C16 H31 N5 O4	
	nmndf_log_POS_00285.9880060	0.84634	POS_00285.9880060	serum	C5 H8 N3 O7 P S	
	nmndf_nrcp_POS_00372.2594360	0.84261	POS_00372.2594360	serum	C17 H33 N5 O4	
	nmndf_nrcp_POS_00250.2012760	0.83718	POS_00250.2012760	serum	C12 H27 N O4	
	nmndf_nrcp_POS_00245.1359060	0.83643	POS_00245.1359060	serum	C16 H20 S	
	nmndf_nrcp_POS_00333.1885560	0.83518	POS_00333.1885560	serum	C12 H24 N6 O5	
	nmndf_orig_POS_00233.0995660	0.82985	POS_00233.0995660	serum	C6 H12 N6 O4	
	nmndf_orig_POS_00370.2438660	0.81872	POS_00370.2438660	serum	C11 H32 N9 O3 P	
	nmndf_nrcp_POS_00460.3119660	0.81708	POS_00460.3119660	serum	C21 H41 N5 O6	
	nmndf_orig_POS_00195.1226860.1	0.81494	POS_00195.1226860.1	NA	NA	NA
	nmndf_log_POS_00089.0596760	0.81219	POS_00089.0596760	serum	C4 H8 O2	(R)-Acetoin
	nmndf_orig_POS_00376.2179860	0.81062	POS_00376.2179860	serum	C15 H29 N5 O6	
	nmndf_nrcp_POS_00285.1544060	0.81025	POS_00285.1544060	serum	C8 H16 N10 O2	
	nmndf_nrcp_POS_00087.0440260	0.80989	POS_00087.0440260	serum	C4 H6 O2	1_4-Lactone
	nmndf_nrcp_POS_00137.0376160	0.80902	POS_00137.0376160	serum	C3 H8 N2 O2 S	
	nmndf_nrcp_POS_00326.2174860	0.80892	POS_00326.2174860	serum	C9 H28 N9 O2 P	
	nmndf_orig_POS_00247.1174660	0.80745	POS_00247.1174660	serum	C11 H18 O6	
	nmndf_nrcp_POS_00273.1332360	0.80641	POS_00273.1332360	serum	C14 H24 O S2	
	nmndf_log_POS_00263.1488660	0.80539	POS_00263.1488660	serum	C9 H14 N10	
nmndf_orig_POS_00253.9096560:		NA	NA_NA	NA	NA	NA
	nmndf_orig_POS_00253.9096560	1	POS_00253.9096560	serum	C3 H2 N3 O3 P3 S	
nmndf_orig_NEG_00203.0205340:		NA	NA_NA	NA	NA	NA
	nmndf_orig_NEG_00203.0205340	1	NEG_00203.0205340	serum	C3 H5 Cl N8 O	
	nmndf_log_NEG_00313.1132340	0.83521	NEG_00313.1132340	serum	C8 H14 N10 O4	
nmndf_nrcp_POS_00355.1600760:		NA	NA_NA	NA	NA	NA
	nmndf_nrcp_POS_00355.1600760	1	POS_00355.1600760	serum	C14 H26 O10	
	nmndf_nrcp_POS_00372.1866660	0.99264	POS_00372.1866660	serum	C14 H29 N O10	
	nmndf_nrcp_POS_00377.1420660	0.98215	POS_00377.1420660	serum	C20 H24 O5 S	
	nmndf_nrcp_POS_00399.1863260	0.96655	POS_00399.1863260	serum	C16 H30 O11	
	nmndf_nrcp_POS_00311.1338160	0.96277	POS_00311.1338160	serum	C12 H22 O9	
	nmndf_nrcp_POS_00416.2128260	0.95323	POS_00416.2128260	serum	C11 H30 N9 O6 P	
	nmndf_nrcp_POS_00328.1604360	0.94703	POS_00328.1604360	serum	C7 H22 N9 O4 P	
	nmndf_nrcp_POS_00443.2124660	0.89786	POS_00443.2124660	serum	C19 H30 N4 O8	
	nmndf_nrcp_POS_00421.1682260	0.88615	POS_00421.1682260	serum	C13 H28 N2 O13	
	nmndf_nrcp_NEG_00309.1194240	0.87782	NEG_00309.1194240	serum	C12 H22 O9	
	nmndf_nrcp_POS_00460.2390960	0.86458	POS_00460.2390960	serum	C18 H37 N O12	
	nmndf_nrcp_NEG_00353.1455840	0.84369	NEG_00353.1455840	serum	C14 H26 O10	
	nmndf_nrcp_NEG_00441.1980740	0.83919	NEG_00441.1980740	serum	C18 H34 O12	
	nmndf_nrcp_NEG_00397.1718240	0.83013	NEG_00397.1718240	serum	C16 H30 O11	
	nmndf_nrcp_POS_00608.3125660	0.81127	POS_00608.3125660	serum	C22 H52 N5 O8 P3	
	nmndf_nrcp_POS_00487.2387560	0.80898	POS_00487.2387560	serum	C15 H35 N8 O8 P	
nmndf_nrcp_POS_00201.1597860:		NA	NA_NA	NA	NA	NA
	nmndf_nrcp_POS_00201.1597860	1	POS_00201.1597860	serum	C10 H20 N2 O2	
nmndf_orig_NEG_00234.9760040:		NA	NA_NA	NA	NA	NA
	nmndf_orig_NEG_00234.9760040	1	NEG_00234.9760040	serum	C3 H8 O10 S	
nmndf_nrcp_POS_00272.0764760:		NA	NA_NA	NA	NA	NA
	nmndf_nrcp_POS_00272.0764760	1	POS_00272.0764760	serum	C11 H13 N O7	
	nmndf_log_NEG_00168.0303040	0.9067	NEG_00168.0303040	serum	C7 H7 N O4	2-Furoylglycine;Pyromucuricacid
	nmndf_nrcp_NEG_00270.0620840	0.8503	NEG_00270.0620840	serum	C12 H9 N5 O3	
	nmndf_nrcp_NEG_00188.0024340	0.8406	NEG_00188.0024340	serum	C6 H7 N O4 S	
nmndf_nrcp_POS_00397.1601860:		NA	NA_NA	NA	NA	NA
	nmndf_nrcp_POS_00397.1601860	1	POS_00397.1601860	serum	C14 H21 Cl N10 O2	
	nmndf_nrcp_POS_00375.1782160	0.97895	POS_00375.1782160	serum	C15 H31 Cl O8	
	nmndf_log_POS_00471.1969160	0.91707	POS_00471.1969160	serum	C18 H36 Cl N4 O4 P S	
	nmndf_log_POS_00449.2149460	0.90502	POS_00449.2149460	serum	C19 H33 Cl N4 O6	
	nmndf_nrcp_POS_00397.1601960	0.86856	POS_00397.1601960	serum	C21 H31 Cl O P2	
	nmndf_nrcp_POS_00375.1781760	0.86534	POS_00375.1781760	serum	C19 H33 Cl O P2	
	nmndf_nrcp_POS_00357.2121560	0.86158	POS_00357.2121560	serum	C15 H32 O9	
	nmndf_nrcp_POS_00379.1942460	0.83583	POS_00379.1942460	serum	C14 H30 N6 O2 S2	
	nmndf_nrcp_POS_00473.1932960	0.8223	POS_00473.1932960	serum	C26 H20 N10	
nmndf_orig_POS_00245.1383360:		NA	NA_NA	NA	NA	NA
	nmndf_orig_POS_00245.1383360	1	POS_00245.1383360	serum	C12 H20 O5	
nmndf_orig_POS_00171.0628060:		NA	NA_NA	NA	NA	NA
	nmndf_orig_POS_00171.0628060	1	POS_00171.0628060	serum	C4 H6 N6 O2	
	nmndf_orig_POS_00149.0807960	0.85448	POS_00149.0807960	serum	C6 H12 O4	(R)-2_3-Dihydroxy-3-methylpentanoate
nmndf_nrcp_NEG_00087.0451940:		NA	NA_NA	NA	NA	NA
	nmndf_nrcp_NEG_00087.0451940	1	NEG_00087.0451940	serum	C4 H8 O2	(R)-Acetoin
	nmndf_nrcp_NEG_00277.0695140	0.93382	NEG_00277.0695140	serum	C10 H18 N2 O3 S2	
	nmndf_nrcp_NEG_00213.0404640	0.9313	NEG_00213.0404640	serum	C9 H10 O6	2-Hydroxy-6-oxonona-2_4-diene-1_9-dioate
	nmndf_nrcp_NEG_00355.0127940	0.92869	NEG_00355.0127940	serum	C9 H11 N8 O2 P3	
	nmndf_log_NEG_00255.0876340	0.91082	NEG_00255.0876340	serum	C12 H16 O6	"[Similar to: (5-Amino[1,2,3]triazolo[1,5-a]quinazolin-3-yl)(morpholino)methanone; ?Mass: 42.0229 Da]"
	nmndf_log_NEG_00227.0926040	0.90492	NEG_00227.0926040	serum	C11 H16 O5	
	nmndf_nrcp_NEG_00125.0607540	0.89922	NEG_00125.0607540	serum	C7 H10 O2	"(1S,2R)-3-Methylcyclohexa-3,5-diene-1,2-diol"
	nmndf_log_NEG_00271.0825840	0.89544	NEG_00271.0825840	serum	C12 H16 O7	Arbutin;Arbutoside
	nmndf_log_POS_00239.0913660	0.87552	POS_00239.0913660	serum	C12 H14 O5	
	nmndf_log_NEG_00211.0976740	0.84135	NEG_00211.0976740	serum	C11 H16 O4	"3-[(3aS,4S,5R,7aS)-5-Hydroxy-7a-methyl-1-oxo-octahydro-1H-indene-4-carboxylate"
	nmndf_nrcp_NEG_00201.1132340	0.8272	NEG_00201.1132340	serum	C10 H18 O4	Sebacicacid
nmndf_log_NEG_00170.9968240:		NA	NA_NA	NA	NA	NA
	nmndf_log_NEG_00170.9968240	1	NEG_00170.9968240	serum	C3 H8 O6 S	
