id	name	parent_id	level	external_id	ec_id	child_count	level_backup
37	CMP-<i>N</i>-Acetylneuraminate Biosynthesis	40	level 1	CMP-N-Acetylneuraminate-Biosynthesis		0	super-pathway
38	GDP Mannose Biosynthesis	40	level 1	GDP-Mannose-Biosynthesis		0	super-pathway
39	Rhamnose Biosynthesis	40	level 1	Rhamnose-Biosynthesis		0	super-pathway
40	Sugar Nucleotides Biosynthesis	42	level 1	SUGAR-NUCLEOTIDES		0	super-pathway
41	Trehalose Biosynthesis	42	level 1	Trehalose-biosynthesis		0	super-pathway
42	Sugars Biosynthesis	48	level 1	CARBO-BIOSYNTHESIS		0	super-pathway
43	Oligosaccharides Biosynthesis	48	level 1	Oligosaccharides-Biosynthesis		0	super-pathway
44	CMP-KDO Biosynthesis	47	level 1	CMP-KDO-Biosynthesis		0	super-pathway
45	Glucogen and Starch Biosynthesis	47	level 1	GLYCOGEN-BIOSYN		0	super-pathway
46	Glycosaminoglycans Biosynthesis	47	level 1	Glycosaminoglycans-Biosynthesis		0	super-pathway
47	Polysaccharides Biosynthesis	48	level 1	Polysaccharides-Biosynthesis		0	super-pathway
48	Carbohydrates Biosynthesis	223	super-pathway	Carbohydrates-Biosynthesis		0	super-pathway
49	UDP-<i>N</i>-Acetylmuramoyl-Pentapeptide Biosynthesis	59	level 1	Acetylmuramoyl-Pentapeptide-Biosynthesis		0	super-pathway
50	Peptidoglycan Biosynthesis	52	level 1	Peptidoglycan-Biosynthesis		0	super-pathway
51	Peptidoglycan Cross-Bridge Biosynthesis	52	level 1	Peptidoglycan-Cross-Bridge-Biosynthesis		0	super-pathway
52	Cell Wall Biosynthesis	59	level 1	Cell-Wall-Biosynthesis		0	super-pathway
53	<i>O</i>-Antigen Biosynthesis	54	level 1	O-Antigen-Biosynthesis		0	super-pathway
54	Lipopolysaccharide Biosynthesis	59	level 1	Lipopolysaccharide-Biosynthesis		0	super-pathway
55	Epidermal Structures	58	level 1	EPIDERMAL-STRUCTURE		0	super-pathway
56	Primary Cell Wall	58	level 1	PRIMARY-CELL-WALL		0	super-pathway
57	Secondary Cell Wall	58	level 1	SECONDARY-CELL-WALL		0	super-pathway
58	Plant Cell Structures	59	level 1	PLANT-CELL-STRUCTURE		0	super-pathway
59	Cell Structures Biosynthesis	223	super-pathway	Cell-Structure-Biosynthesis		0	super-pathway
60	2'-(5''-phosphoribosyl)-3'-dephospho-CoA Biosynthesis	61	level 1	Dephospho-CoA-Biosynthesis		0	super-pathway
61	Coenzyme A Biosynthesis	95	level 1	CoA-Biosynthesis		0	super-pathway
62	Lipoate Biosynthesis	95	level 1	Lipoate-Biosynthesis		0	super-pathway
63	NAD Biosynthesis	64	level 1	NAD-SYN		0	super-pathway
64	NAD Metabolism	95	level 1	NAD-Metabolism		0	super-pathway
65	All-Trans-Farnesyl-PP-Biosynthesis	67	level 1	All-Trans-Farnesyl-PP-Biosynthesis		0	super-pathway
66	Geranylgeranyldiphosphate Biosynthesis	67	level 1	GGPP-Biosynthesis		0	super-pathway
67	Polyprenyl Biosynthesis	95	level 1	Polyprenyl-Biosynthesis		0	super-pathway
68	Chlorophyll <i>a</i>-Biosynthesis	70	level 1	Chlorophyll-a-Biosynthesis		0	super-pathway
69	Chlorophyllide <i>a</i> Biosynthesis	70	level 1	Chlorophyllide-a-Biosynthesis		0	super-pathway
70	Chlorophyll Biosynthesis	72	level 2	Chlorophyll-Biosynthesis		0	level 2
71	Heme Biosynthesis	72	level 1	HEME-SYN		0	super-pathway
72	Porphyrin Compounds Biosynthesis	95	level 1	Porphyrin-Compounds-Biosynthesis		0	super-pathway
73	Demethylmenaquinone Biosynthesis	80	level 1	Demethylmenaquinone-Biosynthesis		0	super-pathway
74	1,4-Dihydroxy-2-Naphthoate Biosynthesis	80	level 1	DHNA-Biosynthesis		0	super-pathway
75	Menaquinone Biosynthesis	80	level 1	Menaquinone-Biosynthesis		0	super-pathway
76	Phylloquinone Biosynthesis	80	level 1	Phylloquinone-Biosynthesis		0	super-pathway
77	Plastoquinone Biosynthesis	80	level 1	Plastoquinone-Biosynthesis		0	super-pathway
78	Rhodoquinone Biosynthesis	80	level 2	Rhodoquinone-Biosynthesis		0	level 2
79	Ubiquinone Biosynthesis	80	level 1	Ubiquinone-Biosynthesis		0	super-pathway
80	Quinone Biosynthesis	95	level 1	Quinone-Biosynthesis		0	super-pathway
81	Reductants Biosynthesis	95	level 1	Reductants		0	super-pathway
82	Tetrahydrobiopterin Biosynthesis	95	level 1	Tetrahydrobiopterin-Biosynthesis		0	super-pathway
83	Tetrapyrrole Biosynthesis	95	level 1	Tetrapyrrole-Biosynthesis		0	super-pathway
84	Ascorbate Biosynthesis	94	level 1	Ascorbate-Biosynthesis		0	super-pathway
85	7-Keto,8-aminopelargonate Biosynthesis	86	level 1	7-Keto-8-aminopelargonate-Biosynthesis		0	super-pathway
86	Biotin Biosynthesis	94	level 1	BIOTIN-SYN		0	super-pathway
87	Adenosylcobalamin Biosynthesis	88	level 1	Adenosylcobalamin-Biosynthesis		0	super-pathway
88	Cobalamin Biosynthesis	94	level 1	Cobalamin-Biosynthesis		0	super-pathway
89	Flavin Biosynthesis	94	level 1	Flavin-Biosynthesis		0	super-pathway
90	Folate Biosynthesis	94	level 1	Folate-Biosynthesis		0	super-pathway
91	Pantothenate Biosynthesis	94	level 1	Pantothenate-Biosynthesis		0	super-pathway
92	Thiamine Biosynthesis	94	level 1	Thiamine-Biosynthesis		0	super-pathway
93	Vitamin B<sub>6</sub> Biosynthesis	94	level 1	Vitamin-B6-Biosynthesis		0	super-pathway
94	Vitamins Biosynthesis	95	level 1	Vitamin-Biosynthesis		0	super-pathway
95	Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis	223	super-pathway	Cofactor-Biosynthesis		0	super-pathway
96	Abscisic acid derivative Biosynthesis	97	level 1	Abscisic-Acid-Derivative-Biosynthesis		0	super-pathway
97	Abscisic Acid Biosynthesis	103	level 1	Abscisic-Acid-Biosynthesis		0	super-pathway
98	Auxins Biosynthesis	103	level 1	Auxin-Biosynthesis		0	super-pathway
99	Brassinosteroids Biosynthesis	103	level 1	Brassinosteroid-Biosynthesis		0	super-pathway
100	Cytokinins Biosynthesis	103	level 1	CYTOKININ-BIOSYNTHESIS		0	super-pathway
101	Gibberellins Biosynthesis	103	level 1	GIBBERELLIN-SYN		0	super-pathway
102	Jasmonates Biosynthesis	103	level 1	Jasmonates-Biosynthesis		0	super-pathway
103	Plant Hormones Biosynthesis	104	level 1	Plant-Hormone-Biosynthesis		0	super-pathway
104	Hormones Biosynthesis	223	super-pathway	HORMONE-SYN		0	super-pathway
105	Choline Biosynthesis	124	level 1	Choline-Biosynthesis		0	super-pathway
106	&gamma;-Linolenate Biosynthesis	115	level 1	Gamma-linolenate-Biosynthesis		0	super-pathway
107	Linoleate Biosynthesis	115	level 1	Linoleate-Biosynthesis		0	super-pathway
108	Oleate Biosynthesis	115	level 1	Oleate-Biosynthesis		0	super-pathway
109	Palmitate Biosynthesis	115	level 1	Palmitate-Biosynthesis		0	super-pathway
110	Palmitoleate Biosynthesis	115	level 1	Palmitoleate-Biosynthesis		0	super-pathway
111	Stearate Biosynthesis	115	level 1	Stearate-Biosynthesis		0	super-pathway
112	Conjugated Fatty Acid Biosynthesis	114	level 2	Conjugated-Fatty-Acid-Biosynthesis		0	level 2
113	Cyclopropane Fatty Acids Biosynthesis	114	level 1	Cyclopropane-fatty-acid-biosyn		0	super-pathway
114	Unusual Fatty Acid Biosynthesis	115	level 1	Unusual-fatty-acid-biosynthesis		0	super-pathway
115	Fatty Acid Biosynthesis	124	level 1	Fatty-acid-biosynthesis		0	super-pathway
116	KDO Transfer to Lipid IV<SUB>A</SUB>	124	level 1	KDO-Lipid-IV-Transfer		0	super-pathway
117	Cardiolipin Biosynthesis	122	level 1	Cardiolipin-Biosynthesis		0	super-pathway
118	CDP-diacylglycerol Biosynthesis	122	level 1	CDP-diacylglycerol-Biosynthesis		0	super-pathway
119	Phosphatidylcholine Biosynthesis	122	level 1	PhosphatidylcholineBiosynthesis		0	super-pathway
120	Phosphatidylethanolamine Biosynthesis	122	level 1	PhosphatidylethanolamineBiosynthesis		0	super-pathway
121	Phosphatidylglycerol Biosynthesis	122	level 1	PhosphatidylglycerolBiosynthesis		0	super-pathway
122	Phospholipid Biosynthesis	124	level 1	Phospholipid-Biosynthesis		0	super-pathway
123	Sterol Biosynthesis	124	level 1	Sterol-Biosynthesis		0	super-pathway
124	Fatty Acids and Lipids Biosynthesis	223	super-pathway	Lipid-Biosynthesis		0	super-pathway
125	Metabolic Regulators Biosynthesis	223	super-pathway	Metabolic-Regulators		0	super-pathway
126	5-Aminoimidazole Ribonucleotide Biosynthesis	134	level 1	AIR-Biosynthesis		0	super-pathway
127	2'-Deoxyribonucleotides Biosynthesis	134	level 2	Deoxyribonucleotide-Biosynthesis		0	level 2
128	Inosine-5'-phosphate Biosynthesis	131	level 1	IMP-Biosynthesis		0	super-pathway
129	Purine Nucleotide <i>De Novo</i> Biosynthesis	131	level 1	Purine-Nucleotide-De-Novo-Biosynthesis		0	super-pathway
130	Purine Nucleotide Salvage	131	level 1	Purine-Nucleotides-Salvage		0	super-pathway
131	Purine Nucleotide Biosynthesis	134	level 2	PUR-NUC-SYN		0	level 2
132	Pyrimidine Deoxyribonucleotides <i>De Novo</i> Biosynthesis	133	level 1	Pyrimid-Deoxyribonucleot-De-Novo-Biosyn		0	super-pathway
133	Pyrimidine Nucleotide Biosynthesis	134	level 1	PYR-NUC-SYN		0	super-pathway
134	Nucleosides and Nucleotides Biosynthesis	223	super-pathway	Nucleotide-Biosynthesis		0	level 2
135	Autoinducer Biosynthesis	139	level 1	Autoinducer-Biosynthesis		0	super-pathway
136	Dimethylsulfoniopropionate Biosynthesis	139	level 1	Dimethylsulfoniopropionate-Biosynthesis		0	super-pathway
137	Mannosylglycerate Biosynthesis	139	level 1	Mannosylglycerate-Biosynthesis		0	super-pathway
138	PRPP Biosynthesis	139	level 1	PRPP-Biosynthesis		0	super-pathway
139	Other Biosynthesis	223	super-pathway	Other-biosynthesis		0	super-pathway
140	Betaine Biosynthesis	145	level 1	Betaine-Biosynthesis		0	super-pathway
141	Putrescine Biosynthesis	145	level 1	Putrescine-Biosynthesis		0	super-pathway
142	Spermidine Biosynthesis	145	level 1	Spermidine-Biosynthesis		0	super-pathway
143	UDP-<i>N</i>-acetyl-D-galactosamine Biosynthesis	145	level 1	UDP-Nac-Galactosamine-Biosynthesis		0	super-pathway
144	UDP-<i>N</i>-acetyl-D-glucosamine Biosynthesis	145	level 1	UDP-NAc-Glucosamine-Biosynthesis		0	super-pathway
145	Amines and Polyamines Biosynthesis	223	super-pathway	Polyamine-Biosynthesis		0	super-pathway
146	Antibiotic Biosynthesis	221	level 1	Antibiotic-Biosynthesis		0	super-pathway
147	Fatty Acid Derivatives Biosynthesis	221	level 1	FATTY-ACID-DERIVATIVE-SYN		0	super-pathway
148	Betalaine Alkaloids Biosynthesis	161	level 1	BETALAIN-ALKALOIDS		0	super-pathway
149	Indole Alkaloids Biosynthesis	161	level 1	INDOLE-ALKALOIDS		0	super-pathway
150	Isoquinoline and Benzylisoquinoline Alkaloids Biosynthesis	161	level 1	ISOQUINOLINE-ALKALOIDS		0	super-pathway
151	Peptide Alkaloids Biosynthesis	161	level 2	PEPTIDE-ALKALOIDS		0	level 2
152	Polyketide Alkaloids Biosynthesis	161	level 2	POLYKETIDE-ALKALOIDS		0	level 2
153	Caffeine Biosynthesis	154	level 1	Caffeine-Biosynthesis		0	super-pathway
154	Purine Alkaloids Biosynthesis	161	level 1	PURINE-ALKALOIDS		0	super-pathway
155	Pyrrolidine, Piperidine and Pyridine Alkaloids Biosynthesis	161	level 1	PYRROLIDINE-ALKALOIDS		0	super-pathway
156	Pyrrolizidine Alkaloids Biosynthesis	161	level 2	PYRROLIZIDINE-ALKALOIDS		0	level 2
157	Quinoline Alkaloids Biosynthesis	161	level 1	QUINOLINE-ALKALOIDS		0	super-pathway
158	Quinolizidine Alkaloids Biosynthesis	161	level 1	QUINOLIZIDINE-ALKALOIDS		0	super-pathway
159	Terpenoid Alkaloids Biosynthesis	161	level 1	TERPENOID-ALKALOIDS		0	super-pathway
160	Tropane Alkaloids Biosynthesis	161	level 1	TROPANE-ALKALOIDS		0	super-pathway
161	Alkaloids Biosynthesis	167	level 1	ALKALOIDS-SYN		0	super-pathway
162	Amines Biosynthesis	167	level 2	AMINE-SYN		0	level 2
163	Cyanogenic Glucosides Biosynthesis	165	level 1	CYANOGENIC-GLUCOSIDE-SYN		0	super-pathway
164	Glucosinolates Biosynthesis	165	level 1	GLUCOSINOLATE-SYN		0	super-pathway
165	Nitrogen-Containing Glucosides Biosynthesis	167	level 1	N-CONTAINING-GLUCOSIDE-SYN		0	super-pathway
166	Non protein Amino Acids Biosynthesis	167	level 1	NON-PROTEIN-AMINO-ACID-SYN		0	super-pathway
167	Nitrogen-Containing Secondary Compounds Biosynthesis	221	level 1	N-CONTAINING-SECONDARY-CMPD-SYN		0	super-pathway
168	Benzoate Biosynthesis	171	level 1	Benzoate-Biosynthesis		0	super-pathway
169	Salicylate Biosynthesis	171	level 1	Salicylate-Biosynthesis		0	super-pathway
170	Volatile Benzenoids Biosynthesis	171	level 1	Volatile-Benzenoids-Biosynthesis		0	super-pathway
171	Benzenoids Biosynthesis	194	level 2	BENZENOID-SYN		0	level 2
172	Cinnamates Biosynthesis	194	level 1	CINNAMATE-SYN		0	super-pathway
173	Coumarins Biosynthesis	194	level 1	COUMARIN-SYN		0	super-pathway
174	Anthocyanins Biosynthesis	186	level 1	ANTHOCYANIN-SYN		0	super-pathway
175	Aurones Biosynthesis	186	level 1	AURONE-SYN		0	super-pathway
176	Chalcones Biosynthesis	186	level 1	CHALCONE-SYN		0	super-pathway
177	Flavanones Biosynthesis	186	level 1	FLAVANONES-SYN		0	super-pathway
178	Flavones Biosynthesis	186	level 1	FLAVONE-SYN		0	super-pathway
179	Flavonols Biosynthesis	186	level 1	FLAVONOL-SYN		0	super-pathway
180	Rotenoids Biosynthesis	181	level 1	Rotenoids-Biosynthesis		0	super-pathway
181	Isoflavonoids Biosynthesis	186	level 1	ISOFLAVONOID-SYN		0	super-pathway
182	Leucoanthocyanidins (flavan-3,4-diols) Biosynthesis	186	level 1	LEUCOANTHOCYANIDIN-SYN		0	super-pathway
183	Phlobaphenes Biosynthesis	186	level 2	PHLOBAPHENE-SYN		0	level 2
184	Prenylflavonoids Biosynthesis	186	level 1	PRENYLFLAVONOID-SYN		0	super-pathway
185	Proanthocyanidins Biosynthesis	186	level 2	PROANTHOCYANIDIN-SYN		0	level 2
186	Flavonoids Biosynthesis	194	level 1	FLAVONOID-SYN		0	super-pathway
187	Lignans Biosynthesis	194	level 1	LIGNAN-SYN		0	super-pathway
188	Lignins Biosynthesis	194	level 1	LIGNIN-SYN		0	super-pathway
189	Quinones Biosynthesis	194	level 1	QUINONE-SYN		0	super-pathway
190	Stilbenes Biosynthesis	194	level 1	STILBENE-SYN		0	super-pathway
191	Ellagitannins Biosynthesis	193	level 1	ELLAGITANNINS		0	super-pathway
192	Gallotannins Biosynthesis	193	level 1	GALLOTANNINS		0	super-pathway
193	Hydrolyzable Tannins Biosynthesis	194	level 1	TANNIN-SYN		0	super-pathway
194	Phenylpropanoid Derivatives Biosynthesis	221	level 2	PHENYLPROPANOID-SYN		0	level 2
195	Coumarin Phytoalexins Biosynthesis	201	level 1	COUMARIN-PHYTOALEXINS		0	super-pathway
196	Flavonoid Phytoalexins Biosynthesis	201	level 1	FLAVONOID-PHYTOALEXINS		0	super-pathway
197	Indole Phytoalexins Biosynthesis	201	level 1	INDOLE-PHYTOALEXIN-SYN		0	super-pathway
198	Isoflavonoid Phytoalexins Biosynthesis	201	level 1	ISOFLAVONOID-PHYTOALEXINS		0	super-pathway
199	Stilbene Phytoalexins Biosynthesis	201	level 1	STILBENE-PHYTOALEXINS		0	super-pathway
200	Terpenoid Phytoalexins Biosynthesis	201	level 1	TERPENOID-PHYTOALEXINS		0	super-pathway
201	Phytoalexins Biosynthesis	221	level 1	PHYTOALEXIN-SYN		0	super-pathway
202	Polyketides Biosynthesis	221	level 1	POLYKETIDE-SYN		0	super-pathway
203	Phytate Biosynthesis	204	level 1	Phytate-Biosynthesis		0	super-pathway
204	Cyclitols Biosynthesis	205	level 1	Cyclitols-Biosynthesis		0	super-pathway
205	Sugar Derivatives Biosynthesis	221	level 1	SUGAR-DERIVS		0	super-pathway
101	Gibberellins Biosynthesis	208	level 1	GIBBERELLIN-SYN		0	super-pathway
206	Phytyl Diphosphate Biosynthesis	208	level 1	Phytyl-Diphosphate-Biosynthesis		0	super-pathway
207	Resin Acids Biosynthesis	208	level 1	Resin-Acids-Biosynthesis		0	super-pathway
208	Diterpenoids Biosynthesis	218	level 1	DITERPENOID-SYN		0	super-pathway
209	Hemiterpenes Biosynthesis	218	level 1	ISOPRENOIDS		0	super-pathway
210	Monoterpenoids Biosynthesis	218	level 1	MONOTERPENOID-SYN		0	super-pathway
211	Polyterpenoids Biosynthesis	218	level 1	POLYTERPENOID-SYN		0	super-pathway
96	Abscisic acid derivative Biosynthesis	97	level 1	Abscisic-Acid-Derivative-Biosynthesis		0	super-pathway
97	Abscisic Acid Biosynthesis	212	level 1	Abscisic-Acid-Biosynthesis		0	super-pathway
212	Sesquiterpenoids Biosynthesis	218	level 1	SESQUITERPENOID-SYN		0	super-pathway
159	Terpenoid Alkaloids Biosynthesis	218	level 1	TERPENOID-ALKALOIDS		0	super-pathway
213	Apocarotenoids Biosynthesis	216	level 1	APOCAROTENOID-SYN		0	super-pathway
214	Lycopene biosynthesis	215	level 1	Lycopene-Biosynthesis		0	super-pathway
215	Carotenoids Biosynthesis	216	level 1	CAROTENOID-SYN		0	super-pathway
216	Tetraterpenoids Biosynthesis	218	level 2	TETRATERPENOID-SYN		0	level 2
217	Triterpenoids Biosynthesis	218	level 1	TRITERPENOID-SYN		0	super-pathway
218	Terpenoids Biosynthesis	221	level 1	Terpenoid-Biosynthesis		0	super-pathway
219	Terpenophenolics Biosynthesis	221	level 1	TERPENOPHENOLICS-SYN		0	super-pathway
220	Xanthones Biosynthesis	221	level 1	XANTHONE-SYN		0	super-pathway
221	Secondary Metabolites Biosynthesis	223	super-pathway	SECONDARY-METABOLITE-BIOSYNTHESIS		0	super-pathway
222	Siderophore Biosynthesis	223	super-pathway	Siderophores-Biosynthesis		0	super-pathway
223	Biosynthesis	1	super-pathway	Biosynthesis		0	super-pathway
224	2,3-Butanediol Degradation	227	level 1	2-3-Butanediol-Degradation		0	super-pathway
225	Ethanol Degradation	227	level 1	Ethanol-Degradation		0	super-pathway
226	Glycerol Degradation	227	level 1	GLYCEROL-DEG		0	super-pathway
227	Alcohols Degradation	409	super-pathway	Alcohol-Degradation		0	super-pathway
228	Lactaldehyde Degradation	229	level 1	Lactaldehyde-Degradation		0	super-pathway
229	Aldehyde Degradation	409	super-pathway	Aldehyde-Degradation		0	super-pathway
230	4-Aminobutyrate Degradation	239	level 1	4-Aminobutyraye-Degradation		0	super-pathway
231	Allantoin Degradation	239	level 1	Allantoin-degradation		0	super-pathway
232	Carnitine Degradation	239	level 1	CARN-DEG		0	super-pathway
233	Choline Degradation	239	level 1	Choline-Degradation		0	super-pathway
234	Creatinine Degradation	239	level 1	Creatinine-Degradation		0	super-pathway
235	<i>N</i>-acetylglucosamine degradation	239	level 1	N-Acetylglucosamine-Degradation		0	super-pathway
236	Putrescine Degradation	239	level 1	Putrescine-Degradation		0	super-pathway
237	Spermine and Spermidine Degradation	239	level 1	SPERMINE-SPERMIDINE-DEG		0	super-pathway
238	Urea Degradation	239	level 1	Urea-Degradation		0	super-pathway
239	Amines and Polyamines Degradation	409	super-pathway	AMINE-DEG		0	super-pathway
240	4-Hydroxyproline Degradation	265	level 1	4-Hydroxyproline-Degradation		0	super-pathway
241	Alanine Degradation	265	level 1	ALANINE-DEG		0	super-pathway
242	Arginine Degradation	265	level 1	ARGININE-DEG		0	super-pathway
243	Asparagine Degradation	265	level 1	ASPARAGINE-DEG		0	super-pathway
244	Aspartate Degradation	265	level 1	ASPARTATE-DEG		0	super-pathway
245	Cysteine Degradation	265	level 1	CYSTEINE-DEG		0	super-pathway
246	Glutamate Degradation	265	level 1	GLUTAMATE-DEG		0	super-pathway
247	Glutamine Degradation	265	level 1	GLUTAMINE-DEG		0	super-pathway
248	Glycine Degradation	265	level 1	GLYCINE-DEG		0	super-pathway
249	Histidine Degradation	265	level 1	HISTIDINE-DEG		0	super-pathway
250	Homocysteine Degradation	265	level 1	HOMOCYSTEINE-DEG		0	super-pathway
251	Homoserine Degradation	265	level 2	HOMOSERINE-DEG		0	level 2
252	Isoleucine Degradation	265	level 1	ISOLEUCINE-DEG		0	super-pathway
253	Leucine Degradation	265	level 1	LEUCINE-DEG		0	super-pathway
254	Lysine Degradation	265	level 1	LYSINE-DEG		0	super-pathway
255	Methionine Degradation	265	level 1	METHIONINE-DEG		0	super-pathway
256	Taurine Degradation	257	level 1	Taurine-degradation		0	super-pathway
257	Miscellaneous Amino Acids Degradation	265	level 1	MISCELLANEOUS-DEG		0	super-pathway
258	Phenylalanine Degradation	265	level 1	PHENYLALANINE-DEG		0	super-pathway
259	Proline Degradation	265	level 1	PROLINE-DEG		0	super-pathway
260	Serine Degradation	265	level 1	SERINE-DEG		0	super-pathway
261	Threonine Degradation	265	level 1	THREONINE-DEG		0	super-pathway
262	Tryptophan Degradation	265	level 1	TRYPTOPHAN-DEG		0	super-pathway
263	Tyrosine Degradation	265	level 1	TYROSINE-DEG		0	super-pathway
264	Valine Degradation	265	level 1	VALINE-DEG		0	super-pathway
265	Amino Acids Degradation	409	super-pathway	Amino-Acid-Degradation		0	super-pathway
266	2-Aminobenzoate Degradation	308	level 1	2-Aminobenzoate-Degradation		0	super-pathway
267	Benzoate Degradation	308	level 1	Benzoate-Degradation		0	super-pathway
268	Benzoyl-CoA Degradation	308	level 1	Benzoyl-CoA-Degradation		0	super-pathway
269	Catechol Degradation	308	level 1	Catechol-Degradation		0	super-pathway
270	Chlorobenzene Degradation	278	level 1	Chlorobenzene-Degradation		0	super-pathway
271	3-Chlorobenzoate Degradation	272	level 1	3-Chlorobenzoate-Degradation		0	super-pathway
272	Chlorobenzoate Degradation	278	level 1	Chlorobenzoate-Degradation		0	super-pathway
273	3-Chlorocatechol Degradation	274	level 1	3-Chlorocatechol-Degradation		0	super-pathway
274	Chlorocatechol Degradation	278	level 1	Chlorocatechol-Degradation		0	super-pathway
275	3 Chlorotoluene Degradation	277	level 1	3-Chlorotoluene-Degradation		0	super-pathway
276	Dichlorotoluene Degradation	277	level 2	Dichlorotoluene-Degradation		0	level 2
277	Chlorotoluene Degradation	278	level 2	Chlorotoluene-Degradation		0	level 2
278	Chloroaromatic Compounds Degradation	308	level 1	Chloroaromatic-Compounds-Degradation		0	super-pathway
279	Fluorene Degradation	308	level 1	Fluorene-Degradation		0	super-pathway
280	Gallate Degradation	308	level 1	GALLATE-DEG		0	super-pathway
281	Mandelates Degradation	308	level 1	MANDELATE-DEG		0	super-pathway
282	Nicotinate Degradation	308	level 1	Nicotinate-Degradation		0	super-pathway
283	Dinitrotoluene Degradation	292	level 1	Dinitrotoluene-Degradation		0	super-pathway
284	4-Nitrotoluene Degradation	285	level 1	4-Nitrotoluene-Degradation		0	super-pathway
285	Nitrotoluene Degradation	292	level 1	Nitro-Toluene-Degradation		0	super-pathway
286	Nitrobenzene Degradation	292	level 1	Nitrobenzene-Degradation		0	super-pathway
287	2-Nitrobenzoate Degradation	288	level 1	2-Nirobenzoate-Degradation		0	super-pathway
288	Nitrobenzoate Degradation	292	level 1	Nitrobenzoate-Degradation		0	super-pathway
289	2-Nitrophenol Degradation	291	level 1	o-Nitrophenol-Degradation		0	super-pathway
290	4-Nitrophenol Degradation	291	level 1	p-Nitrophenol-Degradation		0	super-pathway
291	Nitophenol Degradation	292	level 2	Nitrophenol-Degradation		0	level 2
292	Nitroaromatic Compounds Degradation	308	level 2	Nitroaromatic-Degradation		0	level 2
289	2-Nitrophenol Degradation	291	level 1	o-Nitrophenol-Degradation		0	super-pathway
290	4-Nitrophenol Degradation	291	level 1	p-Nitrophenol-Degradation		0	super-pathway
291	Nitophenol Degradation	296	level 2	Nitrophenol-Degradation		0	level 2
293	Phenol Degradation	296	level 1	Phenol-Degradation		0	super-pathway
294	Phenylacetate Degradation	296	level 1	Phenylacetate-Degradation		0	super-pathway
