N:,468
Mean:,0.0599373
Stdev:,0.1595495
Median:,0
95% CI:(,0,0.5626992,)

eta_sqrd,effect,N1,N2,alpha,1-beta
0.5805,0.375,4,4,0.05,0.988,Very Large
0.5805,0.375,5,5,0.05,0.987,Very Large
0.5805,0.375,6,6,0.05,0.976,Very Large
0.6116,0.4,2,2,0.05,0.94,Very Large
0.6116,0.4,3,3,0.05,0.898,Very Large
0.6116,0.4,4,4,0.05,0.998,Very Large
0.6116,0.4,5,5,0.05,0.993,Very Large
0.6116,0.4,6,6,0.05,0.987,Very Large
0.64,0.425,2,2,0.05,0.935,Very Large
0.64,0.425,3,3,0.05,0.9,Very Large
0.64,0.425,4,4,0.05,0.999,Very Large
0.64,0.425,5,5,0.05,0.988,Very Large
0.64,0.425,6,6,0.05,0.992,Very Large
0.6659,0.45,2,2,0.05,0.926,Very Large
0.6659,0.45,3,3,0.05,0.905,Very Large
0.6659,0.45,4,4,0.05,0.894,Very Large
0.6659,0.45,5,5,0.05,0.988,Very Large
0.6659,0.45,6,6,0.05,0.99,Very Large
0.6895,0.475,2,2,0.05,0.94,Very Large
0.6895,0.475,3,3,0.05,0.91,Very Large
0.6895,0.475,4,4,0.05,0.896,Very Large
0.6895,0.475,5,5,0.05,0.991,Very Large
0.6895,0.475,6,6,0.05,0.99,Very Large
0.711,0.5,2,2,0.05,0.936,Very Large
0.711,0.5,3,3,0.05,0.932,Very Large
0.711,0.5,4,4,0.05,0.998,Very Large
0.711,0.5,5,5,0.05,0.991,Very Large
0.711,0.5,6,6,0.05,0.99,Very Large
0.7307,0.525,2,2,0.05,0.949,Very Large
0.7307,0.525,3,3,0.05,0.903,Very Large
0.7307,0.525,4,4,0.05,0.997,Very Large
0.7307,0.525,5,5,0.05,0.992,Very Large
0.7307,0.525,6,6,0.05,0.995,Very Large
0.7486,0.55,2,2,0.05,0.947,Very Large
0.7486,0.55,3,3,0.05,0.948,Very Large
0.7486,0.55,4,4,0.05,0.998,Very Large
0.7486,0.55,5,5,0.05,0.993,Very Large
0.7486,0.55,6,6,0.05,0.99,Very Large
0.7649,0.575,2,2,0.05,0.945,Very Large
0.7649,0.575,3,3,0.05,0.928,Very Large
0.7649,0.575,4,4,0.05,0.939,Very Large
0.7649,0.575,5,5,0.05,0.996,Very Large
0.7649,0.575,6,6,0.05,0.99,Very Large
0.7799,0.6,2,2,0.05,0.961,Very Large
0.7799,0.6,3,3,0.05,0.939,Very Large
0.7799,0.6,4,4,0.05,0.94,Very Large
0.7799,0.6,5,5,0.05,0.994,Very Large
0.7799,0.6,6,6,0.05,0.996,Very Large
0.7936,0.625,2,2,0.05,0.962,Very Large
0.7936,0.625,3,3,0.05,0.944,Very Large
0.7936,0.625,4,4,0.05,0.997,Very Large
0.7936,0.625,5,5,0.05,0.996,Very Large
0.7936,0.625,6,6,0.05,0.996,Very Large
0.8061,0.65,2,2,0.05,0.953,Very Large
0.8061,0.65,3,3,0.05,0.94,Very Large
0.8061,0.65,4,4,0.05,0.998,Very Large
0.8061,0.65,5,5,0.05,0.997,Very Large
0.8061,0.65,6,6,0.05,0.999,Very Large
0.8177,0.675,2,2,0.05,0.951,Very Large
0.8177,0.675,3,3,0.05,0.945,Very Large
0.8177,0.675,4,4,0.05,0.998,Very Large
0.8177,0.675,5,5,0.05,0.999,Very Large
0.8177,0.675,6,6,0.05,0.998,Very Large
0.8283,0.7,2,2,0.05,0.968,Very Large
0.8283,0.7,3,3,0.05,0.944,Very Large
0.8283,0.7,4,4,0.05,1,Very Large
0.8283,0.7,5,5,0.05,0.998,Very Large
0.8283,0.7,6,6,0.05,0.997,Very Large
0.838,0.725,2,2,0.05,0.963,Very Large
0.838,0.725,3,3,0.05,0.935,Very Large
0.838,0.725,4,4,0.05,0.998,Very Large
0.838,0.725,5,5,0.05,0.998,Very Large
0.838,0.725,6,6,0.05,0.995,Very Large
0.847,0.75,2,2,0.05,0.968,Very Large
0.847,0.75,3,3,0.05,0.945,Very Large
0.847,0.75,4,4,0.05,0.996,Very Large
0.847,0.75,5,5,0.05,0.998,Very Large
0.847,0.75,6,6,0.05,0.994,Very Large
0.8553,0.775,2,2,0.05,0.971,Very Large
0.8553,0.775,3,3,0.05,0.951,Very Large
0.8553,0.775,4,4,0.05,0.998,Very Large
0.8553,0.775,5,5,0.05,0.999,Very Large
0.8553,0.775,6,6,0.05,0.997,Very Large
0.863,0.8,2,2,0.05,0.959,Very Large
0.863,0.8,3,3,0.05,0.948,Very Large
0.863,0.8,4,4,0.05,0.998,Very Large
0.863,0.8,5,5,0.05,0.996,Very Large
0.863,0.8,6,6,0.05,0.996,Very Large
0.8701,0.825,2,2,0.05,0.961,Very Large
0.8701,0.825,3,3,0.05,0.958,Very Large
0.8701,0.825,4,4,0.05,0.964,Very Large
0.8701,0.825,5,5,0.05,0.997,Very Large
0.8701,0.825,6,6,0.05,0.996,Very Large
0.8767,0.85,2,2,0.05,0.97,Very Large
0.8767,0.85,3,3,0.05,0.959,Very Large
0.8767,0.85,4,4,0.05,0.999,Very Large
0.8767,0.85,5,5,0.05,0.998,Very Large
0.8767,0.85,6,6,0.05,0.997,Very Large
0.8828,0.875,2,2,0.05,0.978,Very Large
0.8828,0.875,3,3,0.05,0.958,Very Large
0.8828,0.875,4,4,0.05,0.967,Very Large
0.8828,0.875,5,5,0.05,0.999,Very Large
0.8828,0.875,6,6,0.05,0.994,Very Large
0.8885,0.9,2,2,0.05,0.969,Very Large
0.8885,0.9,3,3,0.05,0.96,Very Large
0.8885,0.9,4,4,0.05,0.999,Very Large
0.8885,0.9,5,5,0.05,0.999,Very Large
0.8885,0.9,6,6,0.05,0.997,Very Large
0.8939,0.925,2,2,0.05,0.975,Very Large
0.8939,0.925,3,3,0.05,0.963,Very Large
0.8939,0.925,4,4,0.05,0.997,Very Large
0.8939,0.925,5,5,0.05,0.998,Very Large
0.8939,0.925,6,6,0.05,0.998,Very Large
0.8988,0.95,2,2,0.05,0.974,Very Large
0.8988,0.95,3,3,0.05,0.957,Very Large
0.8988,0.95,4,4,0.05,0.983,Very Large
0.8988,0.95,5,5,0.05,0.996,Very Large
0.8988,0.95,6,6,0.05,0.999,Very Large
0.9034,0.975,2,2,0.05,0.973,Very Large
0.9034,0.975,3,3,0.05,0.956,Very Large
0.9034,0.975,4,4,0.05,0.98,Very Large
0.9034,0.975,5,5,0.05,0.999,Very Large
0.9034,0.975,6,6,0.05,1,Very Large
0.9078,1,2,2,0.05,0.992,Very Large
0.9078,1,3,3,0.05,1,Very Large
0.9078,1,4,4,0.05,1,Very Large
0.9078,1,5,5,0.05,1,Very Large
0.9078,1,6,6,0.05,1,Very Large
