N:,468
Mean:,0.1919494
Stdev:,0.3012448
Median:,0
95% CI:(,0,0.9323317,)

eta_sqrd,effect,N1,N2,alpha,1-beta
0.3838,0.475,5,5,0.05,0.835,Very Large
0.3838,0.475,6,6,0.05,0.808,Very Large
0.3838,0.475,7,7,0.05,0.87,Very Large
0.3838,0.475,8,8,0.05,0.919,Very Large
0.3838,0.475,9,9,0.05,0.942,Very Large
0.4084,0.5,5,5,0.05,0.802,Very Large
0.4084,0.5,6,6,0.05,0.851,Very Large
0.4084,0.5,7,7,0.05,0.862,Very Large
0.4084,0.5,8,8,0.05,0.925,Very Large
0.4084,0.5,9,9,0.05,0.954,Very Large
0.4321,0.525,5,5,0.05,0.811,Very Large
0.4321,0.525,6,6,0.05,0.814,Very Large
0.4321,0.525,7,7,0.05,0.886,Very Large
0.4321,0.525,8,8,0.05,0.927,Very Large
0.4321,0.525,9,9,0.05,0.957,Very Large
0.4551,0.55,5,5,0.05,0.82,Very Large
0.4551,0.55,6,6,0.05,0.878,Very Large
0.4551,0.55,7,7,0.05,0.899,Very Large
0.4551,0.55,8,8,0.05,0.916,Very Large
0.4551,0.55,9,9,0.05,0.952,Very Large
0.4772,0.575,5,5,0.05,0.853,Very Large
0.4772,0.575,6,6,0.05,0.872,Very Large
0.4772,0.575,7,7,0.05,0.922,Very Large
0.4772,0.575,8,8,0.05,0.945,Very Large
0.4772,0.575,9,9,0.05,0.943,Very Large
0.4985,0.6,4,4,0.05,0.801,Very Large
0.4985,0.6,5,5,0.05,0.865,Very Large
0.4985,0.6,6,6,0.05,0.874,Very Large
0.4985,0.6,7,7,0.05,0.919,Very Large
0.4985,0.6,8,8,0.05,0.956,Very Large
0.5189,0.625,4,4,0.05,0.843,Very Large
0.5189,0.625,5,5,0.05,0.907,Very Large
0.5189,0.625,6,6,0.05,0.879,Very Large
0.5189,0.625,7,7,0.05,0.93,Very Large
0.5189,0.625,8,8,0.05,0.964,Very Large
0.5384,0.65,4,4,0.05,0.813,Very Large
0.5384,0.65,5,5,0.05,0.873,Very Large
0.5384,0.65,6,6,0.05,0.916,Very Large
0.5384,0.65,7,7,0.05,0.941,Very Large
0.5384,0.65,8,8,0.05,0.951,Very Large
0.5571,0.675,5,5,0.05,0.92,Very Large
0.5571,0.675,6,6,0.05,0.924,Very Large
0.5571,0.675,7,7,0.05,0.95,Very Large
0.5571,0.675,8,8,0.05,0.974,Very Large
0.5571,0.675,9,9,0.05,0.983,Very Large
0.575,0.7,2,2,0.05,0.803,Very Large
0.575,0.7,5,5,0.05,0.918,Very Large
0.575,0.7,6,6,0.05,0.918,Very Large
0.575,0.7,7,7,0.05,0.963,Very Large
0.575,0.7,8,8,0.05,0.966,Very Large
0.592,0.725,5,5,0.05,0.932,Very Large
0.592,0.725,6,6,0.05,0.949,Very Large
0.592,0.725,7,7,0.05,0.956,Very Large
0.592,0.725,8,8,0.05,0.981,Very Large
0.592,0.725,9,9,0.05,0.986,Very Large
0.6083,0.75,2,2,0.05,0.812,Very Large
0.6083,0.75,3,3,0.05,0.806,Very Large
0.6083,0.75,5,5,0.05,0.914,Very Large
0.6083,0.75,6,6,0.05,0.953,Very Large
0.6083,0.75,7,7,0.05,0.97,Very Large
0.6238,0.775,2,2,0.05,0.854,Very Large
0.6238,0.775,4,4,0.05,0.906,Very Large
0.6238,0.775,5,5,0.05,0.927,Very Large
0.6238,0.775,6,6,0.05,0.958,Very Large
0.6238,0.775,7,7,0.05,0.973,Very Large
0.6386,0.8,2,2,0.05,0.855,Very Large
0.6386,0.8,3,3,0.05,0.817,Very Large
0.6386,0.8,4,4,0.05,0.921,Very Large
0.6386,0.8,5,5,0.05,0.971,Very Large
0.6386,0.8,6,6,0.05,0.976,Very Large
0.6527,0.825,2,2,0.05,0.881,Very Large
0.6527,0.825,3,3,0.05,0.84,Very Large
0.6527,0.825,4,4,0.05,0.837,Very Large
0.6527,0.825,5,5,0.05,0.956,Very Large
0.6527,0.825,6,6,0.05,0.976,Very Large
0.6661,0.85,2,2,0.05,0.892,Very Large
0.6661,0.85,3,3,0.05,0.862,Very Large
0.6661,0.85,4,4,0.05,0.955,Very Large
0.6661,0.85,5,5,0.05,0.966,Very Large
0.6661,0.85,6,6,0.05,0.981,Very Large
0.6788,0.875,2,2,0.05,0.914,Very Large
0.6788,0.875,3,3,0.05,0.89,Very Large
0.6788,0.875,4,4,0.05,0.899,Very Large
0.6788,0.875,5,5,0.05,0.989,Very Large
0.6788,0.875,6,6,0.05,0.988,Very Large
0.691,0.9,2,2,0.05,0.934,Very Large
0.691,0.9,3,3,0.05,0.933,Very Large
0.691,0.9,4,4,0.05,0.913,Very Large
0.691,0.9,5,5,0.05,0.991,Very Large
0.691,0.9,6,6,0.05,0.994,Very Large
0.7026,0.925,2,2,0.05,0.951,Very Large
0.7026,0.925,3,3,0.05,0.952,Very Large
0.7026,0.925,4,4,0.05,0.935,Very Large
0.7026,0.925,5,5,0.05,1,Very Large
0.7026,0.925,6,6,0.05,0.998,Very Large
0.7136,0.95,2,2,0.05,0.97,Very Large
0.7136,0.95,3,3,0.05,0.955,Very Large
0.7136,0.95,4,4,0.05,0.97,Very Large
0.7136,0.95,5,5,0.05,0.998,Very Large
0.7136,0.95,6,6,0.05,1,Very Large
0.7241,0.975,2,2,0.05,0.975,Very Large
0.7241,0.975,3,3,0.05,0.972,Very Large
0.7241,0.975,4,4,0.05,0.993,Very Large
0.7241,0.975,5,5,0.05,0.999,Very Large
0.7241,0.975,6,6,0.05,0.998,Very Large
0.7341,1,2,2,0.05,0.998,Very Large
0.7341,1,3,3,0.05,1,Very Large
0.7341,1,4,4,0.05,1,Very Large
0.7341,1,5,5,0.05,1,Very Large
0.7341,1,6,6,0.05,1,Very Large
