SampleID	L.threonine.biosynthesis	HOMOSERDEAM-RXN	L.homoserine.biosynthesis	L.methionine.biosynthesis.III	L.isoleucine.biosynthesis.I..from.threonine.	lactose.and.galactose.degradation.I	L.cysteine.degradation.II	LCYSDESULF-RXN	L.lyxose.degradation	malate.L.aspartate.shuttle.pathway	maltose.degradation	D.mannose.degradation.I	mannitol.degradation.I	menaquinol.8.biosynthesis	METBALT-RXN	L.methionine.degradation.I..to.L.homocysteine.	METHIONINE-GAMMA-LYASE-RXN	MONOPHENOL-MONOOXYGENASE-RXN	nitrogen.fixation.I..ferredoxin.	NAD.phosphorylation.and.transhydrogenation	lipid.IV.sub.A..sub..biosynthesis...i.E..coli..i..	methylerythritol.phosphate.pathway.I	pentose.phosphate.pathway..non.oxidative.branch..I	nopaline.degradation	X.i.O..i..antigen.building.blocks.biosynthesis...i.E..coli..i..	octopine.degradation	L.ornithine.degradation.I..L.proline.biosynthesis.	superpathway.of.ornithine.degradation	pentose.phosphate.pathway..oxidative.branch..I	adenine.and.adenosine.salvage.I	pyruvate.fermentation.to.acetate.I	formaldehyde.assimilation.III..dihydroxyacetone.cycle.	pentose.phosphate.pathway..partial.	hydrogen.oxidation.I..aerobic.	L.sorbose.degradation	incomplete.reductive.TCA.cycle	choline..i.O..i..sulfate.degradation	phosphopantothenate.biosynthesis.I	peptidoglycan.monomer.biosynthesis.I...I.meso..I..diaminopimelate.containing.	X2.aminoethylphosphonate.degradation.I	ppGpp.metabolism	propanoyl.CoA.degradation.I	L.proline.biosynthesis.I..from.L.glutamate.	L.proline.degradation.I	putrescine.degradation.I	cellulose.biosynthesis	glycolysis.IV	taurine.degradation.I	CMP.3.deoxy.D..I.manno..I..octulosonate.biosynthesis	formate.assimilation.into.5.10.methylenetetrahydrofolate	formaldehyde.assimilation.II..assimilatory.RuMP.Cycle.
0251_6011_20230414_ST	-6.34281739670772	-4.45883159793462	-8.45757601329433	-5.36820172225617	-16.1009544536191	-14.0168815626719	-4.45883159793462	-4.45883159793462	-15.9347807639135	-6.67581659844675	-7.32902911222209	-6.28681467756249	-3.71811954093498	-3.39590024620106	-4.45883159793462	-8.88205277840285	-4.45883159793462	-2.87302150092072	-4.11605954960702	-6.49771935669347	-22.4824912068134	-26.87332646106	-13.1621373595408	-3.63893829488735	-3.417089545271	-3.63893829488735	-4.00627386592952	-3.11605954960702	-10.6669374114455	-7.77982142821941	-2.62236919345416	-37.7680907064893	-6.03552844509673	-2.89857560539311	-6.41504978280002	-21.8916761274179	-3.18664062389272	-13.6629631491973	-6.40281532638301	-11.6340934931273	-13.6315397224306	-10.2848020843493	-9.446788446707	-7.3680532201238	-7.834179090542	-3.01914953659896	-32.3310844581627	-4.417089545271	-14.4308144429411	-9.9902438018206	-28.0236983149598
0251_6012_20230414_ST	-7.7717118881978	-4.65017148118362	-8.71863725620437	-5.78579520970694	-16.0297040839634	-16.0163547003669	-4.65017148118362	-4.65017148118362	-16.4537002984926	-7.16046387596599	-8.04507045726392	-7.2211617163196	-4.04811148985565	-3.57099023513599	-4.65017148118362	-8.70171753528047	-4.65017148118362	-3.50404344550538	-4.34914148551963	-7.84677189671438	-24.3166976627342	-26.3089549461783	-13.6149541595854	-4.65017148118362	-3.17305022646395	-4.65017148118362	-4.13590904522727	-4.34914148551963	-10.4911219557916	-7.55215493536103	-2.3916938362051	-38.2313644811259	-6.42182116686602	-4.04811148985565	-7.18975325206798	-23.2222710880641	-3.57099023513599	-14.6184146916949	-6.36382921988834	-10.9444764885535	-14.5487809453312	-9.95292934679565	-9.41194070974399	-7.2211617163196	-8.46194596083216	-4.34914148551963	-31.8224082425743	-4.04811148985565	-15.6248735321318	-10.038824284797	-27.7070295738904
0251_6013_20230425_ST	-6.68331740663952	-4.71575271682286	-8.57735778778386	-5.98310833018795	-16.2295019130565	-15.3086867456155	-4.71575271682286	-4.71575271682286	-16.2777164456137	-6.90002651660346	-7.88029392106928	-7.08125741531156	-3.51163273416693	-3.81266272983092	-4.71575271682286	-8.16794155237212	-4.71575271682286	-3.51163273416693	-3.56962468114462	-7.46108248407802	-24.102730053355	-25.2113846905945	-14.2179818025703	-4.49341388792544	-2.99974937318806	-4.49341388792544	-4.41472272115888	-3.81266272983092	-11.5688529536665	-7.44923420060615	-2.28305060189161	-39.0512563626337	-6.16668761063618	-4.07000534249734	-6.54501470847324	-23.4413436814688	-3.56962468114462	-14.1994983968763	-5.93512937963332	-11.8707963462953	-14.3311039476144	-10.5706864664033	-9.67643620092857	-7.47246404132463	-9.58494495868844	-4.1136927254949	-31.5663288819108	-3.93760146643921	-16.5382453254146	-10.3520735607862	-28.7844364518659
0251_6015_20230828_ST	-6.70747681099685	-4.76320582198904	-8.65498006762397	-5.62386613719982	-15.819240917101	-15.4011297247445	-4.76320582198904	-4.76320582198904	-16.3958969205387	-7.04069149003223	-7.7504343598053	-6.85360484667509	-3.86433305503339	-3.68824179597771	-4.76320582198904	-8.37261863838241	-4.76320582198904	-3.56330305936941	-3.68824179597771	-7.18434094219373	-23.107523489044	-26.4764188420781	-14.0606458640091	-4.1881903179138	-3.16536305069737	-4.1881903179138	-4.16536305069737	-4.40478236272092	-10.8940291607642	-7.57836584933722	-2.41652923252102	-39.0209321274045	-6.59833234157178	-4.16536305069737	-6.93884814067379	-23.6858423399234	-3.68824179597771	-14.1563022244696	-6.48562806138049	-11.7557264625979	-13.8984924513009	-10.5929991651002	-10.0019345580737	-8.33072610139475	-8.67339726124317	-3.46639304636136	-32.0261898999514	-4.16536305069737	-16.0657623635797	-10.2088474409138	-28.7601803098059
0251_6020_20230421_ST	-6.4562256543636	-4.5861144989992	-8.36668737138977	-5.91695649289509	-15.9648253277785	-15.2045789095956	-4.5861144989992	-4.5861144989992	-15.2145923318666	-6.86473296008519	-8.28762241670047	-6.5884636297134	-4.10899324427954	-3.24369181817699	-4.5861144989992	-8.25788014290324	-4.5861144989992	-3.5861144989992	-3.13126963899069	-7.49098776062281	-22.3806008966111	-25.0730108958232	-13.4339669944206	-4.39979347929788	-3.18817449032716	-4.39979347929788	-4.28347269548038	-4.19775034644744	-10.9979210135744	-6.78841363201797	-2.41830504580527	-38.2457621443466	-6.15103969892846	-4.10899324427954	-6.66369927902711	-22.6756123151528	-3.60839089371035	-13.3519928481888	-5.86047513694265	-12.1051309832223	-14.4956917433963	-10.4279846678291	-9.83670903594389	-8.32713095798414	-8.97054504315302	-3.91289499830144	-31.9192756162873	-3.80796324861556	-15.8003899516465	-9.61658026672181	-27.8801707026271
0251_6021_20230417_ST	-6.57966395366303	-4.79178628266945	-8.48244965970147	-5.76107346412848	-16.0059178044852	-14.3926813147206	-4.79178628266945	-4.79178628266945	-16.744863832832	-6.70460269027133	-7.33553880933552	-6.74031824253786	-3.68178376646788	-3.47766378381196	-4.79178628266945	-8.15064377264147	-4.79178628266945	-3.07972377513992	-3.77869377947594	-7.38129629989619	-21.082797854707	-26.1721817337038	-13.8431331411027	-4.14011706402473	-3.00054252909229	-4.14011706402473	-3.97376115037939	-3.77869377947594	-10.0740754506655	-7.1382582512099	-2.50328643764632	-37.4618051296625	-6.38265559515892	-3.33936108564568	-7.22159545702868	-21.7573524222113	-3.21938576856893	-13.6028917569249	-6.02035594275602	-11.4476561134781	-14.344217930784	-10.0239766616257	-9.66167952558253	-6.71912894346793	-8.42126934574605	-4.3807537708039	-31.6818455629366	-3.81653532831546	-15.6354166178176	-10.1430219935453	-28.7220374043587
0251_6023_20230425_ST	-6.4219261368315	-4.74424023753829	-9.22387031016122	-5.88265697536299	-16.0702799892124	-15.3650989422139	-4.74424023753829	-4.74424023753829	-15.1759923760897	-7.09653679530807	-7.83689948480231	-7.02398612815946	-3.91844974240116	-3.61741974673718	-4.74424023753829	-8.44897781956543	-4.74424023753829	-3.4413284876815	-3.61741974673718	-6.62044037091114	-21.3731272267892	-27.3736834991714	-15.0886889296997	-4.07089299584588	-3.14029849201751	-4.07089299584588	-3.91844974240116	-4.40478236272092	-10.5023758465718	-7.35977823008265	-2.30832212932516	-39.3050722611049	-6.76802460389936	-4.24350329092754	-6.93443694253604	-22.6367955709846	-3.0733517023869	-14.0505496792067	-6.15565824742673	-11.8736849221378	-13.702869759021	-9.4439126054375	-9.67256385688702	-7.53586948913833	-8.69848465675032	-4.05175047642796	-31.4634289319317	-3.93196588190389	-15.8672310030491	-9.83106994114159	-29.418644608
0251_6024_20230502_ST	-7.00966107238896	-4.84232896995628	-8.53907846316723	-5.76397218445395	-16.0526328019749	-15.5210980860533	-4.84232896995628	-4.84232896995628	-16.7446341297138	-7.64390574708833	-8.11569675820806	-7.50257659429186	-4.0778945540336	-3.42468204025826	-4.84232896995628	-8.52047321865017	-4.84232896995628	-3.42468204025826	-4.37892454969758	-6.91900000865791	-21.8474265894389	-25.6741321959395	-14.5334269657508	-4.13581703129793	-3.29974330364996	-4.13581703129793	-4.10344425090095	-4.37892454969758	-11.0364031039752	-7.2807278446755	-2.37139013180032	-38.8380833464392	-6.07660786201958	-4.04415192114209	-7.36868301503063	-23.9759069940919	-3.42468204025826	-13.5307210723748	-6.22637018235291	-11.5671071867675	-13.2177362494933	-10.6426190550743	-9.72989297904362	-8.51481105070887	-9.01536284310003	-3.90180329497792	-31.3327931623847	-4.37892454969758	-15.272660150104	-9.60911153172483	-28.4592607505364
0251_6025_20230414_ST	-6.618446369221	-4.56619679532261	-8.61622820504184	-5.92612659556263	-15.816054510929	-16.2704554287357	-4.56619679532261	-4.56619679532261	-15.673211570461	-7.25367472380161	-8.45095528192723	-7.31265258376095	-4.37599263879561	-3.67702263445959	-4.56619679532261	-9.19238668836138	-4.56619679532261	-3.53089459878135	-3.42175012935628	-7.79774276815189	-23.9066105210335	-26.0572227748683	-14.5401040269905	-4.31253466959796	-2.92883460745339	-4.31253466959796	-4.07496264313163	-4.10520461725318	-10.3675554329636	-7.32062151343223	-2.3245185358212	-38.6143300073315	-7.01162258809697	-4.37599263879561	-7.32062151343223	-23.2810542426128	-3.77393264746764	-13.8472975092976	-6.34544509715726	-12.0865852312286	-14.274692779819	-10.2494561208856	-9.48159869957327	-8.14992528626325	-8.74041370872171	-3.89887138407595	-31.6352208815612	-4.07496264313163	-16.147811742423	-10.1641900890413	-29.2555262869232
0251_6026_20230515_ST	-6.62807872624801	-4.7359438243534	-9.07971301938745	-5.95927637467065	-15.9384534849805	-15.8698807105073	-4.7359438243534	-4.7359438243534	-15.7986265484071	-6.77618021404631	-8.17412022271835	-6.75882318380322	-3.87407574522303	-4.17510574088702	-4.7359438243534	-8.73573651049662	-4.7359438243534	-3.57304574955905	-3.30004447749532	-7.11970823912411	-22.9628476184186	-25.1369702343075	-13.4451504584448	-4.19077652693789	-4.17510574088702	-4.19077652693789	-4.17510574088702	-4.15036696743464	-11.4741758869849	-7.35021148177403	-2.28673901071578	-38.4343215907172	-6.57206023139039	-4.11100081098954	-6.98062899489983	-23.0805955959373	-3.52189322711167	-13.7761436774862	-6.36794024873446	-11.3211972400051	-13.9400004801248	-10.007207399039	-9.31100332523665	-7.77618021404631	-8.92457814028731	-4.05175047642796	-31.8953648848871	-3.86461451348015	-16.7004229635481	-10.6088632741111	-27.7619388214411
0251_6027_20230506_ST	-7.40083221246216	-4.46401432572702	-8.60537509408005	-5.96235191239308	-15.9220555314505	-15.3268031639356	-4.46401432572702	-4.46401432572702	-16.0653566960774	-6.58012861139306	-7.91112183043448	-6.7350305713788	-4.46615556475221	-3.46615556475221	-4.46401432572702	-8.83736531060758	-4.46401432572702	-3.56306557776027	-3.86409557342425	-7.70186220812615	-21.5246275441112	-26.3837856280136	-14.0510412704406	-4.52275248251393	-3.2108830596489	-4.52275248251393	-4.16512556908823	-4.16512556908823	-9.94270849115249	-7.85312988345679	-2.41307712126879	-37.7400167140242	-6.41976013660021	-3.92573876941068	-6.93151112144695	-22.0499906862151	-3.35221221244537	-13.6915525953716	-6.26766915394829	-10.5363353149436	-13.4865197423955	-9.99022672894478	-9.62555849928536	-7.63128113384044	-8.52071205723568	-4.16512556908823	-31.7531039552814	-4.16512556908823	-16.0864710086252	-9.66334706017476	-28.0831312305531
0251_6029_20240721_ST	-6.41475275927639	-4.6504135714417	-8.89300832151622	-5.6269589953319	-16.0050545450137	-16.2168292856879	-4.6504135714417	-4.6504135714417	-15.9412697919596	-6.65975150872821	-7.47054117174121	-7.0178692486721	-4.024950636487	-3.59898190421472	-4.6504135714417	-8.14825162066275	-4.6504135714417	-3.50207189120666	-3.46067920604844	-7.21126671109023	-22.6041913819281	-26.0360339480461	-14.0328557563174	-4.62872300321965	-3.10413188253462	-4.62872300321965	-3.80310188687064	-4.22530392083268	-10.343054298643	-7.82805252335764	-2.47133727423049	-38.5550448442266	-6.28398447900737	-4.024950636487	-7.59571536212698	-22.7093772178423	-3.32598063215098	-13.3973720095025	-6.31085662540767	-11.5897617250701	-13.7211018952616	-10.205185677956	-9.43580835187986	-7.82805252335764	-8.87848391080773	-4.50207189120666	-32.2871163503574	-3.8180124507947	-15.6580395464925	-9.62259681844404	-28.6039145991502
0251_6030_20230512_ST	-6.63279251311526	-4.95138609488029	-8.96922138753702	-6.6212843018205	-16.7305606628277	-16.0131526900229	-4.95138609488029	-4.95138609488029	-15.7750850513015	-6.3262005056953	-8.17577346182432	-6.29211202667071	-3.41990717783804	-3.41990717783804	-4.95138609488029	-8.01576420353866	-4.95138609488029	-3.25241609054427	-3.33860223816056	-7.20604128733973	-21.539974681801	-25.6117988785502	-12.77067538316	-4.51047502841252	-3.14520612089641	-4.51047502841252	-4.34932610355233	-4.65035609921631	-10.2892556121117	-6.81216148193218	-2.4827926355401	-36.9909203452102	-6.19012248813337	-3.95138609488029	-6.83384457807851	-22.190707770507	-3.20319806787409	-12.9749300516542	-6.27952289936269	-10.9121502316186	-13.9124909339226	-9.84108500282904	-9.49637584840946	-7.07995054445748	-8.53325011697386	-4.65035609921631	-32.2910487669735	-3.68611764240221	-14.1652617498245	-9.8780101366601	-27.2850996592293
0251_6032_20230525_ST	-6.59092878235846	-4.66166127109072	-8.46786184407917	-5.91712311851812	-15.8510325939321	-15.6435112986507	-4.66166127109072	-4.66166127109072	-16.0593915161108	-7.0266573519199	-7.82911821712121	-6.96538769518098	-4.05960127976275	-3.45754128843479	-4.66166127109072	-8.24304473554295	-4.66166127109072	-3.15651129277081	-3.19926327319176	-7.51714256819755	-22.4063916237674	-24.8633362957875	-13.3018913765721	-4.5297868379347	-3.18454001637105	-4.5297868379347	-4.05960127976275	-4.2618800064963	-10.2245613298489	-7.24414129613381	-2.50835465078535	-37.8054043727299	-6.38680879970254	-4.36063127542674	-6.62089200573591	-23.0348978092992	-3.23029750693173	-13.4646186740698	-6.07584028150438	-12.4286813125049	-14.0140663281914	-10.4542533962805	-9.50268204604871	-8.02229254651745	-8.50771315069315	-3.78066864599465	-31.4612900559861	-3.75857128409877	-15.9654038469873	-9.70531686922369	-27.7252211988461
0251_6033_20230522_ST	-6.28782342896715	-4.55579359787775	-8.63204991022049	-5.66843885356685	-15.9310567379401	-15.5487921823534	-4.55579359787775	-4.55579359787775	-16.5829464585877	-6.37835334533744	-8.01525306910986	-6.27248848967645	-4.48134228485248	-3.35100851635748	-4.55579359787775	-8.69365347453513	-4.55579359787775	-3.06636893688166	-3.52709977541316	-7.31923189321878	-22.8132372684697	-25.0072370990154	-13.2027352168761	-4.48134228485248	-2.97619230653258	-4.48134228485248	-4.00422103013282	-3.95846353957215	-10.5818954752444	-6.45753459138506	-2.49457055058624	-37.3972806605309	-6.34726061681902	-3.87928229352452	-7.10134933082002	-22.5813492104703	-3.52709977541316	-13.8805159221422	-5.87277945826557	-11.8922719815409	-13.3267701144862	-10.4778851218184	-9.29149390612292	-7.88350332365734	-8.98725293373334	-3.70319103446884	-30.8337651889512	-4.48134228485248	-15.406855199532	-9.87912418202824	-27.9132744093398
