cpd00001	h2o
cpd00148	5-Phosphomononucleotide
cpd00149	cobalt2
cpd00150	cyan
cpd00151	thym
cpd00152	agm
cpd00153	bz
cpd00154	xyl-D
cpd00155	glycogen
cpd00156	val-L
cpd00157	dha
cpd00158	cellb
cpd00159	lac-L
cpd00160	Cholesterol
cpd00161	thr-L
cpd00162	etha
cpd00163	UDP-xylose
cpd00164	glcur
cpd00165	Hydroxylamine
cpd00166	adocbl
cpd00167	cera-D
cpd00168	23dhb
cpd00169	3pg
cpd00170	g15lac
cpd00171	ru5p-D
cpd00172	Phenazine methosulfate
cpd00173	NTP
cpd00174	Isoflurophate
cpd00175	uacgala
cpd00176	2ddglcn
cpd00177	dadp
cpd00178	acetone
cpd00179	malt
cpd00180	oxa
cpd00181	Cobamide
cpd00182	adn
cpd00183	sarcs
cpd00184	thymd
cpd00185	arab-D
cpd00186	glu-D
cpd00187	mea
cpd00188	Arachidonate
cpd00189	Methylene blue
cpd00190	glc-D-B
cpd00191	msa
cpd00192	coucoa
cpd00193	aps
cpd00194	Methyl viologen
cpd00195	1-Alcohol
cpd00196	actp
cpd00197	34dhbz
cpd00198	xu5p-D
cpd00199	sucsal
cpd00200	4mop
cpd00201	10fthf
cpd00202	dmpp
cpd00203	13dpg
cpd00204	co
cpd00205	k
cpd00206	dcmp
cpd00207	gua
cpd00208	lcts
cpd00209	no3
cpd00210	taur
cpd00211	but
cpd00212	srb-L
cpd00213	lpam
cpd00214	hdca
cpd00215	pydx
cpd00216	chor
cpd00217	isomal
cpd00218	nac
cpd00219	pphn
cpd00220	ribflv
cpd00221	lac-D
cpd00222	glcn
cpd00223	glyc-R
cpd00224	arab-L
cpd00225	bzal
cpd00226	hxan
cpd00227	hom-L
cpd00228	dtt
cpd00229	gcald
cpd00231	dhbpt
cpd00232	acnam
cpd00233	thbpt
cpd00234	5-Dehydro-D-fructose
cpd00235	man6p
cpd00236	e4p
cpd00237	Androstenedione
cpd00238	s7p
cpd00239	h2s
cpd00240	EDTA
cpd00241	dgtp
cpd00242	hco3
cpd00243	Fibrin
cpd00244	ni2
cpd00245	Aniline
cpd00246	ins
cpd00247	orot
cpd00248	quin-kt
cpd00249	uri
cpd00250	Creatine
cpd00251	adprib
cpd00253	cll_204
cpd00254	mg2
cpd00255	Bradykinin
cpd00256	cdpchol
cpd00257	Canavanine
cpd00258	rbl-D
cpd00259	xylu-D
cpd00260	icit
cpd00261	xylu-L
cpd00262	oxalcoa
cpd00263	pydxn
cpd00264	spmd
cpd00265	Amylopectin
cpd00266	crn
cpd00267	Sphingoid
cpd00268	tsul
cpd00269	2oxoadp
cpd00270	caffcoa
cpd00271	Ferricyanide
cpd00272	gdpfuc
cpd00273	Glycoprotein
cpd00274	citr-L
cpd00275	kynr-L
cpd00276	gam
cpd00277	dgsn
cpd00278	indpyr
cpd00279	aacoa
cpd00280	galur
cpd00281	4abut
cpd00282	dhor-S
cpd00283	grdp
cpd00284	6pgc
cpd00285	ethamp
cpd00286	udcpp
cpd00287	2mop
cpd00288	gam6p
cpd00289	ggdp
cpd00290	fdp
cpd00291	L-Dopa
cpd00292	hmgcoa
cpd00293	acgam6p
cpd00294	damp
cpd00295	dgdp
cpd00296	dgmp
cpd00297	dtdp
cpd00298	dtmp
cpd00299	dump
cpd00300	urate
cpd00301	Sterol
cpd00302	Zeatin
cpd00303	Elastin
cpd00304	Retinal
cpd00305	thm
cpd00306	xylt
cpd00307	csn
cpd00308	maln
cpd00309	xan
cpd00310	Carnosine
cpd00311	gsn
cpd00312	hista
cpd00313	quc
cpd00314	mnl
cpd00315	GDP-glucose
cpd00316	Pyrimidine
cpd00317	Tobramycin
cpd00318	Tryptamine
cpd00319	L-Menthol
cpd00320	cll_345
cpd00321	ferulcoa
cpd00322	ile-L
cpd00323	Lpipecol
cpd00324	ch4s
cpd00325	Progesterone
cpd00326	Sinapoyl-CoA
cpd00327	stcoa
cpd00328	Stmyn
cpd00329	Cyclohexanone
cpd00330	dhf
cpd00331	acon-C
cpd00332	mev-R
cpd00333	cinnm
cpd00334	lald-L
cpd00335	Dehydroascorbate
cpd00336	Prostaglandin H2
cpd00337	56dura
cpd00338	5aop
cpd00339	5aptn
cpd00340	25dop
cpd00341	cbmps
cpd00342	acorn
cpd00343	cbasp
cpd00344	forglu
cpd00345	5mthf
cpd00346	aspsa
cpd00347	methf
cpd00348	gal1p
cpd00349	s17bp
cpd00350	frdp
cpd00351	saccrp-L
cpd00352	thp2c
cpd00353	D-threo-Isocitric acid
cpd00354	NDP
cpd00355	nmn
cpd00356	dctp
cpd00357	dttp
cpd00358	dutp
cpd00359	indole
cpd00360	purine
cpd00361	actn-R
cpd00362	Estrone
cpd00363	etoh
cpd00364	Chinone
cpd00365	Retinol
cpd00366	Ribitol
cpd00367	Cytidine
cpd00424	Cystathionine
cpd00368	D-Lyxose
cpd00369	Ecdysone
cpd00370	cbs_422
cpd00371	ppal
cpd00372	Pyrazole
cpd00373	Sinapate
cpd00374	tym
cpd00375	Arylamide
cpd00376	Bilirubin
cpd00378	frmd
cpd00379	glutar
cpd00380	itacon
cpd00382	raffin
cpd00383	skm
cpd00384	Sisomicin
cpd00385	Sulochrin
cpd00386	mal-D
cpd00387	adpglc
cpd00388	alltt
cpd00389	Biliverdin
cpd00390	CDP-glucose
cpd00391	D-Xylonate
cpd00392	Phycite
cpd00393	fol
cpd00394	Gentamicin
cpd00395	Lcyst
cpd00396	rmn
cpd00397	rbl-L
cpd00398	Naringenin
cpd00399	Oleoyl-CoA
cpd00400	acryl
cpd00401	Benzoyl-CoA
cpd00402	cdpglyc
cpd00403	mana
cpd00404	D-Ornithine
cpd00405	hxdcal
cpd00406	Hypotaurine
cpd00407	Limonene
cpd00408	pant-R
cpd00409	Androsterone
cpd00410	cytcc
cpd00411	D-Tryptophan
cpd00412	duri
cpd00413	glutcoa
cpd00414	Glycopeptide
cpd00415	hqn
cpd00416	itaccoa
cpd00417	abt-L
cpd00418	no
cpd00419	pydam
cpd00420	Testosterone
cpd00421	pppi
cpd00422	Cinnamoyl-CoA
cpd00423	cbl2
cpd00425	dma
cpd00426	hgentis
cpd00427	L-Arabinonate
cpd00428	mthgxl
cpd00429	Arterenol
cpd00430	pac
cpd00431	Sphingomyelin
cpd00432	tartr-M
cpd00433	(+)-Neomenthol
cpd00434	4abutn
cpd00435	bzalc
cpd00436	Cyclopentanone
cpd00437	tagur
cpd00438	dad-2
cpd00439	Mandelonitrile
cpd00440	Phosphoramidon
cpd00441	tma
cpd00442	(3S)-Citryl-CoA
cpd00443	4abz
cpd00444	cdpea
cpd00445	Cyclohexanamine
cpd00446	camp
cpd00447	betald
cpd00448	glyald
cpd00449	dhlam
cpd00450	dms
cpd00451	Glycocyamine
cpd00452	phaccoa
cpd00453	12ppd-S
cpd00454	Dinoprostone
cpd00455	2dglc
cpd00456	3-Hydroxybenzoate
cpd00457	cholp
cpd00458	confrl
cpd00459	N-Acylneuraminate
cpd00460	2saa
cpd00461	op4en
cpd00463	Cholestenone
cpd00464	pacald
cpd00465	urdglyc
cpd00466	o-Phenanthroline
cpd00467	3sala
cpd00468	Deoxyribonucleotide
cpd00469	N-Acetyllactosamine
cpd00470	N1aspmd
cpd00471	Quercetin 3-sulfate
cpd00472	udpgalur
cpd00473	3dhguln
cpd00474	3-Oxo-delta4-steroid
cpd00475	r1p
cpd00477	acglu
cpd00478	pdx5p
cpd00479	Gentisate
cpd00480	2dhglcn
cpd00481	ibcoa
cpd00482	2pg
cpd00483	3hanthrn
cpd00484	4hbald
cpd00485	man1p
cpd00486	id3acald
cpd00487	Higher fatty acid
cpd00488	PGF2a
cpd00489	4hphac
cpd00490	5-Hydroxy-L-tryptophan
cpd00491	mnl1p
cpd00492	acmana
cpd00493	pyam5p
cpd00494	4-Hydroxymandelonitrile
cpd00495	4-Methylene-L-glutamate
cpd00496	Dara14lac
cpd00497	xmp
cpd00498	2ahbut
cpd00499	g16bp
cpd00501	g1p-B
cpd00502	5-Formiminotetrahydrofolate
cpd00503	f26bp
cpd00504	26dap-LL
cpd00506	glucys
cpd00507	g3pc
cpd00508	3mop
cpd00509	2dr1p
cpd00510	2dr5p
cpd00511	Androstanedione
cpd00512	Deoxynucleoside 3-phosphate
cpd00513	Deoxynucleoside 5-phosphate
cpd00514	Deoxynucleoside triphosphate
cpd00515	5d4dglcr
cpd00516	26dap-M
cpd00517	1ag3p
cpd00518	2hmcnsad
cpd00519	mmcoa-S
cpd00520	2-Dehydro-3-deoxy-L-pentonate
cpd00521	dtdp4d6dg
cpd00522	dtdp4d6dm
cpd00523	tre6p
cpd00524	2ins
cpd00525	uamag
cpd00526	Cholate
cpd00527	Prostaglandin D2
cpd00528	n2
cpd00530	xtp
cpd00531	hg2
cpd00532	o2s
cpd00533	dcdp
cpd00534	I-
cpd00536	oleac
cpd00537	Panose
cpd00538	Pterin
cpd00540	glyb
cpd00541	lipt
cpd00542	R-CN
cpd00543	Orcinol
cpd00544	Tropine
cpd00545	Ubenimex
cpd00546	Cortisol
cpd00547	cll_451
cpd00548	D-Hexose
cpd00549	lys-D
cpd00550	ser-D
cpd00551	cll_453
cpd00552	F-
cpd00553	Macrocin
cpd00554	Nicotine
cpd00555	OT
cpd00556	Pyridine
cpd00557	sheme
cpd00558	sprm
cpd00559	sql
cpd00560	Tungsten
cpd00561	vanln
cpd00562	OCTANOL
cpd00563	Berberine
cpd00564	Bergaptol
cpd00565	Coniferin
cpd00566	Cortisone
cpd00567	D-Proline
cpd00568	D-Sorbose
cpd00569	Digitonin
cpd00570	Flavanone
cpd00571	Glucarate
cpd00572	cll_459
cpd00573	idon-L
cpd00574	Mevaldate
cpd00575	Pepstatin
cpd00576	Phloretin
cpd00577	Tretin M
cpd00578	Scytalone
cpd00579	Serotonin
cpd00580	Tropinone
cpd00581	urcan
cpd00582	Vestitone
cpd00583	L-Adrenaline
cpd00584	CDP-ribitol
cpd00585	Creatinine
cpd00586	D-Arginine
cpd00587	cys-D
cpd00588	sbt-D
cpd00589	D-Tagatose
cpd00590	Dicumarol
cpd00591	Ethylamine
cpd00592	forcoa
cpd00593	Isoflavone
cpd00594	Gulonate
cpd00595	Nucleoside
cpd00596	oxur
cpd00597	pta
cpd00598	Propynoate
cpd00599	salc
cpd00601	D-Camphor
cpd00602	(-)-Camphor
cpd00604	T4hcinnm
cpd00605	Malonylurea
cpd00606	Biochanin A
cpd00607	Citramalate
cpd00608	altrn
cpd00609	glcr
cpd00610	D-Glutamine
cpd00611	D-Threonine
cpd00612	Dopaquinone
cpd00613	C16:0-OH
cpd00614	Iron-sulfur
cpd00615	Bekanamycin
cpd00616	CPD-659
cpd00617	Lactoyl-CoA
cpd00618	Naphthalene
cpd00619	Oxomalonate
cpd00620	ptth
cpd00621	Catenulin
cpd00622	Sepiapterin
cpd00623	sphgn
cpd00624	Streptidine
cpd00625	Xanthotoxol
cpd00626	dtdpglu
cpd00627	l-Menthone
cpd00628	(R)-Prunasin
cpd00629	2-Furoyl-CoA
cpd00630	3oxadp
cpd00631	4-Pyridoxate
cpd00632	6-Oxocineole
cpd00633	Ethyl acetate
cpd00634	CHLOROGENATE
cpd00635	cbl1
cpd00636	Hexalin
cpd00637	met-D
cpd00638	dnad
cpd00639	Formononetin
cpd00640	Gibberellin 1
cpd00641	histd
cpd00642	rml
cpd00643	Methanofuran
cpd00644	pnto-R
cpd00645	2-Oxostearate
cpd00646	PNP
cpd00647	Aminomalonate
cpd00648	Angiotensin I
cpd00649	Coenzyme F420
cpd00650	butd2coa
cpd00651	D-Arabinonate
cpd00652	galctr-D
cpd00653	galctn-D
cpd00654	dcyt
cpd00655	dpcoa
cpd00656	galman
cpd00657	Homocarnosine
cpd00658	ichor
cpd00659	n2o
cpd00660	C5:0-COA
cpd00661	Pregnan-21-al
cpd00662	Pregnan-21-ol
cpd00663	Acrylyl-CoA
cpd00664	Tos-Lys-CH2Cl
cpd00665	alpha-Maltose
cpd00666	tartr-L
cpd00667	11-cis-Retinol
cpd00668	alac-S
cpd00669	2-Oxohexanoate
cpd00670	Cinnamaldehyde
cpd00671	Citramalyl-CoA
cpd00672	fruur
cpd00673	56dthm
cpd00674	Gentamicin C1a
cpd00675	LTA4
cpd00676	Ribonucleoside
cpd00677	3-Methyladenine
cpd00678	Benzyl viologen
cpd00679	Cephalosporin C
cpd00680	cm
cpd00681	chols
cpd00682	CoA-glutathione
cpd00683	dhpt
cpd00684	Dimethylmaleic acid
cpd00685	Ferricytochrome
cpd00686	Ferrocytochrome
cpd00687	Isonocardicin A
cpd00688	Thioglycol
cpd00689	ppbng
cpd00690	Sinapine
cpd00691	UDP-L-arabinose
cpd00693	lald-D
cpd00694	2-Aminoadenosine
cpd00695	2-Oxoglutaramate
cpd00696	35ccmp
cpd00697	35cgmp
cpd00698	35cimp
cpd00699	3dhq
cpd00700	amp2p
cpd00701	DTE
cpd00702	Estradiol
cpd00703	ind3ac
cpd00704	ind3eth
cpd00705	L2aadp
cpd00706	mercppyr
cpd00707	Prostaglandin B1
cpd00708	Sterigmatocystin
cpd00709	cll_199
cpd00710	beta-D-Glucoside
cpd00711	(-)-trans-Carveol
cpd00712	2dhp
cpd00713	35cdamp
cpd00714	3-Hydroxypropanal
cpd00715	4-Pyridoxolactone
cpd00716	Aromatic oxo acid
cpd00717	Aromadendrin
cpd00718	Dihydroxyfumarate
cpd00719	gdpmanur
cpd00720	L-Tryptophanamide
cpd00721	N-Acetylserotonin
cpd00722	acser
cpd00723	Renilla luciferin
cpd00724	alpha-D-Galactose
cpd00725	p-Mercuribenzoate
cpd00726	13dampp
cpd00727	2pglyc
cpd00728	4hdxbutn
cpd00729	5apentam
cpd00730	Aquacobalamin
cpd00731	alaala
cpd00732	D-Prephenyllactate
cpd00733	Ferricytochrome b1
cpd00734	Ferrocytochrome b1
cpd00735	Formylmethanofuran
cpd00736	Hexose 1-phosphate
cpd00737	Gynesine
cpd00738	pser-L
cpd00739	ribflvRD
cpd00740	Trimethylsulfonium
cpd00741	UDP-2-deoxyglucose
cpd00742	allphn
cpd00743	L-Citramalyl-CoA
cpd00744	(R)-Pantolactone
cpd00745	Hydracrylic acid
cpd00746	3-Isopropylcatechol
cpd00747	L-Hydroxyproline
cpd00748	5-Phosphomonoester
cpd00749	5-HTP
cpd00750	D-Fucose
cpd00751	fuc-L
cpd00752	6hnac
cpd00753	Aromatic amino acid
cpd00754	Dihydrostreptomycin
cpd00755	hmbil
cpd00756	dmgly
cpd00757	N6-Hydroxy-L-lysine
cpd00758	n8aspmd
cpd00759	fglut-S
cpd00760	2mbcoa
cpd00761	3-Oxo-delta5-steroid
cpd00762	4gubut
cpd00763	4mlacac
cpd00764	dann
cpd00765	L-Gulonolactone
cpd00766	Ascorbate radical
cpd00767	N-Acetyl-L-aspartate
cpd00768	N-Carbamoylsarcosine
cpd00769	N-Formyl-L-aspartate
cpd00770	Nforglu
cpd00771	N-Methyl-L-glutamate
cpd00772	L-Theanine
cpd00773	uamr
cpd00774	uppg3
cpd00775	(R)-4-Dehydropantoate
cpd00776	Ssq23epx
cpd00777	(S)-6-Hydroxynicotine
cpd00778	dhpyr
cpd00779	L-Diiodotyrosine
cpd00780	4fumacac
cpd00781	5dglcn
cpd00782	pmcoa
cpd00783	CMP-N-acylneuraminate
cpd00784	Dihydroresorcinol
cpd00785	D-Galactose 6-sulfate
cpd00786	Ribitol 5-phosphate
cpd00787	Desulfoglucotropeolin
cpd00788	N-Acetyl-beta-alanine
cpd00789	N-Sulfo-D-glucosamine
cpd00790	achms
cpd00791	pppg9
cpd00792	Reduced coenzyme F420
cpd00793	thmmp
cpd00794	tre
cpd00795	(R)-2-Hydroxyglutarate
cpd00796	(R)-3,3-Dimethylmalate
cpd00797	bhb
cpd00798	16alpha-Hydroxysteroid
cpd00799	Deacetylvindoline
cpd00800	8aonn
cpd00801	Cellobiose-1,5-lactone
cpd00802	f1p
cpd00803	D-Ribose 5-diphosphate
cpd00804	sbt6p
cpd00805	tag6p-D
cpd00806	fc1p
cpd00807	hisp
cpd00808	ru5p-L
cpd00809	phom
cpd00810	orot5p
cpd00811	tmao
cpd00812	5pmev
cpd00813	Pyrogallol
cpd00814	4-Methylene-L-glutamine
cpd00815	2-Oxo-5-aminovalerate
cpd00816	7,8-Dihydroxykynurenate
cpd00817	ara5p
cpd00818	dgal6p
cpd00819	L-Arabinono-1,4-lactone
cpd00820	L-Galactono-1,4-lactone
cpd00821	Nucleoside 5-phosphate
cpd00822	suchms
cpd00823	dttOX
cpd00824	sph1p
cpd00825	Streptidine 6-phosphate
cpd00826	(-)-trans-Isopiperitenol
cpd00827	18-Hydroxycorticosterone
cpd00828	2-Dehydropantolactone
cpd00829	2-trans,6-trans-Farnesol
cpd00830	4h2oglt
cpd00831	rml1p
cpd00832	acgal
cpd00833	N-Acetyl-D-glucosaminate
cpd00834	pan4p
cpd00835	Phospho-beta-D-glucoside
cpd00836	adhlam
cpd00837	ametam
cpd00838	Streptomycin 6-phosphate
cpd00839	alpha-D-Glucosyl-protein
cpd00840	36dahx
cpd00841	5dpmev
cpd00842	3hbycoa
cpd00843	2h3opp
cpd00844	2-Hydroxycyclohexan-1-one
cpd00845	4-Trimethylammoniobutanal
cpd00846	5-Phosphomononucleotides
cpd00847	r15bp
cpd00848	NPmehis
cpd00849	Quercetin 3,3-bissulfate
cpd00850	Quercetin 3,4-bissulfate
cpd00851	4hpro-LT
cpd00852	beta-Glucogallin
cpd00853	23dpg
cpd00854	34dhpha
cpd00855	beta-Pyrazol-1-ylalanine
cpd00856	3cmuc
cpd00857	Provitamin D3
cpd00858	glu5sa
cpd00859	psd5p
cpd00860	sdhlam
cpd00861	uacmam
cpd00862	alpha-D-Hexose 1-phosphate
cpd00863	g6p-B
cpd00864	1,3,8-Naphthalenertriol
cpd00865	1-O-Sinapoyl-beta-D-glucose
cpd00866	17alpha-Hydroxyprogesterone
cpd00867	mi1p-D
cpd00868	34hpp
cpd00869	2kmb
cpd00870	gbbtn
cpd00871	rb15bp
cpd00872	N,N-Dimethylaniline N-oxide
cpd00873	nicrnt
cpd00874	(3S,5S)-3,5-Diaminocaproate
cpd00875	kdo
cpd00876	3hmp
cpd00877	Lathosterol
cpd00878	Glucocerebroside
cpd00879	Palmitoylglycerone phosphate
cpd00880	1-Phospho-alpha-D-glucuronate
cpd00881	34dhcinm
cpd00882	Melilotate
cpd00883	N-Acylneuraminate 9-phosphate
cpd00884	N(omega)-(ADP-D-ribosyl)-L-arginine
cpd00885	inoshp
cpd00886	D-3-Amino-isobutanoate
cpd00887	3-(3,4-Dihydroxyphenyl)lactate
cpd00888	N-Methylethanolamine phosphate
cpd00889	5-Hydroxylysine
cpd00890	uama
cpd00891	mmcoa-R
cpd00892	scyllo-Inosamine
cpd00893	2-(Acetamidomethylene)succinate
cpd00894	2dh3dgal
cpd00895	h4mpt
cpd00896	6p2dglcn
cpd00897	CDP-4-dehydro-6-deoxy-D-glucose
cpd00898	Inositol 1,4-bisphosphate
cpd00899	Dihydrostreptomycin 6-phosphate
cpd00900	gdpddman
cpd00901	Methyl 2-diazoacetamidohexonate
cpd00902	g3pi
cpd00903	12-OPDA
cpd00904	DHA
cpd00905	gdpdp
cpd00906	hexdp
cpd00907	cbs_41
cpd00908	g3pe
cpd00909	1-Aminocyclopropane-1-carboxylate
cpd00910	1Dgali
cpd00911	6pgl
cpd00912	N-Acetyl-beta-D-glucosaminylamine
cpd00913	2,3-Cyclic nucleotide
cpd00914	Inositol 1,3,4-trisphosphate
cpd00915	3,5-Diiodo-4-hydroxyphenylpyruvate
cpd00916	mi145tp-D
cpd00917	7,8-Dihydro-7,8-dihydroxykynurenate
cpd00918	acg5sa
cpd00919	hcit
cpd00920	4-(2-Aminophenyl)-2,4-dioxobutanoate
cpd00921	6ax6ax
cpd00922	1pipdn2c
cpd00923	3-Hydroxy-N6,N6,N6-trimethyl-L-lysine
cpd00924	ap4a
cpd00925	gp4g
cpd00926	Anserine
cpd00927	(-)-Glycinol
cpd00928	3,7-Di-O-methylquercetin
cpd00929	3-Deoxydihydrostreptomycin 6-phosphate
cpd00930	imacp
cpd00931	5apru
cpd00932	3psme
cpd00933	3-Hydroxy-2-methylpyridine-5-carboxylate
cpd00934	mi1345p
cpd00935	2,6-Dioxo-6-phenylhexa-3-enoate
cpd00936	5-Formyl-H4MPT
cpd00937	trans-2-Carboxybenzalpyruvate
cpd00938	2c25dho
cpd00939	4ahmmp
cpd00940	Dihydrostreptomycin 3alpha,6-bisphosphate
cpd00941	1-Acyl-2-oleoyl-sn-glycero-3-phosphocholine
cpd00942	1-Amino-1-deoxy-scyllo-inositol 4-phosphate
cpd00943	inospp1
cpd00944	2,6-Dichlorophenol-4-(p-benzoquinone imine)
cpd00945	2dh3dgal6p
cpd00946	unaga
cpd00947	LacCer
cpd00948	Isohexenyl-glutaconyl-CoA
cpd00949	3alpha,7alpha-Dihydroxy-12-oxo-5beta-cholanate
cpd00950	N-Amidino-scyllo-inosamine 4-phosphate
cpd00951	D-5-O-Methyl-2,3,5/4,6-pentahydroxycyclohexanone
cpd00952	6-Hydroxypseudooxynicotine
cpd00953	1D-1-Guanidino-3-amino-1,3-dideoxy-scyllo-inositol
cpd00954	6hmhpt
cpd00955	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-al
cpd00956	2cpr5p
cpd00957	25drapp
cpd00958	4-Deoxy-beta-D-gluc-4-enuronosyl-(1,3)-N-acetyl-D-galactosamine
cpd00959	1,4-beta-D-Galactosyl-(alpha-1,3-L-fucosyl)-N-acetyl-D-glucosaminyl- R
cpd00960	PGI2
cpd00961	(S)-N-[3-(3,4-Methylenedioxyphenyl)-2-(mercaptomethyl)-1- oxoprolyl]glycine
cpd00962	(S)-N-[3-(3,4-Methylenedioxyphenyl)-2-(mercaptomethyl)-1-oxoprolyl]- (S)-alanine
cpd00963	(S)-N-[3-(3,4-Methylenedioxyphenyl)-2-(acetylthio)methyl-1- oxoprolyl]glycine benzyl ester
cpd00964	(S)-N-[3-(3,4-Methylenedioxyphenyl)-2-(acetylthio)methyl-1- oxoprolyl]-(S)-alanine benzyl ester
cpd00965	Hg
cpd00966	HBr
cpd00970	NMP
cpd00971	na1
cpd00972	xdp
cpd00973	E-64
cpd00975	RHg+
cpd00976	didp
cpd00977	ditp
cpd00978	dudp
cpd00979	dXDP
cpd00980	dXTP
cpd00981	AA861
cpd00982	fadh2
cpd00984	Mucin
cpd00985	nh4oh
cpd00986	pqqh2
cpd00987	X-Trp
cpd00988	3amp
cpd00989	3ump
cpd00990	FK506
cpd00991	Fustin
cpd00992	1,2-Ethanediol
cpd00993	Hexose
cpd00994	I2
cpd00995	Ketose
cpd00996	male
cpd00997	NH2Mec
cpd00998	CPD-148
cpd00999	Phytol
cpd01000	Prenol
cpd01002	AACOCF3
cpd01003	Alanine
cpd01004	Anisole
cpd01005	Arg-OEt
cpd01006	CPDIM-6114
cpd01007	Benzene
cpd01008	Benzoin
cpd01009	Boc-Asn
cpd01010	Borneol
cpd01011	btal
cpd01012	cd2
cpd01013	Casbene
cpd01014	Cocaine
cpd01015	cynt
cpd01016	Cycasin
cpd01017	cgly
cpd01018	cbs_252
cpd01019	Daphnin
cpd01020	ga
cpd01021	Glu-Glu
cpd01022	lac-R
cpd01023	Loganin
cpd01024	metha
cpd01025	Neamine
cpd01026	Ouabain
cpd01027	oxam
cpd01028	Questin
cpd01029	Base Q
cpd01030	salcn
cpd01031	srb-L
cpd01032	Tacrine
cpd01033	p-tol
cpd01034	tol
cpd01035	Tropate
cpd01036	Tylosin
cpd01037	Tyr-OEt
cpd01038	Vitexin
cpd01039	Xaa-His
cpd01040	Xanthan
cpd01041	m-Cresol
cpd01042	p-Cresol
cpd01043	Acacetin
cpd01044	Propenal
cpd01045	Alizarin
cpd01046	Allysine
cpd01047	Apigenin
cpd01048	arsna
cpd01049	Atropine
cpd01051	Casein K
cpd01052	Chalcone
cpd01053	Chlorate
cpd01054	Chlorite
cpd01055	all-D
cpd01056	D-Apiose
cpd01057	D-Iditol
cpd01058	Farnesol
cpd01059	frlt
cpd01060	Flavonol
cpd01061	Geranial
cpd01062	Geraniol
cpd01063	Guaiacol
cpd01064	Indanone
cpd01065	Kallidin
cpd01066	L-Iditol
cpd01067	lyx-L
cpd01068	L-Xylose
cpd01069	Loganate
cpd01070	Lupinate
cpd01071	Luteolin
cpd01072	Morphine
cpd01073	Naproxen
cpd01074	Nigerose
cpd01075	Pregnane
cpd01076	Ricinine
cpd01077	Scopolin
cpd01078	seln
cpd01079	Selenium
cpd01080	ocdca
cpd01081	Sulindac
cpd01082	Syringin
cpd01084	Urethane
cpd01085	Viomycin
cpd01086	Warfarin
cpd01087	o-Cresol
cpd01088	CPD-371
cpd01089	2-Furoate
cpd01090	Ethyne
cpd01091	Agaritine
